"",weight,が良い,が悪い
weight,"",0.5,0.5
持ち,0.222030315566746,22,30
画質,0.131201011645695,24,12
使い勝手,0.0837238498836329,17,7
バランス,0.0704152607500539,14,6
レスポンス,0.0552979588506609,8,6
操作性,0.0430011727191111,4,6
ホールド感,0.0346100682610292,3,5
携帯性,0.0328002529114237,6,3
もち,0.0326265018661708,1,7
写り,0.0218668352742825,4,2
精度,0.0165176137943921,2,2
位置,0.016025641025641,0,5
質感,0.015486475575472,4,1
機能,0.0132761468969156,3,1
色,0.0130598826853288,1,2
ホールド性,0.0130598826853288,1,2
目,0.0130598826853288,1,2
条件,0.0130598826853288,1,2
デザイン,0.0130111524163569,7,0
気持ち,0.0130111524163569,7,0
・画質,0.0109334176371412,2,1
視認性,0.0109334176371412,2,1
コストパフォーマンス,0.00929368029739777,5,0
グリップ感,0.00825880689719604,1,1
画像,0.00825880689719604,1,1
見え,0.00825880689719604,1,1
レンズ,0.00825880689719604,1,1
ハンドリング,0.00825880689719604,1,1
解像度,0.00825880689719604,1,1
AF,0.00825880689719604,1,1
感じ,0.00743494423791822,4,0
反応,0.00641025641025641,0,2
感度,0.00641025641025641,0,2
発色,0.00641025641025641,0,2
質,0.00641025641025641,0,2
AF精度,0.00641025641025641,0,2
重さ,0.00557620817843866,3,0
・操作性,0.00557620817843866,3,0
天気,0.00371747211895911,2,0
・携帯性,0.00371747211895911,2,0
相性,0.00371747211895911,2,0
3．ホールド感,0.00371747211895911,2,0
・デザイン,0.00371747211895911,2,0
CP,0.00371747211895911,2,0
光,0.00371747211895911,2,0
感触,0.00371747211895911,2,0
性能,0.00371747211895911,2,0
売れ行き,0.00320512820512821,0,1
掛かり,0.00320512820512821,0,1
付属ソフト,0.00320512820512821,0,1
フィーリング,0.00320512820512821,0,1
記述,0.00320512820512821,0,1
ボタン位置,0.00320512820512821,0,1
解像感,0.00320512820512821,0,1
調子,0.00320512820512821,0,1
音,0.00320512820512821,0,1
半押し,0.00320512820512821,0,1
背面液晶,0.00320512820512821,0,1
取り付け位置,0.00320512820512821,0,1
構造,0.00320512820512821,0,1
応答性,0.00320512820512821,0,1
よい,0.00320512820512821,0,1
映り,0.00320512820512821,0,1
電力事情,0.00320512820512821,0,1
全長,0.00320512820512821,0,1
(?),0.00320512820512821,0,1
モチ,0.00320512820512821,0,1
収納性,0.00320512820512821,0,1
ライン,0.00320512820512821,0,1
都合,0.00320512820512821,0,1
(視力,0.00320512820512821,0,1
始末,0.00320512820512821,0,1
(9)携帯性,0.00320512820512821,0,1
工作精度,0.00320512820512821,0,1
製造品質,0.00320512820512821,0,1
重量バランス,0.00320512820512821,0,1
品質,0.00320512820512821,0,1
少し分,0.00320512820512821,0,1
合わせ,0.00320512820512821,0,1
立て付け,0.00320512820512821,0,1
気分,0.00320512820512821,0,1
態度,0.00320512820512821,0,1
①操作性,0.00320512820512821,0,1
動画,0.00185873605947955,1,0
自分,0.00185873605947955,1,0
バリオテッサー,0.00185873605947955,1,0
操作感,0.00185873605947955,1,0
センス,0.00185873605947955,1,0
悪さ,0.00185873605947955,1,0
・ホールド感,0.00185873605947955,1,0
問題無しホールド感,0.00185873605947955,1,0
液晶パネル,0.00185873605947955,1,0
ピンク,0.00185873605947955,1,0
カラーナイトビュー,0.00185873605947955,1,0
フットワーク,0.00185873605947955,1,0
形式,0.00185873605947955,1,0
FZシリーズ,0.00185873605947955,1,0
SR8,0.00185873605947955,1,0
968C,0.00185873605947955,1,0
機種,0.00185873605947955,1,0
竭。映り,0.00185873605947955,1,0
ない,0.00185873605947955,1,0
EVF,0.00185873605947955,1,0
画像処理エンジン,0.00185873605947955,1,0
切れ,0.00185873605947955,1,0
3．防塵防滴性能,0.00185873605947955,1,0
工学ズーム,0.00185873605947955,1,0
肌,0.00185873605947955,1,0
5．マクロ性能,0.00185873605947955,1,0
レンズ性能,0.00185873605947955,1,0
バッテリー,0.00185873605947955,1,0
皆さん,0.00185873605947955,1,0
ボケ,0.00185873605947955,1,0
D80,0.00185873605947955,1,0
画像編集メニュー,0.00185873605947955,1,0
指,0.00185873605947955,1,0
ホールド,0.00185873605947955,1,0
バッテリー持ち,0.00185873605947955,1,0
コントラスト,0.00185873605947955,1,0
修正,0.00185873605947955,1,0
グリップ性,0.00185873605947955,1,0
製品,0.00185873605947955,1,0
色乗り,0.00185873605947955,1,0
リング,0.00185873605947955,1,0
評判,0.00185873605947955,1,0
ADJボタン,0.00185873605947955,1,0
ズーム,0.00185873605947955,1,0
サイズ,0.00185873605947955,1,0
・レンズ,0.00185873605947955,1,0
(色調・解像度),0.00185873605947955,1,0
が,0.00185873605947955,1,0
キレ,0.00185873605947955,1,0
重い,0.00185873605947955,1,0
16-45mmf4,0.00185873605947955,1,0
中央,0.00185873605947955,1,0
DA21mm,0.00185873605947955,1,0
20mm,0.00185873605947955,1,0
0付近,0.00185873605947955,1,0
組み合わせ,0.00185873605947955,1,0
部分,0.00185873605947955,1,0
PF,0.00185873605947955,1,0
出来,0.00185873605947955,1,0
ホールド感),0.00185873605947955,1,0
縦グリ,0.00185873605947955,1,0
ライブビュー,0.00185873605947955,1,0
2)バッテリー,0.00185873605947955,1,0
肌触り感,0.00185873605947955,1,0
「水族館」,0.00185873605947955,1,0
汎用性,0.00185873605947955,1,0
135mm近辺,0.00185873605947955,1,0
濃さ,0.00185873605947955,1,0
液晶,0.00185873605947955,1,0
音質,0.00185873605947955,1,0
コストメリット,0.00185873605947955,1,0
フロントキャップ,0.00185873605947955,1,0
価格設定,0.00185873605947955,1,0
マッチング,0.00185873605947955,1,0
ホワイトバランス,0.00185873605947955,1,0
造り,0.00185873605947955,1,0
ボリューム感,0.00185873605947955,1,0
設定,0.00185873605947955,1,0
子供,0.00185873605947955,1,0
・描写,0.00185873605947955,1,0
持ち運び,0.00185873605947955,1,0
見栄え,0.00185873605947955,1,0
絵,0.00185873605947955,1,0
グリップ,0.00185873605947955,1,0
重量感,0.00185873605947955,1,0
出番,0.00185873605947955,1,0
作り,0.00185873605947955,1,0
高感度画質,0.00185873605947955,1,0
無い,0.00185873605947955,1,0
アルミ・ボディ,0.00185873605947955,1,0
フラッシュ,0.00185873605947955,1,0
まとまり,0.00185873605947955,1,0
2点,0.00185873605947955,1,0
1)機動性,0.00185873605947955,1,0
3)コストパフォーマンス,0.00185873605947955,1,0
