"",weight,持ち,画質,使い勝手,バランス,レスポンス,操作性,ホールド感,携帯性,もち,写り,精度,位置,質感,機能,ホールド性,条件,目,色,気持ち,デザイン,・画質,視認性,コストパフォーマンス,画像,レンズ,ハンドリング,グリップ感,見え,解像度,AF,感じ,反応,AF精度,感度,発色,質,重さ,・操作性,3．ホールド感,・携帯性,天気,CP,性能,感触,相性,・デザイン,光,応答性,取り付け位置,構造
weight,"",0.222030315566746,0.131201011645695,0.0837238498836329,0.0704152607500539,0.0552979588506609,0.0430011727191111,0.0346100682610292,0.0328002529114237,0.0326265018661708,0.0218668352742825,0.0165176137943921,0.016025641025641,0.015486475575472,0.0132761468969156,0.0130598826853288,0.0130598826853288,0.0130598826853288,0.0130598826853288,0.0130111524163569,0.0130111524163569,0.0109334176371412,0.0109334176371412,0.00929368029739777,0.00825880689719604,0.00825880689719604,0.00825880689719604,0.00825880689719604,0.00825880689719604,0.00825880689719604,0.00825880689719604,0.00743494423791822,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.00557620817843866,0.00557620817843866,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00320512820512821,0.00320512820512821,0.00320512820512821
が良い,0.0513181725750491,24,24,17,14,8,4,3,6,1,4,2,0,4,3,1,1,1,1,7,7,2,2,5,1,1,1,1,1,1,1,4,0,0,0,0,0,3,3,2,2,2,2,2,2,2,2,2,0,0,0
が悪い,0.0450563960353155,36,12,7,6,6,6,5,3,7,2,2,5,1,1,2,2,2,2,0,0,1,1,0,1,1,1,1,1,1,1,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1
の良い,0.0226631320927789,0,2,12,20,2,4,3,11,0,7,2,0,1,0,0,2,0,0,13,1,0,2,5,0,5,0,0,0,0,0,0,2,1,1,1,4,0,0,0,0,15,0,5,0,1,0,0,0,0,0
は良いです,0.0179813393875581,10,13,10,5,1,6,14,3,1,4,1,0,4,0,2,0,0,0,0,2,0,0,4,2,10,0,1,0,1,2,3,0,1,0,2,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0
も良く,0.0169256034811652,7,14,4,6,6,12,6,12,0,6,1,0,5,0,0,0,0,1,0,7,0,2,1,0,1,0,0,0,1,0,0,0,1,0,3,1,2,0,0,0,0,0,3,0,3,0,0,0,0,0
が良く,0.0160795810822164,0,6,10,10,6,8,5,2,0,4,2,0,5,0,4,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,2,3,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
が良いです,0.0152655352356485,7,6,15,7,0,4,2,5,1,1,0,0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
は良いと,0.0150723780475177,8,19,5,8,1,10,4,12,1,5,2,0,4,1,0,0,0,1,0,11,0,0,8,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0
はありません,0.0138777242182437,9,18,4,0,1,11,9,11,0,6,1,0,2,4,1,0,0,0,1,0,0,0,0,3,8,0,1,0,2,6,6,0,1,0,1,0,1,2,0,0,0,0,1,2,1,1,0,0,0,0
がいい,0.0136053900761531,10,9,1,4,1,1,1,1,1,5,0,0,4,1,1,0,0,2,9,1,2,0,1,0,1,0,1,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,2,1,0,1,1,0,0,0
がいいです,0.0123673596548758,6,6,12,3,0,3,1,1,0,1,0,0,1,0,0,0,0,1,9,0,0,1,0,0,0,0,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
がよい,0.0102500333857574,6,1,6,3,0,2,0,3,1,0,1,0,1,0,0,1,0,0,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,4,1,1,0,0,0,0,0
もよく,0.009290600323252,6,11,4,5,0,5,5,6,0,1,0,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
が悪いです,0.00886224521535323,10,4,2,2,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
がよく,0.00832790531913414,1,1,5,5,4,3,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いと,0.00824480098742462,2,13,6,9,0,2,1,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0
も良いです,0.0079165285034999,5,5,1,4,0,9,4,2,1,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
