"",weight,の高い,は高いです,が高い,は高いと,が高いです,に優れた,の良い,が良い,は高い,が高いと,を考えると,が高く,は良いと,は良いです,は最高です,は5です,はしました,も高く,があります,が高いので,も良く,は思います,はありません,は高く,は満点です,が良く,を考えれば,も高い,が悪い,のある,はあります,はしましたが,は最高だと,があり,もよく,が良いです,がいい,がある,がよい,も良いと,をしました,はあると,がいいです,が良いと,が低い,は高いですね,があると,は最高ですね,は5と,はいいです,の強い,に優れていると,は抜群,を持った,に優れている,は大満足です,も良いです,はいいと,から考えると,はいいですね,はします,も良い,で言えば,は抜群だと,が多い,が高かった,は感じです,のよい,もありません,はありますが,は抜群です,も高いので,は素晴らしいです,がよく,が良いので,といい,はものです,を含め,をしたのは,も高いです,は低いです,は良好です,が素晴らしい,もいいですね,がいいので,も含めて,もいい,は5ですが,は高いですが,もいいです,が得られる,は良く,はよいと,もあり,はありませんが,は良い,を考えたら,でいえば,は4と,を上げる
weight,"",0.00592974633182405,0.00277570117483502,0.00246194762749304,0.0018152323592309,0.00138563673640825,0.00109809489914761,0.000976645548843275,0.000791248927810891,0.000753101336586502,0.000735395175851996,0.000730737617732134,0.00070732676606001,0.000598968266850095,0.000551378275373839,0.000533333160883712,0.000530389317316126,0.000525008378633405,0.000524805821980388,0.000499481336283322,0.000472495682803019,0.000435374961304361,0.000431455979761643,0.00042940777425448,0.000395295826391192,0.000393637641319565,0.000375384900072731,0.000363117208536976,0.00033836369188981,0.000333040018411717,0.000298764864790476,0.000281942266088429,0.000280189377492943,0.000276798342205603,0.000274639476773592,0.00026854158936666,0.000264088283685809,0.00024657661685133,0.00024499728657683,0.000244698618711561,0.000242904198830133,0.000236766550596082,0.000236134387856159,0.000230412299919678,0.000227892845899284,0.000227651154075334,0.000225897040771909,0.000216614886101129,0.000204453496820401,0.000199733827352397,0.000199128369986823,0.000190607455167491,0.000188721147609929,0.000187668001752385,0.000185741379187564,0.000181602039772893,0.00017644620627401,0.000175441773480881,0.000172316621720551,0.000172017793622581,0.000165783045917364,0.000164786474386597,0.000164530371382086,0.000163689224244055,0.000163216417389414,0.000161193320502414,0.000160725926745081,0.000160520830067403,0.00015878528692604,0.000158488867271302,0.000154921771250452,0.000154278593791993,0.000150649056195429,0.000148193238631286,0.000145756526567241,0.000141457579158388,0.00014142907645622,0.000140822780559932,0.000140043631545758,0.000139590214274543,0.000138059524721419,0.000135107848263173,0.000131332235007185,0.000130306858276133,0.000130000204640492,0.000126397748567084,0.000124138958168066,0.000124103615167425,0.000123622950088169,0.000123297537047767,0.000122878899644508,0.000122393483212611,0.000121989972855559,0.000116843865601329,0.00011657305841934,0.000114230328739582,0.00011360106109708,0.000112698571214445,0.000108023654986902,0.000107809682770259,0.000107759381665742
満足度,0.00764874597185042,45,68,7,10,16,0,0,0,13,3,0,2,0,0,3,14,11,0,0,2,0,1,1,6,10,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,4,2,0,0,1,5,0,0,5,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,2,1,0
コストパフォーマンス,0.00609184503293735,36,4,14,24,4,33,5,5,2,6,10,4,8,4,9,0,0,4,0,2,1,2,0,0,0,1,3,3,0,0,0,0,9,0,1,0,1,0,3,2,0,1,0,2,0,2,0,3,0,1,0,7,4,3,3,0,0,1,3,3,0,0,1,5,0,0,0,0,0,0,2,1,3,0,0,1,0,3,0,1,0,0,2,3,1,2,1,0,1,0,0,0,2,0,0,0,2,1,0,0
完成度,0.00245129467798208,37,3,11,7,1,0,0,0,1,3,0,4,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画質,0.00172400222564372,0,0,0,0,0,1,2,24,0,0,2,0,19,13,7,1,3,0,1,0,14,28,18,2,0,6,2,0,12,0,6,1,1,1,11,6,9,0,1,6,0,0,6,13,1,0,1,1,1,11,0,0,0,0,0,4,5,11,0,2,7,10,1,0,0,0,2,1,6,9,1,0,4,1,5,3,11,0,1,0,0,2,1,1,1,1,4,1,0,9,6,7,1,1,4,7,0,1,0,1
評価,0.00166666820569771,12,2,4,0,2,0,1,0,0,3,0,4,1,0,1,6,4,0,1,1,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0
質感,0.00151769533328416,5,2,9,2,2,0,1,4,2,2,0,6,4,4,4,0,0,4,3,0,5,2,2,0,0,5,0,0,1,2,6,0,0,4,2,2,4,1,1,3,0,0,1,1,1,0,2,0,0,5,0,0,0,1,0,0,2,2,0,1,1,6,0,0,0,0,4,0,0,3,0,0,1,1,0,4,1,0,0,2,0,1,1,0,0,3,0,0,0,5,0,0,0,3,1,0,0,0,0,0
携帯性,0.00143626819201025,0,0,1,0,0,5,11,6,0,1,3,0,12,3,1,0,4,1,0,1,12,12,11,0,1,2,3,0,3,0,1,1,0,0,6,5,1,0,3,2,2,0,1,1,0,0,1,0,0,10,0,1,6,0,4,1,2,0,1,0,0,1,1,0,0,0,2,0,1,0,17,0,1,0,1,1,2,0,4,0,0,3,0,1,5,0,0,1,0,1,0,4,2,0,7,3,1,0,2,0
使用頻度,0.00119616386796973,10,2,11,0,4,0,0,0,2,0,1,2,0,0,0,0,0,1,0,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像度,0.0011717153626887,5,2,6,0,2,0,0,1,0,0,0,8,0,1,0,0,1,7,0,2,1,1,2,4,0,0,0,2,1,2,0,0,0,1,1,0,0,3,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1
