"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,もよく,がいい,が良いと,のよい,がよく,も良いと,を考えると,はありません,の取れた,がよい,も良いです,は良好です,は思います,が良いので,はいいと,のとれた,が悪いと,は良い,の高い,はいいです,が悪く,は良く,がいいと,が高い,もいいです,も良い,を考えれば,が悪いです,の悪い,もいい,がいいので
weight,"",8.83009663192344e-05,5.30007262404162e-05,3.61831372954762e-05,3.10403780988398e-05,3.02120070815785e-05,2.69268657259339e-05,2.68865285849589e-05,2.52256901513817e-05,2.28456898417175e-05,2.08027067743955e-05,1.96695818556357e-05,1.90982849960439e-05,1.7959720428727e-05,1.63468935252576e-05,1.59207150168143e-05,1.5829320582099e-05,1.56795918684821e-05,1.45796074964195e-05,1.41062692755087e-05,1.35157044694744e-05,1.26890532557684e-05,1.23291204084863e-05,1.1831068765633e-05,1.164384085845e-05,1.02597237937767e-05,9.77208065080046e-06,9.72645281132888e-06,9.46745329499179e-06,9.37402478453761e-06,9.2949097371958e-06,9.0811672510369e-06,8.33051073638389e-06,8.2392537912118e-06,8.12117791254397e-06,7.94947317592943e-06,7.65881110893463e-06,7.59746661989683e-06,7.43859569379813e-06,6.93592391412443e-06,6.54198401009624e-06
バランス,0.000114652817165582,20,14,10,6,6,5,7,8,3,5,4,9,6,5,11,8,0,27,3,4,3,0,2,4,19,4,2,2,0,2,3,4,2,0,1,5,2,0,2,0
画質,7.7561200747111e-05,2,24,6,12,14,13,6,19,6,11,9,13,1,1,6,2,18,0,1,5,2,28,5,11,0,4,7,0,11,0,7,1,0,9,10,2,4,2,4,1
使い勝手,6.46168031469152e-05,12,17,10,7,4,10,15,5,12,4,1,6,5,5,1,4,4,0,6,1,5,1,3,3,0,1,1,0,3,1,1,3,0,1,1,0,2,0,1,1
操作性,4.73353986312573e-05,4,4,8,6,12,6,4,10,3,5,1,2,0,3,6,3,11,0,2,9,6,11,2,9,0,0,2,0,4,0,2,0,3,3,8,1,2,1,5,2
持ち,4.2949541187955e-05,0,22,0,30,0,5,4,6,1,0,9,2,0,1,0,0,7,0,6,0,0,0,2,0,0,5,3,0,1,6,2,1,0,0,0,0,9,0,0,6
携帯性,3.96374426170011e-05,11,6,2,3,12,3,5,12,1,6,1,1,0,0,2,3,11,0,3,2,3,12,1,0,0,2,3,0,10,2,4,1,1,1,1,3,1,0,0,5
ホールド感,3.11414625840371e-05,3,3,5,5,6,14,2,4,1,5,1,1,0,1,0,0,9,0,0,4,9,4,3,0,0,0,7,0,2,3,1,1,1,3,1,1,0,0,3,1
写り,2.50445446678038e-05,7,4,4,2,4,4,1,5,1,1,5,2,1,0,2,0,6,0,0,0,1,4,1,2,0,1,3,0,7,0,2,1,0,0,2,2,0,0,3,2
気持ち,2.26934220110702e-05,13,7,0,0,0,0,2,0,9,0,9,0,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
デザイン,2.1483710562017e-05,1,7,3,0,7,2,2,11,0,1,1,1,0,1,4,0,0,0,1,2,1,11,2,6,0,0,2,0,3,0,0,1,0,3,2,0,0,0,2,0
質感,2.10168657853747e-05,1,4,5,1,5,4,2,4,1,2,4,1,0,1,3,0,2,0,1,2,1,2,0,2,0,0,0,5,5,0,0,0,9,5,6,0,0,0,0,0
評判,1.81386098716758e-05,14,1,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,1,0,0,0,1,0,0,3,2,2
レスポンス,1.69193798757092e-05,2,8,6,6,6,1,0,1,0,0,1,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1
コストパフォーマンス,1.67676566939406e-05,5,5,1,0,1,4,0,8,0,1,1,2,0,0,2,10,0,0,3,0,0,2,0,1,0,0,0,36,1,0,0,0,14,0,0,3,0,0,1,1
発色,1.26089672224733e-05,1,0,3,2,3,2,0,0,0,6,3,0,1,1,0,0,1,0,0,4,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
レンズ,1.25152128486065e-05,5,1,1,1,1,10,0,2,0,0,1,2,0,0,0,0,8,0,0,0,0,6,0,3,0,0,1,0,4,0,1,1,0,0,1,0,0,2,3,0
性能,1.20104641571075e-05,5,2,0,0,3,0,0,3,0,0,2,1,0,0,0,12,1,0,4,0,0,4,1,3,0,0,1,1,0,0,0,0,2,0,0,5,0,0,0,1
描写,1.1709953313407e-05,2,0,1,0,6,5,0,0,1,0,1,4,0,0,0,1,4,0,0,3,0,5,2,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,1,1
色乗り,1.15799665178302e-05,2,1,2,0,5,1,1,0,2,3,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
天気,1.02189829383807e-05,15,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
相性,9.3432172539623e-06,1,2,1,0,3,0,2,1,0,0,0,2,0,0,0,0,1,0,1,3,0,0,1,2,0,0,0,0,1,0,2,2,0,2,0,0,0,0,0,0
色のり,8.34841234999761e-06,1,0,1,0,0,1,1,1,1,6,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ホールド性,8.2099445392592e-06,0,1,4,2,0,2,2,0,0,0,1,0,0,1,0,0,1,0,0,0,3,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
精度,8.05834505659063e-06,2,2,2,2,1,1,0,2,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0
出来,7.70464046942094e-06,5,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0
感触,7.64294388332388e-06,0,2,1,0,0,6,2,1,0,1,1,1,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0
価格,7.30335492400027e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,1,27,0,0,0,0
質,7.29773835394532e-06,4,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,1,0,0
もち,7.10579527787909e-06,0,1,0,7,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1
視認性,6.76424361316585e-06,2,2,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0
ヌケ,5.98820547530525e-06,5,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
切れ,5.74282880820654e-06,4,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色,5.50181806127569e-06,0,1,0,2,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,1
