"",weight,の良い,の高い,が良い,が良く,も良く,が悪い,は良いです,が高い,は良いと,が良いです,は高いです,はありません,がいいです,もよく,を考えると,がいい,が良いと,は高いと,のよい,も良いと,がよく,は思います,がよい,に優れた,も良いです,は良好です,の取れた,が高いです,はいいと,が良いので,はいいです,は最高です,は良い,が高く,が悪いと,は良く,もいいです,を考えれば,が悪く,も良い,は高い,のとれた,も高く,がいいと,もいい,が悪いです,もありません,が高いと,がいいので,があります,があり,の悪い,が高いので,は感じです,は抜群です,はしました,はあります,はいいですね,が良くて,も良いので,も良好です,がよいです,はありますが,はします,はありませんが,がいいですね,のある,が感じます,になります,は悪いです
weight,"",0.000287331187972092,0.00022833602351679,0.000187638648781224,0.000122689520748038,0.0001126675667912,0.000111565985739034,0.000106694775548067,0.000105166104722134,9.88538168128057e-05,9.32221280326079e-05,9.08738247708253e-05,8.40939099214992e-05,7.91108134892975e-05,7.55110250766871e-05,7.05019453375493e-05,6.94682114409705e-05,6.50853866406621e-05,6.35692431831592e-05,5.94926878412664e-05,5.6333729597814e-05,5.59562609477129e-05,5.44031069061083e-05,5.29455842351545e-05,5.12702642149233e-05,5.01666951749638e-05,4.50352833438152e-05,4.42058872227698e-05,4.28734734457977e-05,4.27962502260038e-05,4.22080570530287e-05,3.8950808139976e-05,3.72986346186923e-05,3.57937494719933e-05,3.5133287705507e-05,3.47805532413615e-05,3.33083303844318e-05,3.31815532747985e-05,3.2971963179285e-05,3.25992525550919e-05,3.16239809302663e-05,3.13234998863897e-05,3.11078465641714e-05,2.93573861404276e-05,2.84908585015861e-05,2.75801333950045e-05,2.67172903910062e-05,2.66959813301712e-05,2.66312789732144e-05,2.55980950132407e-05,2.53079515972209e-05,2.50993937671097e-05,2.45091633617473e-05,2.4181082176923e-05,2.38156405831264e-05,2.37605606782425e-05,2.36448452566498e-05,2.31952983084178e-05,2.27325541671676e-05,2.22878070917733e-05,2.17752815613572e-05,2.0340567862722e-05,2.00141619945646e-05,1.99802276297172e-05,1.98302896452572e-05,1.93890677825757e-05,1.91635634733382e-05,1.87900173944676e-05,1.85936900156989e-05,1.8586111590757e-05,1.79118523975973e-05
バランス,0.00039533628404381,20,2,14,10,6,6,5,2,8,7,0,0,3,5,8,4,9,0,6,11,5,0,3,0,4,3,27,1,4,2,0,0,2,0,4,3,0,5,2,1,0,19,0,4,2,2,0,0,0,0,0,0,0,0,1,0,0,2,1,3,0,0,0,1,0,1,0,3,1,1
画質,0.000312804875742198,2,0,24,6,14,12,13,0,19,6,0,18,6,11,2,9,13,0,1,6,1,28,1,1,5,2,0,0,11,5,11,7,7,0,4,7,9,2,0,10,0,0,0,1,4,4,6,0,1,1,1,2,0,2,1,3,6,2,2,0,2,0,9,7,4,1,0,0,5,3
使い勝手,0.000246939232800144,12,0,17,10,4,7,10,0,5,15,0,4,12,4,4,1,6,0,5,1,5,1,6,0,1,5,0,0,3,3,3,2,1,0,1,1,1,0,1,1,0,0,0,3,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,4,0,1,0,0
コストパフォーマンス,0.000236484905774,5,36,5,1,1,0,4,14,8,0,4,0,0,1,10,1,2,24,0,2,0,2,3,33,0,0,0,4,1,0,1,9,0,4,0,0,0,3,0,0,2,0,4,0,1,0,0,6,1,0,0,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
満足度,0.000206128455706934,0,45,0,0,0,0,0,7,0,0,68,1,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,16,0,0,0,3,0,2,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,2,0,0,11,0,0,0,0,0,0,1,2,0,0,0,0,0,0
操作性,0.000202883947143138,4,0,4,8,12,6,6,3,10,4,1,11,3,5,3,1,2,0,0,6,3,11,2,2,9,6,0,0,9,2,4,1,2,1,0,2,3,1,0,8,0,0,0,0,5,2,1,0,2,0,1,1,0,3,6,5,1,1,0,1,3,1,3,0,1,1,0,0,0,3
携帯性,0.000184344701731176,11,0,6,2,12,3,3,1,12,5,0,11,1,6,3,1,1,0,0,2,0,12,3,5,2,3,0,0,0,1,10,1,3,0,2,4,1,3,2,1,0,0,1,1,0,1,1,1,5,0,0,0,1,2,17,4,1,0,1,1,0,0,0,0,7,0,0,0,0,5
持ち,0.000168410314404758,0,0,22,0,0,30,5,0,6,4,0,7,1,0,0,9,2,0,0,0,1,0,6,0,0,0,0,0,0,2,1,1,3,0,5,2,0,0,6,0,0,0,0,1,0,9,0,0,6,0,0,0,0,2,1,0,0,2,1,0,0,1,1,2,1,0,0,1,0,5
ホールド感,0.000140694007586336,3,0,3,5,6,5,14,1,4,2,1,9,1,5,0,1,1,0,0,0,1,4,0,0,4,9,0,0,0,3,2,0,7,1,0,1,3,1,3,1,0,0,0,1,3,0,5,0,1,1,2,0,0,3,4,2,3,0,1,4,2,1,0,3,2,0,0,1,0,1
