"",weight,の良い,の高い,が良い,が悪い,が良く,が高い,も良く,は良いです,は高いです,は良いと,が良いです,はありません,は高いと,がいいです,を考えると,もよく,がいい,が良いと,は思います,に優れた,のよい,も良いと,がよく,がよい,が高いです,も良いです,は良好です,はいいと,の取れた,が良いので,が高く,はいいです,は最高です,は良い,を考えれば,は高い,が悪いと,もいいです,も良い,は良く,が高いと,も高く,が悪く,があります,のとれた,が弱いです,があり,もいい,もありません,が悪いです,がいいと,が高いので,はしました,がいいので,は感じです,はあります,は抜群です,はいいですね,の悪い,のある,も良いので,が良くて,はありますが,も良好です,はします,はありませんが,は高く,がよいです,がいいですね,も満足しています,になります,が感じます,は悪いです,は5です,といい,は最高だと,が良くない,もなく,にありません,も高い
weight,"",0.000427504911889754,0.00040042725181006,0.000289893339303285,0.000221297653754261,0.000185040152510071,0.000180484940585151,0.00017506731686921,0.000168098314907822,0.000163853257066856,0.00015560508900101,0.000140566845563371,0.000133677858957384,0.000128533358967911,0.000119322916899391,0.000117049779178087,0.000116716526258733,0.000107108041633971,9.84691427875501e-05,9.21190329428936e-05,8.90472600586265e-05,8.74299648667869e-05,8.54673694998035e-05,8.44962817995227e-05,8.11839131554998e-05,7.8623430545362e-05,7.78422877034726e-05,6.88991787923847e-05,6.59063063949712e-05,6.49751954263621e-05,6.3527424513504e-05,6.347129751337e-05,6.17616143528015e-05,6.08931227230394e-05,5.5330323330012e-05,5.41401904899732e-05,5.41257016407982e-05,5.34313457167373e-05,5.32826218475019e-05,5.28846588913126e-05,5.23790280160832e-05,5.22010591956776e-05,5.19124910333612e-05,5.0437889278378e-05,4.73714047160606e-05,4.5723285670403e-05,4.41916497790829e-05,4.35586602352891e-05,4.32486244851943e-05,4.30099705974302e-05,4.29173964216484e-05,4.28145102565074e-05,4.18397516519416e-05,4.1115899706994e-05,4.01770193993353e-05,3.87838842614164e-05,3.83914614748241e-05,3.75282059620297e-05,3.60560606435611e-05,3.57192791003233e-05,3.52998493328927e-05,3.42559406585378e-05,3.39365271128228e-05,3.23956907424234e-05,3.20475025162552e-05,3.18951003646035e-05,3.17897455628854e-05,3.01006021806371e-05,2.97763414607436e-05,2.95606128713865e-05,2.94723446717476e-05,2.86829088840137e-05,2.85838089186131e-05,2.84025890995029e-05,2.72626490726144e-05,2.69736980692562e-05,2.64376613751541e-05,2.5574342305139e-05,2.5356338340355e-05,2.52487575940051e-05,2.50987213391528e-05
バランス,0.000605222399966368,20,2,14,6,10,2,6,5,0,8,7,0,0,3,8,5,4,9,0,0,6,11,5,3,1,4,3,4,27,2,0,0,0,2,5,0,4,0,1,3,0,0,2,0,19,0,0,2,0,2,4,0,0,0,0,0,1,2,0,0,3,1,0,0,1,0,0,0,1,1,1,3,1,0,0,1,1,1,0,0
画質,0.000522956906996315,2,0,24,12,6,0,14,13,0,19,6,18,0,6,2,11,9,13,28,1,1,6,1,1,0,5,2,11,0,5,0,11,7,7,2,0,4,9,10,7,0,0,0,1,0,0,1,4,6,4,1,0,3,1,2,6,1,2,2,0,0,2,9,2,7,4,2,0,1,11,5,0,3,1,3,1,1,5,3,0
コストパフォーマンス,0.000449126777697205,5,36,5,0,1,14,1,4,4,8,0,0,24,0,10,1,1,2,2,33,0,2,0,3,4,0,0,1,0,0,4,1,9,0,3,2,0,0,0,0,6,4,0,0,0,0,0,1,0,0,0,2,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,3
満足度,0.000413530480218974,0,45,0,0,0,7,0,0,68,0,0,1,10,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,2,0,3,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,1,0,2,0,6,0,0,0,0,0,0,14,0,0,0,0,0,3
使い勝手,0.000382469030144754,12,0,17,7,10,0,4,10,0,5,15,4,0,12,4,4,1,6,1,0,5,1,5,6,0,1,5,3,0,3,0,3,2,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,2,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5,4,0,0,1,0,0,0,0,1,1,1,0
操作性,0.000328184051190901,4,0,4,6,8,3,12,6,1,10,4,11,0,3,3,5,1,2,11,2,0,6,3,2,0,9,6,9,0,2,1,4,1,2,1,0,0,3,8,2,0,0,0,0,0,0,1,5,1,2,0,0,5,2,3,1,6,1,1,0,1,0,3,3,0,1,0,1,1,2,0,0,3,0,1,0,1,2,3,0
携帯性,0.000291860819920916,11,0,6,3,2,1,12,3,0,12,5,11,0,1,3,6,1,1,12,5,0,2,0,3,0,2,3,0,0,1,0,10,1,3,3,0,2,1,1,4,1,1,2,0,0,0,0,0,1,1,1,1,4,5,2,1,17,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,5,0,1,0,0,1,1,0
持ち,0.000289233950313419,0,0,22,30,0,0,0,5,0,6,4,7,0,1,0,0,9,2,0,0,0,0,1,6,0,0,0,0,0,2,0,1,1,3,0,0,5,0,0,2,0,0,6,0,0,0,0,0,0,9,1,0,0,6,2,0,1,2,0,0,0,1,1,0,2,1,0,1,0,0,0,1,5,0,0,0,5,0,0,0
ホールド感,0.000232349081246616,3,0,3,5,5,1,6,14,1,4,2,9,0,1,0,5,1,1,4,0,0,0,1,0,0,4,9,0,0,3,1,2,0,7,1,0,0,3,1,1,0,0,3,1,0,0,2,3,5,0,1,0,2,1,3,3,4,0,0,0,4,1,0,2,3,2,0,1,0,2,0,1,1,0,2,0,2,0,2,0
