"",weight,の高い,の良い,が良い,が高い,が悪い,は高いです,が良く,も良く,は良いです,は良いと,は高いと,はありません,が良いです,を考えると,がいいです,もよく,に優れた,がいい,は思います,が良いと,が高いです,がよい,も良いと,がよく,のよい,も良いです,の取れた,が高く,は最高です,は良好です,はいいと,は高い,が高いと,はいいです,が良いので,も高く,を考えれば,も良い,は良い,があります,もいいです,が悪いと,は良く,が悪く,が高いので,はしました,があり,のとれた,もありません,もいい,はあります,が悪いです,がいいと,がいいので,は感じです,はいいですね,は抜群です,のある,も良いので,は高く,が弱いです,はありますが,は5です,の悪い,はします,が良くて,はありませんが,は最高だと,も良好です,も高い,は満点です,になります,は悪いです,も満足しています,がいいですね,がよいです,が感じます,といい,がある,もいいですね,も含めて,もなく,はよいです,はよいと,は良いのですが,は最高ですね,が良くない,は良いですね,にありません,は思いますが
weight,"",0.000700914961060867,0.000599167356133791,0.00042177257725056,0.000299432409686663,0.000297910288858498,0.000291699690915071,0.000266289618886006,0.000247899280098213,0.000244228800889542,0.000231188388366841,0.000228333416406313,0.000200676672074842,0.000195863616353402,0.000181757628516101,0.000168460478440907,0.000167155036264145,0.000158311785798784,0.000154295203388858,0.000146404926659487,0.000140076425264633,0.000136754620455738,0.000124022036705702,0.000123873993874526,0.00012232441867191,0.000121511967024657,0.000113876404743925,0.00010675920888553,0.000104527074647072,0.000101804849811694,9.63744435355894e-05,9.50183416372072e-05,9.22540418898049e-05,9.1374657937057e-05,8.91088437230907e-05,8.85840968377911e-05,8.66930796498966e-05,8.45336077180916e-05,8.11428958868749e-05,7.86391988768171e-05,7.58625643488487e-05,7.51919143845563e-05,7.48402357620821e-05,7.35210139560969e-05,7.00740126187072e-05,6.89758394299037e-05,6.85496245258773e-05,6.74789319891428e-05,6.43376529891794e-05,6.34675994241098e-05,6.2266413422507e-05,6.0011047694585e-05,5.96946770478832e-05,5.96775488934323e-05,5.86535339795343e-05,5.71894793172143e-05,5.71768856090276e-05,5.65794363774291e-05,5.55408133065742e-05,5.27412495887073e-05,5.12726665008389e-05,4.98002180478294e-05,4.97457934800472e-05,4.91607092498798e-05,4.89902600898644e-05,4.86210588142734e-05,4.7303212318001e-05,4.71768598492944e-05,4.61571942786206e-05,4.52591284880069e-05,4.37932983175004e-05,4.37484184503592e-05,4.29122493472386e-05,4.2181290546829e-05,4.1954551603795e-05,4.15127376702237e-05,4.10033396814107e-05,4.07630902975104e-05,4.06248900192378e-05,3.82377752950581e-05,3.76346519785791e-05,3.71120290254936e-05,3.67547405106054e-05,3.6483578377753e-05,3.64625131230789e-05,3.62021836369414e-05,3.58701081125817e-05,3.53205878547021e-05,3.51159945598347e-05,3.49516199648214e-05,3.48916042148129e-05
バランス,0.000897571922016263,2,20,14,2,6,0,10,6,5,8,0,0,7,8,3,5,0,4,0,9,1,3,11,5,6,4,27,0,0,3,4,0,0,0,2,0,5,1,2,0,0,4,3,2,0,0,0,19,0,2,0,2,4,0,0,2,1,0,3,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,3,0,0,0,1,1,1,1,0,0,1,1,0,0
コストパフォーマンス,0.000793559717629376,36,5,5,14,0,4,1,1,4,8,24,0,0,10,0,1,33,1,2,2,4,3,2,0,0,0,0,4,9,0,1,2,6,1,0,4,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,1,0,3,2,0,0,2,0,3,0,1,0,0
画質,0.000793420264356418,0,2,24,0,12,0,6,14,13,19,0,18,6,2,6,11,1,9,28,13,0,1,6,1,1,5,0,0,7,2,11,0,0,11,5,0,2,10,7,1,9,4,7,0,0,3,1,0,6,4,6,4,1,1,2,2,1,0,0,2,0,9,1,2,7,2,4,1,2,0,0,5,3,11,1,0,0,3,0,1,1,5,2,1,4,1,1,5,3,7
満足度,0.000762229250436818,45,0,0,7,0,68,0,0,0,0,10,1,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,2,3,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
使い勝手,0.000555502887146109,0,12,17,0,7,0,10,4,10,5,0,4,15,4,12,4,0,1,1,6,0,6,1,5,5,1,0,0,2,5,3,0,0,3,3,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,5,1,0,0,1,1,1,0,1,0,1,1,1,1,0
操作性,0.000505277384367855,0,4,4,3,6,1,8,12,6,10,0,11,4,3,3,5,2,1,11,2,0,2,6,3,0,9,0,1,1,6,9,0,0,4,2,0,1,8,2,0,3,0,2,0,0,5,1,0,1,5,1,2,0,2,3,1,6,0,1,0,0,3,0,1,0,0,1,0,3,0,2,0,3,2,1,1,0,1,0,0,1,2,4,0,4,0,1,1,3,3
携帯性,0.000459814224082723,0,11,6,1,3,0,2,12,3,12,0,11,5,3,1,6,5,1,12,1,0,3,2,0,0,2,0,0,1,3,0,0,1,10,1,1,3,1,3,0,1,2,4,2,1,4,0,0,1,0,1,1,1,5,2,0,17,0,1,0,0,0,0,0,0,1,7,0,0,0,1,0,5,0,0,0,0,1,0,1,0,1,3,2,5,0,0,1,1,2
持ち,0.000421281976929958,0,0,22,0,30,0,0,0,5,6,0,7,4,0,1,0,0,9,0,2,0,6,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,3,0,0,5,2,6,0,0,0,0,0,0,0,9,1,6,2,2,1,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,5,0,0,1,1,0,1,0,0,0,2,1,1,0,5,2,0,1
ホールド感,0.000353812449884097,0,3,3,1,5,1,5,6,14,4,0,9,2,0,1,5,0,1,4,1,0,0,0,1,0,4,0,1,0,9,0,0,0,2,3,0,1,1,7,1,3,0,1,3,0,2,2,0,5,3,3,0,1,1,3,0,4,0,4,0,0,0,0,0,3,1,2,0,2,0,1,0,1,2,0,1,1,2,0,0,0,0,2,1,3,0,2,1,2,2
