"",weight,の高い,は高いです,が高い,は高いと,が高いです,に優れた,の良い,が良い,は高い,を考えると,が高いと,が高く,は良いと,は良いです,は最高です,も高く,は5です,はしました,があります,が高いので,も良く,はありません,は思います,が良く,は高く,は満点です,が悪い,を考えれば,も高い,のある,が良いです,もよく,はあります,はしましたが,があり,は最高だと,がいい,も良いと,がよい,がいいです,が良いと,がある,はあると,をしました,が低い,は高いですね,があると,はいいです,は最高ですね,は5と,も良いです,の強い,に優れていると,は抜群,を持った,はいいと,に優れている,は大満足です,のよい,も良い,から考えると,はいいですね,は感じです,はします,もありません,は抜群だと,で言えば,がよく,は抜群です,が多い,が高かった,はありますが,が良いので,も高いので,は素晴らしいです,といい,は良好です,はものです,を含め,をしたのは,も高いです,もいいですね,がいいので,は低いです,もいいです,は良く,もいい,が素晴らしい,も含めて,は良い,が得られる,は高いですが,は5ですが,の取れた,はよいと,はありませんが,もあり,が悪いと,を考えたら,が悪く
weight,"",0.005915289051427,0.00275394130433153,0.00246503159072955,0.00181277608836352,0.00138084353769201,0.00110064791106963,0.0010474964484353,0.000847404621139686,0.00074948365532013,0.000746157054799834,0.000735191273416792,0.000709080612862276,0.000626921801979213,0.000583758530480583,0.000538769087142128,0.000527974623661569,0.000524815783935139,0.000523406830171867,0.000498458432424684,0.000473044701374908,0.000469309613150086,0.000450014733754757,0.000447462840708498,0.000409447693942127,0.00039425613613501,0.000390692376023729,0.000374579097826722,0.000370631089444413,0.000338123581348153,0.000304047344249075,0.000292950927098917,0.00029153677176196,0.000284843542756205,0.000279202398521727,0.000279002522890694,0.000278605232437316,0.000267512906478135,0.000259564428990252,0.000259351708490202,0.000254340855696056,0.000246190593572945,0.000245305633307138,0.00023741452619545,0.000236434059501349,0.000228779006572558,0.000224337566027606,0.00021649206116906,0.000210598803048939,0.000206016349610848,0.000197987460860368,0.000191185835837629,0.000190701000174522,0.000189431752647873,0.00018800158743334,0.000187186462846247,0.000185423858810658,0.000182517166083661,0.00017644053510136,0.000175725733412599,0.000174361132928692,0.000172569094925623,0.000171371507229136,0.000168465529179326,0.000168439499367413,0.000164845429233097,0.000163995039219067,0.000163588750373724,0.000161540915767922,0.000161003666213265,0.000160872833236264,0.000159814317751708,0.000157136280116142,0.000153784165899623,0.000150643419914513,0.000150426524668665,0.000146047800800855,0.000145071036029736,0.00014300680384373,0.000141486324549888,0.00014097659631395,0.000138939341169472,0.000135280383535012,0.000134986822158202,0.00013457463569477,0.000133946277138275,0.000132547402266008,0.000132243454433613,0.00013105974412552,0.000127209273288253,0.000124043243513031,0.00012289605641431,0.000122809844561144,0.000122485786104663,0.000121176887105956,0.000120228625122973,0.000119935180232015,0.000116818128601953,0.00011565044004661,0.000114670757426089,0.000113420118790334
満足度,0.00758816773500194,45,68,7,10,16,0,0,0,13,0,3,2,0,0,3,0,14,11,0,2,0,1,1,0,6,10,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,2,4,1,5,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,2,1,0,0,0,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0
コストパフォーマンス,0.00610560590934963,36,4,14,24,4,33,5,5,2,10,6,4,8,4,9,4,0,0,0,2,1,0,2,1,0,0,0,3,3,0,0,1,0,0,0,9,1,2,3,0,2,0,1,0,0,2,0,1,3,0,0,0,7,4,3,1,3,0,0,0,3,3,0,0,0,5,1,0,2,0,0,0,0,1,3,1,0,0,3,0,1,3,1,0,0,0,1,2,2,0,0,1,0,0,2,0,0,0,2,0
完成度,0.00244743638135662,37,3,11,7,1,0,0,0,1,0,3,4,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
画質,0.00181894885815629,0,0,0,0,0,1,2,24,0,2,0,0,19,13,7,0,1,3,1,0,14,18,28,6,2,0,12,2,0,0,6,11,6,1,1,1,9,6,1,6,13,0,0,0,1,0,1,11,1,1,5,0,0,0,0,11,0,4,1,10,0,2,2,7,6,0,1,1,1,0,0,9,5,0,4,3,2,11,0,1,0,1,1,0,9,7,4,1,1,7,6,0,1,0,1,4,1,4,0,0
評価,0.00158178322256611,12,2,4,0,2,0,1,0,0,0,3,4,1,0,1,0,6,4,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,14,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
質感,0.00154200089444973,5,2,9,2,2,0,1,4,2,0,2,6,4,4,4,4,0,0,3,0,5,2,2,5,0,0,1,0,0,2,2,2,6,0,4,0,4,3,1,1,1,1,0,0,1,0,2,5,0,0,2,0,0,0,1,2,0,0,0,6,0,1,4,1,0,0,0,1,0,0,0,3,0,0,1,4,1,1,0,0,2,0,0,0,5,0,0,1,3,0,0,0,0,0,0,1,3,0,0,0
携帯性,0.00148855090631711,0,0,1,0,0,5,11,6,0,3,1,0,12,3,1,1,0,4,0,1,12,11,12,2,0,1,3,3,0,0,5,6,1,1,0,0,1,2,3,1,1,0,0,2,0,0,1,10,0,0,2,0,1,6,0,0,4,1,0,1,1,0,2,0,1,0,1,0,17,0,0,0,1,0,1,1,3,2,0,4,0,1,5,0,1,4,0,0,0,3,0,0,1,0,2,7,0,2,1,2
バランス,0.00140512362548416,2,0,2,0,1,0,20,14,0,8,0,0,8,5,0,0,0,0,0,0,6,0,0,10,0,0,6,5,0,0,7,5,0,0,0,1,4,11,3,3,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,6,1,0,2,0,1,0,0,0,5,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,3,2,0,1,2,0,0,0,27,1,0,0,4,1,2
操作性,0.00121512571872694,0,1,3,0,0,2,4,4,0,3,0,1,10,6,1,0,0,5,0,0,12,11,11,8,0,2,6,1,0,0,4,5,1,0,1,0,1,6,2,3,2,0,0,3,0,0,0,4,0,0,9,0,1,0,0,9,0,0,0,8,0,1,3,0,1,0,0,3,6,0,0,3,2,0,0,1,6,2,0,5,0,0,2,0,3,2,5,1,1,2,0,0,0,0,0,1,0,0,0,0
