"",weight,の高い,の良い,が良い,が悪い,は高いです,が高い,は良いと,は高いと,は良いです,も良く,に優れた,が良く,はありません,は思います,もよく,が良いです,を考えると,が高いです,がいいです,がいい,は最高です,が良いと,はいいです,も良いです,がよい,が高く,も良いと,がよく,は高い,が高いと,も高く,は良好です,はいいと,が弱いです,はしました,もいいです,のよい,は良い,も良い,が良いので,もありません,は抜群です,は良く,を考えれば,があります,が高いので,はあります,は感じです,は5です,がいいので,もいい,は最高だと,があり,はいいですね,が悪いと,が悪く,の取れた,はありますが,が悪いです,はします,は高く,はありませんが,も良好です,は満点です,も高い,も良いので,がいいと,に優れていると,は良いですね,には満足しています,は素晴らしいです,といい,も満足しています,のある,もいいですね,は良いのですが,をする,は抜群,が良くて,は思いますが,は最高ですね,はあり,は満足しています,にありません,はよいと,はものです,は悪いです,に優れている,になります,は大満足です,をしました,はしましたが,もあり,も含めて,があると,は抜群だと,をします,は満足です,がいいですね,がある
weight,"",0.0389853676385531,0.0235293501217665,0.0208335302808442,0.0183553162342973,0.0178874593819905,0.0170174533670479,0.0147462425616815,0.0147381232374384,0.0142930571790391,0.0139735663543647,0.0133780182606438,0.0124181885366884,0.0113202672804565,0.0101796738436394,0.00998109787105189,0.00987599753109938,0.00964115914558971,0.00838784377651483,0.00803984745569215,0.00766058679614582,0.00754733825577316,0.00704360474012227,0.00658219698072855,0.00633020309114865,0.00623762530550797,0.00617451512863366,0.00587972161533259,0.0057620988582249,0.00558703804501877,0.00555600168951601,0.00547312137712243,0.00546386933310281,0.00532242441145915,0.00518340531270586,0.00498444540681506,0.00493618199825773,0.00476014367762873,0.00464706432227099,0.00462863603208416,0.00456405765410588,0.00440835067364976,0.00425127671230484,0.00419900140559536,0.00415811212232111,0.004130235773892,0.00408081628546498,0.00390115241495567,0.0038885997953426,0.00382954122485714,0.00374967092889582,0.00366019632086963,0.00364703957117514,0.00360771236701034,0.00347615731188889,0.00347516559564683,0.00338556823225,0.00334424093720347,0.00330135711951599,0.00325500145285214,0.00321452826869534,0.00314578851178517,0.00310866591903543,0.00308712621038876,0.00307792696653759,0.00307087463613196,0.00297019908012945,0.00284356564125806,0.00283257593341769,0.00275428556642999,0.00272391057792397,0.00271860397881534,0.00267741269899598,0.00264436831043539,0.00262687614744077,0.00259291626303483,0.00257543694511067,0.00256846414810695,0.0025420763936229,0.00253213216897074,0.00250582451851579,0.00250130209041629,0.00248743890054004,0.00247244306990362,0.00247066928957636,0.00245969765328941,0.00244062121032854,0.00243857035838204,0.00239234485506687,0.00235165925459702,0.00235013990251888,0.00233630172824704,0.00233536301891255,0.00231222478160487,0.00227058206598322,0.00220063710289729,0.00219621034673811,0.00218973050108044,0.00218900825667857,0.00218437535744095,0.00217609894433469
コストパフォーマンス,0.0587334393386971,36,5,5,0,4,14,8,24,4,1,33,1,0,2,1,0,10,4,0,1,9,2,1,0,3,4,2,0,2,6,4,0,1,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,0,1,1,9,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,7,1,0,3,1,0,0,3,0,0,4,0,0,3,0,0,0,2,0,0,3,0,0,0,0,0,2,0,5,0,1,0,0
画質,0.0485916791910436,0,2,24,12,0,0,19,0,13,14,1,6,18,28,11,6,2,0,6,9,7,13,11,5,1,0,6,1,0,0,0,2,11,0,3,9,1,7,10,5,6,1,7,2,1,0,6,2,1,1,4,1,1,2,4,0,0,9,4,7,2,4,2,0,0,0,1,0,5,12,4,3,11,0,1,4,2,0,2,7,1,8,8,3,1,11,3,0,5,4,0,1,1,1,1,0,0,7,1,0
満足度,0.0484862890420149,45,0,0,0,68,7,0,10,0,0,0,0,1,1,0,0,0,16,0,0,3,0,0,0,0,2,0,0,13,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,1,0,2,6,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,4,6,0,0,0,0,1,0,0,0
バランス,0.0356698061862349,2,20,14,6,0,2,8,0,5,6,0,10,0,0,5,7,8,1,3,4,0,9,0,4,3,0,11,5,0,0,0,3,4,0,0,0,6,2,1,2,0,1,3,5,0,0,0,0,0,0,2,1,0,2,4,2,27,0,2,1,0,0,0,0,0,3,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
携帯性,0.0306374964908351,0,11,6,3,0,1,12,0,3,12,5,2,11,12,6,5,3,0,1,1,1,1,10,2,3,0,2,0,0,1,1,3,0,0,4,1,0,3,1,1,1,17,4,3,0,1,1,2,0,5,0,0,0,0,2,2,0,0,1,0,0,7,0,1,0,1,1,1,1,1,1,1,0,0,1,5,0,6,1,2,0,0,2,1,2,2,5,4,0,1,2,1,0,0,1,0,0,2,0,0
操作性,0.0288904380622577,0,4,4,6,1,3,10,0,6,12,2,8,11,11,5,4,3,0,3,1,1,2,4,9,2,1,6,3,0,0,0,6,9,0,5,3,0,2,8,2,1,6,2,1,0,0,1,3,0,2,5,0,1,1,0,0,0,3,2,0,0,1,3,2,0,1,0,1,1,1,0,1,2,0,0,4,0,0,0,3,0,1,1,3,0,2,3,0,0,0,3,0,0,1,0,0,0,2,1,0
使い勝手,0.0270662253255648,0,12,17,7,0,0,5,0,10,4,0,10,4,1,4,15,4,0,12,1,2,6,3,1,6,0,1,5,0,0,0,5,3,0,0,1,5,1,1,3,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0
持ち,0.0221327083399742,0,0,22,30,0,0,6,0,5,0,0,0,7,0,0,4,0,0,1,9,1,2,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,1,2,0,0,0,0,2,0,6,0,0,0,2,5,6,0,1,9,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
質感,0.0204433001017994,5,1,4,1,2,9,4,2,4,5,0,5,2,2,2,2,0,2,1,4,4,1,5,2,1,6,3,1,2,2,4,1,2,0,0,5,0,0,6,0,0,0,0,0,3,0,6,4,0,0,0,0,4,1,0,0,0,3,0,1,0,1,2,0,0,0,0,0,1,2,1,4,1,2,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,3,3,2,0,0,1,2,1
