"",weight,が良い,が悪い,の良い,は良いです,も良く,が良く,が良いです,は良いと,はありません,がいい,がいいです,がよい,もよく,が悪いです,がよく,が良いと,も良いです,が悪く,も良い,もいいです,が悪いと,は思います,は良い,がいいので,はいいと,も良いと,は良好です,を考えると,が良いので,は良く,はいいです,が良くない,にありません,はいいですね,は悪いです,のよい,が悪いので,も良いし,の取れた,も良いので
weight,"",0.0492350490973238,0.0419652930513941,0.0190308991453741,0.0176025167072008,0.0166581253364418,0.0160200610091361,0.0149669275658746,0.0149655946630677,0.0135075187135493,0.0131431754251247,0.0123673596548758,0.00981769317750645,0.0092453900156447,0.00878150576101723,0.00832790531913414,0.00801129284420923,0.00766520052882899,0.00746084332006369,0.00696066296761708,0.00690869243915508,0.00647487196151919,0.00616991316870334,0.00610185085640659,0.00607045521477073,0.00600681223782828,0.00586848047535943,0.0056451085485579,0.00560384595216368,0.00530200709175285,0.00505455427346682,0.00486135308326249,0.00479228286402976,0.00474059870982298,0.00463449719304867,0.00459654031237021,0.00450380906470236,0.00449168203972447,0.004382914540636,0.00417848800055265,0.00399804499314215
画質,0.0525727680670413,24,12,2,13,14,6,6,19,18,9,6,1,11,4,1,13,5,0,10,9,4,28,7,1,11,6,2,2,5,7,11,1,3,2,3,1,2,2,0,0
持ち,0.0454070190939459,22,30,0,5,0,0,4,6,7,9,1,6,0,9,1,2,0,6,0,0,5,0,3,6,0,0,0,0,2,2,1,5,0,2,5,0,4,0,0,0
バランス,0.0435472198834068,14,6,20,5,6,10,7,8,0,4,3,3,5,2,5,9,4,2,1,0,4,0,2,0,4,11,3,8,2,3,0,1,0,2,1,6,1,0,27,3
使い勝手,0.0355174925307667,17,7,12,10,4,10,15,5,4,1,12,6,4,2,5,6,1,1,1,1,1,1,1,1,3,1,5,4,3,1,3,1,1,0,0,5,0,0,0,0
操作性,0.029224576056204,4,6,4,6,12,8,4,10,11,1,3,2,5,2,3,2,9,0,8,3,0,11,2,2,9,6,6,3,2,2,4,1,3,1,3,0,0,1,0,1
携帯性,0.0247470338648382,6,3,11,3,12,2,5,12,11,1,1,3,6,1,0,1,2,2,1,1,2,12,3,5,0,2,3,3,1,4,10,0,1,0,5,0,2,1,0,1
ホールド感,0.0204222791547614,3,5,3,14,6,5,2,4,9,1,1,0,5,0,1,1,4,3,1,3,0,4,7,1,0,0,9,0,3,1,2,2,2,0,1,0,0,0,0,4
写り,0.0140662369621174,4,2,7,4,4,4,1,5,6,5,1,0,1,0,0,2,0,0,2,0,1,4,3,2,2,2,1,0,1,2,7,0,2,4,0,1,0,1,0,0
デザイン,0.0128891078262819,7,0,1,2,7,3,2,11,0,1,0,1,1,0,1,1,2,0,2,3,0,11,2,0,6,4,1,0,2,0,3,0,0,0,0,0,0,2,0,0
質感,0.0119432892185094,4,1,1,4,5,5,2,4,2,4,1,1,2,0,1,1,2,0,6,5,0,2,0,0,2,3,1,0,0,0,5,0,0,1,0,0,0,0,0,0
レスポンス,0.011712266911652,8,6,2,1,6,6,0,1,1,1,0,0,0,0,4,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
気持ち,0.0107048931505215,7,0,13,0,0,0,2,0,1,9,9,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
もち,0.00803489788954069,1,7,0,1,0,0,1,1,0,1,0,1,0,2,0,1,1,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0
コストパフォーマンス,0.00763575191565681,5,0,5,4,1,1,0,8,0,1,0,3,1,0,0,2,0,0,0,0,0,2,0,1,1,2,0,10,0,0,1,0,0,3,0,0,0,0,0,0
発色,0.00724497633530842,0,2,1,2,3,3,0,0,1,3,0,0,6,0,1,0,4,0,0,1,0,2,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0
描写,0.00624860473355845,0,0,2,5,6,1,0,0,4,1,1,0,0,0,0,4,3,0,1,1,0,5,1,1,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,1
レンズ,0.00587993684667917,1,1,5,10,1,1,0,2,8,1,0,0,0,0,0,2,0,0,1,0,0,6,1,0,3,0,0,0,0,1,4,0,1,1,0,0,0,0,0,0
色乗り,0.0057329208212875,1,0,2,1,5,2,1,0,0,0,2,0,3,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0
性能,0.00561888464567174,2,0,5,0,3,0,0,3,1,2,0,4,0,0,0,1,0,0,0,0,0,4,1,1,3,0,0,12,1,0,0,0,1,0,0,0,0,0,0,0
感触,0.00558140395336088,2,0,0,6,0,1,2,1,2,1,0,1,1,1,0,1,1,0,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
評判,0.00545054255346932,1,0,14,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,6,1,0,0,0,0,0,3,0,0,0,0
相性,0.00514840504547562,2,0,1,0,3,1,2,1,1,0,0,1,0,0,0,2,3,0,0,2,0,0,0,0,2,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0
精度,0.00504502352264929,2,2,2,1,1,2,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2
ホールド性,0.00500192220620468,1,2,0,2,0,4,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
視認性,0.00497340471991713,2,1,2,0,2,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0
位置,0.00419577046262367,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色,0.00409090833043946,1,2,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
感じ,0.00405922903979829,4,0,0,3,0,0,1,1,6,1,2,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
重さ,0.00390165861052485,3,0,0,2,2,0,0,0,1,2,1,1,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0
AF精度,0.00364225540961047,0,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,2,1,0,0
解像度,0.0035447809715004,1,1,0,1,1,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
色のり,0.00345429376493275,0,0,1,1,0,1,1,1,0,0,1,0,6,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
不満,0.00340924593728561,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画像,0.00337364312199322,1,1,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1
