"",weight,が良い,が悪い,の良い,は良いです,も良く,が良く,が良いです,は良いと,はありません,がいい,がいいです,がよい,もよく,が悪いです,がよく,が良いと,も良いです,が悪く,もいいです,も良い,が悪いと,はいいと,は思います,は良い,がいいので,も良いと,を考えると,は良好です,が良いので,は良く,はいいです,が良くない,にありません,のよい,は悪いです,はいいですね,が悪いので,も良いし,もなく,の取れた,も良いので,がいいと,が良くて,が高い,の高い,は感じです,は方だと,が感じます,はよいです,も良好です
weight,"",0.0513181725750491,0.0450563960353155,0.0226631320927789,0.0179813393875581,0.0169256034811652,0.0160795810822164,0.0152655352356485,0.0150723780475177,0.0138777242182437,0.0136053900761531,0.0123673596548758,0.0102500333857574,0.009290600323252,0.00886224521535323,0.00832790531913414,0.00824480098742462,0.0079165285034999,0.00771125857839593,0.00723747180609259,0.00709320176123291,0.00647487196151919,0.00644241676797368,0.00625099801565163,0.00611376234879222,0.00610120047279304,0.00591630032882144,0.00576488640928907,0.0056451085485579,0.00538108724144337,0.0051883274581871,0.00490870097071873,0.00479228286402976,0.00475795749521607,0.00475607872977727,0.00466188160863559,0.00463449719304867,0.00457055795781301,0.004382914540636,0.00425564684368369,0.00417848800055265,0.00406046964084974,0.00393174998316729,0.0037937666630636,0.00361264613232413,0.00359749814086578,0.00354142033992626,0.00329553706471282,0.00329227742438693,0.00319790728560017,0.00308057908173232
画質,0.056228451313386,24,12,2,13,14,6,6,19,18,9,6,1,11,4,1,13,5,0,9,10,4,11,28,7,1,6,2,2,5,7,11,1,3,1,3,2,2,2,5,0,0,1,2,0,0,2,2,0,2,2
持ち,0.0486144136071648,22,30,0,5,0,0,4,6,7,9,1,6,0,9,1,2,0,6,0,0,5,0,0,3,6,0,0,0,2,2,1,5,0,0,5,2,4,0,0,0,0,1,1,0,0,2,2,1,2,0
バランス,0.0466226482534715,14,6,20,5,6,10,7,8,0,4,3,3,5,2,5,9,4,2,0,1,4,4,0,2,0,11,8,3,2,3,0,1,0,6,1,2,1,0,1,27,3,4,1,2,2,0,0,3,1,0
使い勝手,0.0378445500544425,17,7,12,10,4,10,15,5,4,1,12,6,4,2,5,6,1,1,1,1,1,3,1,1,1,1,4,5,3,1,3,1,1,5,0,0,0,0,1,0,0,3,1,0,0,0,0,1,0,1
操作性,0.031784300683464,4,6,4,6,12,8,4,10,11,1,3,2,5,2,3,2,9,0,3,8,0,9,11,2,2,6,3,6,2,2,4,1,3,0,3,1,0,1,2,0,1,0,0,3,0,3,0,0,4,3
携帯性,0.0266841619371474,6,3,11,3,12,2,5,12,11,1,1,3,6,1,0,1,2,2,1,1,2,0,12,3,5,2,3,3,1,4,10,0,1,0,5,0,2,1,1,0,1,1,1,1,0,2,0,0,3,0
ホールド感,0.0228099555165648,3,5,3,14,6,5,2,4,9,1,1,0,5,0,1,1,4,3,3,1,0,0,4,7,1,0,0,9,3,1,2,2,2,0,1,0,0,0,0,0,4,1,1,1,0,3,1,1,2,2
写り,0.0156009631493609,4,2,7,4,4,4,1,5,6,5,1,0,1,0,0,2,0,0,0,2,1,2,4,3,2,2,0,1,1,2,7,0,2,1,0,4,0,1,0,0,0,1,2,0,0,1,1,0,0,0
デザイン,0.014192616497295,7,0,1,2,7,3,2,11,0,1,0,1,1,0,1,1,2,0,3,2,0,6,11,2,0,4,0,1,2,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,5,1,0,1,0
