"",weight,が悪い,が良い,の良い,は良いです,も良く,が良く,が良いです,は良いと,はありません,がいい,がいいです,がよい,もよく,が悪いです,がよく,が良いと,も良いです,が悪く,もいいです,も良い,が悪いと,はいいと,は思います,は良い,がいいので,も良いと,を考えると,は良好です,が良いので,は良く,が良くない,はいいです,にありません,のよい,は悪いです,はいいですね,が悪いので,も良いし,もなく,の取れた,も良いので,がいいと,が良くて,が高い,の高い,は感じです,は方だと,が感じます,はよいです,も良好です,がよいです,が悪いのが,は最高です,もありません,のとれた,は抜群です,が悪いのと,はします,がいまいち,も満足しています
weight,"",0.0535306169031348,0.0513181725750491,0.0226631320927789,0.0181082430259684,0.017195471739636,0.0162099347836654,0.0152655352356485,0.0150702947087205,0.0138777242182437,0.0136053900761531,0.0124594428355158,0.0103544909096774,0.00930920533105479,0.00886224521535323,0.00832790531913414,0.0082713140564355,0.00793864643873644,0.00777912227909904,0.00748189899986634,0.00729207702369903,0.00650354489320258,0.00644241676797368,0.00638944142671609,0.0063585979945493,0.00610120047279304,0.00593758220032852,0.00576488640928907,0.0056451085485579,0.00538108724144337,0.00521147339745145,0.00501583817276714,0.00490870097071873,0.00475795749521607,0.00475607872977727,0.00466188160863559,0.00463449719304867,0.00457055795781301,0.004382914540636,0.00431981005852459,0.00417848800055265,0.00406046964084974,0.00393174998316729,0.0037937666630636,0.00367880775942768,0.00362398172621249,0.00356802291907293,0.00334109895161973,0.00329227742438693,0.00319790728560017,0.00308057908173232,0.00306037775935563,0.00300761248731903,0.00299344281893344,0.00299233202329244,0.00294041748187038,0.00280569484774081,0.00276958543066584,0.00275666241624094,0.00270583816541903,0.00256364029016309
画質,0.0611120498162686,12,24,2,13,14,6,6,19,18,9,6,1,11,4,1,13,5,0,9,10,4,11,28,7,1,6,2,2,5,7,1,11,3,1,3,2,2,2,5,0,0,1,2,0,0,2,2,0,2,2,0,0,7,6,0,1,0,7,2,11
持ち,0.0564423254771492,30,22,0,5,0,0,4,6,7,9,1,6,0,9,1,2,0,6,0,0,5,0,0,3,6,0,0,0,2,2,5,1,0,0,5,2,4,0,0,0,0,1,1,0,0,2,2,1,2,0,1,3,1,0,0,1,3,2,0,0
バランス,0.0521806085518228,6,14,20,5,6,10,7,8,0,4,3,3,5,2,5,9,4,2,0,1,4,4,0,2,0,11,8,3,2,3,1,0,0,6,1,2,1,0,1,27,3,4,1,2,2,0,0,3,1,0,0,0,0,0,19,1,0,1,0,1
使い勝手,0.0424182352535196,7,17,12,10,4,10,15,5,4,1,12,6,4,2,5,6,1,1,1,1,1,3,1,1,1,1,4,5,3,1,1,3,1,5,0,0,0,0,1,0,0,3,1,0,0,0,0,1,0,1,5,2,2,1,0,0,0,0,1,0
操作性,0.0342781949038911,6,4,4,6,12,8,4,10,11,1,3,2,5,2,3,2,9,0,3,8,0,9,11,2,2,6,3,6,2,2,1,4,3,0,3,1,0,1,2,0,1,0,0,3,0,3,0,0,4,3,1,0,1,1,0,6,0,0,1,2
携帯性,0.0294835548073999,3,6,11,3,12,2,5,12,11,1,1,3,6,1,0,1,2,2,1,1,2,0,12,3,5,2,3,3,1,4,0,10,1,0,5,0,2,1,1,0,1,1,1,1,0,2,0,0,3,0,0,0,1,1,0,17,1,0,0,0
ホールド感,0.0255120235892579,5,3,3,14,6,5,2,4,9,1,1,0,5,0,1,1,4,3,3,1,0,0,4,7,1,0,0,9,3,1,2,2,2,0,1,0,0,0,0,0,4,1,1,1,0,3,1,1,2,2,1,0,0,5,0,4,1,3,0,2
写り,0.0165784523226519,2,4,7,4,4,4,1,5,6,5,1,0,1,0,0,2,0,0,0,2,1,2,4,3,2,2,0,1,1,2,0,7,2,1,0,4,0,1,0,0,0,1,2,0,0,1,1,0,0,0,0,0,4,8,0,0,0,2,0,1
デザイン,0.0147137567212371,0,7,1,2,7,3,2,11,0,1,0,1,1,0,1,1,2,0,3,2,0,6,11,2,0,4,0,1,2,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,5,1,0,1,0,0,0,2,1,0,0,0,3,0,1
レスポンス,0.0146454418686377,6,8,2,1,6,6,0,1,1,1,0,0,0,0,4,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0
質感,0.0145503842352022,1,4,1,4,5,5,2,4,2,4,1,1,2,0,1,1,2,0,5,6,0,2,2,0,0,3,0,1,0,0,0,5,0,0,0,1,0,0,1,0,0,0,1,9,5,4,0,1,1,2,0,0,4,0,0,0,0,1,0,1
気持ち,0.0119769381088978,0,7,13,0,0,0,2,0,1,9,9,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
もち,0.0110283346466287,7,1,0,1,0,0,1,1,0,1,0,1,0,2,0,1,1,0,1,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
コストパフォーマンス,0.00964681879568475,0,5,5,4,1,1,0,8,0,1,0,3,1,0,0,2,0,0,0,0,0,1,2,0,1,2,10,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,14,36,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0
発色,0.00900980992412683,2,0,1,2,3,3,0,0,1,3,0,0,6,0,1,0,4,0,1,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,0,0,0,2,0,4
レンズ,0.00763356302233703,1,1,5,10,1,1,0,2,8,1,0,0,0,0,0,2,0,0,0,1,0,3,6,1,0,0,0,0,0,1,0,4,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,2,0,0,0,0,1,0,0,0,6,0,0
描写,0.00732604421679256,0,0,2,5,6,1,0,0,4,1,1,0,0,0,0,4,3,0,1,1,0,0,5,1,1,0,1,0,2,3,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
性能,0.00680610455808481,0,2,5,0,3,0,0,3,1,2,0,4,0,0,0,1,0,0,0,0,0,3,4,1,1,0,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
評判,0.00638004281130723,0,1,14,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,6,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
色乗り,0.00636386066904169,0,1,2,1,5,2,1,0,0,0,2,0,3,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
相性,0.00613332088303034,0,2,1,0,3,1,2,1,1,0,0,1,0,0,0,2,3,0,2,0,0,2,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
視認性,0.00607050469612524,1,2,2,0,2,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
感触,0.00602018498894111,0,2,0,6,0,1,2,1,2,1,0,1,1,1,0,1,1,0,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
精度,0.00572546036006408,2,2,2,1,1,2,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ホールド性,0.00557735038222646,2,1,0,2,0,4,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
不満,0.00511333283766305,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
感じ,0.00508649745778778,0,4,0,3,0,0,1,1,6,1,2,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,4,0,0
位置,0.00504758632240325,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感度,0.00499516641872093,2,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
色,0.00472407800803909,2,1,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,1,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
液晶,0.00432385702756398,0,1,1,7,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,1,1,0,0,0,1,0,1
AF精度,0.00422858514248829,2,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
重さ,0.00410016284881183,0,3,0,2,2,0,0,0,1,2,1,1,0,0,0,0,0,0,2,3,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
解像度,0.00399988801326977,1,1,0,1,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
バッテリー,0.00395390249788093,0,1,0,5,0,0,0,1,9,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,4,0,0,1,0,0,0,0,1,0,0,0,6,0,0
画像,0.00395360181536671,1,1,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
質,0.00388453565430185,2,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
色のり,0.00387833619570289,0,0,1,1,0,1,1,1,0,0,1,0,6,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
反応,0.00351467595025657,2,0,2,0,0,1,0,2,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
重量バランス,0.00339281364114466,1,0,0,0,0,3,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
操作感,0.00334858846245058,0,1,0,1,0,0,0,1,0,2,0,1,2,0,0,0,0,0,1,2,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
