"",weight,が悪い,が良い,の良い,は良いです,も良く,が良く,が良いです,は良いと,はありません,がいい,がいいです,がよい,もよく,が悪いです,がよく,が良いと,も良いです,が悪く,もいいです,も良い,は良い,が悪いと,はいいと,は思います,がいいので,も良いと,を考えると,は良好です,が良いので,は良く,はいいです,が良くない,にありません,のよい,は悪いです,はいいですね,が悪いので,も良いし,もなく,の取れた,も良いので,がいいと,が良くて,は感じです,が高い,の高い,は抜群です,は方だと,が感じます,はよいです,も良好です,がよいです,が悪いのが,は最高です,もありません,がありません,のとれた,が悪いのと,はします,がいまいち,も満足しています,は良いのですが,がいいですね,もいい,は良いですね,はありませんが,と思います,を考えれば,は悪くないです,がイマイチ
weight,"",0.0700821571180905,0.0513181725750491,0.0226631320927789,0.0182135269001758,0.0173000018963319,0.0162099347836654,0.0152655352356485,0.0150702947087205,0.0138777242182437,0.0136053900761531,0.0124594428355158,0.0103544909096774,0.00930920533105479,0.00886224521535323,0.00832790531913414,0.0082713140564355,0.00806292565836019,0.00777912227909904,0.00760871917081416,0.00742089439520349,0.00686680636699427,0.00650354489320258,0.00644241676797368,0.00638944142671609,0.00610120047279304,0.00593758220032852,0.00576488640928907,0.0056451085485579,0.00538108724144337,0.00521147339745145,0.00516763423634381,0.00501583817276714,0.00475795749521607,0.00475607872977727,0.00466188160863559,0.00463449719304867,0.00457055795781301,0.004382914540636,0.00431981005852459,0.00417848800055265,0.00406046964084974,0.00393174998316729,0.0037937666630636,0.00374764104522361,0.00367880775942768,0.00362398172621249,0.00336278226719812,0.00334109895161973,0.00329227742438693,0.00319790728560017,0.00308057908173232,0.00306037775935563,0.00300761248731903,0.00299344281893344,0.00299233202329244,0.0029675934058654,0.00294041748187038,0.00276958543066584,0.00275666241624094,0.00270583816541903,0.00256364029016309,0.00253625276410472,0.00251645050241174,0.00250145516833788,0.00250120020285519,0.00246690618188132,0.00238501781983329,0.00238367750093131,0.00230850520828914,0.00230796005768935
画質,0.065574762326946,12,24,2,13,14,6,6,19,18,9,6,1,11,4,1,13,5,0,9,10,7,4,11,28,1,6,2,2,5,7,11,1,3,1,3,2,2,2,5,0,0,1,2,2,0,0,1,2,0,2,2,0,0,7,6,0,0,0,7,2,11,4,1,4,5,4,3,2,0,1
持ち,0.0627131551795253,30,22,0,5,0,0,4,6,7,9,1,6,0,9,1,2,0,6,0,0,3,5,0,0,6,0,0,0,2,2,1,5,0,0,5,2,4,0,0,0,0,1,1,2,0,0,1,2,1,2,0,1,3,1,0,1,0,3,2,0,0,1,0,0,2,1,0,0,0,0
バランス,0.053960220013801,6,14,20,5,6,10,7,8,0,4,3,3,5,2,5,9,4,2,0,1,2,4,4,0,0,11,8,3,2,3,0,1,0,6,1,2,1,0,1,27,3,4,1,0,2,2,1,0,3,1,0,0,0,0,0,1,19,0,1,0,1,0,1,2,1,0,0,5,0,0
使い勝手,0.0454970086468783,7,17,12,10,4,10,15,5,4,1,12,6,4,2,5,6,1,1,1,1,1,1,3,1,1,1,4,5,3,1,3,1,1,5,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,1,5,2,2,1,1,0,0,0,1,0,0,4,1,1,0,0,0,3,0
操作性,0.0369386546519187,6,4,4,6,12,8,4,10,11,1,3,2,5,2,3,2,9,0,3,8,2,0,9,11,2,6,3,6,2,2,4,1,3,0,3,1,0,1,2,0,1,0,0,3,3,0,6,0,0,4,3,1,0,1,1,0,0,0,0,1,2,4,1,5,1,1,0,1,0,1
携帯性,0.0315411636719234,3,6,11,3,12,2,5,12,11,1,1,3,6,1,0,1,2,2,1,1,3,2,0,12,5,2,3,3,1,4,10,0,1,0,5,0,2,1,1,0,1,1,1,2,1,0,17,0,0,3,0,0,0,1,1,0,0,1,0,0,0,5,0,0,1,7,0,3,0,0
ホールド感,0.028023828652584,5,3,3,14,6,5,2,4,9,1,1,0,5,0,1,1,4,3,3,1,7,0,0,4,1,0,0,9,3,1,2,2,2,0,1,0,0,0,0,0,4,1,1,3,1,0,4,1,1,2,2,1,0,0,5,1,0,1,3,0,2,3,0,3,1,2,2,1,1,1
写り,0.0176957534110079,2,4,7,4,4,4,1,5,6,5,1,0,1,0,0,2,0,0,0,2,3,1,2,4,2,2,0,1,1,2,7,0,2,1,0,4,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,4,8,0,0,0,2,0,1,1,0,3,0,0,0,2,1,0
デザイン,0.0163706967522379,0,7,1,2,7,3,2,11,0,1,0,1,1,0,1,1,2,0,3,2,2,0,6,11,0,4,0,1,2,0,3,0,0,0,0,0,0,2,0,0,0,1,0,5,0,0,0,1,0,1,0,0,0,2,1,1,0,0,3,0,1,2,4,2,2,2,7,0,1,0
