"",weight,が悪い,が良い,の良い,は良いです,も良く,が良く,が良いです,は良いと,はありません,がいい,がいいです,がよい,もよく,が悪いです,がよく,が良いと,も良いです,もいいです,が悪く,も良い,は良い,が悪いと,はいいと,は思います,がいいので,も良いと,を考えると,は良好です,が良いので,は良く,はいいです,が良くない,にありません,のよい,は悪いです,はいいですね,が悪いので,も良いし,もなく,の取れた,も良いので,がいいと,が高い,が良くて,は感じです,の高い,もありません,は抜群です,は方だと,が感じます,も良好です,はよいです,がよいです,が悪いのが,は最高です,がありません,のとれた,が悪いのと,はします,がいまいち,が弱いです,を考えれば,も満足しています,は良いのですが,がいいですね,もいい,は良いですね,はありませんが,と思います,は悪くないです,がイマイチ,には満足しています,はありますが,も悪くなく,が悪いという,が悪かったので,がある,にありますが,も悪い,は感じません
weight,"",0.0990087844234817,0.0513181725750491,0.0227719910888262,0.0182135269001758,0.0173000018963319,0.0167769809186712,0.0152655352356485,0.0150702947087205,0.0138777242182437,0.0136053900761531,0.0126366826786548,0.0103544909096774,0.00930920533105479,0.00903191879511597,0.00872286418925784,0.00864979327647304,0.00806292565836019,0.0077857486644545,0.00777912227909904,0.00742089439520349,0.00686680636699427,0.00650354489320258,0.00644241676797368,0.00638944142671609,0.00610120047279304,0.00593758220032852,0.00592070265528819,0.00581671967873558,0.00538108724144337,0.00521147339745145,0.00516763423634381,0.00501583817276714,0.00494195565401459,0.00475607872977727,0.00466188160863559,0.00463449719304867,0.00457055795781301,0.004382914540636,0.00431981005852459,0.00417848800055265,0.00406046964084974,0.00393174998316729,0.00381889008702067,0.0037937666630636,0.00374764104522361,0.00362398172621249,0.00342374445515029,0.00336278226719812,0.00334109895161973,0.00329227742438693,0.00326678002056654,0.00319790728560017,0.00306037775935563,0.00300761248731903,0.00299344281893344,0.0029675934058654,0.00294041748187038,0.00276958543066584,0.00275666241624094,0.00270583816541903,0.00269730690013741,0.00268073350280694,0.00256364029016309,0.00253625276410472,0.00251645050241174,0.00250145516833788,0.00250120020285519,0.00246690618188132,0.00238501781983329,0.00230850520828914,0.00230796005768935,0.0022880656164185,0.0022816546123147,0.00227132550431642,0.00225724127335185,0.00225469878296979,0.0022419148181853,0.00221417483836049,0.00221183949887706,0.00220743407985238
持ち,0.0755222093600068,30,22,0,5,0,0,4,6,7,9,1,6,0,9,1,2,0,0,6,0,3,5,0,0,6,0,0,0,2,2,1,5,0,0,5,2,4,0,0,0,0,1,0,1,2,0,0,1,2,1,0,2,1,3,1,1,0,3,2,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,3,2,1,0,0,0
画質,0.0723852691903853,12,24,2,13,14,6,6,19,18,9,6,1,11,4,1,13,5,9,0,10,7,4,11,28,1,6,2,2,5,7,11,1,3,1,3,2,2,2,5,0,0,1,0,2,2,0,6,1,2,0,2,2,0,0,7,0,0,0,7,2,0,2,11,4,1,4,5,4,3,0,1,12,9,3,2,0,0,1,0,2
バランス,0.0565869207838301,6,14,20,5,6,10,7,8,0,4,3,3,5,2,5,9,4,0,2,1,2,4,4,0,0,11,8,3,2,3,0,1,0,6,1,2,1,0,1,27,3,4,2,1,0,2,0,1,0,3,0,1,0,0,0,1,19,0,1,0,0,5,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
使い勝手,0.0485380018613848,7,17,12,10,4,10,15,5,4,1,12,6,4,2,5,6,1,1,1,1,1,1,3,1,1,1,4,5,3,1,3,1,1,5,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,1,1,0,5,2,2,1,0,0,0,1,0,0,0,0,4,1,1,0,0,3,0,1,0,1,0,0,0,0,0,0
操作性,0.0396914410970577,6,4,4,6,12,8,4,10,11,1,3,2,5,2,3,2,9,3,0,8,2,0,9,11,2,6,3,6,2,2,4,1,3,0,3,1,0,1,2,0,1,0,3,0,3,0,1,6,0,0,3,4,1,0,1,0,0,0,0,1,0,1,2,4,1,5,1,1,0,0,1,1,3,1,0,0,0,0,0,0
携帯性,0.0341764442327909,3,6,11,3,12,2,5,12,11,1,1,3,6,1,0,1,2,1,2,1,3,2,0,12,5,2,3,3,1,4,10,0,1,0,5,0,2,1,1,0,1,1,1,1,2,0,1,17,0,0,0,3,0,0,1,0,0,1,0,0,0,3,0,5,0,0,1,7,0,0,0,1,0,1,4,0,0,0,0,1
ホールド感,0.0303608381218606,5,3,3,14,6,5,2,4,9,1,1,0,5,0,1,1,4,3,3,1,7,0,0,4,1,0,0,9,3,1,2,2,2,0,1,0,0,0,0,0,4,1,1,1,3,0,5,4,1,1,2,2,1,0,0,1,0,1,3,0,0,1,2,3,0,3,1,2,2,1,1,1,0,1,0,0,0,1,0,0
レスポンス,0.0195706727173584,6,8,2,1,6,6,0,1,1,1,0,0,0,0,4,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
写り,0.0192981204423911,2,4,7,4,4,4,1,5,6,5,1,0,1,0,0,2,0,0,0,2,3,1,2,4,2,2,0,1,1,2,7,0,2,1,0,4,0,1,0,0,0,1,0,2,1,0,8,0,1,0,0,0,0,0,4,0,0,0,2,0,0,2,1,1,0,3,0,0,0,1,0,3,1,1,1,0,0,1,0,0
