"",weight,の高い,の良い,が悪い,が良い,は高いです,が高い,も良く,は良いです,が良く,は高いと,は良いと,が良いです,はありません,に優れた,もよく,が弱いです,は思います,を考えると,がいいです,が高いです,がいい,も良いです,がよく,がよい,が良いと,が高く,は最高です,はいいです,も良いと,も良い,が高いと,は高い,は良好です,のよい,も高く,があります,はいいと,が良いので,もいいです,が高いので,は良い,はしました,はあります,は良く,を考えれば,があり,は抜群です,は5です,のある,が悪いと,もありません,も良好です,は感じです,がいいので,もいい,が悪く,に優れている,はいいですね,の取れた,が悪いです,は高く,は満点です,がいいと,はありますが,はします,がある,も高い,はありませんが,は悪いです,といい,があると,も良いので,は最高だと,は最高ですね,も満足しています,が良くて,にありません,はあると,がいいですね,のとれた,は抜群,は良いのですが,をしました,もいいですね,がよいです,は思いますが,はあり,は素晴らしいです,になります,はよいです,はしましたが,は良いですね,も含めて,が悪いので,はものです,はよいと,が低い,が感じます,の悪い,もなく
weight,"",0.0437423730576648,0.027520314166759,0.024973805984666,0.0246495300871507,0.0198884508607762,0.0195925829263813,0.0154895151902758,0.0154136181796132,0.0149819375733161,0.0149031794406287,0.01423463790321,0.0120227296691086,0.0119821128731001,0.0112910180828164,0.0106750447668972,0.0102637396695267,0.0101662407890669,0.00996126001225247,0.0099167181372955,0.00991145324449174,0.00896697872379826,0.00840473498892026,0.00832829649204356,0.0079261424938002,0.00775243797173916,0.00714495970280391,0.00688150671148771,0.00667230932639182,0.00651571880281016,0.00649025801562462,0.00648951072085954,0.0064507667468536,0.00608426797619968,0.0060622930051047,0.006048907729235,0.00596891161757933,0.00569750518370239,0.00559356163207463,0.00551552308064749,0.00549164599896927,0.00515035500834316,0.00500352129091854,0.00443351365472608,0.00442685862382593,0.00436978970377703,0.00434541559927857,0.00404562876471121,0.00404281740670886,0.00401737807856279,0.00396072105836316,0.00388152578216109,0.00383055983072266,0.00375820850994109,0.00372664213659655,0.00372631186671056,0.00361326105419532,0.0036058027396279,0.00360162990849233,0.00359463434531559,0.00353040692633858,0.0034643271140292,0.00319894097989713,0.00317591607077254,0.00313540572729334,0.00305772715755533,0.0030067793176074,0.0029573305540452,0.00290138154732062,0.00284721110995206,0.00284300075739404,0.00283533148453107,0.00282021636633965,0.00279670466879847,0.00274072698767536,0.00273077166424041,0.00269105188267957,0.00259091754860247,0.00257093814757117,0.0025663898941661,0.00252955750225912,0.00252263690586124,0.00251969325500366,0.00248108323492529,0.00243701008558812,0.00242817490352912,0.00242195501140996,0.00241674249088864,0.00237256990143764,0.00236818733808494,0.00235720246219797,0.00234555475980445,0.00234314886005008,0.00229930370384269,0.00229691428039137,0.00227794975452763,0.00222492826071348,0.00215643026723751,0.00214601038420664,0.00213762174299868,0.00210885955326187
コストパフォーマンス,0.0543457745527869,36,5,0,5,4,14,1,4,1,24,8,0,0,33,1,0,2,10,0,4,1,0,0,3,2,4,9,1,2,0,6,2,0,0,4,0,1,0,0,2,0,0,0,0,3,0,2,0,0,0,0,0,0,1,1,0,3,3,0,0,0,0,0,0,0,0,3,0,0,1,0,0,9,3,0,0,0,1,0,0,4,0,0,3,0,0,0,3,0,0,0,1,2,0,0,2,0,0,0,0
満足度,0.0531549260836749,45,0,0,0,68,7,0,0,0,10,0,0,1,0,0,0,1,0,0,16,0,0,0,0,0,2,3,0,0,0,3,13,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,1,0,0,0,0,6,0,0,0,2,0,1,0,0,0
画質,0.0521861964716786,0,2,12,24,0,0,14,13,6,0,19,6,18,1,11,0,28,2,6,0,9,5,1,1,13,0,7,11,6,10,0,0,2,1,0,1,11,5,9,0,7,3,6,7,2,1,1,1,0,4,6,2,2,1,4,0,0,2,0,4,2,0,1,9,7,0,0,4,3,3,1,0,1,1,11,2,3,0,1,0,0,4,0,1,0,7,8,4,5,2,1,5,1,2,11,1,1,0,2,5
バランス,0.0452404969391753,2,20,6,14,0,2,6,5,10,0,8,7,0,0,5,0,0,8,3,1,4,4,5,3,9,0,0,0,11,1,0,0,3,6,0,0,4,2,0,0,2,0,0,3,5,0,1,0,0,4,0,0,0,0,2,2,0,2,27,2,0,0,4,0,1,0,0,0,1,0,0,3,1,0,1,1,0,0,1,19,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,3,0,1
使い勝手,0.0330718662954741,0,12,7,17,0,0,4,10,10,0,5,15,4,0,4,0,1,4,12,0,1,1,5,6,6,0,2,3,1,1,0,0,5,5,0,1,3,3,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,0,0,0,0,1,5,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1
携帯性,0.0330534237458116,0,11,3,6,0,1,12,3,2,0,12,5,11,5,6,0,12,3,1,0,1,2,0,3,1,0,1,10,2,1,1,0,3,0,1,0,0,1,1,1,3,4,1,4,3,0,17,0,0,2,1,0,2,5,0,2,4,0,0,1,0,1,1,0,0,0,0,7,5,1,1,1,0,0,0,1,1,0,0,0,6,5,2,1,0,2,0,1,0,3,1,1,0,2,2,2,0,0,0,1
操作性,0.0326554202070353,0,4,6,4,1,3,12,6,8,0,10,4,11,2,5,0,11,3,3,0,1,9,3,2,2,1,1,4,6,8,0,0,6,0,0,0,9,2,3,0,2,5,1,2,1,1,6,0,0,0,1,3,3,2,5,0,0,1,0,2,0,2,0,3,0,0,0,1,3,1,0,1,0,0,2,0,3,0,1,0,0,4,3,0,1,3,1,0,0,4,0,1,1,0,2,0,0,0,1,2
持ち,0.0277213725143024,0,0,30,22,0,0,0,5,0,0,6,4,7,0,0,0,0,0,1,0,9,0,1,6,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,1,0,0,5,0,0,2,6,0,6,0,2,0,9,0,0,1,1,2,1,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,2,0,4,0,1,0,1,0,0
質感,0.0230234316600762,5,1,1,4,2,9,5,4,5,2,4,2,2,0,2,0,2,0,1,2,4,2,1,1,1,6,4,5,3,6,2,2,1,0,4,3,2,0,5,0,0,0,6,0,0,4,0,0,2,0,0,2,4,0,0,0,0,1,0,0,0,0,0,3,1,1,0,1,0,4,2,0,0,0,1,1,0,0,2,0,0,1,0,0,0,1,1,1,0,1,0,1,3,0,1,0,1,1,0,1
