"",weight,画質,持ち,バランス,使い勝手,操作性,携帯性,ホールド感,写り,デザイン,質感,レスポンス,気持ち,もち,コストパフォーマンス,発色,描写,レンズ,色乗り,性能,感触,評判,相性,精度,ホールド性,視認性,位置,色,感じ,重さ,AF精度,解像度,色のり,不満,画像,感度,質,反応,操作感,重量バランス,条件
weight,"",0.0525727680670413,0.0454070190939459,0.0435472198834068,0.0355174925307667,0.029224576056204,0.0247470338648382,0.0204222791547614,0.0140662369621174,0.0128891078262819,0.0119432892185094,0.011712266911652,0.0107048931505215,0.00803489788954069,0.00763575191565681,0.00724497633530842,0.00624860473355845,0.00587993684667917,0.0057329208212875,0.00561888464567174,0.00558140395336088,0.00545054255346932,0.00514840504547562,0.00504502352264929,0.00500192220620468,0.00497340471991713,0.00419577046262367,0.00409090833043946,0.00405922903979829,0.00390165861052485,0.00364225540961047,0.0035447809715004,0.00345429376493275,0.00340924593728561,0.00337364312199322,0.00329430183790641,0.00318964684588327,0.00314472734508893,0.00305439707460657,0.00300688405351208,0.00290940886672978
が良い,0.013363545338771,24,24,14,17,4,6,3,4,7,4,8,7,1,5,0,0,1,1,2,2,1,2,2,1,2,0,1,4,3,0,1,0,0,1,0,0,0,1,0,1
の良い,0.0120826573334412,2,0,20,12,4,11,3,7,1,1,2,13,0,5,1,2,5,2,5,0,14,1,2,0,2,0,0,0,0,1,0,1,0,0,1,4,2,0,0,2
が悪い,0.0107310575633755,12,36,6,7,6,3,5,2,0,1,6,0,7,0,2,0,1,0,0,0,0,0,2,2,1,5,2,0,0,2,1,0,0,1,2,2,2,0,1,2
が良く,0.00786460706098435,6,0,10,10,8,2,5,4,3,5,6,0,0,1,3,1,1,2,0,1,0,1,2,4,0,0,0,0,0,0,0,1,0,0,2,1,1,0,3,0
も良く,0.00774600260623576,14,7,6,4,12,12,6,6,7,5,6,0,0,1,3,6,1,5,3,0,0,3,1,0,2,0,1,0,2,1,1,0,0,0,0,1,0,0,0,0
は良いです,0.00750554962391127,13,10,5,10,6,3,14,4,2,4,1,0,1,4,2,5,10,1,0,6,0,0,1,2,0,0,0,3,2,1,1,1,0,2,0,0,0,1,0,0
が良いです,0.00672584516661332,6,7,7,15,4,5,2,1,2,2,0,2,1,0,0,0,0,1,0,2,0,2,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
は良いと,0.00665334269433915,19,8,8,5,10,12,4,5,11,4,1,0,1,8,0,0,2,0,3,1,0,1,2,0,0,0,1,1,0,0,0,1,0,0,0,0,2,1,0,0
がいいです,0.00579873638879079,6,6,3,12,3,1,1,1,0,1,0,9,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,2,1,0,0,1,0,0,0,0,1,0,1,0
