"",weight,画質,持ち,バランス,使い勝手,操作性,携帯性,ホールド感,写り,デザイン,レスポンス,質感,気持ち,もち,コストパフォーマンス,発色,レンズ,描写,性能,評判,色乗り,相性,視認性,感触,精度,ホールド性,不満,感じ,位置,感度,色,液晶,AF精度,重さ,解像度,バッテリー,画像,質,色のり,反応,重量バランス,操作感,条件,天気,音,AF,ボケ味,機能,大きさ,描写力,補正,解像感,カメラ,ボケ,見た目,ホールド,・操作性,・画質,問題,出来,ヌケ
weight,"",0.0611120498162686,0.0564423254771492,0.0521806085518228,0.0424182352535196,0.0342781949038911,0.0294835548073999,0.0255120235892579,0.0165784523226519,0.0147137567212371,0.0146454418686377,0.0145503842352022,0.0119769381088978,0.0110283346466287,0.00964681879568475,0.00900980992412683,0.00763356302233703,0.00732604421679256,0.00680610455808481,0.00638004281130723,0.00636386066904169,0.00613332088303034,0.00607050469612524,0.00602018498894111,0.00572546036006408,0.00557735038222646,0.00511333283766305,0.00508649745778778,0.00504758632240325,0.00499516641872093,0.00472407800803909,0.00432385702756398,0.00422858514248829,0.00410016284881183,0.00399988801326977,0.00395390249788093,0.00395360181536671,0.00388453565430185,0.00387833619570289,0.00351467595025657,0.00339281364114466,0.00334858846245058,0.00329230582265305,0.00326829947200608,0.00314850498534246,0.00308744374651192,0.00298756682177004,0.00298192288596765,0.00297940189640978,0.00296190955116875,0.0028909671771701,0.00286449045308774,0.00282403137386044,0.00276693723964144,0.0027306109621001,0.00265912212872792,0.00265650426180184,0.00247589468933163,0.00246374137327847,0.00241064053262853,0.00236820628797915
の良い,0.0188796665959938,2,0,20,12,4,11,3,7,1,2,1,13,0,5,1,5,2,5,14,2,1,2,0,2,0,0,0,0,1,0,1,1,0,0,0,0,4,1,2,0,0,2,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,5
が良い,0.0171916329639772,24,24,14,17,4,6,3,4,7,8,4,7,1,5,0,1,0,2,1,1,2,2,2,2,1,0,4,0,0,1,1,0,3,1,1,1,0,0,0,0,1,1,2,0,1,0,3,0,0,0,0,0,1,0,1,3,2,0,1,0
が悪い,0.0133153921516597,12,36,6,7,6,3,5,2,0,6,1,0,7,0,2,1,0,0,0,0,0,1,0,2,2,0,0,5,2,2,0,2,0,1,0,1,2,0,2,1,0,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
が良く,0.00995737901609891,6,0,10,10,8,2,5,4,3,6,5,0,0,1,3,1,1,0,0,2,1,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
も良く,0.00965313833011006,14,7,6,4,12,12,6,6,7,6,5,0,0,1,3,1,6,3,0,5,3,2,0,1,0,0,0,0,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,2,0,4,0,0,0,0,0,0,1
は良いです,0.00956259366869285,13,10,5,10,6,3,14,4,2,1,4,0,1,4,2,10,5,0,0,1,0,0,6,1,2,0,3,0,0,0,7,1,2,1,5,2,0,1,0,0,1,0,0,0,2,0,0,2,1,0,1,2,1,0,5,0,0,0,1,0
が良いです,0.00822430303687371,6,7,7,15,4,5,2,1,2,0,2,2,1,0,0,0,0,0,0,1,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,1,0
は良いと,0.00808348143067023,19,8,8,5,10,12,4,5,11,1,4,0,1,8,0,2,0,3,0,0,1,0,1,2,0,0,1,0,0,1,2,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0
はありません,0.00728477590742071,18,9,0,4,11,11,9,6,0,1,2,1,0,0,1,8,4,1,0,0,1,0,2,1,1,158,6,0,0,0,1,1,1,2,9,3,0,0,0,0,0,0,0,0,6,1,4,2,2,1,0,6,0,0,1,2,0,36,0,0
がいいです,0.00689748866392478,6,6,3,12,3,1,1,1,0,0,1,9,0,0,0,0,1,0,0,2,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
がいい,0.00645663703398886,9,10,4,1,1,1,1,5,1,1,4,9,1,1,3,1,1,2,3,0,0,0,1,0,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,2,2,0,0,2,0,0,0
もよく,0.00637324784537392,11,6,5,4,5,6,5,1,1,0,2,0,0,1,6,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,6,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
が良いと,0.00533942468653913,13,2,9,6,2,1,1,2,1,0,1,0,1,2,0,2,4,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
がよい,0.0050227662398274,1,6,3,6,2,3,0,0,1,0,1,2,1,3,0,0,0,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0
がよく,0.00468579034537562,1,1,5,5,3,0,1,0,1,4,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
も良いです,0.00448051658170109,5,5,4,1,9,2,4,0,2,0,2,0,1,0,4,0,3,0,0,2,3,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0
は思います,0.0043238461257341,28,0,0,1,11,12,4,4,11,0,2,0,0,2,2,6,5,4,0,1,0,1,0,0,1,0,0,0,1,1,5,1,1,1,3,1,0,0,0,0,0,0,0,0,2,2,1,0,0,3,0,3,0,0,0,0,0,1,1,0
を考えると,0.00413584056526644,2,0,8,4,3,3,0,0,0,0,0,0,1,10,0,0,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,8,1,1,0,0,0,0,0,0,0,0,0,0
も良いと,0.00411048690585862,6,1,11,1,6,2,0,2,4,0,3,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
のよい,0.00407786352426843,1,0,6,5,0,0,0,1,0,0,0,3,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
は良好です,0.00390837451270175,2,0,3,5,6,3,9,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいと,0.00359472165481622,11,0,4,3,9,0,0,2,6,0,2,0,2,1,0,3,0,3,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
もいいです,0.00356187129709542,9,6,0,1,3,1,3,0,3,1,5,0,1,0,1,0,1,0,0,0,2,0,3,1,0,0,2,1,0,0,1,0,2,0,1,1,0,0,0,1,1,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0
はいいです,0.00329679415628177,11,1,0,3,4,10,2,7,3,0,5,0,0,1,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,1,0,3,0,1,0,0,0,0,1,0
