"",weight,画質,持ち,バランス,使い勝手,操作性,携帯性,ホールド感,写り,デザイン,レスポンス,質感,もち,気持ち,コストパフォーマンス,発色,レンズ,描写,性能,不満,色乗り,評判,精度,視認性,感触,相性,ホールド性,位置,感じ,色,感度,液晶,AF精度,画像,質,解像度,重さ,バッテリー,色のり,反応,機能,条件,重量バランス,AF,操作感,音,天気,解像感,補正,ボケ,ボケ味,価格,大きさ,描写力,・操作性,見た目,問題,カメラ,ホールド,グリップ感,・画質,出来,機能性,ヌケ,値段,コントラスト,取り回し,切れ,色合い,シャッター音,場合
weight,"",0.065574762326946,0.0627131551795253,0.053960220013801,0.0454970086468783,0.0369386546519187,0.0315411636719234,0.028023828652584,0.0176957534110079,0.0163706967522379,0.0160166063637954,0.0156268468026596,0.0130316630185183,0.012093464171122,0.00996050676277155,0.00950897339892216,0.00830850122838708,0.0074237871494438,0.00718290166479042,0.00678241492273256,0.00663668600268753,0.00654807249170174,0.00640266012887034,0.00628410758580849,0.00619024698277387,0.00617837670755224,0.00602122047103881,0.006015942281361,0.00582155845416363,0.00554498896450146,0.00547881202335132,0.00473385232720107,0.00465139284692367,0.00442362921766211,0.0042904537730957,0.00425348570710497,0.00412704409569952,0.00401817066786454,0.00400339273610542,0.00392654281003016,0.00376586379680384,0.00369371857377829,0.0035999334741836,0.00358341389998918,0.00336883915416717,0.00335530817177825,0.00326829947200608,0.00321670194845998,0.00319994880148604,0.00319454521845835,0.00314490847640259,0.00312178301789395,0.00307070501134322,0.00298794449031088,0.00294951714826432,0.00293676785334601,0.00291274176803173,0.00289859434746333,0.00284152024086331,0.00281350164412761,0.00268072652142125,0.00243598990691523,0.00240496260345806,0.00237986468002894,0.00236876225239982,0.00230645480395253,0.00224291217030796,0.00222094793961844,0.00212891937540087,0.00207816352315471,0.00196377106327984
の良い,0.0199007907845791,2,0,20,12,4,11,3,7,1,2,1,0,13,5,1,5,2,5,0,2,14,2,2,0,1,0,0,0,0,1,1,1,0,4,0,0,0,1,2,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,5,0,1,0,4,1,0,0
が良い,0.0186362433675048,24,24,14,17,4,6,3,4,7,8,4,1,7,5,0,1,0,2,0,1,1,2,2,2,2,1,0,4,1,0,1,0,1,0,1,3,1,0,0,3,1,0,1,1,0,2,0,0,1,0,0,0,0,3,0,0,0,1,1,2,1,0,0,0,1,0,1,0,0,0
が悪い,0.0148375024559319,12,36,6,7,6,3,5,2,0,6,1,7,0,0,2,1,0,0,0,0,0,2,1,0,0,2,5,0,2,2,0,2,1,2,1,0,0,0,2,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
が良く,0.0108391372376471,6,0,10,10,8,2,5,4,3,6,5,0,0,1,3,1,1,0,0,2,0,2,0,1,1,4,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0
も良く,0.0106258143645038,14,7,6,4,12,12,6,6,7,6,5,0,0,1,3,1,6,3,0,5,0,1,2,0,3,0,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,0,2,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,0
は良いです,0.0105437305820039,13,10,5,10,6,3,14,4,2,1,4,1,0,4,2,10,5,0,0,1,0,1,0,6,0,2,0,3,0,0,7,1,2,0,1,2,5,1,0,0,0,0,2,1,0,0,1,0,1,0,0,2,1,0,0,0,2,5,1,0,1,3,0,0,0,0,0,0,0,3
が良いです,0.00889647753111673,6,7,7,15,4,5,2,1,2,0,2,1,2,0,0,0,0,0,0,1,0,0,0,2,2,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
は良いと,0.00880311829800898,19,8,8,5,10,12,4,5,11,1,4,1,0,8,0,2,0,3,0,0,0,2,0,1,1,0,0,1,1,0,2,0,0,0,0,0,1,1,2,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,3,0,0,0,0,0,1,0,4
はありません,0.00840852073229932,18,9,0,4,11,11,9,6,0,1,2,0,1,0,1,8,4,1,158,0,0,1,0,2,1,1,0,6,0,0,1,1,3,0,2,1,9,0,0,4,0,0,6,0,0,0,0,1,0,1,0,2,2,2,0,36,6,1,1,0,0,1,0,0,0,0,0,0,0,2
がいいです,0.00760460809833442,6,6,3,12,3,1,1,1,0,0,1,0,9,0,0,0,1,0,0,2,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0
がいい,0.00704522278327818,9,10,4,1,1,1,1,5,1,1,4,1,9,1,3,1,1,2,0,0,3,0,0,1,0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,1,2,0,0,1,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
もよく,0.00682814964251874,11,6,5,4,5,6,5,1,1,0,2,0,0,1,6,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,6,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
が良いと,0.00566057008956904,13,2,9,6,2,1,1,2,1,0,1,1,0,2,0,2,4,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
がよい,0.00539288174459149,1,6,3,6,2,3,0,0,1,0,1,1,2,3,0,0,0,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,1,0,1,0,0,1,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
がよく,0.0051464488825374,1,1,5,5,3,0,1,0,1,4,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
も良いです,0.00513038036894813,5,5,4,1,9,2,4,0,2,0,2,1,0,0,4,0,3,0,0,2,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
は思います,0.00497052598382279,28,0,0,1,11,12,4,4,11,0,2,0,0,2,2,6,5,4,0,1,0,0,1,0,0,1,0,0,1,1,5,1,1,0,1,1,3,0,0,1,0,0,2,0,0,0,0,3,0,2,3,0,0,0,0,1,3,0,1,0,1,1,0,2,0,0,0,3,0,4
を考えると,0.00449657363930742,2,0,8,4,3,3,0,0,0,0,0,1,0,10,0,0,1,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,1,0,0,0,0,0,1,0,0,45,8,1,0,0,0,0,0,0,0,0,1,0,27,0,0,0,0,0,0
のよい,0.00444102908633698,1,0,6,5,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
も良いと,0.00434570088678884,6,1,11,1,6,2,0,2,4,0,3,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
は良好です,0.00418336462343338,2,0,3,5,6,3,9,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
はいいと,0.00398340946933664,11,0,4,3,9,0,0,2,6,0,2,2,0,1,0,3,0,3,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1
もいいです,0.00387157534567041,9,6,0,1,3,1,3,0,3,1,5,1,0,0,1,0,1,0,0,0,0,1,0,3,2,0,1,2,0,0,1,0,1,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
も良い,0.00364551075712453,10,4,1,1,8,1,1,2,2,1,6,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,1,3,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0
が良いので,0.00359629998548167,5,2,2,3,2,1,3,1,2,1,0,0,0,0,1,0,2,1,0,0,6,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
が悪いです,0.00356351675496087,4,10,2,2,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいです,0.00353855430374877,11,1,0,3,4,10,2,7,3,0,5,0,0,1,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,1,0,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0
が悪く,0.00352001242843981,0,6,2,1,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良い,0.00351423347774845,7,4,2,1,2,3,7,3,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
が悪いと,0.00335622074501055,4,6,4,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
の取れた,0.00320203503378599,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良く,0.00320022398037761,7,2,3,1,2,4,1,2,0,1,0,0,0,0,0,1,3,0,0,0,1,0,2,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
の高い,0.00302157081906317,0,0,2,0,0,0,0,0,0,0,5,0,0,36,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,2,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0
が高い,0.00282880789176827,0,0,2,0,3,1,1,0,0,0,9,0,0,14,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,1,6,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,1,0,0,0,1,0,0,0,0,1,0,9,5,0,0,0,0,0
がいいので,0.00279853620090724,1,6,0,1,2,5,1,2,0,1,0,1,1,1,0,0,1,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいと,0.00251702489392385,1,2,4,3,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
もありません,0.00238245569850822,6,0,0,1,1,1,5,8,1,0,0,0,0,0,1,1,0,0,15,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,2,0,3,0,1,1,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0
