"",weight,の高い,の良い,は高いです,が高い,が良い,は高いと,が悪い,に優れた,は良いです,は良いと,も良く,が良く,が高いです,はありません,を考えると,が良いです,は思います,もよく,がいいです,が高く,は最高です,がいい,が高いと,は高い,が良いと,がよい,も高く,も良いと,も良いです,がよく,はいいです,はしました,があります,のよい,が高いので,を考えれば,はいいと,は良好です,が弱いです,は5です,が良いので,も良い,もいいです,はあります,は良い,があり,は高く,もありません,のある,は良く,は最高だと,は満点です,の取れた,は抜群です,が悪いと,は感じです,もいい,も高い,が悪く,はいいですね,がいいので,はありますが,はします,が悪いです,はありませんが,は最高ですね,がある,がいいと,はしましたが,はあると,があると,をしました,といい,は素晴らしいです,も良いので,のとれた,も良好です,に優れていると,が良くて,もいいですね,になります,に優れている,も満足しています,をする,は抜群,はあり,も含めて,はよいと,は悪いです,はものです,は思いますが,は抜群だと,は高いですね,は大満足です,は良いのですが,をします,は良いですね,の悪い,にありません,がいいですね
weight,"",0.0321255759553348,0.0162015591753755,0.0140696940156817,0.0136404427676187,0.012834182277471,0.0111867586009991,0.0101703217041436,0.00833139066522539,0.00825666395146051,0.00804333237249785,0.0079007985337943,0.0077063771093067,0.00713380127116191,0.00696891705038399,0.00661954666109481,0.00563336747203324,0.00536192213615185,0.00518822274406283,0.00469680376876664,0.00463534568302442,0.00458234696450496,0.00448256120747357,0.00434860535795588,0.00422128959655165,0.00415344236725728,0.00386332197972584,0.00366487625209981,0.0036567910283983,0.00345696946114186,0.00332427388565994,0.00324188880456964,0.0032254693933533,0.00317606574956835,0.00317340107052692,0.00302617340790869,0.00297231351431113,0.00296580702674809,0.00293752875811775,0.00281074142997928,0.00276874574025626,0.00258176836091515,0.00254984242889271,0.00251303317121593,0.00249726096418228,0.00246884842814141,0.0024500588207762,0.00233200291619017,0.00229792253665162,0.00229231549586632,0.00227407551363756,0.00224426793753737,0.00217782273563108,0.00211666981764471,0.00211431410649711,0.00210245082576122,0.00206200456125904,0.00203600108405294,0.00202374218344314,0.00201934377664856,0.00201375106722889,0.00196834002823599,0.00186076940431083,0.00183198558124139,0.00175706740857455,0.00174954678822821,0.00171932340029684,0.0016805821724953,0.00162638273530033,0.00161706218259874,0.00160172872872556,0.00156269215722644,0.00154580777745657,0.00150479293329361,0.00150274305149204,0.00149096050945803,0.00148950839019442,0.00148139477221505,0.00147855250757087,0.00147849097752759,0.00146956902034528,0.00145024483605982,0.00145010008671124,0.00144641790539604,0.00139901036164999,0.00138987539602197,0.00137887591424808,0.00137260632806519,0.00136196864936779,0.00132576299301171,0.00130984309250074,0.00130651049507098,0.00130210927516078,0.00129429188074718,0.00128488446953983,0.00127542876476238,0.00127187129827039,0.00126286568906731,0.00125854780392426,0.00124977748941653,0.00121394361437125
コストパフォーマンス,0.0406327459988012,36,5,4,14,5,24,0,33,4,8,1,1,4,0,10,0,2,1,0,4,9,1,6,2,2,3,4,2,0,0,1,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,1,3,0,3,1,0,0,0,0,3,0,0,0,1,0,0,1,3,0,0,0,7,0,3,0,3,0,0,4,0,2,2,0,0,0,5,2,0,0,0,1,0,0,0
満足度,0.0390905493537196,45,0,68,7,0,10,0,0,0,0,0,0,16,1,0,0,1,0,0,2,3,0,3,13,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,14,0,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,6,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,3,0,1,0,0,0,0
画質,0.0267559985422906,0,2,0,0,24,0,12,1,13,19,14,6,0,18,2,6,28,11,6,0,7,9,0,0,13,1,0,6,5,1,11,3,1,1,0,2,11,2,0,1,5,10,9,6,7,1,2,6,0,7,1,0,0,1,4,2,4,0,0,2,1,9,7,4,4,1,0,1,1,0,1,0,3,4,0,0,2,0,2,1,5,0,11,2,0,8,1,1,3,11,7,0,0,4,4,0,5,2,3,1
バランス,0.0242089033026092,2,20,0,2,14,0,6,0,5,8,6,10,1,0,8,7,0,5,3,0,0,4,0,0,9,3,0,11,4,5,0,0,0,6,0,5,4,3,0,0,2,1,0,0,2,0,0,0,0,3,1,0,27,1,4,0,2,0,2,2,0,0,1,2,0,0,0,4,0,0,0,0,0,0,3,19,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1
携帯性,0.0173842397635859,0,11,0,1,6,0,3,5,3,12,12,2,0,11,3,5,12,6,1,0,1,1,1,0,1,3,1,2,2,0,10,4,0,0,1,3,0,3,0,0,1,1,1,1,3,0,0,1,0,4,0,1,0,17,2,2,0,0,2,0,5,0,0,1,7,0,0,1,1,0,1,2,1,1,1,0,0,1,1,1,0,4,0,0,6,0,0,2,5,2,2,0,0,1,5,0,1,0,1,0
操作性,0.0165097570260443,0,4,1,3,4,0,6,2,6,10,12,8,0,11,3,4,11,5,3,1,1,1,0,0,2,2,0,6,9,3,4,5,0,0,0,1,9,6,0,0,2,8,3,1,2,1,0,1,0,2,0,2,0,6,0,3,5,0,0,1,2,3,0,2,1,0,0,0,0,0,0,3,1,0,1,0,3,1,0,0,0,0,2,0,0,1,1,0,3,2,3,0,0,0,4,0,1,1,3,1
使い勝手,0.0159049332412782,0,12,0,0,17,0,7,0,10,5,4,10,0,4,4,15,1,4,12,0,2,1,0,0,6,6,0,1,1,5,3,0,1,5,0,0,3,5,0,0,3,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,4
質感,0.0130710349368954,5,1,2,9,4,2,1,0,4,4,5,5,2,2,0,2,2,2,1,6,4,4,2,2,1,1,4,3,2,1,5,0,3,0,0,0,2,1,0,0,0,6,5,6,0,4,0,0,2,0,0,0,0,0,0,4,0,0,0,1,0,3,1,0,1,0,1,0,0,0,2,0,4,1,0,0,2,0,1,0,0,0,1,0,0,1,3,0,0,1,1,0,0,0,1,0,1,0,0,2
完成度,0.0128810406756657,37,0,3,11,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,3,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
