"",weight,が良い,の良い,が悪い,が良く,も良く,は良いです,が良いです,は良いと,がいいです,がいい,もよく,はありません,が良いと,がよく,も良いです,がよい,は思います,も良いと,は良好です,を考えると,のよい,はいいと,もいいです,が良いので,が悪いです,の取れた,はいいです,は良い,が悪く,は良く,も良い,が悪いと,の高い,がいいので,が高い,のとれた,がいいと,は抜群です,は感じです,も良いので
weight,"",0.013363545338771,0.0120826573334412,0.0107310575633755,0.00786460706098435,0.00774600260623576,0.00750554962391127,0.00672584516661332,0.00665334269433915,0.00579873638879079,0.00518869676499133,0.00513863153252422,0.0049817408639117,0.00437128408742688,0.00392637633915398,0.0036309841560112,0.00349530184784877,0.00339486052806465,0.00334572936550408,0.00330508299334432,0.00326200151390155,0.00319153347487372,0.00285330367700382,0.00279659661505622,0.00270196075434883,0.0025955296012366,0.00258412074033403,0.0025322937572312,0.00246737815661492,0.00246298974749642,0.00245347831561474,0.00243543799499452,0.00240168519240076,0.00209454864068789,0.00203911079777781,0.00193576622306596,0.00181845533579061,0.00181423979551199,0.00162375275224363,0.00158551012054474,0.00156902604492036
バランス,0.0235240781496008,14,20,6,10,6,5,7,8,3,4,5,0,9,5,4,3,0,11,3,8,6,4,0,2,2,27,0,2,2,3,1,4,2,0,2,19,4,1,0,3
画質,0.0197620743633,24,2,12,6,14,13,6,19,6,9,11,18,13,1,5,1,28,6,2,2,1,11,9,5,4,0,11,7,0,7,10,4,0,1,0,0,1,1,2,0
使い勝手,0.0150816422349315,17,12,7,10,4,10,15,5,12,1,4,4,6,5,1,6,1,1,5,4,5,3,1,3,2,0,3,1,1,1,1,1,0,1,0,0,3,0,0,0
持ち,0.0124506651054684,22,0,30,0,0,5,4,6,1,9,0,7,2,1,0,6,0,0,0,0,0,0,0,2,9,0,1,3,6,2,0,5,0,6,0,0,1,1,2,0
操作性,0.0121830554952236,4,4,6,8,12,6,4,10,3,1,5,11,2,3,9,2,11,6,6,3,0,9,3,2,2,0,4,2,0,2,8,0,0,2,3,0,0,6,3,1
携帯性,0.0105467376580195,6,11,3,2,12,3,5,12,1,1,6,11,1,0,2,3,12,2,3,3,0,0,1,1,1,0,10,3,2,4,1,2,0,5,1,0,1,17,2,1
ホールド感,0.00854481542347284,3,3,5,5,6,14,2,4,1,1,5,9,1,1,4,0,4,0,9,0,0,0,3,3,0,0,2,7,3,1,1,0,0,1,1,0,1,4,3,4
写り,0.00561591491527227,4,7,2,4,4,4,1,5,1,5,1,6,2,0,0,0,4,2,1,0,1,2,0,1,0,0,7,3,0,2,2,1,0,2,0,0,1,0,1,0
質感,0.00540526367917966,4,1,1,5,5,4,2,4,1,4,2,2,1,1,2,1,2,3,1,0,0,2,5,0,0,0,5,0,0,0,6,0,5,0,9,0,0,0,4,0
デザイン,0.00536738911064709,7,1,0,3,7,2,2,11,0,1,1,0,1,1,2,1,11,4,1,0,0,6,3,2,0,0,3,2,0,0,2,0,0,0,0,0,1,0,5,0
気持ち,0.0046303038308159,7,13,0,0,0,0,2,0,9,9,0,1,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
レスポンス,0.00425476652724472,8,2,6,6,6,1,0,1,0,1,0,1,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
コストパフォーマンス,0.00374397590818636,5,5,0,1,1,4,0,8,0,1,1,0,2,0,0,3,2,2,0,10,0,1,0,0,0,0,1,0,0,0,0,0,36,1,14,0,0,2,0,0
発色,0.00307205167642734,0,1,2,3,3,2,0,0,0,3,6,1,0,1,4,0,2,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
評判,0.00296549219440343,1,14,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,1,1,0,3,2,0,0,0,0,0,0
描写,0.00291346087968439,0,2,0,1,6,5,0,0,1,1,0,4,4,0,3,0,5,0,0,1,0,0,1,2,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,1
レンズ,0.00260441970154898,1,5,1,1,1,10,0,2,0,1,0,8,2,0,0,0,6,0,0,0,0,3,0,0,0,0,4,1,0,1,1,0,0,0,0,0,1,0,1,0
色乗り,0.00259864838203851,1,2,0,2,5,1,1,0,2,0,3,0,0,0,2,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
性能,0.00251144080688256,2,5,0,0,3,0,0,3,0,2,0,1,1,0,0,4,4,0,0,12,0,3,0,1,0,0,0,1,0,0,0,0,1,1,2,0,0,0,1,0
相性,0.00233685654747591,2,1,0,1,3,0,2,1,0,0,0,1,2,0,3,1,0,0,0,0,0,2,2,1,0,0,1,0,0,2,0,0,0,0,0,0,2,1,0,0
もち,0.00218185556908516,1,0,7,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
ホールド性,0.00214242732739563,1,0,2,4,0,2,2,0,0,1,0,1,0,1,0,0,1,0,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
感触,0.00213385687404268,2,0,0,1,0,6,2,1,0,1,1,2,1,0,1,1,0,1,0,1,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
精度,0.00209138234252065,2,2,2,2,1,1,0,2,0,0,0,1,0,0,1,1,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,2
色のり,0.00187600303893272,0,1,0,1,0,1,1,1,1,0,6,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
視認性,0.00167631121815847,2,2,1,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,0,0,0,0,0,1,0
天気,0.0015077847877082,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
