"",weight,の良い,が良い,が悪い,も良く,が良く,は良いです,が良いです,は良いと,がいいです,はありません,がいい,もよく,が良いと,がよく,も良いです,がよい,は思います,を考えると,のよい,も良いと,は良好です,もいいです,はいいと,が良いので,はいいです,が悪く,が悪いです,の取れた,は良い,は良く,も良い,が悪いと,の高い,がいいので,が高い,がいいと,のとれた,もありません,は感じです,も良いので,もいい,は抜群です,は最高です,も良好です,はいいですね,が良くて,が良くない,は悪いです,を考えれば,がよいです
weight,"",0.0160590139823353,0.0147769122859324,0.01167469646704,0.00852513836386007,0.00850660750629231,0.00833539505577563,0.00730569878370859,0.00727829361715736,0.00627509036079681,0.00583593126638044,0.00561402967721614,0.00559274269988635,0.00476111442671803,0.00424197796722824,0.0040739572352072,0.00403917664416114,0.00390051980703364,0.00369963876047899,0.00368893783606377,0.00368300974327333,0.0035675647244127,0.00320044411735932,0.00313641677160095,0.00297348698730898,0.00294166735462762,0.00289985541288076,0.00282683732677767,0.00276661868756864,0.00272873881800862,0.00272445139997386,0.00264744685907665,0.00259916776782165,0.00237656599949062,0.00230104812349975,0.00223652772990123,0.0019712617504193,0.00194687981717793,0.00186594027514378,0.00183807882552757,0.00180919235421129,0.00180388728690966,0.00176313511577603,0.00175269585242795,0.00174088877140362,0.00165474480508652,0.00164572155640485,0.00161150504525849,0.00159596208486495,0.00158458789117956,0.00155214389070799
バランス,0.0266178262441577,20,14,6,6,10,5,7,8,3,0,4,5,9,5,4,3,0,8,6,11,3,0,4,2,0,2,2,27,2,3,1,4,2,0,2,4,19,0,0,3,2,1,0,0,2,1,1,1,5,0
画質,0.0233245836346838,2,24,12,14,6,13,6,19,6,18,9,11,13,1,5,1,28,2,1,6,2,9,11,5,11,0,4,0,7,7,10,4,0,1,0,1,0,6,2,0,4,1,7,2,2,2,1,3,2,0
使い勝手,0.018088232947651,12,17,7,4,10,10,15,5,12,4,1,4,6,5,1,6,1,4,5,1,5,1,3,3,3,1,2,0,1,1,1,1,0,1,0,3,0,1,0,0,1,0,2,1,0,1,1,0,0,5
持ち,0.0152575641274813,0,22,30,0,0,5,4,6,1,7,9,0,2,1,0,6,0,0,0,0,0,0,0,2,1,6,9,0,3,2,0,5,0,6,0,1,0,0,2,0,0,1,1,0,2,1,5,5,0,1
操作性,0.0146722351742214,4,4,6,12,8,6,4,10,3,11,1,5,2,3,9,2,11,3,0,6,6,3,9,2,4,0,2,0,2,2,8,0,0,2,3,0,0,1,3,1,5,6,1,3,1,0,1,3,1,1
携帯性,0.0125752513230447,11,6,3,12,2,3,5,12,1,11,1,6,1,0,2,3,12,3,0,2,3,1,0,1,10,2,1,0,3,4,1,2,0,5,1,1,0,1,2,1,0,17,1,0,0,1,0,5,3,0
ホールド感,0.0106057743458529,3,3,5,6,5,14,2,4,1,9,1,5,1,1,4,0,4,0,0,0,9,3,0,3,2,3,0,0,7,1,1,0,0,1,1,1,0,5,3,4,3,4,0,2,0,1,2,1,1,1
写り,0.00728953132232111,7,4,2,4,4,4,1,5,1,6,5,1,2,0,0,0,4,0,1,2,1,0,2,1,7,0,0,0,3,2,2,1,0,2,0,1,0,8,1,0,3,0,4,0,4,2,0,0,2,0
質感,0.00653299245402398,1,4,1,5,5,4,2,4,1,2,4,2,1,1,2,1,2,0,0,3,1,5,2,0,5,0,0,0,0,0,6,0,5,0,9,0,0,0,4,0,0,0,4,2,1,1,0,0,0,0
デザイン,0.00614024930018546,1,7,0,7,3,2,2,11,0,0,1,1,1,1,2,1,11,0,0,4,1,3,6,2,3,0,0,0,2,0,2,0,0,0,0,1,0,1,5,0,2,0,2,0,0,0,0,0,0,0
