"",weight,の良い,が良い,が悪い,が良く,も良く,は良いです,が良いです,は良いと,はありません,がいいです,がいい,もよく,が良いと,がよい,がよく,も良いです,は思います,を考えると,のよい,も良いと,は良好です,はいいと,もいいです,も良い,が良いので,が悪いです,はいいです,が悪く,は良い,が悪いと,の取れた,は良く,の高い,が高い,がいいので,がいいと,もありません,はいいですね,は感じです,もいい,は悪いです,のとれた,が良くて,も良いので,は最高です,は抜群です,も良好です,が良くない,を考えれば,はありませんが,が悪いので,がよいです,が感じます,も満足しています,がいいですね,はよいです,はします,はありますが,があり,にありません,はあります,があります,になります,は良いのですが,もなく,の悪い,に優れた,は思いますが,には満足しています,といい
weight,"",0.0199007907845791,0.0186362433675048,0.0148375024559319,0.0108391372376471,0.0106258143645038,0.0105437305820039,0.00889647753111673,0.00880311829800898,0.00840852073229932,0.00760460809833442,0.00704522278327818,0.00682814964251874,0.00566057008956904,0.00539288174459149,0.0051464488825374,0.00513038036894813,0.00497052598382279,0.00449657363930742,0.00444102908633698,0.00434570088678884,0.00418336462343338,0.00398340946933664,0.00387157534567041,0.00364551075712453,0.00359629998548167,0.00356351675496087,0.00353855430374877,0.00352001242843981,0.00351423347774845,0.00335622074501055,0.00320203503378599,0.00320022398037761,0.00302157081906317,0.00282880789176827,0.00279853620090724,0.00251702489392385,0.00238245569850822,0.00235834897915403,0.00229520674595971,0.00228595826429319,0.00225918472849113,0.00225328391266422,0.00220796982463251,0.00219635031480902,0.00213088643103472,0.00209192812213009,0.00208383305965805,0.00202527969631917,0.00198603144414342,0.0018910407570193,0.00188576281805424,0.00185892106771384,0.00180104989127998,0.00177375552610005,0.00175143208603052,0.00173438363023434,0.00173008186302374,0.00170855261389974,0.00170010384209082,0.00162901605863784,0.00160873799709295,0.00160493731694895,0.00159730150900484,0.00156814857149521,0.00149322060347822,0.00148521548751191,0.00146025883152245,0.00140464913944538,0.00135888584435063,0.0013329296281265
バランス,0.0327964180693175,20,14,6,10,6,5,7,8,0,3,4,5,9,3,5,4,0,8,6,11,3,4,0,1,2,2,0,2,2,4,27,3,2,2,0,4,0,2,0,2,1,19,1,3,0,1,0,1,5,0,1,0,3,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
画質,0.0324977152834065,2,24,12,6,14,13,6,19,18,6,9,11,13,1,1,5,28,2,1,6,2,11,9,10,5,4,11,0,7,4,0,7,0,0,1,1,6,2,2,4,3,0,2,0,7,1,2,1,2,4,2,0,0,11,1,2,7,9,1,3,6,1,5,4,5,2,1,7,12,3
使い勝手,0.0228982716408867,12,17,7,10,4,10,15,5,4,12,1,4,6,6,5,1,1,4,5,1,5,3,1,1,3,2,3,1,1,1,0,1,0,0,1,3,1,0,0,1,0,0,1,0,2,0,1,1,0,0,0,5,1,0,4,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
持ち,0.020367419659025,0,22,30,0,0,5,4,6,7,1,9,0,2,6,1,0,0,0,0,0,0,0,0,0,2,9,1,6,3,5,0,2,0,0,6,1,0,2,2,0,5,0,1,0,1,1,0,5,0,1,4,1,1,0,0,2,2,1,0,0,0,0,0,1,0,0,0,1,0,0
操作性,0.0197513102915937,4,4,6,8,12,6,4,10,11,3,1,5,2,2,3,9,11,3,0,6,6,9,3,8,2,2,4,0,2,0,0,2,0,3,2,0,1,1,3,5,3,0,0,1,1,6,3,1,1,1,0,1,0,2,1,4,0,3,1,3,1,0,0,4,2,1,2,3,1,1
携帯性,0.0171937921338708,11,6,3,2,12,3,5,12,11,1,1,6,1,3,0,2,12,3,0,2,3,0,1,1,1,1,10,2,3,2,0,4,0,1,5,1,1,0,2,0,5,0,1,1,1,17,0,0,3,7,2,0,0,0,0,3,0,0,0,1,1,0,0,5,1,0,5,2,1,1
ホールド感,0.0143193655067486,3,3,5,5,6,14,2,4,9,1,1,5,1,0,1,4,4,0,0,0,9,0,3,1,3,0,2,3,7,0,0,1,0,1,1,1,5,0,3,3,1,0,1,4,0,4,2,2,1,2,0,1,1,2,0,2,3,0,2,2,3,1,0,3,0,0,0,2,1,2
写り,0.00954087434626998,7,4,2,4,4,4,1,5,6,1,5,1,2,0,0,0,4,0,1,2,1,2,0,2,1,0,7,0,3,1,0,2,0,0,2,1,8,4,1,3,0,0,2,0,4,0,0,0,2,0,0,0,0,1,0,0,2,1,0,2,1,0,3,1,0,0,0,0,3,0
質感,0.00918457314707202,1,4,1,5,5,4,2,4,2,1,4,2,1,1,1,2,2,0,0,3,1,2,5,6,0,0,5,0,0,0,0,0,5,9,0,0,0,1,4,0,0,0,1,0,4,0,2,0,0,1,0,0,1,1,2,1,1,3,4,0,6,3,0,1,1,0,0,1,2,4
