"",weight,が良い,の良い,が悪い,が良く,も良く,は良いです,が良いです,は良いと,はありません,がいいです,がいい,もよく,が良いと,がよい,も良いです,がよく,は思います,を考えると,も良いと,のよい,は良好です,もいいです,はいいと,が悪いです,も良い,はいいです,が悪く,が良いので,は良い,が悪いと,は良く,の取れた,がいいので,の高い,が高い,がいいと,はいいですね,もありません,は感じです,は悪いです,にありません,もいい,が良くて,も良いので,のとれた,が弱いです,も良好です,が良くない,は最高です,を考えれば,は抜群です,が悪いので,はありませんが,も満足しています,が感じます,がよいです,はありますが,はよいです,はします,になります,があり,がいいですね,があります,も良いし,は良いのですが,はあります,もなく,は方だと,の悪い,は思いますが,も悪くなく,に優れた,には満足しています,は良いですね,をする,といい,にある,は満足しています,は気に入っています,が悪いのが
weight,"",0.0215177421855756,0.0210273030324816,0.0208800983272228,0.0118889350961891,0.0117511675905805,0.0117446895042678,0.00988435374330272,0.00969025711306782,0.00956799206230986,0.00818130766341302,0.00784724607489649,0.00747129782960267,0.00614870526831053,0.00589194280697465,0.00583042582024056,0.0057332217211543,0.00541927616468343,0.00480134588351312,0.00464494691515541,0.00463945192066129,0.0045288562401878,0.00452806951941139,0.00435815010577177,0.00420316736473687,0.00412968780782862,0.00408862720211063,0.00404933369404264,0.00389077033813524,0.00387665178605029,0.00371331844584782,0.00351247592544459,0.00335790518937014,0.00318935463632852,0.00318153002764139,0.00314679109882379,0.00271304644165531,0.00267596961721359,0.00266849320751104,0.00257073784011096,0.00254545068528703,0.00246836199823647,0.00246332785903133,0.00245075216554285,0.00242873601960887,0.00236297031844565,0.00235630316780403,0.00232935682454057,0.00231200364406221,0.00228382387599697,0.00228026775770209,0.00227269172355153,0.00223044503468764,0.00215861317947282,0.00205076711851419,0.0020004122362651,0.00198291708788969,0.00191996937259572,0.00191279440574864,0.00190258563026996,0.00188402295880035,0.00186127474710469,0.00184291737839983,0.00179528638104983,0.00179326736447863,0.00175825670252583,0.0017344453322919,0.00166578686991872,0.00159105296966989,0.00158629017468672,0.00152274824164975,0.00149765295329104,0.00149575804204453,0.00149223015902612,0.00146518431333119,0.00141172455637309,0.00141110495014039,0.0013960624818784,0.00138527077456023,0.00134237604386272,0.00134006157946879
画質,0.0390931646461076,24,2,12,6,14,13,6,19,18,6,9,11,13,1,5,1,28,2,6,1,2,9,11,4,10,11,0,5,7,4,7,0,1,0,0,1,2,6,2,3,3,4,2,0,0,0,2,1,7,2,1,2,4,11,0,0,9,2,7,5,1,1,1,2,4,6,5,2,2,7,3,1,12,5,2,3,3,8,5,0
バランス,0.0360598548992177,14,20,6,10,6,5,7,8,0,3,4,5,9,3,4,5,0,8,11,6,3,0,4,2,1,0,2,2,2,4,3,27,0,2,2,4,2,0,0,1,0,2,1,3,19,0,0,1,0,5,1,1,0,1,3,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
使い勝手,0.0264783493545419,17,12,7,10,4,10,15,5,4,12,1,4,6,6,1,5,1,4,1,5,5,1,3,2,1,3,1,3,1,1,1,0,1,0,0,3,0,1,0,0,1,1,1,0,0,0,1,1,2,0,0,0,0,0,1,5,0,0,0,0,0,4,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,2
持ち,0.0259572357468083,22,0,30,0,0,5,4,6,7,1,9,0,2,6,0,1,0,0,0,0,0,0,0,9,0,1,6,2,3,5,2,0,6,0,0,1,2,0,2,5,0,0,1,0,0,0,0,5,1,0,1,4,1,0,1,1,1,2,2,0,0,0,0,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,0,3
操作性,0.0227229498265787,4,4,6,8,12,6,4,10,11,3,1,5,2,2,9,3,11,3,6,0,6,3,9,2,8,4,0,2,2,0,2,0,2,0,3,0,1,1,3,3,3,5,0,1,0,0,3,1,1,1,6,0,1,2,0,1,3,4,0,0,1,1,0,1,4,1,2,0,1,3,1,2,1,1,0,1,1,1,1,0
携帯性,0.019693952027935,6,11,3,2,12,3,5,12,11,1,1,6,1,3,2,0,12,3,2,0,3,1,0,1,1,10,2,1,3,2,4,0,5,0,1,1,0,1,2,5,1,0,1,1,0,0,0,0,1,3,17,2,7,0,0,0,0,3,0,0,0,0,0,1,5,1,1,0,0,2,1,5,1,1,0,1,0,2,0,0
ホールド感,0.0166632383251528,3,3,5,5,6,14,2,4,9,1,1,5,1,0,4,1,4,0,0,0,9,3,0,0,1,2,3,3,7,0,1,0,1,0,1,1,0,5,3,1,2,3,1,4,0,0,2,2,0,1,4,0,2,2,1,1,0,2,3,0,2,0,1,0,3,3,0,1,0,2,1,0,1,1,0,2,0,0,2,0
写り,0.0113657446271373,4,7,2,4,4,4,1,5,6,1,5,1,2,0,0,0,4,0,2,1,1,0,2,0,2,7,0,1,3,1,2,0,2,0,0,1,4,8,1,0,2,3,2,0,0,0,0,0,4,2,0,0,0,1,0,0,1,0,2,3,0,0,0,1,1,1,0,1,0,0,1,0,3,0,18,0,2,3,0,0
デザイン,0.0112506189563413,7,1,0,3,7,2,2,11,0,0,1,1,1,1,2,1,11,0,4,0,1,3,6,0,2,3,0,2,2,0,0,0,0,0,0,1,0,1,5,0,0,2,0,0,0,0,0,0,2,0,0,0,2,1,0,0,4,1,3,1,0,4,0,2,2,2,0,1,0,3,1,0,0,2,0,1,0,2,13,0
