"",weight,が良い,が悪い,の良い,が良く,も良く,は良いです,が良いです,は良いと,はありません,がいいです,がいい,もよく,が良いと,がよい,も良いです,がよく,は思います,を考えると,もいいです,も良いと,のよい,は良好です,はいいと,も良い,が悪いです,はいいです,が悪く,は良い,が良いので,が悪いと,の高い,は良く,の取れた,が高い,がいいので,にありません,はいいですね,がいいと,もありません,は感じです,は抜群です,は悪いです,もいい,が良くて,は最高です,が良くない,も良いので,も良好です,のとれた,を考えれば,が弱いです,が悪いので,も良いし,はありませんが,も満足しています,になります,が感じます,がよいです,はありますが,があり,はよいです,はします,がいいですね,も悪くなく,があります,は良いのですが,はあります,に優れた,もなく,は方だと,は良いですね,の悪い,には満足しています,は思いますが,をする,は満足しています,のある,といい,にある,が悪いのが,は気に入っています,はあり,は悪くないです,も高く,は悪くないと,がイマイチ,はよいと,もいいですね,は満足です,は感じます
weight,"",0.022970193385263,0.0228565249245999,0.0218710815717957,0.0126019671071031,0.0125024847637293,0.0124877415239498,0.0103679534059849,0.0103284852783915,0.00994589345560336,0.0085498867865683,0.00827876793305869,0.00780205581334265,0.00646433186889823,0.00621205506823367,0.00614972746811758,0.00600202580737356,0.00595532871688931,0.00518356483594629,0.00492268315336731,0.00487483347380786,0.00480967749164369,0.0047513352131786,0.00464238440473529,0.00450032254564232,0.00441134437411605,0.00435758126638222,0.00422898850431574,0.0042273445922696,0.00408198504437142,0.00388738555889834,0.00381033727229873,0.00368971794204781,0.00347015921426244,0.00346795768723997,0.00340589108162141,0.00294534502298007,0.00284091236591608,0.00283453980337683,0.00278385328336095,0.00272483538421193,0.00269281015930843,0.00266219631325863,0.00258262021787471,0.00257671068484957,0.00256576879700314,0.00254747033481293,0.00253108368761392,0.00245025739232594,0.00244196389151801,0.00243208186227943,0.00241620926770088,0.00233441956567515,0.00228565808667344,0.00226544955442501,0.00214967878298879,0.00214751185759939,0.00209492534323965,0.00207754212484672,0.00203143159854755,0.00202982524072295,0.00202205527451818,0.00200779504815184,0.00194806374933434,0.00188328254640324,0.00187746212323686,0.00187708498330685,0.0018637248448669,0.00186288456372842,0.0017525605315062,0.001681153584858,0.001644250333172,0.00164187102551015,0.00162831213074821,0.00162190656223393,0.00152581643471588,0.00150646043581064,0.00149798771955876,0.00149526725595539,0.001464206490055,0.00144981199460188,0.00143634079249337,0.00143362812006857,0.00142683022916284,0.00141918550435944,0.00141304766622642,0.00141219385403613,0.0014100051014078,0.00140252859276286,0.00137128437464839,0.00135493790125151
画質,0.0430499371556168,24,12,2,6,14,13,6,19,18,6,9,11,13,1,5,1,28,2,9,6,1,2,11,10,4,11,0,7,5,4,0,7,0,0,1,3,2,1,6,2,1,3,4,2,7,1,0,2,0,2,0,2,2,4,11,5,0,0,9,1,2,7,1,3,1,4,6,1,5,2,5,2,12,7,2,8,0,3,3,0,5,8,0,0,1,1,1,1,7,8
バランス,0.0380753187438525,14,6,20,10,6,5,7,8,0,3,4,5,9,3,4,5,0,8,0,11,6,3,4,1,2,0,2,2,2,4,2,3,27,2,0,0,2,4,0,0,1,1,2,1,0,1,3,0,19,5,0,1,0,0,1,1,3,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
使い勝手,0.029129001674161,17,7,12,10,4,10,15,5,4,12,1,4,6,6,1,5,1,4,1,1,5,5,3,1,2,3,1,1,3,1,0,1,0,0,1,1,0,3,1,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,4,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,2,1,0,3,0,2,0,1,1,1,0
持ち,0.0279895986971349,22,30,0,0,0,5,4,6,7,1,9,0,2,6,0,1,0,0,0,0,0,0,0,0,9,1,6,3,2,5,0,2,0,0,6,0,2,1,0,2,1,5,0,1,1,5,0,0,0,0,0,4,0,1,0,0,1,1,1,0,2,2,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0
操作性,0.0247333848933709,4,6,4,8,12,6,4,10,11,3,1,5,2,2,9,3,11,3,3,6,0,6,9,8,2,4,0,2,2,0,0,2,0,3,2,3,1,0,1,3,6,3,5,0,1,1,1,3,0,1,0,0,1,1,2,0,0,1,3,1,4,0,1,1,0,4,1,2,2,0,1,1,1,3,0,1,0,1,1,0,1,1,0,0,1,1,0,0,2,2
携帯性,0.0219827266476243,6,3,11,2,12,3,5,12,11,1,1,6,1,3,2,0,12,3,1,2,0,3,0,1,1,10,2,3,1,2,0,4,0,1,5,1,0,1,1,2,17,5,0,1,1,0,1,0,0,3,0,2,1,7,0,0,0,0,0,0,3,0,0,1,0,5,1,5,1,0,1,0,1,2,0,2,0,1,0,0,0,0,0,1,2,0,2,1,2,1
ホールド感,0.0183276845516686,3,5,3,5,6,14,2,4,9,1,1,5,1,0,4,1,4,0,3,0,0,9,0,1,0,2,3,7,3,0,0,1,0,1,1,2,0,1,5,3,4,1,3,1,0,2,4,2,0,1,0,0,0,2,2,0,1,1,0,2,2,3,0,1,1,3,3,0,0,1,1,0,1,2,0,0,0,2,0,0,2,2,1,0,0,1,1,0,1,1
デザイン,0.0132653247854914,7,0,1,3,7,2,2,11,0,0,1,1,1,1,2,1,11,0,3,4,0,1,6,2,0,3,0,2,2,0,0,0,0,0,0,0,0,1,1,5,0,0,2,0,2,0,0,0,0,0,0,0,2,2,1,1,0,0,4,0,1,3,4,1,0,2,2,0,0,1,2,0,0,3,0,2,1,1,0,0,13,5,1,0,3,0,3,0,0,5
写り,0.0128018531030093,4,2,7,4,4,4,1,5,6,1,5,1,2,0,0,0,4,0,0,2,1,1,2,2,0,7,0,3,1,1,0,2,0,0,2,2,4,1,8,1,0,0,3,2,4,0,0,0,0,2,0,0,1,0,1,3,0,0,1,0,0,2,0,1,0,1,1,0,0,1,0,0,3,0,18,3,0,0,2,0,0,2,1,1,0,0,2,0,2,1
