"",weight,の高い,は高いです,が高い,の良い,は高いと,が良い,が悪い,が高いです,に優れた,は良いです,は良いと,も良く,が良く,を考えると,はありません,が良いです,が高く,は思います,は高い,が高いと,もよく,は最高です,がいいです,がいい,も高く,があります,が良いと,はしました,も良いと,がよい,が高いので,は5です,も良いです,がよく,を考えれば,のよい,はいいです,はいいと,は高く,のある,は良好です,はあります,は満点です,があり,が良いので,も良い,は最高だと,が弱いです,も高い,は良い,もいいです,の取れた,もありません,は良く,が悪いと,がある,は抜群です,はいいですね,はしましたが,は感じです,はあると,もいい,が悪く,がいいので,はありますが,があると,は最高ですね,はします,をしました,が悪いです,はありませんが,に優れていると,のとれた,がいいと,に優れている,は高いですね,は素晴らしいです,もいいですね,といい,の悪い,は抜群だと,も含めて,も良いので,が低い,は抜群,はよいと,は大満足です,になります,も良好です,が良くて,から考えると,はものです,はあり,は5と,も満足しています,を持った,は良いのですが,は思いますが,をする,は良いですね
weight,"",0.0253528279240939,0.0112357653342447,0.0107022929079077,0.010625463785302,0.00830259186416325,0.00787195860853159,0.00590551635022982,0.0056890103204326,0.00564845041507069,0.00519848948900567,0.00507004027590216,0.0047525092334235,0.00469350775024833,0.00446064436343587,0.00407674917498081,0.00339413193701064,0.00335275883055726,0.00330101099135675,0.00328052613667087,0.00321338044289045,0.00318023312315494,0.00304415295655969,0.00284091483284515,0.00275258118494633,0.00261784330748963,0.00261783405174452,0.00258369466040041,0.00237425120869421,0.00235308559379594,0.00229717238004218,0.00222818055023103,0.00216681932327449,0.00206238392109223,0.00203012674683962,0.00202920988452769,0.00202811839945411,0.00191393884841863,0.00182008390085337,0.00177246740638712,0.00174868974578493,0.00172879382556769,0.00168685921516098,0.00168360524661261,0.00165885210054706,0.00159579454148556,0.00154616640334353,0.0015381699034231,0.00153102374729989,0.00151677986613563,0.00145837024716524,0.00145541997476917,0.0014365722838911,0.00138377419109785,0.00137458598746731,0.00132359291281949,0.00129631437408961,0.00127691634708549,0.00127420774158384,0.00126026782140327,0.0012598436322637,0.0012575724183912,0.00124900015918379,0.00124076987589645,0.00119455962994857,0.00117923750757518,0.0011698747128703,0.00116526248744323,0.00115478605089873,0.00112715251159522,0.00104635606589152,0.00103959180303046,0.00101346226821611,0.00101092123681225,0.001010100308617,0.000992706845535483,0.000992378884687465,0.000938669196446123,0.000935147463354744,0.000924804560544594,0.000919423966183281,0.000886820435452156,0.000884421064002663,0.000879845006688778,0.000874812445097941,0.000874073976782604,0.000867250889457407,0.000862747394010539,0.000860834830557548,0.000858055503539255,0.000855788934172351,0.000852223436827943,0.000847392625520599,0.000835621628478372,0.000828929689530143,0.000828500271968633,0.000824927899213234,0.00080527975615755,0.000804610139668195,0.000796075292604358,0.000792168740087637
満足度,0.0311620354094441,45,68,7,0,10,0,0,16,0,0,0,0,0,0,1,0,2,1,13,3,0,3,0,0,0,0,0,11,0,0,2,14,0,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,1,0,0,2,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,5,0,0,0,1,0,0
コストパフォーマンス,0.0294764273241437,36,4,14,5,24,5,0,4,33,4,8,1,1,10,0,0,4,2,2,6,1,9,0,1,4,0,2,0,2,3,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,2,3,0,0,1,1,0,1,0,0,3,0,0,0,0,7,0,0,3,2,3,3,1,0,5,2,0,0,4,2,0,0,0,0,3,0,0,0,0,3,0,0,0,1
画質,0.01643100632364,0,0,0,2,0,24,12,0,1,13,19,14,6,2,18,6,0,28,0,0,11,7,6,9,0,1,13,3,6,1,0,1,5,1,2,1,11,11,2,0,2,6,0,1,5,10,1,0,0,7,9,0,6,7,4,0,1,2,1,2,0,4,0,1,9,1,1,7,0,4,4,0,0,1,0,0,4,1,3,2,0,1,0,1,0,1,4,5,2,2,0,11,8,1,11,0,4,7,2,5
バランス,0.0155248988731206,2,0,2,20,0,14,6,1,0,5,8,6,10,8,0,7,0,0,0,0,5,0,3,4,0,0,9,0,11,3,0,0,4,5,5,6,0,4,0,0,3,0,0,0,2,1,1,0,0,2,0,27,0,3,4,0,1,2,0,0,0,2,2,0,0,0,0,1,0,2,0,0,19,4,0,0,0,0,0,0,0,1,3,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
携帯性,0.0107852797080191,0,0,1,11,0,6,3,0,5,3,12,12,2,3,11,5,0,12,0,1,6,1,1,1,1,0,1,4,2,3,1,0,2,0,3,0,10,0,0,0,3,1,1,0,1,1,0,0,0,3,1,0,1,4,2,0,17,0,1,2,0,0,2,5,0,1,0,0,2,1,7,1,0,1,4,0,1,1,1,0,0,0,1,0,6,2,1,0,0,1,1,2,0,0,0,0,5,2,0,1
操作性,0.0101053390147951,0,1,3,4,0,4,6,0,2,6,10,12,8,3,11,4,1,11,0,0,5,1,3,1,0,0,2,5,6,2,0,0,9,3,1,0,4,9,0,0,6,1,2,1,2,8,0,0,0,2,3,0,1,2,0,0,6,1,0,3,0,5,0,2,3,0,0,0,3,2,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,3,0,0,2,1,0,2,0,4,3,0,1
完成度,0.0100276696708332,37,3,11,0,7,0,0,1,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
使い勝手,0.00959957334498239,0,0,0,12,0,17,7,0,0,10,5,4,10,4,4,15,0,1,0,0,4,2,12,1,0,1,6,0,1,6,0,0,1,5,0,5,3,3,0,0,5,0,0,0,3,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
質感,0.00890602384299848,5,2,9,1,2,4,1,2,0,4,4,5,5,0,2,2,6,2,2,2,2,4,1,4,4,3,1,0,3,1,0,0,2,1,0,0,5,2,0,2,1,6,0,4,0,6,0,0,0,0,5,0,0,0,0,1,0,1,0,4,0,0,0,0,3,2,0,1,0,0,1,0,0,0,0,0,1,0,4,0,0,3,0,1,0,0,0,0,2,1,0,1,1,0,1,1,1,1,0,1
