"",weight,の良い,が良い,が悪い,が良く,も良く,は良いです,が良いです,は良いと,がいいです,もよく,がいい,が良いと,はありません,がよく,も良いと,のよい,を考えると,も良いです,がよい,は良好です,の取れた,は思います,はいいと,が良いので,はいいです,もいいです,が悪く,は良く,は良い,の高い,のとれた,も良い,が悪いと,が悪いです,が高い,がいいと,がいいので,を考えれば,もいい,は抜群です
weight,"",0.00701446691503757,0.00560368880336842,0.00372771993006606,0.00350147107933813,0.00319752704729802,0.00306987250614463,0.0028826363443633,0.00281549741115337,0.00243029463699315,0.00220671181268732,0.0021104053831213,0.00197002696067489,0.00187855373041236,0.00173157612232526,0.00163204030444527,0.00162593814826192,0.00158981011831144,0.00151632669545616,0.00150453625993817,0.00146228253962271,0.00139593430777851,0.00138567018210582,0.00123333971951527,0.00119573002659625,0.00103591615948443,0.00103383757820925,0.001025841583515,0.00100939789869078,0.00100627517007159,0.000993132722462086,0.000982324142510801,0.00096003844790961,0.000935561355349933,0.000911240386057739,0.000868790061161554,0.000821638563131062,0.000745729410170363,0.000722496325867545,0.000714669324830753,0.000695663640831096
バランス,0.0112416024952221,20,14,6,10,6,5,7,8,3,5,4,9,0,5,11,6,8,4,3,3,27,0,4,2,0,0,2,3,2,2,19,1,4,2,2,4,0,5,2,1
画質,0.00827826159627537,2,24,12,6,14,13,6,19,6,11,9,13,18,1,6,1,2,5,1,2,0,28,11,5,11,9,0,7,7,0,0,10,4,4,0,1,1,2,4,1
使い勝手,0.00660270546389874,12,17,7,10,4,10,15,5,12,4,1,6,4,5,1,5,4,1,6,5,0,1,3,3,3,1,1,1,1,0,0,1,1,2,0,3,1,0,1,0
操作性,0.00518319143185475,4,4,6,8,12,6,4,10,3,5,1,2,11,3,6,0,3,9,2,6,0,11,9,2,4,3,0,2,2,0,0,8,0,2,3,0,2,1,5,6
持ち,0.00479476334943683,0,22,30,0,0,5,4,6,1,0,9,2,7,1,0,0,0,0,6,0,0,0,0,2,1,0,6,2,3,0,0,0,5,9,0,1,6,0,0,1
携帯性,0.00451282398495543,11,6,3,2,12,3,5,12,1,6,1,1,11,0,2,0,3,2,3,3,0,12,0,1,10,1,2,4,3,0,0,1,2,1,1,1,5,3,0,17
ホールド感,0.00345088313203786,3,3,5,5,6,14,2,4,1,5,1,1,9,1,0,0,0,4,0,9,0,4,0,3,2,3,3,1,7,0,0,1,0,0,1,1,1,1,3,4
写り,0.00252607122897226,7,4,2,4,4,4,1,5,1,1,5,2,6,0,2,1,0,0,0,1,0,4,2,1,7,0,0,2,3,0,0,2,1,0,0,1,2,2,3,0
デザイン,0.0022760954593184,1,7,0,3,7,2,2,11,0,1,1,1,0,1,4,0,0,2,1,1,0,11,6,2,3,3,0,0,2,0,0,2,0,0,0,1,0,0,2,0
