"",weight,の良い,が良い,が悪い,が良く,も良く,は良いです,が良いです,は良いと,がいいです,もよく,はありません,がいい,が良いと,がよく,を考えると,のよい,も良いと,も良いです,がよい,は思います,は良好です,の取れた,はいいと,が良いので,はいいです,は良い,もいいです,の高い,が悪いと,が悪く,は良く,も良い,が高い,のとれた,が悪いです,がいいと,がいいので,を考えれば,もいい,が良くて,は抜群です,は最高です,もありません,も良いので,も良好です,は感じです,がよいです,の悪い,はいいですね,がいいですね
weight,"",0.00936293599548242,0.00672477921104889,0.00445482534771315,0.00436953263649481,0.0039430753259295,0.00375597994384059,0.00346750808212695,0.00334922574949657,0.00292437178793581,0.00273887902137627,0.00256697172496972,0.00256616416493645,0.00235126715078996,0.0020336907763503,0.00202923162013091,0.00200067625204217,0.00189029106698779,0.00184013474152461,0.00181402446097923,0.00178709592354469,0.0017282509330657,0.00157951935954342,0.00149496373041013,0.00146393778688955,0.00137166670957545,0.00134667298366041,0.00131164936442256,0.00124738640957545,0.00123035092676055,0.00122018737791879,0.00120528084943767,0.00116319389181136,0.0011335909006016,0.00111151362338241,0.0010916385611257,0.00100824697566586,0.000954491489992914,0.000940060022390271,0.000906570401350988,0.000840214734143258,0.000832528781816188,0.000831246205106025,0.000823362757214068,0.000820967896562919,0.000787368294171154,0.000764134912128201,0.000754723326733552,0.000743555119074804,0.000711799062757255,0.000709489255187129
バランス,0.013681821646513,20,14,6,10,6,5,7,8,3,5,0,4,9,5,8,6,11,4,3,0,3,27,4,2,0,2,0,2,4,2,3,1,2,19,2,4,0,5,2,1,1,0,0,3,0,0,0,0,2,1
画質,0.0106784696904932,2,24,12,6,14,13,6,19,6,11,18,9,13,1,2,1,6,5,1,28,2,0,11,5,11,7,9,0,4,0,7,10,0,0,4,1,1,2,4,2,1,7,6,0,2,2,0,2,2,1
使い勝手,0.00879954560304,12,17,7,10,4,10,15,5,12,4,4,1,6,5,4,5,1,1,6,1,5,0,3,3,3,1,1,0,1,1,1,1,0,0,2,3,1,0,1,1,0,2,1,0,1,0,5,0,0,4
操作性,0.00673734551672579,4,4,6,8,12,6,4,10,3,5,11,1,2,3,3,0,6,9,2,11,6,0,9,2,4,2,3,0,0,0,2,8,3,0,2,0,2,1,5,0,6,1,1,1,3,3,1,1,1,1
持ち,0.00600741773565061,0,22,30,0,0,5,4,6,1,0,7,9,2,1,0,0,0,0,6,0,0,0,0,2,1,3,0,0,5,6,2,0,0,0,9,1,6,0,0,1,1,1,0,0,0,2,1,0,2,0
携帯性,0.00573737719495793,11,6,3,2,12,3,5,12,1,6,11,1,1,0,3,0,2,2,3,12,3,0,0,1,10,3,1,0,2,2,4,1,1,0,1,1,5,3,0,1,17,1,1,1,0,2,0,0,0,0
ホールド感,0.00478461587573128,3,3,5,5,6,14,2,4,1,5,9,1,1,1,0,0,0,4,0,4,9,0,0,3,2,7,3,0,0,3,1,1,1,0,0,1,1,1,3,1,4,0,5,4,2,3,1,0,0,0
写り,0.00351930204235626,7,4,2,4,4,4,1,5,1,1,6,5,2,0,0,1,2,0,0,4,1,0,2,1,7,3,0,0,1,0,2,2,0,0,0,1,2,2,3,2,0,4,8,0,0,1,0,0,4,0
質感,0.00314754491503917,1,4,1,5,5,4,2,4,1,2,2,4,1,1,0,0,3,2,1,2,1,0,2,0,5,0,5,5,0,0,0,6,9,0,0,0,0,0,0,1,0,4,0,0,2,4,0,0,1,2
