"",weight,の良い,が良い,が悪い,が良く,も良く,は良いです,が良いです,は良いと,はありません,がいいです,もよく,がいい,が良いと,がよく,のよい,を考えると,も良いと,も良いです,は思います,がよい,は良好です,はいいと,の取れた,が良いので,はいいです,は良い,もいいです,は良く,の高い,が悪いと,が悪く,も良い,が高い,が悪いです,のとれた,がいいと,もいい,がいいので,もありません,を考えれば,は最高です,が良くて,は抜群です,も良いので,は感じです,も良好です,はいいですね,がよいです,は悪いです,の悪い,がいいですね,はありませんが,が感じます,に優れた,になります,はありますが,も満足しています,があり,が良くない,はあります
weight,"",0.0111161237153139,0.00796541699570839,0.00534837359181954,0.00523949727595139,0.0048836952164119,0.00461815292843732,0.00415846254809874,0.00398758181517081,0.00360344998378711,0.00345313285587563,0.00328983081114278,0.00304307458353784,0.00276897819988203,0.00243443702102214,0.0024326802016274,0.00236132292974764,0.00226506611128426,0.002258047913509,0.00223158598061541,0.00219047522967574,0.00201961084636779,0.00183014977544299,0.00182104551675141,0.00177214849063712,0.00165663070573356,0.00160316076972919,0.00156833257286202,0.00147456104800032,0.00146422480669718,0.00146338407583439,0.00145188546260888,0.00140118023249137,0.00134806093062649,0.00130625035003517,0.00128147647475099,0.00124617840881647,0.0011310737791389,0.00113059971193098,0.00109980978583256,0.00109673314664836,0.00101347166905775,0.000990509850063424,0.000990107823626151,0.000974571890846393,0.000944716260825433,0.000917078983446199,0.000882568792911097,0.000880400555855927,0.000866361507393328,0.000864381125042727,0.000834057798267767,0.000805437425387239,0.000797280033743837,0.000790243310611072,0.000788615433030565,0.000783304262913977,0.000775367438583642,0.000772799453167803,0.000750926783044674,0.000747006660714391
バランス,0.0163575424922828,20,14,6,10,6,5,7,8,0,3,5,4,9,5,6,8,11,4,0,3,3,4,27,2,0,2,0,3,2,4,2,1,2,2,19,4,2,0,0,5,0,1,1,3,0,0,2,0,1,0,1,0,3,0,1,0,1,0,1,0
画質,0.0136163067266178,2,24,12,6,14,13,6,19,18,6,11,9,13,1,1,2,6,5,28,1,2,11,0,5,11,7,9,7,0,4,0,10,0,4,0,1,4,1,6,2,7,2,1,0,2,2,2,0,3,2,1,4,0,1,5,9,11,1,1,6
使い勝手,0.0106037177743278,12,17,7,10,4,10,15,5,4,12,4,1,6,5,5,4,1,1,1,6,5,3,0,3,3,1,1,1,0,1,1,1,0,2,0,3,1,1,1,0,2,1,0,0,0,1,0,5,0,0,4,0,1,0,0,0,0,0,1,0
操作性,0.00846711778613837,4,4,6,8,12,6,4,10,11,3,5,1,2,3,0,3,6,9,11,2,6,9,0,2,4,2,3,2,0,0,0,8,3,2,0,0,5,2,1,1,1,0,6,1,3,3,1,1,3,1,1,1,0,2,0,3,2,1,1,1
持ち,0.00780329509300753,0,22,30,0,0,5,4,6,7,1,0,9,2,1,0,0,0,0,0,6,0,0,0,2,1,3,0,2,0,5,6,0,0,9,0,1,0,6,0,0,1,1,1,0,2,0,2,1,5,0,0,1,1,0,0,1,0,0,5,0
携帯性,0.00736899171039445,11,6,3,2,12,3,5,12,11,1,6,1,1,0,0,3,2,2,12,3,3,0,0,1,10,3,1,4,0,2,2,1,1,1,0,1,0,5,1,3,1,1,17,1,2,0,0,0,5,0,0,7,0,5,0,0,0,0,0,1
ホールド感,0.00608688588984093,3,3,5,5,6,14,2,4,9,1,5,1,1,1,0,0,0,4,4,0,9,0,0,3,2,7,3,1,0,0,3,1,1,0,0,1,3,1,5,1,0,1,4,4,3,2,0,1,1,0,0,2,1,0,0,0,2,2,2,3
写り,0.00429820794968735,7,4,2,4,4,4,1,5,6,1,1,5,2,0,1,0,2,0,4,0,1,2,0,1,7,3,0,2,0,1,0,2,0,0,0,1,3,2,8,2,4,2,0,0,1,0,4,0,0,0,0,0,0,0,3,1,1,0,0,1
質感,0.00393006677752925,1,4,1,5,5,4,2,4,2,1,2,4,1,1,0,0,3,2,2,1,1,2,0,0,5,0,5,0,5,0,0,6,9,0,0,0,0,0,0,0,4,1,0,0,4,2,1,0,0,0,2,1,1,0,0,3,1,4,0,6
デザイン,0.00379321562020253,1,7,0,3,7,2,2,11,0,0,1,1,1,1,0,0,4,2,11,1,1,6,0,2,3,2,3,0,0,0,0,2,0,0,0,1,2,0,1,0,2,0,0,0,5,0,0,0,0,0,4,2,0,0,1,4,1,0,0,2
コストパフォーマンス,0.00353229086244498,5,5,0,1,1,4,0,8,0,0,1,1,2,0,0,10,2,0,2,3,0,1,0,0,1,0,0,0,36,0,0,0,14,0,0,0,1,1,0,3,9,0,2,0,0,0,3,0,0,0,0,0,0,33,0,0,0,0,0,0
気持ち,0.00350878059544205,13,7,0,0,0,0,2,0,1,9,0,9,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,1,1,0
レスポンス,0.00279305772336746,2,8,6,6,6,1,0,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
評判,0.00255617876224711,14,1,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,6,0,0,0,1,3,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
発色,0.00233611525693546,1,0,2,3,3,2,0,0,1,0,6,3,0,1,1,0,0,4,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,4,1,1,0
レンズ,0.00226699589385094,5,1,1,1,1,10,0,2,8,0,0,1,2,0,0,0,0,0,6,0,0,3,0,0,4,1,0,1,0,0,0,1,0,0,0,1,3,0,1,0,0,1,0,0,1,0,1,0,0,2,2,2,1,0,3,2,0,5,0,4
描写,0.00218845199259632,2,0,0,1,6,5,0,0,4,1,0,1,4,0,0,1,0,3,5,0,0,0,0,2,0,1,1,3,0,0,0,1,0,0,0,0,1,1,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,1,7,1,0,0,0,5
性能,0.00203797999231109,5,2,0,0,3,0,0,3,1,0,0,2,1,0,0,12,0,0,4,4,0,3,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,5,0,2,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
不満,0.00187884541045946,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,1,17,0,14,0,4
色乗り,0.00185885490257243,2,1,0,2,5,1,1,0,0,2,3,0,0,0,2,0,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
相性,0.00151424181193814,1,2,0,1,3,0,2,1,1,0,0,0,2,0,0,0,0,3,0,1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,0.0014672126558668,0,2,0,1,0,6,2,1,2,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
もち,0.00144071237672307,0,1,7,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0
精度,0.0013591900835354,2,2,2,2,1,1,0,2,1,0,0,0,0,0,0,0,2,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色のり,0.00134992636421245,1,0,0,1,0,1,1,1,0,1,6,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ホールド性,0.00132977839919654,0,1,2,4,0,2,2,0,1,0,0,1,0,1,0,0,0,0,1,0,3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天気,0.00132643338801765,15,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
価格,0.00118266698115282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
感じ,0.00115511660030414,0,4,0,0,0,3,1,1,6,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,22,6,0,1,0,2
質,0.00106655661162972,4,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
視認性,0.00105669157158875,2,2,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出来,0.00104090117127011,5,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0
色,0.000962315570944704,0,1,2,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0
感度,0.000952777678520827,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
カメラ,0.000951587218865744,3,0,0,0,0,2,0,1,6,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,3,1,0,1,0,3
大きさ,0.000913543516031165,0,0,0,0,1,2,2,1,2,1,0,1,0,0,0,8,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2
機能,0.000912728343834684,0,3,1,0,0,0,0,1,4,0,0,1,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,12,2,0,0,0,2,0,0,0,0,0,0,6,0,1,0,4,0,10,0,1
液晶,0.000908008933658962,1,1,0,0,0,7,0,2,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1
重さ,0.000905574696570915,0,3,0,0,2,2,0,0,1,1,0,2,0,0,0,1,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,2
ヌケ,0.00088948575618605,5,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ボケ味,0.000857748200915716,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
重量バランス,0.000854180213502138,0,0,1,3,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
操作感,0.000853007975911005,0,1,0,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
