"",weight,の良い,が良い,が悪い,が良く,も良く,は良いです,が良いです,は良いと,はありません,がいいです,もよく,がいい,が良いと,がよく,のよい,を考えると,は思います,がよい,も良いです,も良いと,は良好です,の高い,はいいと,が良いので,の取れた,はいいです,は良い,もいいです,も良い,が高い,が悪いと,は良く,が悪く,が悪いです,のとれた,がいいと,もいい,がいいので,もありません,を考えれば,は最高です,は抜群です,は感じです,が良くて,も良いので,はいいですね,も良好です,は悪いです,があり,の悪い,に優れた,はありませんが,がよいです,がいいですね,はありますが,も満足しています,があります,はあります,になります,はします,が感じます,が良くない,はよいです,は高いと,もなく,は良いのですが,のある,にありません,といい,が悪いので
weight,"",0.0123360958510382,0.0090513589793129,0.00601318627639802,0.00583064005729555,0.00547192704119849,0.00526582724950698,0.00455596693965877,0.00451930881779409,0.00443634182077284,0.00391356893916329,0.00366581818787624,0.00344859249495796,0.00303418713065451,0.00269567912987842,0.00266656950913776,0.00263980873595949,0.00263490833033136,0.00263474096004585,0.00258870282183956,0.00249395966031822,0.00222792013714812,0.00211926872925579,0.00203298770527176,0.00196391000023834,0.00194616107224521,0.00188630922787012,0.00178632543759181,0.00177569489671501,0.00172473189533366,0.00171392305861048,0.001657775405629,0.00163002915339658,0.00161427690496761,0.00144911072494725,0.00136952075454293,0.00136019805198776,0.00129726552188407,0.00126317158654907,0.00126220965326515,0.00122028069057098,0.00120483762177989,0.00111686026328219,0.00110888911411582,0.00109823601108905,0.00108542121721243,0.00106074812843383,0.00104967545324297,0.00102680247862712,0.00102307049036542,0.00102124008046949,0.00100708089673506,0.000997779179668896,0.000962842258887644,0.000947714986924215,0.000947278292357964,0.000910175544676022,0.000906604242001831,0.000905516871027531,0.000888264960561956,0.000886409491361125,0.000884195755507337,0.000870605290134284,0.000834335715560714,0.000806260604393739,0.000793458001598336,0.000790620953302357,0.000777294096407719,0.000774459328248808,0.000758695597177982,0.00075386578928316
バランス,0.0180837929130728,20,14,6,10,6,5,7,8,0,3,5,4,9,5,6,8,0,3,4,11,3,2,4,2,27,0,2,0,1,2,4,3,2,2,19,4,2,0,0,5,0,1,0,1,3,2,0,1,0,0,0,0,0,1,0,1,0,0,1,1,3,1,1,0,1,0,0,0,0,1
画質,0.0160453985482518,2,24,12,6,14,13,6,19,18,6,11,9,13,1,1,2,28,1,5,6,2,0,11,5,0,11,7,9,10,0,4,7,0,4,0,1,4,1,6,2,7,1,2,2,0,2,2,3,1,2,1,4,0,1,9,11,1,6,5,7,0,1,2,0,5,4,0,3,3,2
使い勝手,0.0118748589592394,12,17,7,10,4,10,15,5,4,12,4,1,6,5,5,4,1,6,1,1,5,0,3,3,0,3,1,1,1,0,1,1,1,2,0,3,1,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,5,4,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
操作性,0.0100168561088186,4,4,6,8,12,6,4,10,11,3,5,1,2,3,0,3,11,2,9,6,6,0,9,2,0,4,2,3,8,3,0,2,0,2,0,0,5,2,1,1,1,6,3,0,1,1,3,3,1,1,2,1,1,1,3,2,0,1,0,0,0,1,4,0,2,4,0,3,1,0
持ち,0.00926329191649934,0,22,30,0,0,5,4,6,7,1,0,9,2,1,0,0,0,6,0,0,0,0,0,2,0,1,3,0,0,0,5,2,6,9,0,1,0,6,0,0,1,1,2,1,0,2,0,5,0,0,0,1,1,0,1,0,0,0,0,2,1,5,2,0,0,1,0,0,0,4
携帯性,0.00881775722035992,11,6,3,2,12,3,5,12,11,1,6,1,1,0,0,3,12,3,2,2,3,0,0,1,0,10,3,1,1,1,2,4,2,1,0,1,0,5,1,3,1,17,2,1,1,0,0,5,0,0,5,7,0,0,0,0,0,1,0,0,0,0,3,0,1,5,0,1,1,2
ホールド感,0.00720476647818745,3,3,5,5,6,14,2,4,9,1,5,1,1,1,0,0,4,0,4,0,9,0,0,3,0,2,7,3,1,1,0,1,3,0,0,1,3,1,5,1,0,4,3,1,4,0,2,1,2,0,0,2,1,0,0,2,1,3,0,3,1,2,2,0,0,3,0,2,2,0
写り,0.00495280617756531,7,4,2,4,4,4,1,5,6,1,1,5,2,0,1,0,4,0,0,2,1,0,2,1,0,7,3,0,2,0,1,2,0,0,0,1,3,2,8,2,4,0,1,2,0,4,0,0,0,0,0,0,0,0,1,1,0,1,3,2,0,0,0,0,0,1,0,2,0,0
質感,0.00476015935306839,1,4,1,5,5,4,2,4,2,1,2,4,1,1,0,0,2,1,2,3,1,5,2,0,0,5,0,5,6,9,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,1,2,0,4,0,0,1,0,2,3,1,3,6,0,1,1,0,1,2,1,1,2,0,4,0
コストパフォーマンス,0.00467920588106761,5,5,0,1,1,4,0,8,0,0,1,1,2,0,0,10,2,3,0,2,0,36,1,0,0,1,0,0,0,14,0,0,0,0,0,0,1,1,0,3,9,2,0,0,0,3,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1,0
デザイン,0.00446723612828952,1,7,0,3,7,2,2,11,0,0,1,1,1,1,0,0,11,1,2,4,1,0,6,2,0,3,2,3,2,0,0,0,0,0,0,1,2,0,1,0,2,0,5,0,0,0,0,0,0,0,0,2,0,4,4,1,0,2,1,3,0,0,1,0,0,2,1,0,1,0
気持ち,0.00393497535492001,13,7,0,0,0,0,2,0,1,9,0,9,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
レスポンス,0.00316557047481682,2,8,6,6,6,1,0,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
評判,0.0028571354566334,14,1,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,3,0,6,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レンズ,0.00282927891157011,5,1,1,1,1,10,0,2,8,0,0,1,2,0,0,0,6,0,0,0,0,0,3,0,0,4,1,0,1,0,0,1,0,0,0,1,3,0,1,0,0,0,1,1,0,1,0,0,5,2,0,2,0,2,2,0,0,4,3,6,1,0,2,1,1,0,0,1,1,0
発色,0.00273977871644693,1,0,2,3,3,2,0,0,1,0,6,3,0,1,1,0,2,0,4,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,3,2,1,1,0,0,2,0,0,0,2,0
描写,0.00248774904426944,2,0,0,1,6,5,0,0,4,1,0,1,4,0,0,1,5,0,3,0,0,0,0,2,0,0,1,1,1,0,0,3,0,0,0,0,1,1,0,0,1,0,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,5,7,1,0,0,0,0,1,0,0,0,0,0
不満,0.00248718896785345,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,14,0,0,26,0,0,17,0,22,4,1,0,0,0,0,0,7,0,2,0,0,0
性能,0.00245976453979931,5,2,0,0,3,0,0,3,1,0,0,2,1,0,0,12,4,4,0,0,0,1,3,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,5,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,2,3,0,1,1,0,0,2,0,0,0,1,2,0
色乗り,0.00213813396371467,2,1,0,2,5,1,1,0,0,2,3,0,0,0,2,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
相性,0.00181624709527407,1,2,0,1,3,0,2,1,1,0,0,0,2,0,0,0,0,1,3,0,0,0,2,1,0,1,0,2,0,0,0,2,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
もち,0.00169602029626137,0,1,7,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
感触,0.00167246709414633,0,2,0,1,0,6,2,1,2,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
精度,0.00155103976513219,2,2,2,2,1,1,0,2,1,0,0,0,0,0,0,0,0,1,1,2,0,1,1,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
色のり,0.00154125856475965,1,0,0,1,0,1,1,1,0,1,6,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ホールド性,0.00148571700131813,0,1,2,4,0,2,2,0,1,0,0,1,0,1,0,0,1,0,0,0,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天気,0.00147973080986339,15,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感じ,0.0014504106008671,0,4,0,0,0,3,1,1,6,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,1,1,6,0,5,2,22,4,0,0,1,0,0,0,0,0,0,0
価格,0.00140554207906404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,1,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
