"",weight,の良い,が良い,が悪い,が良く,も良く,は良いです,は良いと,が良いです,はありません,がいいです,もよく,がいい,が良いと,は思います,がよく,がよい,も良いです,を考えると,のよい,も良いと,は良好です,の高い,はいいと,はいいです,が良いので,もいいです,の取れた,も良い,は良い,が高い,が悪いと,が悪く,は良く,が悪いです,がいいと,のとれた,もありません,がいいので,もいい,が弱いです,は最高です,を考えれば,は感じです,はいいですね,が良くて,は抜群です,も良いので,も良好です,は悪いです,はありませんが,があり,に優れた,も満足しています,はありますが,の悪い,がよいです,がいいですね,はあります,があります,はします,が良くない,になります,が感じます,はよいです,にありません,が悪いので,は良いのですが,もなく,をする,のある,は高いと,といい,も悪くなく,は思いますが,には満足しています,はあり,は気に入っています,は満足しています,は良いですね,はよいと
weight,"",0.0136654542007084,0.0105558461439398,0.00875997165756242,0.00669612413604113,0.00638742093213598,0.00622035057845627,0.00526033453657187,0.00524440128907602,0.00523292042823076,0.00448681819238676,0.00426004466608499,0.00407540234303752,0.00348600646226449,0.00318381180227423,0.00311943236717024,0.00307254499464946,0.00305382154070706,0.00301427934035572,0.00297214157869996,0.00280934399354439,0.00257632357660362,0.002442885914968,0.00242233266664687,0.00234690732962548,0.00223599160008372,0.00219535488557685,0.00213981556544809,0.00211106786453047,0.00208317521056156,0.00196676005819441,0.00191499648931857,0.00191330124008389,0.00189653080178709,0.00176092978324575,0.00155463475747325,0.00150579613864865,0.00149940208050938,0.00149424751897515,0.00149343578785106,0.00140808603722033,0.00140372497147352,0.00136038144295799,0.00133383798430573,0.00129849455027489,0.00127933346110508,0.00127925398426701,0.00125465507643303,0.0012320780020824,0.00120810226445164,0.00118816072872688,0.00118582404603784,0.00112783475908225,0.00112616007202351,0.00112308247886548,0.0011216996143451,0.00110256862325856,0.00108441971677056,0.00107382557871895,0.00104581221598199,0.0010435934292137,0.00104145908784196,0.0010368681832628,0.00102872290917898,0.000975455531476955,0.00097175266409046,0.000965751316136981,0.000938710856705064,0.000929783244905146,0.000906942263774913,0.000897186225587275,0.000886578588107131,0.000882882606690775,0.00086941499746447,0.00082771646512001,0.000813015041348102,0.000798418653990706,0.000786679840897656,0.000778281677663582,0.000773406867235417,0.000738079007986136
バランス,0.0207868895445879,20,14,6,10,6,5,8,7,0,3,5,4,9,0,5,3,4,8,6,11,3,2,4,0,2,0,27,1,2,2,4,2,3,2,4,19,0,0,2,0,0,5,0,2,1,1,3,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,3,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1
画質,0.0204451970278208,2,24,12,6,14,13,19,6,18,6,11,9,13,28,1,1,5,2,1,6,2,0,11,11,5,9,0,10,7,0,4,0,7,4,1,0,6,1,4,0,7,2,2,2,2,1,0,2,3,4,1,1,11,9,2,0,1,6,1,7,1,5,0,2,3,2,4,5,2,0,0,3,3,7,12,8,5,8,5,1
使い勝手,0.0140566535625289,12,17,7,10,4,10,5,15,4,12,4,1,6,1,5,6,1,4,5,1,5,0,3,3,3,1,0,1,1,0,1,1,1,2,3,0,1,1,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,4,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1
操作性,0.0120752543250823,4,4,6,8,12,6,10,4,11,3,5,1,2,11,3,2,9,3,0,6,6,0,9,4,2,3,0,8,2,3,0,0,2,2,0,0,1,2,5,0,1,1,3,1,0,6,1,3,3,1,1,2,2,3,1,1,1,1,0,0,1,0,0,4,3,0,4,2,0,0,0,1,1,3,1,1,1,1,1,0
持ち,0.0116625244601339,0,22,30,0,0,5,6,4,7,1,0,9,2,0,1,6,0,0,0,0,0,0,0,1,2,0,0,0,3,0,5,6,2,9,1,0,0,6,0,0,1,0,2,2,1,1,0,0,5,1,0,0,0,1,0,1,0,0,0,2,5,0,1,2,0,4,1,0,0,0,0,0,0,1,0,0,0,0,2,1
携帯性,0.0106730106182122,11,6,3,2,12,3,12,5,11,1,6,1,1,12,0,3,2,3,0,2,3,0,0,10,1,1,0,1,3,1,2,2,4,1,1,0,1,5,0,0,1,3,2,0,1,17,1,0,5,7,0,5,0,0,0,0,0,1,0,0,0,0,0,3,1,2,5,1,0,0,0,1,1,2,1,0,0,2,1,2
ホールド感,0.00886657656474928,3,3,5,5,6,14,4,2,9,1,5,1,1,4,1,0,4,0,0,0,9,0,0,2,3,3,0,1,7,1,0,3,1,0,1,0,5,1,3,0,0,1,3,0,1,4,4,2,1,2,2,0,2,0,0,1,0,3,1,3,2,0,1,2,2,0,3,0,0,0,0,2,1,2,1,2,2,0,1,1
写り,0.00620649755198011,7,4,2,4,4,4,5,1,6,1,1,5,2,4,0,0,0,0,1,2,1,0,2,7,1,0,0,2,3,0,1,0,2,0,1,0,8,2,3,0,4,2,1,4,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,3,0,0,2,0,1,0,18,0,0,0,1,0,3,2,0,3,0,2
デザイン,0.00615335298108986,1,7,0,3,7,2,11,2,0,0,1,1,1,11,1,1,2,0,0,4,1,0,6,3,2,3,0,2,2,0,0,0,0,0,1,0,1,0,2,0,2,0,5,0,0,0,0,0,0,2,0,0,1,4,0,0,4,2,0,3,0,1,0,1,0,0,2,0,0,1,0,1,1,3,0,5,13,2,2,3
