"",weight,の良い,が良い,が悪い,が良く,も良く,は良いです,が良いです,はありません,は良いと,がいいです,もよく,がいい,が良いと,は思います,の高い,がよく,も良いです,がよい,を考えると,のよい,も良いと,は良好です,はいいと,の取れた,はいいです,が良いので,も良い,が高い,もいいです,は良い,が悪いと,が悪く,は良く,が悪いです,がいいと,もありません,がいいので,は最高です,もいい,のとれた,を考えれば,は感じです,はいいですね,も良いので,が弱いです,は抜群です,が良くて,に優れた,があり,も良好です,は悪いです,はありませんが,はありますが,も満足しています,はあります,になります,は高いと,がよいです,の悪い,がいいですね,はします,があります,が良くない,が感じます,はよいです,にありません,が悪いので,は良いのですが,のある,といい,もなく,をする,も悪くなく,も高く,は思いますが,が高く,は良いですね,はあり,には満足しています,は気に入っています,は満足しています,は高いです,はよいと,もいいですね,は感じます,が良くなりました,は悪くないと,も含めて,をします,を考えて
weight,"",0.0147073364749971,0.0114815689624024,0.00950715616700701,0.00736417189881463,0.00697972312426192,0.00683502871988785,0.00596172498897899,0.00583239080091609,0.00581999120856082,0.00488206191741278,0.00480282084324066,0.00449195141308361,0.00377666336013164,0.0036954603233902,0.00361653261721716,0.00361100671714447,0.00360288294940494,0.00336555944999022,0.00334447444642518,0.00319067470296716,0.00304429301626065,0.00280508414353227,0.00265822555635025,0.00263592861514468,0.00260988385192317,0.00256057803870714,0.00252444324906087,0.0024776613389585,0.00243051279049038,0.00241151257979196,0.00206739690026561,0.00206070467672873,0.00205974396174633,0.00191722114591726,0.00167178840308938,0.00167105627995711,0.00166127596958058,0.00164123072560839,0.0016333511611495,0.00158995836512791,0.00152015704193469,0.00151107520103732,0.00146835369185744,0.00146055785488026,0.00145989735834916,0.00140992996228014,0.00139342675509607,0.00136269060759765,0.00135867954088966,0.00135112433795003,0.00131332876067622,0.00130155770144921,0.00127683470990549,0.00125721611524897,0.00125412199983483,0.00124558030865027,0.00123909518675022,0.00119776088088655,0.00119053953660066,0.00118551330838599,0.00117213116804692,0.00117017892658441,0.00113381443906329,0.00111741034680554,0.00107042056528835,0.00106011406621939,0.00104761871375273,0.00103671448909599,0.00103467650140508,0.00101907746051435,0.00101381600207746,0.00101093668322388,0.000954489100757771,0.000948623214803648,0.000916904518046431,0.000914149402612051,0.000912688874277624,0.000907823084656423,0.000906614063088689,0.000876874227580765,0.00086376626426602,0.000843961690068287,0.000832314063177289,0.000828085954116326,0.000821022439307016,0.000806418200348284,0.000798806102723744,0.000796792271142719,0.000795219039569345,0.000785037706633991
バランス,0.0235461245376347,20,14,6,10,6,5,7,0,8,3,5,4,9,0,2,5,4,3,8,6,11,3,4,27,0,2,1,2,0,2,4,2,3,2,4,0,0,0,2,19,5,0,2,3,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,3,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,2
画質,0.0232051117111886,2,24,12,6,14,13,6,18,19,6,11,9,13,28,0,1,5,1,2,1,6,2,11,0,11,5,10,0,9,7,4,0,7,4,1,6,1,7,4,0,2,2,2,0,0,1,2,1,1,2,3,4,9,11,6,5,0,0,2,1,7,1,1,0,2,3,2,4,0,3,5,2,3,0,7,0,5,8,12,5,8,0,1,1,8,2,1,1,0,0
使い勝手,0.016059193554702,12,17,7,10,4,10,15,4,5,12,4,1,6,1,0,5,1,6,4,5,1,5,3,0,3,3,1,0,1,1,1,1,1,2,3,1,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,4,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,2,2,1,0,1
操作性,0.0136336606659467,4,4,6,8,12,6,4,11,10,3,5,1,2,11,0,3,9,2,3,0,6,6,9,0,4,2,8,3,3,2,0,0,2,2,0,1,2,1,5,0,1,3,1,1,0,6,0,2,1,3,3,1,3,2,1,0,0,1,1,1,0,0,1,0,4,3,0,4,0,1,2,0,1,0,3,1,1,1,1,1,1,1,0,0,2,0,1,1,0,2
持ち,0.0128248452978554,0,22,30,0,0,5,4,7,6,1,0,9,2,0,0,1,0,6,0,0,0,0,0,0,1,2,0,0,0,3,5,6,2,9,1,0,6,1,0,0,0,2,2,0,0,1,1,0,0,0,5,1,1,0,0,0,0,1,0,0,2,0,5,1,2,0,4,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0
携帯性,0.012154349067694,11,6,3,2,12,3,5,11,12,1,6,1,1,12,0,0,2,3,3,0,2,3,0,0,10,1,1,1,1,3,2,2,4,1,1,1,5,1,0,0,3,2,0,1,0,17,1,5,0,0,5,7,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,5,0,1,1,0,1,1,2,0,1,0,1,0,2,0,2,1,1,0,2,0,0,2
ホールド感,0.00988146388148527,3,3,5,5,6,14,2,9,4,1,5,1,1,4,0,1,4,0,0,0,0,9,0,0,2,3,1,1,3,7,0,3,1,0,1,5,1,0,3,0,1,3,0,4,0,4,1,0,2,2,1,2,0,2,3,0,0,1,0,0,3,1,2,1,2,2,0,3,0,2,0,0,1,0,2,1,1,2,1,2,0,1,1,0,1,0,0,0,0,0
写り,0.00730911098883148,7,4,2,4,4,4,1,6,5,1,1,5,2,4,0,0,0,0,0,1,2,1,2,0,7,1,2,0,0,3,1,0,2,0,1,8,2,4,3,0,2,1,4,0,0,0,2,0,0,0,0,0,1,1,1,3,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,18,1,1,0,0,0,2,3,0,3,0,2,0,1,0,0,0,17,0
コストパフォーマンス,0.00728398165577368,5,5,0,1,1,4,0,0,8,0,1,1,2,2,36,0,0,3,10,0,2,0,1,0,1,0,0,14,0,0,0,0,0,0,0,0,1,9,1,0,3,0,3,0,0,2,0,33,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,4,1,0,0,0,0,4,2,3,0,0,0,2,0,1
