"",weight,の高い,の良い,は高いです,が高い,が良い,は高いと,が悪い,は良いです,が高いです,は良いと,が良く,も良く,に優れた,はありません,を考えると,が良いです,もよく,は思います,が高く,がいいです,は高い,がいい,が高いと,は最高です,が良いと,があります,が弱いです,がよい,も高く,も良いと,がよく,のよい,はしました,も良いです,が高いので,を考えれば,はいいです,はいいと,は良好です,は5です,のある,が良いので,は高く,があり,はあります,も良い,の取れた,もいいです,は良い,は満点です,は良く,が悪いと,もありません,も高い,が悪く,は最高だと,がある,は感じです,もいい,は抜群です,はいいですね,がいいので,はあると,はありますが,はしましたが,が悪いです,があると,はします,のとれた,がいいと,は最高ですね,はありませんが,をしました,の悪い,も良いので,といい,も良好です,が良くて,に優れている,もいいですね,は高いですね,になります,は素晴らしいです,も満足しています,に優れていると,が低い,も含めて,はあり,はよいと,は悪いです,は良いのですが,は思いますが,はものです,は良いですね,がいいですね,が感じます,は抜群,にありません,から考えると,がよいです
weight,"",0.0264944990323531,0.0126334775979987,0.0116788080032016,0.0113997720556263,0.00950096878305902,0.00842933329916548,0.00835603496825957,0.00607374481785471,0.00601953304369596,0.00572598379059083,0.00564310551744552,0.0056066263549054,0.00557302626747403,0.00485501081436216,0.00484687261221045,0.00415165934659524,0.00378381105436638,0.00372476695722394,0.00357539329486009,0.00350468046114799,0.00347375617579413,0.00331734763581219,0.00330774684955398,0.00317942729496446,0.00305309323258986,0.0029033285912873,0.00288770057988531,0.00283969743603534,0.00281855393940943,0.00273295702907709,0.00247589431198911,0.0024678845957371,0.00246787862334221,0.00245695975537442,0.00241000461690778,0.00222822275904836,0.00219112599261943,0.00213750697330616,0.00208389106029366,0.00201263494081749,0.00196945233083276,0.00192139288387541,0.00189674193145173,0.00189378336075635,0.00188346792088041,0.00181345068032523,0.00175223819856744,0.00174002253243867,0.00173310467600765,0.00169543927806425,0.00165768704714427,0.00160779420466401,0.00160590230774204,0.00157600448158324,0.00152566555975854,0.0015211242365908,0.00146437578419663,0.00144990974805502,0.00144594204589281,0.00141775569382564,0.00141110218962048,0.00139927220016309,0.00139083111982408,0.00134594302925148,0.00131863991368069,0.00131327837165761,0.00130694851505117,0.00130038754674219,0.00123305651010301,0.00122146544580979,0.00121475373910193,0.00120252212408609,0.00112776668256763,0.00110034258065495,0.00105959582840002,0.00103016883255844,0.00102293615525103,0.00102023238968314,0.001012095165665,0.00100486395802094,0.00100476815947051,0.000998892535981109,0.000996174587054751,0.000995187023324575,0.000992726595828822,0.000984743629974368,0.000964110491400203,0.000955240032812727,0.00094382644923778,0.000936662392923751,0.000934742106907971,0.000916345473421221,0.000913764569358703,0.00090226089261349,0.000891220728661028,0.000879853459280647,0.000876841186934316,0.000873124059226046,0.000866453997426668,0.000865084144705416
満足度,0.0314910633876991,45,0,68,7,0,10,0,0,16,0,0,0,0,1,0,0,0,1,2,0,13,0,3,3,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,14,0,0,6,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,2,1,6,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0
コストパフォーマンス,0.0295257041830107,36,5,4,14,5,24,0,4,4,8,1,1,33,0,10,0,1,2,4,0,2,1,6,9,2,0,0,3,4,2,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,1,2,3,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,3,3,2,0,3,0,7,0,2,0,2,0,0,0,0,1,0,0,4,0,3,0
画質,0.0193061272729993,0,2,0,0,24,0,12,13,0,19,6,14,1,18,2,6,11,28,0,6,0,9,0,7,13,1,0,1,0,6,1,1,3,5,0,2,11,11,2,1,0,5,2,1,6,10,0,9,7,0,7,4,6,0,0,1,0,2,4,1,2,1,0,9,1,4,1,7,0,1,1,4,0,2,0,3,2,2,0,1,0,5,4,11,0,1,1,8,1,3,4,7,11,5,1,0,0,3,0,0
バランス,0.0187509961310471,2,20,0,2,14,0,6,5,1,8,10,6,0,0,8,7,5,0,0,3,0,4,0,0,9,0,0,3,0,11,5,6,0,4,0,5,0,4,3,0,0,2,0,0,0,1,27,0,2,0,3,4,0,0,2,1,0,0,2,1,2,0,0,0,0,2,0,1,19,4,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,3,0,0,0,0
携帯性,0.012480164588748,0,11,0,1,6,0,3,3,0,12,2,12,5,11,3,5,6,12,0,1,0,1,1,1,1,0,0,3,1,2,0,0,4,2,1,3,10,0,3,0,0,1,0,0,1,1,0,1,3,1,4,2,1,0,2,0,0,2,0,17,0,5,0,0,1,1,1,0,0,1,0,7,2,0,1,1,0,1,4,1,0,0,1,0,1,0,0,0,2,5,5,2,2,1,0,0,6,1,1,0
使い勝手,0.0123181179317579,0,12,0,0,17,0,7,10,0,5,10,4,0,4,4,15,4,1,0,12,0,1,0,2,6,1,0,6,0,1,5,5,0,1,0,0,3,3,5,0,0,3,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,3,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4,1,0,1,0,5
操作性,0.0121459626964883,0,4,1,3,4,0,6,6,0,10,8,12,2,11,3,4,5,11,1,3,0,1,0,1,2,0,0,2,0,6,3,0,5,9,0,1,4,9,6,0,0,2,0,1,1,8,0,3,2,2,2,0,1,0,0,0,0,3,5,6,1,2,0,3,0,2,0,0,0,0,0,1,3,1,1,1,3,0,0,0,0,0,0,2,1,0,1,1,0,3,4,3,2,1,1,0,0,3,0,1
完成度,0.0104924137495143,37,0,3,11,0,7,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
質感,0.0099993425291153,5,1,2,9,4,2,1,4,2,4,5,5,0,2,0,2,2,2,6,1,2,4,2,4,1,3,0,1,4,3,1,0,0,2,0,0,5,2,1,0,2,0,0,4,6,6,0,5,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,3,0,0,2,1,0,0,0,1,0,0,0,4,2,1,0,0,0,0,1,1,0,1,3,1,0,0,1,1,1,1,2,1,0,0,0,0
