"",weight,バランス,画質,使い勝手,操作性,持ち,携帯性,ホールド感,写り,デザイン,質感,気持ち,レスポンス,コストパフォーマンス,評判,発色,描写,レンズ,性能,色乗り,相性,ホールド性,感触,精度,天気,もち,色のり,価格,視認性,質,感じ,色,重さ,出来,重量バランス,反応,値段,感度,大きさ,切れ,解像度
weight,"",0.0112416024952221,0.00827826159627537,0.00660270546389874,0.00518319143185475,0.00479476334943683,0.00451282398495543,0.00345088313203786,0.00252607122897226,0.0022760954593184,0.00224517504513247,0.00215690147300161,0.00177221404762153,0.00174966761575458,0.00152370707375824,0.00131759377056788,0.00122267715176321,0.00119291812994501,0.0011815665334065,0.00115624355829559,0.00100550619705695,0.000904287383997175,0.000841876930217418,0.000824738526362625,0.000814682007788793,0.000812874150177808,0.000809381181219415,0.000730132110283465,0.000695347362578134,0.000652957129555897,0.000605400847939135,0.000603094687436486,0.000579136127976803,0.000577253760989225,0.000549994814512632,0.000548957750982854,0.000547115837472467,0.000533515572386554,0.000523045437595861,0.000513962441003684,0.00050715593262126
の良い,0.00352050264563651,20,2,12,4,0,11,3,7,1,1,13,2,5,14,1,2,5,5,2,1,0,0,2,15,0,1,0,2,4,0,0,0,5,0,2,0,1,0,4,0
が良い,0.00249556624513567,14,24,17,4,24,6,3,4,7,4,7,8,5,1,0,0,1,2,1,2,1,2,2,2,1,0,0,2,0,4,1,3,1,0,0,0,0,0,1,1
が良く,0.00160150463016249,10,6,10,8,0,2,5,4,3,5,0,6,1,0,3,1,1,0,2,1,4,1,2,0,0,1,0,0,1,0,0,0,0,3,1,0,2,0,3,0
が悪い,0.00152842877236746,6,12,7,6,36,3,5,2,0,1,0,6,0,0,2,0,1,0,0,0,2,0,2,0,7,0,0,1,2,0,2,0,0,1,2,0,2,0,0,1
も良く,0.00140309660283579,6,14,4,12,7,12,6,6,7,5,0,6,1,0,3,6,1,3,5,3,0,0,1,0,0,0,0,2,1,0,1,2,0,0,0,0,0,1,1,1
は良いです,0.00131268369117627,5,13,10,6,10,3,14,4,2,4,0,1,4,0,2,5,10,0,1,0,2,6,1,0,1,1,0,0,0,3,0,2,1,0,0,0,0,2,0,1
が良いです,0.00128510646875258,7,6,15,4,7,5,2,1,2,2,2,0,0,0,0,0,0,0,1,2,2,2,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,2,0,0
は良いと,0.00122346209015194,8,19,5,10,8,12,4,5,11,4,0,1,8,0,0,0,2,3,0,1,0,1,2,0,1,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0
がいいです,0.00107626697636011,3,6,12,3,6,1,1,1,0,1,9,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,2,1,1,0,1,1,0,0,1,0,0
もよく,0.000941032649353186,5,11,4,5,6,6,5,1,1,2,0,0,1,0,6,0,0,0,3,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1
がいい,0.000918510777173966,4,9,1,1,10,1,1,5,1,4,9,1,1,3,3,1,1,2,0,0,1,1,0,0,1,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0
が良いと,0.000899965158848983,9,13,6,2,2,1,1,2,1,1,0,0,2,0,0,4,2,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0
のよい,0.000796217269189401,6,1,5,0,0,0,0,1,0,0,3,0,0,3,1,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
はありません,0.000788734256147294,0,18,4,11,9,11,9,6,0,2,1,1,0,0,1,4,8,1,0,1,1,2,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,2,0,2
がよく,0.00077012468448475,5,1,5,3,1,0,1,0,1,1,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0
を考えると,0.000769559763247252,8,2,4,3,0,3,0,0,0,0,0,0,10,0,0,1,0,12,0,0,0,1,0,0,1,0,45,0,0,0,0,1,0,1,0,27,0,8,0,0
も良いと,0.000747556393925143,11,6,1,6,1,2,0,2,4,3,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
の取れた,0.000667084104112078,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよい,0.000661385199101185,3,1,6,2,6,3,0,0,1,1,2,0,3,0,0,0,0,4,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
も良いです,0.000657314578941804,4,5,1,9,5,2,4,0,2,2,0,0,0,0,4,3,0,0,2,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
は良好です,0.000617634139793088,3,2,5,6,0,3,9,1,1,1,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
は思います,0.000607442305310642,0,28,1,11,0,12,4,4,11,2,0,0,2,0,2,5,6,4,1,0,1,0,0,0,0,0,3,1,0,0,1,1,1,0,0,2,1,0,0,1
はいいと,0.0005558094718604,4,11,3,9,0,0,0,2,6,2,0,0,1,0,0,0,3,3,0,2,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
が良いので,0.000540502916999933,2,5,3,2,2,1,3,1,2,0,0,1,0,6,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
のとれた,0.000469429554745537,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
の高い,0.000464824299029823,2,0,0,0,0,0,0,0,0,5,0,0,36,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,5
はいいです,0.000458951007814912,0,11,3,4,1,10,2,7,3,5,0,0,1,0,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0
は良く,0.000436261574155282,3,7,1,2,2,4,1,2,0,0,0,1,0,1,0,3,1,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1
が悪く,0.000434105881297864,2,0,1,0,6,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,1,0,0,0,1,0,1,0,0,0
は良い,0.000420704624723237,2,7,1,2,4,3,7,3,2,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1
が高い,0.000416442721216155,2,0,0,3,0,1,1,0,0,9,0,0,14,0,0,0,0,2,0,0,1,0,4,0,0,0,9,0,1,0,0,0,0,0,0,9,0,0,0,6
が悪いと,0.000414050894130033,4,4,1,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2
もいいです,0.00041108868667851,0,9,1,3,6,1,3,0,3,5,0,1,0,0,1,1,0,0,0,2,0,3,1,0,1,0,0,0,0,2,0,2,0,1,0,1,0,1,0,0
も良い,0.000391749283884497,1,10,1,8,4,1,1,2,2,6,0,1,0,1,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,1
がいいと,0.000387329276226073,4,1,3,0,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
が悪いです,0.000379054736665733,2,4,2,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
を考えれば,0.000359243843582355,5,2,0,1,0,3,1,2,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,17,0,1,0,0
もいい,0.00032332063575182,2,4,1,5,0,0,3,3,2,0,0,0,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
がいいので,0.000314311251060919,0,1,1,2,6,5,1,2,0,0,1,1,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
は抜群です,0.000299310377067508,1,1,0,6,1,17,4,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は最高です,0.000283019818938539,0,7,2,1,1,1,0,4,2,4,0,0,9,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
も良いので,0.000275408611893674,3,0,0,1,4,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
がよいです,0.000274107197909254,0,0,5,1,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
がいいですね,0.000261463799171964,1,1,4,1,0,0,0,0,4,2,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
が良くて,0.00025134365299543,1,2,1,0,2,1,1,2,0,1,0,1,0,0,0,2,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じです,0.000249489641306199,0,2,0,3,2,2,3,1,5,4,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0
も良好です,0.000247750549169085,0,2,1,3,1,0,2,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
が感じます,0.000242774331188836,3,0,1,0,2,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありません,0.000241473876623568,0,6,1,1,0,1,5,8,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
の悪い,0.000241116181724863,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0
に優れた,0.000235089471792162,0,1,0,2,0,5,0,0,0,0,0,0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいですね,0.000230015392922018,2,2,0,1,2,0,0,4,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
になります,0.000221368909390822,1,5,0,0,0,0,0,3,1,0,2,0,0,0,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0,1,0,1,0,0
が良くない,0.000220553277161226,1,1,1,1,5,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は悪いです,0.000218508303799795,1,3,0,3,6,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も満足しています,0.000210379044267743,1,11,0,2,1,0,2,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
はします,0.00020080834805455,1,7,0,0,2,0,3,2,3,1,0,0,0,0,2,1,6,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,1
はよいです,0.000198016700396229,1,2,0,4,3,3,2,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
があり,0.000197950761509217,0,1,0,1,0,0,2,0,0,4,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,1,1,4,1
も悪くなく,0.000197044157056684,1,3,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
は良いのですが,0.000191403687787338,0,4,0,4,1,5,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にありません,0.000185971566978839,0,3,1,3,1,1,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
が悪いので,0.000183347024442097,1,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
もなく,0.000177571451609678,1,5,1,2,1,1,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
は悪くないと,0.000177077754636174,1,1,2,1,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
といい,0.000176324399379515,0,3,0,1,0,1,2,0,1,4,0,0,1,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
をする,0.000175518113780501,0,2,0,0,0,0,0,18,0,0,0,0,0,0,2,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
を考えて,0.000174321287251021,2,0,1,2,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
はよいと,0.000171668725336009,1,1,1,0,1,2,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いですね,0.000171161053734315,1,5,1,1,2,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は満足しています,0.000167708726993994,0,8,1,1,0,2,0,3,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
は気に入っています,0.000165194989857253,1,5,1,1,0,0,2,0,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はありませんが,0.000164418586275071,0,4,0,1,1,7,2,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
はあります,0.000163772269900181,0,6,0,1,0,1,3,1,2,6,0,0,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0
には満足しています,0.000163031136013953,0,12,1,1,1,1,1,3,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
は高いと,0.000162388481278074,0,0,0,0,0,0,0,0,0,2,0,0,24,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いのか,0.000159995760716287,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
もいいですね,0.000159334441518424,0,1,1,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はありますが,0.000158353457246981,0,9,0,3,1,0,0,1,4,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,6,0,4,0,0,0,0,0,1,0,1
も含めて,0.000157509676006726,1,1,1,1,0,0,0,0,2,3,0,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
は思いますが,0.000157201636202361,0,7,0,3,1,2,2,0,3,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
が良くなりました,0.000154125542437976,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
をします,0.000153178589077777,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
