"",weight,バランス,画質,使い勝手,操作性,持ち,携帯性,ホールド感,写り,質感,デザイン,気持ち,コストパフォーマンス,レスポンス,評判,レンズ,描写,発色,性能,色乗り,相性,感触,精度,色のり,天気,ホールド性,もち,価格,感じ,不満,視認性,出来,質,感度,色,ヌケ,カメラ,大きさ,重量バランス,操作感,重さ,ボケ味,値段,反応,液晶,切れ,位置,画像,機能,解像度,描写力
weight,"",0.013681821646513,0.0106784696904932,0.00879954560304,0.00673734551672579,0.00600741773565061,0.00573737719495793,0.00478461587573128,0.00351930204235626,0.00314754491503917,0.00306094526044801,0.00288663402790404,0.00242244143922267,0.00232773324733495,0.00213972884695209,0.00175466751001668,0.00174730129902712,0.00169017783006562,0.00164835944945457,0.00154336924845175,0.00125094938525894,0.00117671423585345,0.00113094075992057,0.00111833704631078,0.00111501800788513,0.00111043523466579,0.00110782673084764,0.000993433223985188,0.000935633104745253,0.000910783038948533,0.000879869413959086,0.000864751856686809,0.00086163385175936,0.000795036512790632,0.000776957764276797,0.00074592552471384,0.000736784195804846,0.000721604922757798,0.000718538703755488,0.000715903866040142,0.000711346528133907,0.000702366733524122,0.000698826082096086,0.000675160744491531,0.000669468435563234,0.00065439452535483,0.000643419622836382,0.00064103851232045,0.000636363910641777,0.000635343854662793,0.000634607718447445
の良い,0.00500640600868552,20,2,12,4,0,11,3,7,1,1,13,5,2,14,5,2,1,5,2,1,0,2,1,15,0,0,0,0,0,2,5,4,1,0,5,3,0,0,0,0,0,0,2,1,4,0,0,0,0,0
が良い,0.00324295701691394,14,24,17,4,24,6,3,4,4,7,7,5,8,1,1,0,0,2,1,2,2,2,0,2,1,1,0,4,0,2,1,0,0,1,0,0,0,0,1,3,0,0,0,1,1,0,1,3,1,0
が良く,0.00220949218287746,10,6,10,8,0,2,5,4,5,3,0,1,6,0,1,1,3,0,2,1,1,2,1,0,4,0,0,0,0,0,0,1,2,0,2,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0
が悪い,0.00199923236422145,6,12,7,6,36,3,5,2,1,0,0,0,6,0,1,0,2,0,0,0,0,2,0,0,2,7,0,0,0,1,0,2,2,2,0,0,0,1,0,0,0,0,2,0,0,5,1,1,1,0
も良く,0.00189744033806983,6,14,4,12,7,12,6,6,5,7,0,1,6,0,1,6,3,3,5,3,0,1,0,0,0,0,0,0,0,2,0,1,0,1,1,0,1,0,0,2,1,0,0,0,1,0,0,0,1,1
は良いです,0.00175782250900368,5,13,10,6,10,3,14,4,4,2,0,4,1,0,10,5,2,0,1,0,6,1,1,0,2,1,0,3,0,0,1,0,0,0,0,2,2,0,1,2,0,0,0,7,0,0,2,0,1,1
が良いです,0.00167349664003756,7,6,15,4,7,5,2,1,2,2,2,0,0,0,0,0,0,0,1,2,2,0,1,0,2,1,0,1,0,0,1,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0
は良いと,0.00159280127874771,8,19,5,10,8,12,4,5,4,11,0,8,1,0,2,0,0,3,0,1,1,2,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,2,0,0,0,1,0,1
がいいです,0.0014108343108011,3,6,12,3,6,1,1,1,1,0,9,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
もよく,0.00131873552070484,5,11,4,5,6,6,5,1,2,1,0,1,0,0,0,0,6,0,3,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,1,0,1,0
がいい,0.0012265409992915,4,9,1,1,10,1,1,5,4,1,9,1,1,3,1,1,3,2,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,1,0,0
が良いと,0.00115248946205163,9,13,6,2,2,1,1,2,1,1,0,2,0,0,2,4,0,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
はありません,0.00114152172204861,0,18,4,11,9,11,9,6,2,0,1,0,1,0,8,4,1,1,0,1,2,1,0,0,1,0,0,6,158,0,0,0,0,0,0,6,2,0,0,1,1,0,0,1,0,0,3,4,2,2
のよい,0.00104791532707121,6,1,5,0,0,0,0,1,0,0,3,0,0,3,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
を考えると,0.0010130761670658,8,2,4,3,0,3,0,0,0,0,0,10,0,0,0,1,0,12,0,0,1,0,0,0,0,1,45,0,0,0,0,0,0,0,0,0,8,1,0,1,0,27,0,0,0,0,0,8,0,1
がよく,0.000992352104522925,5,1,5,3,1,0,1,0,1,1,1,0,4,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
も良いと,0.000941552007955108,11,6,1,6,1,2,0,2,3,4,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
がよい,0.000874170785801555,3,1,6,2,6,3,0,0,1,1,2,3,0,0,0,0,0,4,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
も良いです,0.000862536021900247,4,5,1,9,5,2,4,0,2,2,0,0,0,0,0,3,4,0,2,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
は思います,0.000834923982891396,0,28,1,11,0,12,4,4,2,11,0,2,0,0,6,5,2,4,1,0,0,0,0,0,1,0,3,0,0,1,1,0,1,1,0,3,0,0,0,1,2,2,0,5,0,0,1,1,1,0
は良好です,0.000827773021651063,3,2,5,6,0,3,9,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
の取れた,0.000811888317485388,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいと,0.000724963570285876,4,11,3,9,0,0,0,2,2,6,0,1,0,0,3,0,0,3,0,2,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
が良いので,0.000723845722961551,2,5,3,2,2,1,3,1,0,2,0,0,1,6,0,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
はいいです,0.000649776286622107,0,11,3,4,1,10,2,7,5,3,0,1,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,2,3,0,0,1,0,0,0,0,0,1
は良い,0.000638171476585307,2,7,1,2,4,3,7,3,0,2,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
の高い,0.000628402677034139,2,0,0,0,0,0,0,0,5,0,0,36,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0
が悪いと,0.000595987309567996,4,4,1,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
もいいです,0.000589374057629379,0,9,1,3,6,1,3,0,5,3,0,0,1,0,0,1,1,0,0,2,3,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,2,3,1,0,1,0,1,1,0,0,0
が悪く,0.000577707330644012,2,0,1,0,6,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0
は良く,0.000576968500255577,3,7,1,2,2,4,1,2,0,0,0,0,1,1,1,3,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
のとれた,0.000571328816008236,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高い,0.000555671105658628,2,0,0,3,0,1,1,0,9,0,0,14,0,0,0,0,0,2,0,0,0,4,0,0,1,0,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,6,1
も良い,0.000542359987094838,1,10,1,8,4,1,1,2,6,2,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,1,1,1,0
がいいと,0.000495009543778884,4,1,3,0,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いです,0.000487131039602799,2,4,2,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
を考えれば,0.000475243331715788,5,2,0,1,0,3,1,2,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,1,12,0,0
もいい,0.000444659569046997,2,4,1,5,0,0,3,3,0,2,0,1,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
がいいので,0.00043859030820982,0,1,1,2,6,5,1,2,0,0,1,1,1,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
の悪い,0.000417093897868156,0,2,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
が良くて,0.000404873549406959,1,2,1,0,2,1,1,2,1,0,0,0,1,0,1,2,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は最高です,0.000394730718366113,0,7,2,1,1,1,0,4,4,2,0,9,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0
は抜群です,0.000385989969144388,1,1,0,6,1,17,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いので,0.000384925168653724,3,0,0,1,4,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0
もありません,0.000380593763264346,0,6,1,1,0,1,5,8,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,15,1,0,0,0,0,0,1,1,0,0,0,3,0,0,1,0,0,1,2,0,1
も良好です,0.00036898548081765,0,2,1,3,1,0,2,0,2,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1
がよいです,0.000367558157460551,0,0,5,1,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいですね,0.000347606961171046,1,1,4,1,0,0,0,0,2,4,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
は感じです,0.000345764997015982,0,2,0,3,2,2,3,1,4,5,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,1,2,0,0
に優れた,0.000333593188915766,0,1,0,2,0,5,0,0,0,0,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
はいいですね,0.000330706555088297,2,2,0,1,2,0,0,4,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3
が感じます,0.000320264946869505,3,0,1,0,2,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
になります,0.000310923356785238,1,5,0,0,0,0,0,3,0,1,2,0,0,0,3,7,3,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,5,0,3,1,0,0,0,0,1,0,0,0,0,5,0,0,0
があり,0.000286974638116479,0,1,0,1,0,0,2,0,4,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,14,0,1,0,1,0,0,1,1,0,0,4,0,0,0,0,4,0,0,10,1,0
が良くない,0.000284783299695105,1,1,1,1,5,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は悪いです,0.000277638030229093,1,3,0,3,6,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も満足しています,0.000274051423288567,1,11,0,2,1,0,2,1,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
はあります,0.000269171902718675,0,6,0,1,0,1,3,1,6,2,0,0,0,0,4,5,0,3,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,3,2,0,0,2,0,0,0,1,0,0,2,1,0,4
はします,0.000265681950553162,1,7,0,0,2,0,3,2,1,3,0,0,0,0,6,1,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0
も悪くなく,0.00025691323927986,1,3,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
はよいです,0.000254581107886739,1,2,0,4,3,3,2,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
は良いのですが,0.000254445346354519,0,4,0,4,1,5,3,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
をする,0.000249288989321923,0,2,0,0,0,0,0,18,0,0,0,0,0,0,1,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0
にありません,0.000248666565425872,0,3,1,3,1,1,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0
はありますが,0.000248243142366442,0,9,0,3,1,0,0,1,3,4,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,6,17,0,0,0,0,0,0,1,1,0,0,4,1,0,0,1,0,0,0,4,1,0
はありませんが,0.000247022870502138,0,4,0,1,1,7,2,0,1,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,6,1,0
のある,0.000242713754230173,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,7,0,0,1,2,4
といい,0.000239576879433475,0,3,0,1,0,1,2,0,4,1,0,1,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0
もなく,0.00023889885651521,1,5,1,2,1,1,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
は悪くないと,0.000230937187148808,1,1,2,1,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いので,0.00023055171653264,1,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
には満足しています,0.000229056169589994,0,12,1,1,1,1,1,3,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,3,0,0
があります,0.000228079126199142,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,5,22,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,1,1,1,2,0,0
は高いと,0.000227901607851168,0,0,0,0,0,0,0,0,2,0,0,24,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はよいと,0.000227011141778852,1,1,1,0,1,2,1,2,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
は良いですね,0.000225714387454299,1,5,1,1,2,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
は気に入っています,0.00022419489468949,1,5,1,1,0,0,2,0,1,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
を考えて,0.00022267136826399,2,0,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
は満足しています,0.000221129324284268,0,8,1,1,0,2,0,3,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
もいいですね,0.000219479363425068,0,1,1,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
も含めて,0.00021836081503065,1,1,1,1,0,0,0,0,3,2,0,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
が良いのか,0.000214586902023461,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
は思いますが,0.000214382227498303,0,7,0,3,1,2,2,0,1,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0
をします,0.000213212616940984,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くなりました,0.00019934689701236,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
が良いとは,0.000196817197857546,0,2,2,0,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
で満足しています,0.000196393409069441,0,8,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,2,3,0,0,1,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,2,1,0,0
で決めました,0.000195230812373482,1,0,0,2,1,1,0,0,0,6,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
はあり,0.000195117988830945,0,8,0,1,0,0,2,2,1,5,0,0,0,0,5,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0
も高く,0.000194353927021661,0,0,0,0,0,1,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
は満足です,0.000192136565600153,0,7,1,2,0,2,1,2,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
という点では,0.000191822274504646,0,2,2,4,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
が高く,0.000188779420778091,0,0,0,1,0,0,1,0,6,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,1
がよいと,0.000187310726055938,0,0,1,1,0,1,3,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
