"",weight,バランス,画質,使い勝手,操作性,持ち,携帯性,ホールド感,写り,質感,コストパフォーマンス,デザイン,気持ち,レスポンス,評判,レンズ,発色,描写,不満,性能,色乗り,相性,もち,感触,精度,色のり,ホールド性,天気,感じ,価格,視認性,質,液晶,出来,カメラ,色,バッテリー,重さ,機能,感度,大きさ,画像,解像度,値段,ヌケ,補正,ボケ味,重量バランス,AF,描写力,操作感,切れ,問題,反応,満足度,解像感,ボケ,位置,ホールド,コントラスト,AF精度,色合い,音,取り回し,条件,完成度,機能性,シャッター音,見た目,場合,・操作性
weight,"",0.0180837929130728,0.0160453985482518,0.0118748589592394,0.0100168561088186,0.00926329191649934,0.00881775722035992,0.00720476647818745,0.00495280617756531,0.00476015935306839,0.00467920588106761,0.00446723612828952,0.00393497535492001,0.00316557047481682,0.0028571354566334,0.00282927891157011,0.00273977871644693,0.00248774904426944,0.00248718896785345,0.00245976453979931,0.00213813396371467,0.00181624709527407,0.00169602029626137,0.00167246709414633,0.00155103976513219,0.00154125856475965,0.00148571700131813,0.00147973080986339,0.0014504106008671,0.00140554207906404,0.00127833728155896,0.00120655775525387,0.00119156599353126,0.00116620926709452,0.00112826262922169,0.00111090244275203,0.00110835069298638,0.00109423567145891,0.00107516455879021,0.00107077155214155,0.00106308190873394,0.0010292440184279,0.0010160297252598,0.00100900764841423,0.000992960597528572,0.000986758458818059,0.000985215883683294,0.000979925187383352,0.000975091063570381,0.000972835264042654,0.000972278992071624,0.000944782152576228,0.000921662028019397,0.000903150837710439,0.000901911175591421,0.000894608841117664,0.000893661975978797,0.000874703925216153,0.000831151035599974,0.000815045254902482,0.000813642198182689,0.000808249821408889,0.000787264533455303,0.000762582701814712,0.000749210382929592,0.000743519117378996,0.000713046740547887,0.000657024555666558,0.000656618392445434,0.000654649607308088,0.000617076810612665
の良い,0.00682869788790973,20,2,12,4,0,11,3,7,1,5,1,13,2,14,5,1,2,0,5,2,1,0,0,2,1,0,15,0,0,2,4,1,5,3,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,4,0,2,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0
が良い,0.00466175812995797,14,24,17,4,24,6,3,4,4,5,7,7,8,1,1,0,0,0,2,1,2,1,2,2,0,1,2,4,0,2,0,1,1,0,1,1,3,3,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,3
が良く,0.00307277550520998,10,6,10,8,0,2,5,4,5,1,3,0,6,0,1,3,1,0,0,2,1,0,1,2,1,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
が悪い,0.00292989334275519,6,12,7,6,36,3,5,2,1,0,0,0,6,0,1,2,0,0,0,0,0,7,0,2,0,2,0,0,0,1,2,0,0,0,2,0,0,1,2,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,1,0,5,0,0,2,0,1,0,2,0,0,0,0,0,0
も良く,0.00283222120159855,6,14,4,12,7,12,6,6,5,1,7,0,6,0,1,3,6,0,3,5,3,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,2,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,2,4,0,0,1,1,1,1,2,0,0,0,1,0,0,0
は良いです,0.00266728189576878,5,13,10,6,10,3,14,4,4,4,2,0,1,0,10,2,5,0,0,1,0,1,6,1,1,2,0,3,0,0,0,7,1,2,0,5,2,0,0,2,2,1,0,0,0,0,0,2,1,1,0,0,0,0,1,1,0,5,0,1,0,0,0,0,0,3,0,0,3,0
が良いです,0.00236756622241519,7,6,15,4,7,5,2,1,2,0,2,2,0,0,0,0,0,0,0,1,2,1,2,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
は良いと,0.00235559268935832,8,19,5,10,8,12,4,5,4,8,11,0,1,0,2,0,0,0,3,0,1,1,1,2,1,0,0,1,0,0,0,2,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,3,0,0,4,0
はありません,0.00223530340183435,0,18,4,11,9,11,9,6,2,0,0,1,1,0,8,1,4,158,1,0,1,0,2,1,0,1,0,6,0,0,0,1,0,6,0,9,1,4,0,2,3,2,0,0,1,1,0,6,2,0,0,36,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,2
