"",weight,の良い,が良い,が悪い,が良く,も良く,は良いです,の高い,が良いです,はありません,は良いと,がいいです,もよく,がいい,が良いと,がよく,は思います,を考えると,も良いです,が高い,のよい,がよい,も良いと,の取れた,は良好です,はいいと,が良いので,はいいです,も良い,は良い,もいいです,は良く,が悪いと,が悪く,は高いです,は高いと,は最高です,に優れた,を考えれば,が悪いです,のとれた,もありません,がいいと,もいい,がいいので,があり,のある,は感じです,も良いので,は抜群です,はいいですね,があります,はあります,が弱いです,が良くて,はありますが,も良好です,になります,はありませんが,の悪い,が高く,も満足しています,が高いです,は悪いです,はします,がいいですね,がよいです,も高く,が感じます,をする,といい,はよいです,が良くない,は良いのですが,にありません,もなく,はあり,も悪くなく,には満足しています,が悪いので,がある,はしました,は思いますが,は良いですね,は気に入っています,も含めて,が良くなりました,は高い,はよいと,をします,は満足しています,もいいですね,を考えて,は感じます,もありますが,は悪くないと,にある,で満足しています,も思います,は満足です,は悪くないです
weight,"",0.00970159592239518,0.00699116044345397,0.00531524873092447,0.00461086083328174,0.00425359380601326,0.00417264834885137,0.00378510743381732,0.00365963811900116,0.00364575071603515,0.00364131857104168,0.00300002031821736,0.00298141884478069,0.00272190553727759,0.00238366823071355,0.00232925306513485,0.00231372733722743,0.00227880019281148,0.00218410402146275,0.00218203701642614,0.0020496407060602,0.0020496326096201,0.00197218804915072,0.00174586549505729,0.00172430338022453,0.00163256236085566,0.00162484541867523,0.00160747191117111,0.00153920419044118,0.00148993888753831,0.00141146726302571,0.00126241123348458,0.00124916130894169,0.00124798603333964,0.00120849360645723,0.00117033262719803,0.00115490400524499,0.00112732872608763,0.00105727173601215,0.00105542497976009,0.00105081293608759,0.00104839060856155,0.00104356740595163,0.00103479500583706,0.000964233931366193,0.000958673846115166,0.000956949643793504,0.000916748287900967,0.00088979144199249,0.000889695621913642,0.000886765676196343,0.000876973736242095,0.000864934210475438,0.000847745593423479,0.000828906261685555,0.000825600770353355,0.00081649458979499,0.000805062928131415,0.000803434695476814,0.000794075780633004,0.000771538120040407,0.000765087443208859,0.000764971667230693,0.000758303191275274,0.000750783683397866,0.000737113034174162,0.000730519958303658,0.000717099861108323,0.000681826723287237,0.000658518841230102,0.000640207641846297,0.000636902244770323,0.000636277402570557,0.000633075631829062,0.000631583654150993,0.00063134916716207,0.000606486717757184,0.000598719021139921,0.000591352046030896,0.000573949204460008,0.000567205944787918,0.000564163837678617,0.000558970309029162,0.000552238187121637,0.000537768026230538,0.00053662354821943,0.000534682172122082,0.000533503237750794,0.000529935785172565,0.000529035913744465,0.00052849974771941,0.000522777024221351,0.000512565819109361,0.000505263275169366,0.000497130630575252,0.000485491402786033,0.000477926857569948,0.000476277157929535,0.000468667126478684,0.000467961858390085,0.000467621841709456
バランス,0.0150238825536272,20,14,6,10,6,5,2,7,0,8,3,5,4,9,5,0,8,4,2,6,3,11,27,3,4,2,0,1,2,0,3,4,2,0,0,0,0,5,2,19,0,4,2,0,0,0,0,3,1,2,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,3,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0
画質,0.014614182810439,2,24,12,6,14,13,0,6,18,19,6,11,9,13,1,28,2,5,0,1,1,6,0,2,11,5,11,10,7,9,7,4,0,0,0,7,1,2,4,0,6,1,4,1,1,0,2,0,1,2,1,6,0,2,9,2,5,4,2,0,11,0,3,7,1,0,0,0,2,3,2,1,4,3,5,8,3,12,2,0,3,7,5,5,1,2,0,1,0,8,1,0,8,1,1,3,8,5,7,0
使い勝手,0.0101612403405496,12,17,7,10,4,10,0,15,4,5,12,4,1,6,5,1,4,1,0,5,6,1,0,5,3,3,3,1,1,1,1,1,1,0,0,2,0,0,2,0,1,3,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4,5,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,2,0,1,0,1,1,1,0,1,2,0,0,1,1,3
操作性,0.00860863873801597,4,4,6,8,12,6,0,4,11,10,3,5,1,2,3,11,3,9,3,0,2,6,0,6,9,2,4,8,2,3,2,0,0,1,0,1,2,1,2,0,1,0,5,2,1,0,3,1,6,1,0,1,0,0,3,3,0,1,1,1,2,0,3,0,1,1,0,0,0,1,4,1,4,3,2,1,1,1,0,0,5,3,1,1,1,0,0,0,0,1,0,2,2,2,1,1,1,3,2,0
携帯性,0.0076513753679506,11,6,3,2,12,3,0,5,11,12,1,6,1,1,0,12,3,2,1,0,3,2,0,3,0,1,10,1,3,1,4,2,2,0,0,1,5,3,1,0,1,1,0,5,0,0,2,1,17,0,0,1,0,1,0,0,0,7,0,0,0,0,5,0,0,0,1,0,0,1,3,0,5,1,1,0,1,1,2,0,4,2,1,0,0,0,0,2,0,2,1,2,1,0,2,0,0,1,2,0
持ち,0.00754044120154741,0,22,30,0,0,5,0,4,7,6,1,0,9,2,1,0,0,0,0,0,6,0,0,0,0,2,1,0,3,0,2,5,6,0,0,1,0,0,9,0,0,1,0,6,0,0,2,0,1,2,0,0,0,1,1,0,0,1,0,0,0,0,5,2,0,1,0,1,0,0,2,5,1,0,0,0,0,0,4,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
ホールド感,0.00617332363909505,3,3,5,5,6,14,0,2,9,4,1,5,1,1,1,4,0,4,1,0,0,0,0,9,0,3,2,1,7,3,1,0,3,1,0,0,0,1,0,0,5,1,3,1,2,0,3,4,4,0,1,3,0,1,0,2,0,2,0,1,2,0,1,3,0,1,0,1,0,2,2,2,3,2,0,2,1,1,0,0,2,2,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
コストパフォーマンス,0.00571897590096627,5,5,0,1,1,4,36,0,0,8,0,1,1,2,0,2,10,0,14,0,3,2,0,0,1,0,1,0,0,0,0,0,0,4,24,9,33,3,0,0,0,0,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0,3,1,0,0,0,0,1,0,1,0
質感,0.00487291958632917,1,4,1,5,5,4,5,2,2,4,1,2,4,1,1,2,0,2,9,0,1,3,0,1,2,0,5,6,0,5,0,0,0,2,2,4,0,0,0,0,0,0,0,0,4,2,4,0,0,1,3,6,0,1,3,2,0,1,0,6,1,2,0,1,2,0,4,1,0,4,1,0,1,0,1,1,1,2,0,1,0,1,1,1,3,1,2,0,0,0,0,0,2,1,1,1,0,0,1,1
