"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,もよく,がいい,が良いと,のよい,はありません,がよく,を考えると,も良いと,の取れた,がよい,も良いです,は良好です,は思います,はいいと,が良いので,のとれた,の高い,はいいです,は良く,が悪く,は良い,が高い,が悪いと,もいいです,も良い,がいいと,が悪いです,を考えれば,もいい,がいいので,は抜群です
weight,"",0.00352050264563651,0.00249556624513567,0.00160150463016249,0.00152842877236746,0.00140309660283579,0.00131268369117627,0.00128510646875258,0.00122346209015194,0.00107626697636011,0.000941032649353186,0.000918510777173966,0.000899965158848983,0.000796217269189401,0.000788734256147294,0.00077012468448475,0.000769559763247252,0.000747556393925143,0.000667084104112078,0.000661385199101185,0.000657314578941804,0.000617634139793088,0.000607442305310642,0.0005558094718604,0.000540502916999933,0.000469429554745537,0.000464824299029823,0.000458951007814912,0.000436261574155282,0.000434105881297864,0.000420704624723237,0.000416442721216155,0.000414050894130033,0.00041108868667851,0.000391749283884497,0.000387329276226073,0.000379054736665733,0.000359243843582355,0.00032332063575182,0.000314311251060919,0.000299310377067508
バランス,0.00521789436177476,20,14,10,6,6,5,7,8,3,5,4,9,6,0,5,8,11,27,3,4,3,0,4,2,19,2,0,3,2,2,2,4,0,1,4,2,5,2,0,1
画質,0.00362762283749831,2,24,6,12,14,13,6,19,6,11,9,13,1,18,1,2,6,0,1,5,2,28,11,5,0,0,11,7,0,7,0,4,9,10,1,4,2,4,1,1
使い勝手,0.0029724269551287,12,17,10,7,4,10,15,5,12,4,1,6,5,4,5,4,1,0,6,1,5,1,3,3,0,0,3,1,1,1,0,1,1,1,3,2,0,1,1,0
操作性,0.00228018725714008,4,4,8,6,12,6,4,10,3,5,1,2,0,11,3,3,6,0,2,9,6,11,9,2,0,0,4,2,0,2,3,0,3,8,0,2,1,5,2,6
持ち,0.0020542881257185,0,22,0,30,0,5,4,6,1,0,9,2,0,7,1,0,0,0,6,0,0,0,0,2,0,0,1,2,6,3,0,5,0,0,1,9,0,0,6,1
携帯性,0.0020032071879742,11,6,2,3,12,3,5,12,1,6,1,1,0,11,0,3,2,0,3,2,3,12,0,1,0,0,10,4,2,3,1,2,1,1,1,1,3,0,5,17
ホールド感,0.00150322112039178,3,3,5,5,6,14,2,4,1,5,1,1,0,9,1,0,0,0,0,4,9,4,0,3,0,0,2,1,3,7,1,0,3,1,1,0,1,3,1,4
写り,0.00113928502252603,7,4,4,2,4,4,1,5,1,1,5,2,1,6,0,0,2,0,0,0,1,4,2,1,0,0,7,2,0,3,0,1,0,2,1,0,2,3,2,0
デザイン,0.00100815796795418,1,7,3,0,7,2,2,11,0,1,1,1,0,0,1,0,4,0,1,2,1,11,6,2,0,0,3,0,0,2,0,0,3,2,1,0,0,2,0,0
気持ち,0.00100283057376032,13,7,0,0,0,0,2,0,9,0,9,0,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
質感,0.000990064813510735,1,4,5,1,5,4,2,4,1,2,4,1,0,2,1,0,3,0,1,2,1,2,2,0,0,5,5,0,0,0,9,0,5,6,0,0,0,0,0,0
コストパフォーマンス,0.000802495507689265,5,5,1,0,1,4,0,8,0,1,1,2,0,0,0,10,2,0,3,0,0,2,1,0,0,36,1,0,0,0,14,0,0,0,0,0,3,1,1,2
レスポンス,0.00078212471210307,2,8,6,6,6,1,0,1,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0
評判,0.00072721381115452,14,1,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,6,0,3,0,1,0,0,0,0,0,1,0,0,0,2,2,0
発色,0.000580589103289382,1,0,3,2,3,2,0,0,0,6,3,0,1,1,1,0,0,0,0,4,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
性能,0.000544642541454102,5,2,0,0,3,0,0,3,0,0,2,1,0,1,0,12,0,0,4,0,0,4,3,1,0,1,0,0,0,1,2,0,0,0,0,0,5,0,1,0
描写,0.0005433420719902,2,0,1,0,6,5,0,0,1,0,1,4,0,4,0,1,0,0,0,3,0,5,0,2,0,0,0,3,0,1,0,0,1,1,0,0,0,1,1,0
レンズ,0.000538858293165788,5,1,1,1,1,10,0,2,0,0,1,2,0,8,0,0,0,0,0,0,0,6,3,0,0,0,4,1,0,1,0,0,0,1,1,0,0,3,0,0
色乗り,0.000523463300106063,2,1,2,0,5,1,1,0,2,3,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
相性,0.000448646799767245,1,2,1,0,3,0,2,1,0,0,0,2,0,1,0,0,0,0,1,3,0,0,2,1,0,0,1,2,0,0,0,0,2,0,2,0,0,0,0,1
天気,0.000399389015356325,15,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ホールド性,0.000396115554044,0,1,4,2,0,2,2,0,0,0,1,0,0,1,1,0,0,0,0,0,3,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
精度,0.000371030901015847,2,2,2,2,1,1,0,2,0,0,0,0,0,1,0,0,2,0,1,1,0,0,1,1,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0
感触,0.000365335425147336,0,2,1,0,0,6,2,1,0,1,1,1,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0
色のり,0.000361654522550312,1,0,1,0,0,1,1,1,1,6,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
価格,0.000352359295296095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,1,0,0,3,0,0,0,0,0,0,0,0,9,0,0,1,0,0,27,0,0,0
もち,0.000345326151589888,0,1,0,7,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0
視認性,0.000308508351281496,2,2,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0
質,0.000303054638825914,4,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0
出来,0.000276401010086409,5,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
感じ,0.000263478239705828,0,4,0,0,0,3,1,1,2,0,1,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
値段,0.00026120137087684,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,2,1,0,0,1,0,0,0,0,9,0,1,0,0,0,17,0,0,0
色,0.00025942541700756,0,1,0,2,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,2,1,0
重さ,0.000250953511577102,0,3,0,0,2,2,0,0,1,0,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,3,0,0,0,0,0,0
切れ,0.000245316460531982,4,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
反応,0.000244662412685208,2,0,1,2,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
重量バランス,0.000244138973115597,0,0,3,1,0,0,0,0,1,0,0,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
感度,0.000236997242678151,1,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0
ヌケ,0.00023405977271001,5,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
大きさ,0.000233892639816158,0,0,0,0,1,2,2,1,1,0,1,0,0,2,0,8,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0
カメラ,0.000233670311885694,3,0,0,0,0,2,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,3,1,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,1
解像度,0.000221610567171782,0,1,0,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,1,6,2,0,1,0,1,0,0,0,0
液晶,0.000214999057956096,1,1,0,0,0,7,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
操作感,0.000214417014393853,0,1,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0
位置,0.000202110363854339,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0
機能,0.000199703541567629,0,3,0,1,0,0,0,1,0,0,1,0,0,4,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,0,0
不満,0.000199073502350275,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
コントラスト,0.00019494059253601,1,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0
取り回し,0.000194079963948257,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
音,0.000193175860272772,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
ボケ,0.00018321351647845,0,1,0,0,4,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
