"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,もよく,がいい,が良いと,はありません,のよい,を考えると,がよく,も良いと,がよい,も良いです,は思います,は良好です,の取れた,はいいと,が良いので,はいいです,は良い,の高い,が悪いと,もいいです,が悪く,は良く,のとれた,が高い,も良い,がいいと,が悪いです,を考えれば,もいい,がいいので,の悪い,が良くて,は最高です,は抜群です,も良いので,もありません,も良好です,がよいです,がいいですね,は感じです,に優れた
weight,"",0.00500640600868552,0.00324295701691394,0.00220949218287746,0.00199923236422145,0.00189744033806983,0.00175782250900368,0.00167349664003756,0.00159280127874771,0.0014108343108011,0.00131873552070484,0.0012265409992915,0.00115248946205163,0.00114152172204861,0.00104791532707121,0.0010130761670658,0.000992352104522925,0.000941552007955108,0.000874170785801555,0.000862536021900247,0.000834923982891396,0.000827773021651063,0.000811888317485388,0.000724963570285876,0.000723845722961551,0.000649776286622107,0.000638171476585307,0.000628402677034139,0.000595987309567996,0.000589374057629379,0.000577707330644012,0.000576968500255577,0.000571328816008236,0.000555671105658628,0.000542359987094838,0.000495009543778884,0.000487131039602799,0.000475243331715788,0.000444659569046997,0.00043859030820982,0.000417093897868156,0.000404873549406959,0.000394730718366113,0.000385989969144388,0.000384925168653724,0.000380593763264346,0.00036898548081765,0.000367558157460551,0.000347606961171046,0.000345764997015982,0.000333593188915766
バランス,0.00683798221030009,20,14,10,6,6,5,7,8,3,5,4,9,0,6,8,5,11,3,4,0,3,27,4,2,0,2,2,4,0,2,3,19,2,1,4,2,5,2,0,0,1,0,1,3,0,0,0,1,0,0
画質,0.00509815165173571,2,24,6,12,14,13,6,19,6,11,9,13,18,1,2,1,6,1,5,28,2,0,11,5,11,7,0,4,9,0,7,0,0,10,1,4,2,4,1,2,2,7,1,0,6,2,0,1,2,1
使い勝手,0.00430849424049573,12,17,10,7,4,10,15,5,12,4,1,6,4,5,4,5,1,6,1,1,5,0,3,3,3,1,0,1,1,1,1,0,0,1,3,2,0,1,1,0,1,2,0,0,1,1,5,4,0,0
操作性,0.00325306584594766,4,4,8,6,12,6,4,10,3,5,1,2,11,0,3,3,6,2,9,11,6,0,9,2,4,2,0,0,3,0,2,0,3,8,0,2,1,5,2,1,0,1,6,1,1,3,1,1,3,2
携帯性,0.00282530226212192,11,6,2,3,12,3,5,12,1,6,1,1,11,0,3,0,2,3,2,12,3,0,0,1,10,3,0,2,1,2,4,0,1,1,1,1,3,0,5,0,1,1,17,1,1,0,0,0,2,5
持ち,0.00278610008487827,0,22,0,30,0,5,4,6,1,0,9,2,7,0,0,1,0,6,0,0,0,0,0,2,1,3,0,5,0,6,2,0,0,0,1,9,0,0,6,0,1,1,1,0,0,0,1,0,2,0
ホールド感,0.00229036112587955,3,3,5,5,6,14,2,4,1,5,1,1,9,0,0,1,0,0,4,4,9,0,0,3,2,7,0,0,3,3,1,0,1,1,1,0,1,3,1,0,1,0,4,4,5,2,1,0,3,0
写り,0.00167350797381864,7,4,4,2,4,4,1,5,1,1,5,2,6,1,0,0,2,0,0,4,1,0,2,1,7,3,0,1,0,0,2,0,0,2,1,0,2,3,2,0,2,4,0,0,8,0,0,0,1,0
質感,0.00150578295331401,1,4,5,1,5,4,2,4,1,2,4,1,2,0,0,1,3,1,2,2,1,0,2,0,5,0,5,0,5,0,0,0,9,6,0,0,0,0,0,0,1,4,0,0,0,2,0,2,4,0
