"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,はありません,がいいです,もよく,がいい,が良いと,のよい,を考えると,がよく,も良いと,がよい,も良いです,は思います,は良好です,の取れた,の高い,はいいと,が良いので,はいいです,は良い,が悪いと,が高い,もいいです,は良く,が悪く,のとれた,も良い,がいいと,が悪いです,を考えれば,もいい,がいいので,もありません,は最高です,の悪い,が良くて,は抜群です,も良いので,に優れた,は感じです,も良好です,がよいです,はいいですね,がいいですね,があり,は悪いです,が感じます,はありませんが,になります,はありますが,も満足しています,が良くない,はあります
weight,"",0.00606263714141907,0.00399665953426216,0.00268167454616796,0.00251197467405124,0.00242487525182178,0.00227481598609739,0.00208853714450791,0.00199452393505244,0.00177161690086013,0.00175835876568633,0.00163874837776307,0.00152510564815047,0.00141105186064485,0.00129853537929232,0.00124921183845216,0.00124226490781881,0.00117055028576201,0.00111372761748736,0.00110662954814691,0.00107333570391032,0.0010115811306579,0.000970667356684911,0.000927733886675022,0.00092187144360721,0.000915351919529749,0.000812715523032893,0.000790099860169067,0.000756234519665062,0.000746883285326831,0.000738811253072957,0.000715929029748623,0.000711775191113211,0.000683062213963456,0.000677403890523966,0.000636913196835783,0.000607726482724518,0.000583845838060511,0.000576209772633104,0.000550230217467937,0.000529967974696993,0.000520754526797125,0.000513400798514764,0.000496197602932413,0.000489035314536719,0.000479921682281683,0.000474409403129374,0.000452358177816217,0.000451691628518171,0.000446208474576809,0.00043998315097957,0.00042231011532518,0.000412004301566826,0.00041047126694026,0.000405189339277863,0.000396894585650201,0.000390957376310718,0.0003750353027134,0.000371469173988192,0.000368472315298112,0.000365973456300556
バランス,0.0084874316228562,20,14,10,6,6,5,7,8,0,3,5,4,9,6,8,5,11,3,4,0,3,27,2,4,2,0,2,4,2,0,3,2,19,1,4,2,5,2,0,0,0,0,1,1,3,0,0,0,0,2,1,0,1,3,0,1,0,1,1,0
画質,0.00678389090669235,2,24,6,12,14,13,6,19,18,6,11,9,13,1,2,1,6,1,5,28,2,0,0,11,5,11,7,4,0,9,7,0,0,10,1,4,2,4,1,6,7,2,2,1,0,1,2,2,0,2,1,1,3,0,4,5,9,11,1,6
使い勝手,0.00538706268007784,12,17,10,7,4,10,15,5,4,12,4,1,6,5,4,5,1,6,1,1,5,0,0,3,3,3,1,1,0,1,1,1,0,1,3,2,0,1,1,1,2,0,1,0,0,0,0,1,5,0,4,0,0,1,0,0,0,0,1,0
操作性,0.00423805390965319,4,4,8,6,12,6,4,10,11,3,5,1,2,0,3,3,6,2,9,11,6,0,0,9,2,4,2,0,3,3,2,0,0,8,0,2,1,5,2,1,1,1,0,6,1,2,3,3,1,1,1,1,3,0,1,0,3,2,1,1
持ち,0.00381749230878661,0,22,0,30,0,5,4,6,7,1,0,9,2,0,0,1,0,6,0,0,0,0,0,0,2,1,3,5,0,0,2,6,0,0,1,9,0,0,6,0,1,0,1,1,0,0,2,0,1,2,0,0,5,1,1,0,1,0,5,0
携帯性,0.00371088019353279,11,6,2,3,12,3,5,12,11,1,6,1,1,0,3,0,2,3,2,12,3,0,0,0,1,10,3,2,1,1,4,2,0,1,1,1,3,0,5,1,1,0,1,17,1,5,2,0,0,0,0,0,5,0,7,0,0,0,0,1
ホールド感,0.00303108569045306,3,3,5,5,6,14,2,4,9,1,5,1,1,0,0,1,0,0,4,4,9,0,0,0,3,2,7,0,1,3,1,3,0,1,1,0,1,3,1,5,0,0,1,4,4,0,3,2,1,0,0,2,1,1,2,0,0,2,2,3
写り,0.00217864872843701,7,4,4,2,4,4,1,5,6,1,1,5,2,1,0,0,2,0,0,4,1,0,0,2,1,7,3,1,0,0,2,0,0,2,1,0,2,3,2,8,4,0,2,0,0,0,1,0,0,4,0,0,0,0,0,3,1,1,0,1
質感,0.00197789212145373,1,4,5,1,5,4,2,4,2,1,2,4,1,0,0,1,3,1,2,2,1,0,5,2,0,5,0,0,9,5,0,0,0,6,0,0,0,0,0,0,4,0,1,0,0,0,4,2,0,1,2,4,0,1,1,0,3,1,0,6
コストパフォーマンス,0.00191699080568678,5,5,1,0,1,4,0,8,0,0,1,1,2,0,10,0,2,3,0,2,0,0,36,1,0,1,0,0,14,0,0,0,0,0,0,0,3,1,1,0,9,0,0,2,0,33,0,0,0,3,0,0,0,0,0,0,0,0,0,0
デザイン,0.00190232228804512,1,7,3,0,7,2,2,11,0,0,1,1,1,0,0,1,4,1,2,11,1,0,0,6,2,3,2,0,0,3,0,0,0,2,1,0,0,2,0,1,2,0,0,0,0,0,5,0,0,0,4,0,0,0,2,1,4,1,0,2
気持ち,0.00182310220632081,13,7,0,0,0,0,2,0,1,9,0,9,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,0,1,0
レスポンス,0.00139693273428093,2,8,6,6,6,1,0,1,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
評判,0.00136101845043789,14,1,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,3,0,6,0,0,0,0,0,1,0,0,1,0,0,0,2,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
発色,0.00116780855021696,1,0,3,2,3,2,0,0,1,0,6,3,0,1,0,1,0,0,4,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,3,0,4,1,0
レンズ,0.0011546421777237,5,1,1,1,1,10,0,2,8,0,0,1,2,0,0,0,0,0,0,6,0,0,0,3,0,4,1,0,0,0,1,0,0,1,1,0,0,3,0,1,0,2,1,0,0,0,1,0,0,1,2,5,0,1,2,3,2,0,0,4
描写,0.0010998481336908,2,0,1,0,6,5,0,0,4,1,0,1,4,0,1,0,0,0,3,5,0,0,0,0,2,0,1,0,0,1,3,0,0,1,0,0,0,1,1,0,1,0,2,0,1,1,0,1,0,0,0,0,0,0,0,7,1,0,0,5
性能,0.00104968543793964,5,2,0,0,3,0,0,3,1,0,0,2,1,0,12,0,0,4,0,4,0,0,1,3,1,0,1,0,2,0,0,0,0,0,0,0,5,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,3
色乗り,0.000947636598454037,2,1,2,0,5,1,1,0,0,2,3,0,0,2,0,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
不満,0.000923125425005806,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,14,0,0,26,1,17,0,0,4
相性,0.000760776364872017,1,2,1,0,3,0,2,1,1,0,0,0,2,0,0,0,0,1,3,0,0,0,0,2,1,1,0,0,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,0.000726825214486184,0,2,1,0,0,6,2,1,2,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
天気,0.000714807421625144,15,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
