"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,はありません,がいいです,もよく,がいい,の高い,が良いと,のよい,を考えると,がよく,がよい,も良いと,は思います,も良いです,は良好です,が高い,の取れた,はいいと,が良いので,はいいです,は良い,もいいです,が悪いと,は良く,が悪く,も良い,のとれた,がいいと,が悪いです,もいい,を考えれば,もありません,は最高です,がいいので,に優れた,は高いと,は抜群です,の悪い,は感じです,が良くて,があり,も良いので,も良好です,はいいですね,は悪いです,はありませんが,がよいです,がいいですね,はありますが,はあります,があります,も満足しています,になります,が感じます,はします,が良くない,のある,はよいです,もなく,は高いです,は良いのですが,といい,にありません
weight,"",0.00682869788790973,0.00466175812995797,0.00307277550520998,0.00292989334275519,0.00283222120159855,0.00266728189576878,0.00236756622241519,0.00235559268935832,0.00223530340183435,0.00200190526040024,0.00191425544582562,0.00175642606275623,0.00168449796834421,0.00160115636821843,0.00145432201927711,0.00144912934170842,0.00141189606492024,0.00137329091683513,0.00134073256751219,0.00131877567998793,0.00129417981939244,0.0011565446053831,0.00108537228119854,0.00107310419484168,0.00105999120640414,0.0010389172442351,0.000971659613167119,0.000919042639345493,0.000877803177354719,0.000862256858064937,0.000840373171001379,0.000823973437285272,0.000802461887978306,0.000755147396370073,0.000719113622749709,0.000710627867733704,0.000685842473238227,0.000674309238182354,0.000656692234303216,0.000653960056580181,0.000639389193459418,0.000616290336984203,0.000598913238171853,0.000578670720178356,0.000577675338138211,0.000568125237356356,0.000567515073569977,0.000559265525313526,0.00055750279274338,0.000534773584697496,0.000514170716221205,0.000510658431956795,0.000509285816579828,0.000503408757394267,0.000494901056025307,0.000485373628219344,0.000476117447995874,0.000473115443359806,0.000465216648165295,0.000463249104399284,0.000460046050790661,0.000451129652000266,0.000433710116576112,0.000423930590395206,0.000420657619897364,0.000410985503506577,0.000404268767169454,0.000400121570086982,0.000398543290905125,0.000388157798270425
バランス,0.00964316855433063,20,14,10,6,6,5,7,8,0,3,5,4,2,9,6,8,5,3,11,0,4,3,2,27,4,2,0,2,0,4,3,2,1,19,4,2,2,5,0,0,0,0,0,1,0,0,1,0,3,0,2,1,0,0,1,0,0,0,1,1,3,1,1,0,1,1,0,0,0,0
画質,0.0081922599471944,2,24,6,12,14,13,6,19,18,6,11,9,0,13,1,2,1,1,6,28,5,2,0,0,11,5,11,7,9,4,7,0,10,0,1,4,4,2,6,7,1,1,0,1,2,2,2,1,0,2,2,3,4,0,1,9,6,1,11,5,0,7,1,0,2,5,0,4,3,3
使い勝手,0.00619937679578775,12,17,10,7,4,10,15,5,4,12,4,1,0,6,5,4,5,6,1,1,1,5,0,0,3,3,3,1,1,1,1,1,1,0,3,2,1,0,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,5,4,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
操作性,0.00517842677899247,4,4,8,6,12,6,4,10,11,3,5,1,0,2,0,3,3,2,6,11,9,6,3,0,9,2,4,2,3,0,2,0,8,0,0,2,5,1,1,1,2,2,0,6,1,3,0,1,1,3,1,3,1,1,1,3,1,0,2,0,0,0,1,0,4,2,1,4,1,3
持ち,0.00453954571786101,0,22,0,30,0,5,4,6,7,1,0,9,0,2,0,0,1,6,0,0,0,0,0,0,0,2,1,3,0,5,2,6,0,0,1,9,0,0,0,1,6,0,0,1,0,2,1,0,0,0,2,5,1,1,0,1,0,0,0,0,1,2,5,0,2,0,0,1,0,0
携帯性,0.00452442764788637,11,6,2,3,12,3,5,12,11,1,6,1,0,1,0,3,0,3,2,12,2,3,1,0,0,1,10,3,1,2,4,2,1,0,1,1,0,3,1,1,5,5,0,17,0,2,1,0,1,0,0,5,7,0,0,0,1,0,0,0,0,0,0,0,3,1,0,5,1,1
ホールド感,0.00371697778675068,3,3,5,5,6,14,2,4,9,1,5,1,0,1,0,0,1,0,0,4,4,9,1,0,0,3,2,7,3,0,1,3,1,0,1,0,3,1,5,0,1,0,0,4,0,3,1,2,4,2,0,1,2,1,0,0,3,1,2,0,1,3,2,0,2,0,1,3,2,2
コストパフォーマンス,0.00281768994877814,5,5,1,0,1,4,0,8,0,0,1,1,36,2,0,10,0,3,2,2,0,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0,9,1,33,24,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
写り,0.00258322158155963,7,4,4,2,4,4,1,5,6,1,1,5,0,2,1,0,0,0,2,4,0,1,0,0,2,1,7,3,0,1,2,0,2,0,1,0,3,2,8,4,2,0,0,0,0,1,2,0,0,0,4,0,0,0,0,1,1,0,1,3,0,2,0,0,0,0,0,1,0,2
