"",weight,の良い,が良い,が悪い,が良く,も良く,は良いです,は良いと,が良いです,はありません,がいいです,もよく,がいい,の高い,が良いと,を考えると,は思います,のよい,がよく,がよい,も良いです,も良いと,は良好です,が高い,はいいと,はいいです,の取れた,が良いので,は良い,も良い,もいいです,が悪いと,は良く,が悪く,のとれた,が悪いです,がいいと,もいい,もありません,が弱いです,は最高です,を考えれば,がいいので,に優れた,は感じです,は高いと,は抜群です,はいいですね,が良くて,があり,も良いので,の悪い,も良好です,はありませんが,は悪いです,はありますが,はあります,がよいです,がいいですね,も満足しています,があります,になります,はします,が感じます,が良くない,のある,はよいです,にありません,もなく,は良いのですが,は高いです,をする,といい,が悪いので,も悪くなく,が高く,も高く,は思いますが,には満足しています,はあり,は気に入っています
weight,"",0.00788073626628314,0.00562486996632364,0.00445385923344424,0.00365123046985981,0.00342770722938724,0.00330538677329687,0.00285265688332628,0.00280633772950209,0.00274545479001814,0.00240773110089653,0.00230369847730767,0.00217984984001438,0.00202449023284742,0.001905107919214,0.00172685534427493,0.00171859478977603,0.00168111115006375,0.00167938795277327,0.00164556807632589,0.0016164510179666,0.00158027393073017,0.00139154400988867,0.00130672698060421,0.00130405480751916,0.00124682732178002,0.00123350773121731,0.00122720538735686,0.00111452712542847,0.00110877248794523,0.00110654982128851,0.00102185270059503,0.00101861923605572,0.000986579595105084,0.00086802395900477,0.000866794882929181,0.000850926065906901,0.000826833468600944,0.000813099294945842,0.000801756480574298,0.000800767374780997,0.000790165322830625,0.000770838409007036,0.000739282523741701,0.00070812039758619,0.000703010440880845,0.000696037782377341,0.000682676655150418,0.000676591966977211,0.000674216482251239,0.000667727118781039,0.000662402148109427,0.000649085950793108,0.000630371689791874,0.000618256748890922,0.000604867628000259,0.000595884994838687,0.000592031797534567,0.000589591995880936,0.000586242463245296,0.000569193249761241,0.000567922336374725,0.000560332730891138,0.000545916846458105,0.00052437239389,0.000511263117283251,0.000511180259288327,0.00050758506273046,0.000499355771544011,0.000497781431273651,0.000496061759292345,0.000494933634305,0.000480848765241433,0.000476628947899765,0.000472073628734602,0.000467138804088307,0.000450774339242554,0.000437400890504059,0.000431407804826089,0.00042996892379246,0.000426750049643412
バランス,0.0115006493121748,20,14,6,10,6,5,8,7,0,3,5,4,2,9,8,0,6,5,3,4,11,3,2,4,0,27,2,2,1,0,4,3,2,19,2,4,2,0,0,0,5,0,0,0,0,1,2,1,0,3,0,0,0,1,0,0,0,1,1,0,1,1,3,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
画質,0.0107062343865191,2,24,12,6,14,13,19,6,18,6,11,9,0,13,2,28,1,1,1,5,6,2,0,11,11,0,5,7,10,9,4,7,0,0,4,1,4,6,0,7,2,1,1,2,0,1,2,2,1,0,2,2,4,3,9,6,0,1,11,1,5,7,0,1,0,2,3,5,4,0,2,3,2,3,0,0,7,12,8,5
使い勝手,0.00754269328283668,12,17,7,10,4,10,5,15,4,12,4,1,0,6,4,1,5,5,6,1,1,5,0,3,3,0,3,1,1,1,1,1,1,0,2,3,1,1,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,4,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1
操作性,0.00647942987035694,4,4,6,8,12,6,10,4,11,3,5,1,0,2,3,11,0,3,2,9,6,6,3,9,4,0,2,2,8,3,0,2,0,0,2,0,5,1,0,1,1,2,2,3,0,6,1,0,1,1,1,3,1,3,3,1,1,1,2,0,0,0,0,1,0,4,3,2,4,1,0,1,0,1,1,0,3,1,1,1
持ち,0.00599549637146767,0,22,30,0,0,5,6,4,7,1,0,9,0,2,0,0,0,1,6,0,0,0,0,0,1,0,2,3,0,0,5,2,6,0,9,1,0,0,0,1,0,6,0,2,0,1,2,1,0,0,0,0,1,5,1,0,1,0,0,0,0,2,1,5,0,2,0,0,1,0,0,0,4,0,0,0,1,0,0,0
携帯性,0.00567205572660047,11,6,3,2,12,3,12,5,11,1,6,1,0,1,3,12,0,0,3,2,2,3,1,0,10,0,1,3,1,1,2,4,2,0,1,1,0,1,0,1,3,5,5,2,0,17,0,1,0,1,0,0,7,5,0,1,0,0,0,0,0,0,0,0,0,3,1,1,5,0,0,1,2,1,0,1,2,1,0,0
ホールド感,0.00470849649230077,3,3,5,5,6,14,4,2,9,1,5,1,0,1,0,4,0,1,0,4,0,9,1,0,2,0,3,7,1,3,0,1,3,0,0,1,3,5,0,0,1,1,0,3,0,4,0,1,2,4,0,2,2,1,0,3,1,0,2,1,0,3,1,2,0,2,2,0,3,1,0,2,0,1,1,0,2,1,2,2
コストパフォーマンス,0.00353037705013904,5,5,0,1,1,4,8,0,0,0,1,1,36,2,10,2,0,0,3,0,2,0,14,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,3,1,33,0,24,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,4,4,0,0,0,0
質感,0.00335111327322829,1,4,1,5,5,4,4,2,2,1,2,4,5,1,0,2,0,1,1,2,3,1,9,2,5,0,0,0,6,5,0,0,0,0,0,0,0,0,0,4,0,0,0,4,2,0,1,1,4,0,0,2,1,0,3,6,0,2,1,3,0,1,1,0,2,1,0,1,1,2,0,4,0,1,6,4,1,2,1,1
