"",weight,の良い,が良い,が悪い,が良く,も良く,は良いです,が良いです,は良いと,はありません,の高い,もよく,がいいです,がいい,が良いと,がよく,は思います,を考えると,も良いです,のよい,がよい,が高い,も良いと,の取れた,は良好です,はいいと,が良いので,はいいです,も良い,は良い,もいいです,は良く,が悪いと,が悪く,は最高です,は高いと,のとれた,が悪いです,がいいと,に優れた,を考えれば,もいい,もありません,がいいので,は高いです,が弱いです,は感じです,も良いので,があり,はいいですね,は抜群です,が良くて,も良好です,の悪い,はあります,はありますが,はありませんが,になります,も満足しています,は悪いです,がいいですね,があります,がよいです,はします,が高く,も高く,が感じます,のある,が高いです,をする,が良くない,といい,にありません,はよいです,もなく,は良いのですが,も悪くなく,が悪いので,はあり,には満足しています,は良いですね,は思いますが,が良くなりました,は気に入っています,も含めて,はよいと,は満足しています,をします,もいいですね,はしました,を考えて
weight,"",0.00886378029053035,0.00636507288028662,0.00495896285493822,0.00423307162007529,0.00389844243361279,0.00377224198422776,0.00335016038010048,0.00329111469449145,0.00325221717463208,0.00310399261478894,0.00273378320458339,0.002725546278856,0.00249281837210734,0.00218494818249796,0.00210530793957978,0.00206850218483556,0.00205969001259392,0.00200381001835257,0.00189252708564844,0.00186152246174118,0.00185621125620767,0.00181293897967317,0.00163161682685789,0.00158190846805024,0.00149026796527559,0.00149006340400969,0.00144986014760764,0.00140081499633012,0.00136600044154616,0.00129035254350079,0.00115821219246111,0.00115442278801432,0.00111977845311406,0.000997232399485105,0.000989014494407298,0.000983244760912218,0.000973351998307542,0.000962530771347052,0.000955867131559042,0.000954634907026715,0.000944172811505859,0.000937399141447413,0.000882055038539977,0.00085975665025527,0.000836531400279168,0.000826883353208795,0.000819210056418427,0.000801831565145681,0.000801615256170781,0.000793736337873348,0.00076243944925557,0.000747174012772645,0.000731252606791932,0.000729288487632077,0.000723330748174128,0.00071354310753515,0.000707992219987192,0.00069950208116343,0.000693416156172212,0.000671807546891834,0.000668657130258956,0.000666550709958645,0.000657998145864897,0.000656545493949416,0.000624611372652065,0.000619858707679812,0.000611247525815864,0.000595529206501721,0.000591667419387948,0.000584125093093533,0.000579576933040112,0.000578496288120414,0.000576631752386183,0.000569897090035332,0.000567233108263528,0.000548425709457414,0.000532479851061169,0.000504359678895096,0.000502708104863275,0.000501949512881633,0.000500429676130673,0.000491764915222045,0.000488724666647789,0.000480238381155321,0.000479156751401885,0.000477050064375065,0.000472984041662427,0.000472859261638282,0.000472175146754625,0.00046966269117177
バランス,0.0138042961742317,20,14,6,10,6,5,7,8,0,2,5,3,4,9,5,0,8,4,6,3,2,11,27,3,4,2,0,1,2,0,3,4,2,0,0,19,2,4,0,5,2,0,0,0,0,0,3,0,2,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,3,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,2
画質,0.0129123791211759,2,24,12,6,14,13,6,19,18,0,11,6,9,13,1,28,2,5,1,1,0,6,0,2,11,5,11,10,7,9,7,4,0,7,0,0,4,1,1,2,4,6,1,0,0,2,0,1,2,1,2,2,2,6,9,4,5,11,3,1,1,0,7,0,0,0,0,0,2,1,3,3,2,5,4,3,2,8,12,5,7,2,5,1,1,8,0,1,3,0
使い勝手,0.00901141220594881,12,17,7,10,4,10,15,5,4,0,4,12,1,6,5,1,4,1,5,6,0,1,0,5,3,3,3,1,1,1,1,1,1,2,0,0,2,3,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,5,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,2,1,1,1,1,0,1,0,1
操作性,0.00767900793029983,4,4,6,8,12,6,4,10,11,0,5,3,1,2,3,11,3,9,0,2,3,6,0,6,9,2,4,8,2,3,2,0,0,1,0,0,2,0,2,1,5,1,2,1,0,3,1,1,1,6,0,3,1,1,3,1,0,2,3,1,0,1,0,1,0,0,0,0,0,1,1,3,4,2,4,1,0,1,1,1,3,0,1,1,0,1,0,0,5,2
持ち,0.00688381588415402,0,22,30,0,0,5,4,6,7,0,0,1,9,2,1,0,0,0,0,6,0,0,0,0,0,2,1,0,3,0,2,5,6,1,0,0,9,1,0,0,0,0,6,0,0,2,0,0,2,1,1,0,0,0,1,1,0,0,5,0,0,1,2,0,0,1,0,0,0,5,0,0,2,0,1,0,4,0,0,2,1,0,0,0,1,0,0,0,0,0
携帯性,0.00681824319971185,11,6,3,2,12,3,5,12,11,0,6,1,1,1,0,12,3,2,0,3,1,2,0,3,0,1,10,1,3,1,4,2,2,1,0,0,1,1,5,3,0,1,5,0,0,2,1,0,0,17,1,0,0,1,0,7,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,1,3,1,5,1,2,0,1,1,2,0,0,0,2,2,0,1,4,2
ホールド感,0.00555005467467136,3,3,5,5,6,14,2,4,9,0,5,1,1,1,1,4,0,4,0,0,1,0,0,9,0,3,2,1,7,3,1,0,3,0,0,0,0,1,0,1,3,5,1,1,0,3,4,2,0,4,1,2,0,3,0,2,0,2,1,0,1,1,3,1,0,1,0,0,0,2,2,2,2,0,3,1,0,2,1,1,2,0,2,0,1,0,0,0,2,0
コストパフォーマンス,0.0049068197253664,5,5,0,1,1,4,0,8,0,36,1,0,1,2,0,2,10,0,0,3,14,2,0,0,1,0,1,0,0,0,0,0,0,9,24,0,0,0,33,3,1,0,1,4,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,3,0,1
質感,0.00420856696971324,1,4,1,5,5,4,2,4,2,5,2,1,4,1,1,2,0,2,0,1,9,3,0,1,2,0,5,6,0,5,0,0,0,4,2,0,0,0,0,0,0,0,0,2,0,4,0,4,1,0,1,2,0,6,3,1,0,1,0,2,3,0,1,6,4,1,2,2,0,0,4,0,1,1,1,1,0,1,2,1,1,1,1,3,0,0,0,0,0,0
写り,0.00415845884511339,7,4,2,4,4,4,1,5,6,0,1,1,5,2,0,4,0,0,1,0,0,2,0,1,2,1,7,2,3,0,2,1,0,4,0,0,0,1,0,2,3,8,2,0,0,1,0,0,4,0,2,0,0,1,1,0,3,1,0,0,0,0,2,0,1,0,0,0,18,0,0,2,0,0,1,1,0,2,3,0,0,0,0,0,2,3,17,0,0,0
デザイン,0.0038941703909398,1,7,0,3,7,2,2,11,0,0,1,0,1,1,1,11,0,2,0,1,0,4,0,1,6,2,3,2,2,3,0,0,0,2,0,0,0,1,0,0,2,1,0,0,0,5,0,0,0,0,0,0,0,2,4,2,1,1,0,4,0,0,3,0,0,0,1,0,0,0,1,0,1,0,2,1,0,5,0,2,3,0,13,2,3,2,0,0,1,0
気持ち,0.0028000789087561,13,7,0,0,0,0,2,0,1,0,0,9,9,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,0.00233894959416753,2,8,6,6,6,1,0,1,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
満足度,0.00233730222486197,0,0,0,0,0,0,0,0,1,45,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,11,0
描写,0.00220906809407563,2,0,0,1,6,5,0,0,4,0,0,1,1,4,0,5,1,3,0,0,0,0,0,0,0,2,0,1,1,1,3,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,2,1,0,5,1,0,7,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,1,0,0,0,4,3,0,0,0,0,2,0,2,15,0,0,0
レンズ,0.00220776043537546,5,1,1,1,1,10,0,2,8,0,0,0,1,2,0,6,0,0,0,0,0,0,0,0,3,0,4,1,1,0,1,0,0,0,1,0,0,1,0,0,3,1,0,1,0,1,0,5,1,0,1,0,2,4,2,2,3,0,0,2,0,0,6,0,0,1,0,0,1,0,1,1,2,1,0,0,0,5,0,0,1,0,0,2,0,1,0,0,2,0
発色,0.0021663495071339,1,0,2,3,3,2,0,0,1,0,6,0,3,0,1,2,0,4,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,4,1,0,0,0,2,0,0,1,0,0,2,1,2,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0
評判,0.00209966328856284,14,1,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,0,3,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
性能,0.00195761951572579,5,2,0,0,3,0,0,3,1,1,0,0,2,1,0,4,12,0,0,4,2,0,0,0,3,1,0,0,1,0,0,0,0,0,2,0,0,0,0,5,0,0,1,1,0,1,0,0,0,0,2,0,0,3,0,1,0,0,0,1,2,0,1,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2
不満,0.00182818544816785,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,14,0,0,0,0,0,4,17,26,1,0,0,0,22,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色乗り,0.00159768131040424,2,1,0,2,5,1,1,0,0,0,3,2,0,0,0,1,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
精度,0.00133993469438741,2,2,2,2,1,1,0,2,1,1,0,0,0,0,0,0,0,1,0,1,4,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
相性,0.00131873447035559,1,2,0,1,3,0,2,1,1,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,2,1,1,0,0,2,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
色のり,0.00130986604668372,1,0,0,1,0,1,1,1,0,0,6,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
価格,0.00128159987516031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,45,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0
もち,0.00126646288877658,0,1,7,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
解像度,0.00124294273268543,0,1,1,0,1,1,0,0,2,5,1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,8,7,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
感触,0.00123727250316987,0,2,0,1,0,6,2,1,2,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
完成度,0.00122354723242623,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF精度,0.00118675228309727,1,0,2,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド性,0.00110217515151156,0,1,2,4,0,2,2,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感じ,0.00106292872657228,0,4,0,0,0,3,1,1,6,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,6,0,22,0,0,1,5,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
天気,0.00105822135901156,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カメラ,0.0010467302909023,3,0,0,0,0,2,0,1,6,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,3,1,1,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,1,3,0,2,0,1,0,0,0,0,0
視認性,0.000996494808651661,2,2,1,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
液晶,0.000983555218481679,1,1,0,0,0,7,0,2,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,2,0,1,0,1,0,0,1,0,2,2,0,0,0,0,0,0,0,2,0
値段,0.000975646762054473,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,27,0,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1
質,0.000946359536501114,4,0,2,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機能,0.000908930550552291,0,3,1,0,0,0,0,1,4,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,12,1,2,0,1,0,2,0,10,0,0,0,0,0,1,4,6,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1
コントラスト,0.000894342867175461,1,1,0,0,1,0,0,0,0,11,0,3,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
重量バランス,0.000887475625167866,0,0,1,3,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
画像,0.00084051998771153,0,1,1,0,0,2,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,1,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
出来,0.00083895639564421,5,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感度,0.000833333707313518,1,0,2,2,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色,0.000832815155968789,0,1,2,0,1,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
大きさ,0.000831454302767619,0,0,0,0,1,2,2,1,2,0,0,1,1,0,0,0,8,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
バッテリー,0.000822755479542773,0,1,0,0,0,5,0,1,9,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,1,1,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
重さ,0.000804714395898164,0,3,0,0,2,2,0,0,1,0,0,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,4,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
補正,0.0007895786546131,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,3,1,1,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,2,0,0,0,0,2,0,9,0,1,1,0,0,0,0,0,0,0,7,0,3,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
解像感,0.000789560662926266,0,0,1,0,2,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,2,1,1,0,0,0,0,4,0,0,2,0,0,6,2,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AF,0.000745140353259367,0,1,1,0,0,2,0,0,6,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,2,1,0,0,0,0,0,3,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
描写力,0.000742281200691245,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ味,0.00073309118413307,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
評価,0.000728481788624456,1,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,4,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0
操作感,0.000724613166905036,0,1,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
位置,0.00071923665747648,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ヌケ,0.000714703942739072,5,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボディ,0.0007060913984739,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
機能性,0.000702006942866685,0,0,0,1,0,3,0,3,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,3,0,0,0,1,0,0,0,4,0
