"",weight,バランス,画質,使い勝手,操作性,持ち,携帯性,ホールド感,写り,デザイン,気持ち,質感,コストパフォーマンス,レスポンス,評判,発色,性能,描写,レンズ,色乗り,相性,天気,ホールド性,精度,感触,色のり,価格,もち,視認性,質,出来,感じ,値段,色,重さ,切れ,反応,重量バランス,感度,ヌケ,大きさ
weight,"",0.00521789436177476,0.00362762283749831,0.0029724269551287,0.00228018725714008,0.0020542881257185,0.0020032071879742,0.00150322112039178,0.00113928502252603,0.00100815796795418,0.00100283057376032,0.000990064813510735,0.000802495507689265,0.00078212471210307,0.00072721381115452,0.000580589103289382,0.000544642541454102,0.0005433420719902,0.000538858293165788,0.000523463300106063,0.000448646799767245,0.000399389015356325,0.000396115554044,0.000371030901015847,0.000365335425147336,0.000361654522550312,0.000352359295296095,0.000345326151589888,0.000308508351281496,0.000303054638825914,0.000276401010086409,0.000263478239705828,0.00026120137087684,0.00025942541700756,0.000250953511577102,0.000245316460531982,0.000244662412685208,0.000244138973115597,0.000236997242678151,0.00023405977271001,0.000233892639816158
の良い,0.00176038429864206,20,2,12,4,0,11,3,7,1,13,1,5,2,14,1,5,2,5,2,1,15,0,2,0,1,0,0,2,4,5,0,0,0,0,4,2,0,1,5,0
が良い,0.001129191720965,14,24,17,4,24,6,3,4,7,7,4,5,8,1,0,2,0,1,1,2,2,1,2,2,0,0,1,2,0,1,4,0,1,3,1,0,0,0,0,0
が良く,0.000769097204950169,10,6,10,8,0,2,5,4,3,0,5,1,6,0,3,0,1,1,2,1,0,4,2,1,1,0,0,0,1,0,0,0,0,0,3,1,3,2,2,0
が悪い,0.00067589533085597,6,12,7,6,36,3,5,2,0,0,1,0,6,0,2,0,0,1,0,0,0,2,2,0,0,0,7,1,2,0,0,0,2,0,0,2,1,2,0,0
も良く,0.00065013438252331,6,14,4,12,7,12,6,6,7,0,5,1,6,0,3,3,6,1,5,3,0,0,1,0,0,0,0,2,1,0,0,0,1,2,1,0,0,0,1,1
は良いです,0.000585485323815549,5,13,10,6,10,3,14,4,2,0,4,4,1,0,2,0,5,10,1,0,0,2,1,6,1,0,1,0,0,1,3,0,0,2,0,0,0,0,0,2
が良いです,0.000580101911480327,7,6,15,4,7,5,2,1,2,2,2,0,0,0,0,0,0,0,1,2,0,2,0,2,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,2
は良いと,0.000549870590856201,8,19,5,10,8,12,4,5,11,0,4,8,1,0,0,3,0,2,0,1,0,0,2,1,1,0,1,0,0,0,1,0,1,0,0,2,0,0,0,1
がいいです,0.000487456933058485,3,6,12,3,6,1,1,1,0,9,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,2,0,1,1,0,1,1,0,0,1
もよく,0.000443140374518793,5,11,4,5,6,6,5,1,1,0,2,1,0,0,6,0,0,0,3,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
がいい,0.000416855765608035,4,9,1,1,10,1,1,5,1,9,4,1,1,3,3,2,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,2,2,0,0,0,0,0,1
が良いと,0.000408680591430594,9,13,6,2,2,1,1,2,1,0,1,2,0,0,0,1,4,2,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0
のよい,0.000368645546195112,6,1,5,0,0,0,0,1,0,3,0,0,0,3,1,0,0,0,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
を考えると,0.00035353626056848,8,2,4,3,0,3,0,0,0,0,0,10,0,0,0,12,1,0,0,0,0,0,0,1,0,45,1,0,0,0,0,27,0,1,0,0,1,0,0,8
がよく,0.000348342448829661,5,1,5,3,1,0,1,0,1,1,1,0,4,1,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0
はありません,0.000345280372124502,0,18,4,11,9,11,9,6,0,1,2,0,1,0,1,1,4,8,0,1,0,1,1,2,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,2
も良いと,0.000342013993141108,11,6,1,6,1,2,0,2,4,0,3,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
の取れた,0.000309633291797623,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよい,0.00030031420387594,3,1,6,2,6,3,0,0,1,2,1,3,0,0,0,4,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
も良いです,0.000294253675080482,4,5,1,9,5,2,4,0,2,0,2,0,0,0,4,0,3,0,2,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
は良好です,0.000276808209351909,3,2,5,6,0,3,9,1,1,0,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
は思います,0.000268775145645355,0,28,1,11,0,12,4,4,11,0,2,2,0,0,2,4,5,6,1,0,0,1,0,0,0,3,0,1,0,1,0,2,1,1,0,0,0,1,0,0
はいいと,0.00025089775107531,4,11,3,9,0,0,0,2,6,0,2,1,0,0,0,3,0,3,0,2,0,0,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,1
