"",weight,バランス,画質,使い勝手,操作性,携帯性,持ち,ホールド感,写り,質感,デザイン,気持ち,コストパフォーマンス,レスポンス,評判,描写,レンズ,発色,性能,色乗り,相性,天気,感触,精度,色のり,ホールド性,価格,もち,出来,質,感じ,視認性,不満,感度,ヌケ,色,カメラ,重量バランス,大きさ,値段,操作感,切れ,重さ,反応,液晶,ボケ味,機能,画像,解像度,位置,描写力
weight,"",0.00683798221030009,0.00509815165173571,0.00430849424049573,0.00325306584594766,0.00282530226212192,0.00278610008487827,0.00229036112587955,0.00167350797381864,0.00150578295331401,0.00147897420105932,0.0014488786259409,0.00142712992617956,0.00112463450750763,0.00110333907329307,0.000853729765280603,0.000850297660540494,0.000819144111044333,0.00081507352771691,0.000761428870879959,0.00060536649156233,0.000586882983358077,0.000559729129548566,0.000551018507147655,0.000550910826722847,0.000536097836997915,0.000494025203167706,0.000488967394116856,0.000449741211788602,0.000435339009433651,0.000433202872078049,0.000425956463658621,0.000406583267168913,0.00038519636522761,0.0003826347198599,0.000356054663147963,0.00035121621700211,0.00034943229099386,0.000346530717356232,0.000345963283189474,0.000340191741666803,0.000338119956752153,0.000337792741589974,0.00032979737860862,0.000318290307009046,0.000318246210355085,0.000316113797735731,0.000303467175809204,0.000302218506798854,0.000300074011573107,0.000284050992815797
の良い,0.00253768755529283,20,2,12,4,11,0,3,7,1,1,13,5,2,14,2,5,1,5,2,1,15,0,2,1,0,0,0,5,4,0,2,0,1,5,0,3,0,0,0,0,4,0,2,1,0,0,0,0,0,0
が良い,0.00159457872755309,14,24,17,4,6,24,3,4,4,7,7,5,8,1,0,1,0,2,1,2,2,2,2,0,1,0,1,1,0,4,2,0,0,0,1,0,0,0,0,1,1,3,0,1,0,3,1,1,0,0
が良く,0.00108872588724173,10,6,10,8,2,0,5,4,5,3,0,1,6,0,1,1,3,0,2,1,0,1,2,1,4,0,0,0,1,0,0,0,2,2,0,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0
が悪い,0.0009578313221496,6,12,7,6,3,36,5,2,1,0,0,0,6,0,0,1,2,0,0,0,0,0,2,0,2,0,7,0,2,0,1,0,2,0,2,0,1,0,0,0,0,0,2,0,0,1,1,1,5,0
も良く,0.000927514903602594,6,14,4,12,12,7,6,6,5,7,0,1,6,0,6,1,3,3,5,3,0,0,1,0,0,0,0,0,1,0,2,0,0,1,1,0,0,1,0,0,1,2,0,0,1,0,0,1,0,1
は良いです,0.000856246477348984,5,13,10,6,3,10,14,4,4,2,0,4,1,0,5,10,2,0,1,0,0,6,1,1,2,0,1,1,0,3,0,0,0,0,0,2,0,2,0,1,0,2,0,7,0,0,2,1,0,1
が良いです,0.000819346416369325,7,6,15,4,5,7,2,1,2,2,2,0,0,0,0,0,0,0,1,2,0,2,0,1,2,0,1,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
は良いと,0.000783654971647531,8,19,5,10,12,8,4,5,4,11,0,8,1,0,0,2,0,3,0,1,0,1,2,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,2,2,0,1,0,0,0,1
がいいです,0.0006933055722957,3,6,12,3,1,6,1,1,1,0,9,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
もよく,0.000646650308222791,5,11,4,5,6,6,5,1,2,1,0,1,0,0,0,0,6,0,3,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,1,1,0
がいい,0.000602486559383797,4,9,1,1,1,10,1,5,4,1,9,1,1,3,1,1,3,2,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,1,0,2,0,2,0,0,0,1,0,0,0,0
が良いと,0.000567997722481285,9,13,6,2,1,2,1,2,1,1,0,2,0,0,4,2,0,1,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
はありません,0.000540868430212968,0,18,4,11,11,9,9,6,2,0,1,0,1,0,4,8,1,1,0,1,0,2,1,0,1,0,0,0,0,6,0,158,0,0,0,6,0,2,0,0,0,1,0,1,1,4,3,2,0,2
のよい,0.000524558644577298,6,1,5,0,0,0,0,1,0,0,3,0,0,3,0,0,1,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
を考えると,0.000508918201503119,8,2,4,3,3,0,0,0,0,0,0,10,0,0,1,0,0,12,0,0,0,1,0,0,0,45,1,0,0,0,0,0,0,0,0,0,1,8,27,0,0,1,0,0,0,8,0,0,0,1
がよく,0.000487847230716301,5,1,5,3,0,1,1,0,1,1,1,0,4,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
も良いと,0.000467163768152652,11,6,1,6,2,1,0,2,3,4,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
がよい,0.00043234972203428,3,1,6,2,3,6,0,0,1,1,2,3,0,0,0,0,0,4,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
も良いです,0.00041862042291259,4,5,1,9,2,5,4,0,2,2,0,0,0,0,3,0,4,0,2,3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
は思います,0.000406331984189642,0,28,1,11,12,0,4,4,2,11,0,2,0,0,5,6,2,4,1,0,0,0,0,0,1,3,0,1,0,0,1,0,1,0,1,3,0,0,2,0,0,1,0,5,2,1,1,1,0,0
の取れた,0.000405770372918907,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良好です,0.000403893883773668,3,2,5,6,3,0,9,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
が良いので,0.000357683079297866,2,5,3,2,1,2,3,1,0,2,0,0,1,6,2,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
はいいと,0.000354466787467095,4,11,3,9,0,0,0,2,2,6,0,1,0,0,0,3,0,3,0,2,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
の高い,0.000342511250312614,2,0,0,0,0,0,0,0,5,0,0,36,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0
はいいです,0.000315448626224631,0,11,3,4,10,1,2,7,5,3,0,1,0,0,0,4,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,2,0,1,3,0,0,0,0,1
は良い,0.000310605281250458,2,7,1,2,3,4,7,3,0,2,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
が悪いと,0.00029337507833326,4,4,1,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
が高い,0.000285912778896453,2,0,0,3,1,0,1,0,9,0,0,14,0,0,0,0,0,2,0,0,0,0,4,0,1,9,0,0,1,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,6,0,1
のとれた,0.000285542114276268,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪く,0.000283127600658877,2,0,1,0,2,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0
は良く,0.000282012506015614,3,7,1,2,4,2,1,2,0,0,0,0,1,1,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
もいいです,0.000280567190244013,0,9,1,3,1,6,3,0,5,3,0,0,1,0,1,0,1,0,0,2,0,3,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,1,1,0,2,0,1,3,0,1,0,1,0
も良い,0.000261855382782592,1,10,1,8,1,4,1,2,6,2,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,1,1,1,0,0
がいいと,0.00024404327758095,4,1,3,0,1,2,1,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えれば,0.00023834859169106,5,2,0,1,3,0,1,2,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,12,1,0,0,0
が悪いです,0.000233007749565959,2,4,2,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
もいい,0.000219127591065351,2,4,1,5,0,0,3,3,0,2,0,1,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
の悪い,0.000213990319043037,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,1,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
がいいので,0.0002130605406173,0,1,1,2,5,6,1,2,0,0,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
は最高です,0.000199989199512624,0,7,2,1,1,1,0,4,4,2,0,9,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0
が良くて,0.000197740724493765,1,2,1,0,1,2,1,2,1,0,0,0,1,0,2,1,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は抜群です,0.000190176566394703,1,1,0,6,17,1,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
に優れた,0.000189472759598181,0,1,0,2,5,0,0,0,0,0,0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
も良いので,0.000186881449613706,3,0,0,1,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0
もありません,0.000181323243368816,0,6,1,1,1,0,5,8,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,15,0,0,0,1,0,1,0,0,0,0,0,1,3,2,1,0,0,1
がよいです,0.000181069827822845,0,0,5,1,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良好です,0.000177929389100529,0,2,1,3,0,1,2,0,2,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1
がいいですね,0.000170517556073853,1,1,4,1,0,0,0,0,2,4,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
は感じです,0.000165647570206763,0,2,0,3,2,2,3,1,4,5,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,2,1,0,1,0
はいいですね,0.000161092518514372,2,2,0,1,0,2,0,4,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
が感じます,0.000156082527080321,3,0,1,0,0,2,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
になります,0.00015126086677163,1,5,0,0,0,0,0,3,0,1,2,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,5,3,0,1,1,0,0,0,0,0,0,0,5,0,0,0
があり,0.00014163899800584,0,1,0,1,0,0,2,0,4,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,14,1,0,0,1,0,1,0,0,4,4,0,0,0,10,0,1,0,0
が良くない,0.000137070201238741,1,1,1,1,0,5,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は悪いです,0.000133531643719119,1,3,0,3,5,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も満足しています,0.000133103925119311,1,11,0,2,0,1,2,1,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
は高いと,0.000131489507482531,0,0,0,0,0,0,0,0,2,0,0,24,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はあります,0.000128208582586725,0,6,0,1,1,0,3,1,6,2,0,0,0,0,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,3,0,2,0,0,0,2,0,1,0,1,2,0,0,4
はします,0.000127968834464658,1,7,0,0,0,2,3,2,1,3,0,0,0,0,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0
も悪くなく,0.000125580483308185,1,3,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
はよいです,0.000123098717723406,1,2,0,4,3,3,2,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
は良いのですが,0.000122887751660768,0,4,0,4,5,1,3,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
のある,0.000120114355356185,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,7,1,0,0,2,1,0,2,0,4
にありません,0.000119977632566805,0,3,1,3,1,1,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0
をする,0.000119569474307547,0,2,0,0,0,0,0,18,0,0,0,0,0,0,17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0
はありますが,0.000117859204737998,0,9,0,3,0,1,0,1,3,4,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,17,0,0,0,1,0,1,0,0,0,4,0,1,1,4,0,1,0,0
はありませんが,0.000117720725337278,0,4,0,1,7,1,2,0,1,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,26,0,0,0,1,0,1,0,0,1,0,0,1,0,6,1,1,0,0
といい,0.000117550168779269,0,3,0,1,1,0,2,0,4,1,0,1,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0
もなく,0.000115821183715703,1,5,1,2,1,1,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
は悪くないと,0.000112912635264602,1,1,2,1,2,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
はよいと,0.000112871459840823,1,1,1,0,2,1,1,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
を考えて,0.000111225237632144,2,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
は良いですね,0.000110603423332537,1,5,1,1,1,2,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
には満足しています,0.00011015763884298,0,12,1,1,1,1,1,3,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,3,1,0,0,0
が悪いので,0.000110137401765593,1,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
もいいですね,0.000109967263525867,0,1,1,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
があります,0.000109896479540883,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,5,0,22,0,0,0,0,0,0,0,1,1,2,0,1,0,2,1,0,1,0
は気に入っています,0.000109158572391454,1,5,1,1,0,0,2,0,1,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
も含めて,0.00010893527185744,1,1,1,1,0,0,0,0,3,2,0,2,0,0,2,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
が良いのか,0.000107587035678631,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
は満足しています,0.000107021563777579,0,8,1,1,2,0,0,3,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
は思いますが,0.00010299774420372,0,7,0,3,2,1,2,0,1,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0
をします,0.000102270187079137,0,0,0,0,0,0,0,17,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
も高く,9.81290089154155e-05,0,0,0,0,1,0,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
が良くなりました,9.78054068549252e-05,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
で満足しています,9.69792696425196e-05,0,8,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,2,0,1,0,3,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,1,2,0,0,0
が良いとは,9.56991677826318e-05,0,2,2,0,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高く,9.54582895342084e-05,0,0,0,1,0,0,1,0,6,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,1
で決めました,9.48686216459766e-05,1,0,0,2,1,1,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
は満足です,9.40298377819933e-05,0,7,1,2,2,0,1,2,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
はあり,9.35553401143736e-05,0,8,0,1,0,0,2,2,1,5,0,0,0,0,4,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0
という点では,9.3096209765791e-05,0,2,2,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
も良いですね,9.21688208676769e-05,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
がよいと,9.18758195460602e-05,0,0,1,1,1,0,3,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もある,9.16913108105429e-05,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
を重視して,9.06118811261213e-05,2,0,0,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいい,8.98279806727924e-05,1,3,0,2,0,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は悪くないです,8.85155893395222e-05,0,0,3,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高いです,8.73969306425898e-05,1,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
に満足しています,8.58325165753613e-05,0,4,1,1,0,1,0,2,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,2
もありますが,8.44695231843447e-05,0,1,1,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0
にある,8.42398172816979e-05,0,3,0,1,0,0,0,2,1,0,0,0,0,0,5,6,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,8,3
はよい,8.25428935207351e-05,1,4,1,1,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が好きです,8.10073886500862e-05,1,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
も気に入っています,8.09647193799107e-05,0,3,1,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1
