"",weight,バランス,画質,使い勝手,操作性,持ち,携帯性,ホールド感,写り,質感,コストパフォーマンス,デザイン,気持ち,レスポンス,評判,発色,レンズ,描写,性能,色乗り,不満,相性,感触,天気,もち,精度,色のり,ホールド性,価格,感じ,出来,質,視認性,カメラ,感度,色,ヌケ,機能,大きさ,液晶,重さ,切れ,値段,重量バランス,描写力,操作感,ボケ味,バッテリー,画像,AF,補正,反応,解像度,ボケ,位置,コントラスト,取り回し,ホールド,条件,音,問題
weight,"",0.0084874316228562,0.00678389090669235,0.00538706268007784,0.00423805390965319,0.00381749230878661,0.00371088019353279,0.00303108569045306,0.00217864872843701,0.00197789212145373,0.00191699080568678,0.00190232228804512,0.00182310220632081,0.00139693273428093,0.00136101845043789,0.00116780855021696,0.0011546421777237,0.0010998481336908,0.00104968543793964,0.000947636598454037,0.000923125425005806,0.000760776364872017,0.000726825214486184,0.000714807421625144,0.000699921081747927,0.000690386913439024,0.000689012670266369,0.000665989773883035,0.000623081152038569,0.000575332214165742,0.000558633035990412,0.000556844304207032,0.000530431607232818,0.000487014457620154,0.000480829329563787,0.000475754142059855,0.000468738348142586,0.000464427845555988,0.000459321034394479,0.000450478910074109,0.000449190732513779,0.000435949350880795,0.000434035923911854,0.000430482533930997,0.000428550065893255,0.000422939771202954,0.000421113431685573,0.000413825619669438,0.000413425091541461,0.000412254099262503,0.000409506565701548,0.000408235167558941,0.00040175012653625,0.000380952421675795,0.000374593875042479,0.000366391956033105,0.000347745978308075,0.000345117191561245,0.00033553845683197,0.000330906831456167,0.000327858262867806
の良い,0.0031690405877526,20,2,12,4,0,11,3,7,1,5,1,13,2,14,1,5,2,5,2,0,1,0,15,0,2,1,0,0,0,5,4,2,3,1,0,5,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0
が良い,0.00203746207538406,14,24,17,4,24,6,3,4,4,5,7,7,8,1,0,1,0,2,1,0,2,2,2,1,2,0,1,0,4,1,0,2,0,0,1,0,3,0,1,3,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0
が良く,0.00136898430361068,10,6,10,8,0,2,5,4,5,1,3,0,6,0,3,1,1,0,2,0,1,1,0,0,2,1,4,0,0,0,1,0,0,2,0,2,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
が悪い,0.00125870737666737,6,12,7,6,36,3,5,2,1,0,0,0,6,0,2,1,0,0,0,0,0,0,0,7,2,0,2,0,0,0,2,1,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,2,1,0,5,0,0,0,2,1,0
も良く,0.00122955228109078,6,14,4,12,7,12,6,6,5,1,7,0,6,0,3,1,6,3,5,0,3,0,0,0,1,0,0,0,0,0,1,2,0,0,1,1,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0,1,4,0,1,2,0,0,1,0
は良いです,0.00114944963647207,5,13,10,6,10,3,14,4,4,4,2,0,1,0,2,10,5,0,1,0,0,6,0,1,1,1,2,0,3,1,0,0,2,0,0,0,0,2,7,2,0,0,0,1,1,0,5,2,2,0,0,1,1,0,0,0,5,0,0,0
が良いです,0.0010623102265713,7,6,15,4,7,5,2,1,2,0,2,2,0,0,0,0,0,0,1,0,2,2,0,1,0,1,2,0,1,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
は良いと,0.00101426337326345,8,19,5,10,8,12,4,5,4,8,11,0,1,0,0,2,0,3,0,0,1,1,0,1,2,1,0,0,1,0,0,0,1,0,1,0,1,1,2,0,0,0,0,1,1,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0
がいいです,0.000897183272045209,3,6,12,3,6,1,1,1,1,0,0,9,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,2,0
