"",weight,バランス,画質,使い勝手,操作性,持ち,携帯性,ホールド感,コストパフォーマンス,写り,質感,デザイン,気持ち,レスポンス,評判,レンズ,発色,性能,描写,不満,色乗り,満足度,相性,感触,精度,もち,色のり,天気,価格,ホールド性,感じ,質,出来,視認性,液晶,カメラ,完成度,機能,値段,色,バッテリー,感度,重さ,大きさ,ヌケ,解像度,画像,補正,切れ,重量バランス,描写力,AF,ボケ味,操作感,解像感,コントラスト,問題,反応,ボケ,位置,ホールド,色合い,音,取り回し,条件,機能性,AF精度,場合,シャッター音,見た目,・操作性
weight,"",0.00964316855433063,0.0081922599471944,0.00619937679578775,0.00517842677899247,0.00453954571786101,0.00452442764788637,0.00371697778675068,0.00281768994877814,0.00258322158155963,0.00251608101185136,0.00231800459089601,0.00208049177992205,0.00163216726814565,0.0015543074429043,0.00148534377362557,0.00141813348390373,0.00132145336746513,0.00129706499465926,0.00126303574888587,0.00112105095569471,0.000992289337728611,0.000907807821471429,0.000855304601587663,0.000826876236114564,0.000816547324263915,0.000811184823297204,0.000810010035189796,0.000786684592949956,0.000769606963753631,0.000743906720026763,0.000658112963333468,0.000633340535660122,0.000626027614942127,0.000613220819874122,0.000598498318290001,0.000576413452862443,0.000571870859670652,0.000566645299643132,0.000565653905763269,0.000563428504388017,0.000562288816404473,0.000556670822966644,0.000553903398967158,0.000533908988353079,0.000530831503147508,0.000527435194828133,0.000514747183201589,0.000508988619318173,0.000508156594461583,0.000508142563806533,0.000507951159477173,0.000502758638360585,0.000497618463621453,0.0004788946302666,0.000475091273240104,0.000471248533425096,0.000469635020019162,0.000460833744651569,0.00044109450455889,0.000427342477503091,0.000421047135574697,0.00040487162818431,0.000399197065233869,0.00039128204460895,0.000369756524078269,0.000361738103976,0.000337707653285886,0.000337129010902262,0.000334780106048475,0.000318358678601363
の良い,0.00365326166269001,20,2,12,4,0,11,3,5,7,1,1,13,2,14,5,1,5,2,0,2,0,1,0,2,0,1,15,0,0,0,4,5,2,1,3,0,0,0,0,0,1,0,0,5,0,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,2,0,1,0,0,0,0
が良い,0.00243329757685572,14,24,17,4,24,6,3,5,4,4,7,7,8,1,1,0,2,0,0,1,0,2,2,2,1,0,2,0,1,4,0,1,2,1,0,0,3,0,1,1,0,3,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3
が良く,0.00161461667848709,10,6,10,8,0,2,5,1,4,5,3,0,6,0,1,3,0,1,0,2,0,1,1,2,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
が悪い,0.00149382294370443,6,12,7,6,36,3,5,0,2,1,0,0,6,0,1,2,0,0,0,0,0,0,0,2,7,0,0,0,2,0,2,0,1,0,0,0,1,0,2,0,2,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,2,0,5,0,0,1,0,2,0,2,0,0,0,0
も良く,0.0014726004528058,6,14,4,12,7,12,6,1,6,5,7,0,6,0,1,3,3,6,0,5,0,3,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,2,1,1,1,0,0,1,0,1,0,1,0,2,1,0,0,4,0,0,1,1,2,0,0,1,0,1,0,0
は良いです,0.00138735043158145,5,13,10,6,10,3,14,4,4,4,2,0,1,0,10,2,0,5,0,1,0,0,6,1,1,1,0,0,2,3,0,1,0,7,2,0,0,0,0,5,0,2,2,0,1,2,0,0,0,1,2,0,1,1,0,0,0,1,0,5,0,0,0,0,3,1,3,0,0,0
は良いと,0.00123646233440517,8,19,5,10,8,12,4,8,5,4,11,0,1,0,2,0,3,0,0,0,0,1,1,2,1,1,0,0,0,1,0,0,0,2,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,2,0,0,1,1,0,0,0,3,0,4,0,0,0
が良いです,0.00123419163500099,7,6,15,4,7,5,2,0,1,2,2,2,0,0,0,0,0,0,0,1,0,2,2,0,1,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
はありません,0.00114573866472338,0,18,4,11,9,11,9,0,6,2,0,1,1,0,8,1,1,4,158,0,1,1,2,1,0,0,0,0,1,6,0,0,0,1,6,0,4,0,0,9,0,1,2,0,2,3,1,0,0,2,6,1,0,0,0,36,0,0,0,1,0,0,0,0,1,1,2,0,0,2
