"",weight,の高い,は高いです,が高い,は高いと,の良い,が高いです,が良い,に優れた,を考えると,は良いと,は良いです,が悪い,は高い,が高く,も良く,が高いと,が良く,はありません,は最高です,は思います,があります,も高く,はしました,は5です,が良いです,が高いので,もよく,がいいです,がいい,を考えれば,が良いと,は高く,は満点です,も良いと,がよい,のある,も高い,があり,はあります,は最高だと,も良いです,のよい,はいいです,がよく,はいいと,はしましたが,がある,はあると,は良好です,も良い,をしました,が良いので,があると,は最高ですね,は高いですね,の取れた,もありません,はいいですね,は良い,もいいです,は抜群です,は感じです,は良く,はします,に優れていると,はありますが,が悪いと,が低い,に優れている,もいい,は5と,がいいので,が悪く,の強い,は大満足です,は抜群だと,から考えると,といい,が弱いです,は素晴らしいです,は抜群,を持った,が多い,もいいですね,で言えば,はありませんが,はものです,も含めて,のとれた,を含め,が高かった,をしたのは,が悪いです,はよいと,も高いです,の悪い,がいいと,も高いので,が素晴らしい,は思いますが
weight,"",0.0152057824540777,0.00684258730115665,0.006470819658001,0.00472483083155679,0.00449791556359861,0.00336276167641955,0.00331145054647118,0.00302706635665762,0.00228547503917785,0.00225142143515335,0.00221538988063829,0.00215177969423731,0.00197714714135184,0.00191723592536842,0.00189428520842223,0.00188897495721198,0.0018869908246345,0.00167625602097454,0.00157556471082727,0.00150105908607702,0.00146231470239092,0.00145727983097659,0.0013760840507637,0.00133966212699355,0.00131207188012169,0.0012781911943054,0.00127530351783156,0.00111998809402729,0.00110978359073452,0.00107899205177158,0.00106497911409454,0.0010487245154475,0.00101784629948448,0.00101682410899826,0.000985982146738023,0.000928299239525002,0.000911636378336973,0.000855561671422679,0.000823369362977305,0.000809951234571058,0.000804584859977601,0.00080048274479517,0.000790434105805378,0.000772841011210861,0.000744534436444455,0.0007438811458014,0.000703274921302522,0.00068826209335496,0.000669100252725253,0.000650506722327245,0.000639596121854453,0.000633944638935665,0.000617361386488227,0.000600331583867604,0.000591483229656225,0.000591341054258711,0.000586672222537358,0.000584943894738524,0.000574557360563919,0.000563740069264696,0.000560129516453848,0.00055617070977804,0.000553184442955754,0.000544414518880522,0.000540692099698427,0.000535890010556059,0.000529870181429434,0.000526094659984659,0.000523931059053957,0.000515617602455219,0.000512965780215869,0.000503361609420876,0.000497900956979866,0.000486430521517964,0.000473692233500143,0.000471379925073624,0.000470842463805254,0.000468227128042907,0.000467422320727731,0.000462161428576019,0.000447773022667023,0.000446581204452142,0.000438436686529972,0.000438349331274112,0.000434751113382288,0.000433849269710939,0.000419714638830916,0.000416383111221765,0.000416128890033908,0.000412050396099435,0.000407937875111089,0.000405602862205874,0.000404367003660975,0.000402891947736454,0.000384600284286331,0.000383508529088017,0.000379158130350925,0.00037323744519535,0.000364353117506879,0.000363835337939722
満足度,0.0189209168739476,45,68,7,10,0,16,0,0,0,0,0,0,13,2,0,3,0,1,3,1,0,0,11,14,0,2,0,0,0,0,0,6,10,0,0,0,3,0,0,0,0,0,0,0,0,6,0,2,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,2,0,0,1,0,0,0,0,1
コストパフォーマンス,0.016557779298033,36,4,14,24,5,4,5,33,10,8,4,0,2,4,1,6,1,0,9,2,0,4,0,0,0,2,1,0,1,3,2,0,0,2,3,0,3,0,0,9,0,0,1,0,1,0,0,1,0,0,0,0,0,3,2,0,0,3,0,0,2,0,0,0,7,0,0,0,3,1,0,1,0,0,0,5,3,1,0,3,4,3,0,3,1,0,0,2,0,3,0,0,0,2,1,0,0,1,2,0
画質,0.00669210295440424,0,0,0,0,2,0,24,1,2,19,13,12,0,0,14,0,6,18,7,28,1,0,3,1,6,0,11,6,9,2,13,2,0,6,1,0,0,1,6,1,5,1,11,1,11,1,0,0,2,10,0,5,1,1,0,0,6,2,7,9,1,2,7,7,0,9,4,1,0,4,1,1,0,0,4,0,0,3,0,4,0,0,0,1,1,4,11,1,0,0,0,1,4,1,0,2,1,0,1,7
バランス,0.00645866967127779,2,0,2,0,20,1,14,0,8,8,5,6,0,0,6,0,10,0,0,0,0,0,0,0,7,0,5,3,4,5,9,0,0,11,3,0,0,0,0,1,4,6,0,5,4,0,0,0,3,1,0,2,0,0,0,27,0,2,2,0,1,0,3,1,0,0,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,2,1,0,0,4,0,0,0
完成度,0.00626162429726021,37,3,11,7,0,1,0,0,0,0,0,0,1,4,0,3,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
携帯性,0.00491013900733754,0,0,1,0,11,0,6,5,3,12,3,3,0,0,12,1,2,11,1,12,0,1,4,0,5,1,6,1,1,3,1,0,1,2,3,0,0,0,1,0,2,0,10,0,0,1,0,0,3,1,2,1,1,0,0,0,1,0,3,1,17,2,4,0,1,0,2,0,4,0,0,5,2,0,1,0,1,1,0,1,6,0,0,1,1,7,2,0,0,0,0,4,1,2,0,0,1,0,0,2
質感,0.00454884104214068,5,2,9,2,1,2,4,0,0,4,4,1,2,6,5,2,5,2,4,2,3,4,0,0,2,0,2,1,4,0,1,0,0,3,1,2,0,4,6,0,2,0,5,1,2,0,1,0,1,6,0,0,2,0,0,0,0,1,0,5,0,4,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,1,1,3,0,0,0,0,0,0,2,0,0,0,1,1
操作性,0.00442989152324184,0,1,3,0,4,0,4,2,3,10,6,6,0,1,12,0,8,11,1,11,0,0,5,0,4,0,5,3,1,1,2,0,2,6,2,0,0,1,1,0,9,0,4,3,9,0,0,0,6,8,3,2,0,0,0,0,1,1,2,3,6,3,2,0,1,3,0,0,0,5,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,5,2,0,0,1,0,0,1,3
評価,0.0040648829381495,12,2,4,0,1,2,0,0,0,1,0,0,0,4,0,3,0,0,1,0,1,0,4,6,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,4,0,0,0,0,0,0,0,1
