"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,もよく,がいい,が良いと,のよい,を考えると,がよく,はありません,も良いと,の取れた,がよい,も良いです,は良好です,は思います,はいいと,が良いので,のとれた,は良い,が悪いと,はいいです,の高い,が悪く,は良く,もいいです,が高い,がいいと,も良い,を考えれば,が悪いです,もいい,がいいので,の悪い
weight,"",0.00176038429864206,0.001129191720965,0.000769097204950169,0.00067589533085597,0.00065013438252331,0.000585485323815549,0.000580101911480327,0.000549870590856201,0.000487456933058485,0.000443140374518793,0.000416855765608035,0.000408680591430594,0.000368645546195112,0.00035353626056848,0.000348342448829661,0.000345280372124502,0.000342013993141108,0.000309633291797623,0.00030031420387594,0.000294253675080482,0.000276808209351909,0.000268775145645355,0.00025089775107531,0.000246165921756349,0.000217890094227957,0.000208067313444338,0.000205382433388404,0.000204695616951287,0.000201235425327288,0.000196092643544823,0.000195405553002619,0.000180258692160222,0.000179708850241544,0.000176531633727089,0.000172643498345216,0.000166176734820694,0.000165995357712309,0.000146849398417461,0.000140448180036922,0.000136886933781639
バランス,0.00242374432939176,20,14,10,6,6,5,7,8,3,5,4,9,6,8,5,0,11,27,3,4,3,0,4,2,19,2,4,0,2,2,3,0,2,4,1,5,2,2,0,0
画質,0.00166217287604392,2,24,6,12,14,13,6,19,6,11,9,13,1,2,1,18,6,0,1,5,2,28,11,5,0,7,4,11,0,0,7,9,0,1,10,2,4,4,1,2
使い勝手,0.00136925473429919,12,17,10,7,4,10,15,5,12,4,1,6,5,4,5,4,1,0,6,1,5,1,3,3,0,1,1,3,0,1,1,1,0,3,1,0,2,1,1,0
操作性,0.00101422071300566,4,4,8,6,12,6,4,10,3,5,1,2,0,3,3,11,6,0,2,9,6,11,9,2,0,2,0,4,0,0,2,3,3,0,8,1,2,5,2,1
持ち,0.000922718358795588,0,22,0,30,0,5,4,6,1,0,9,2,0,0,1,7,0,0,6,0,0,0,0,2,0,3,5,1,0,6,2,0,0,1,0,0,9,0,6,0
携帯性,0.000841737605514763,11,6,2,3,12,3,5,12,1,6,1,1,0,3,0,11,2,0,3,2,3,12,0,1,0,3,2,10,0,2,4,1,1,1,1,3,1,0,5,0
ホールド感,0.000666907827059386,3,3,5,5,6,14,2,4,1,5,1,1,0,0,1,9,0,0,0,4,9,4,0,3,0,7,0,2,0,3,1,3,1,1,1,1,0,3,1,0
写り,0.000529401003491024,7,4,4,2,4,4,1,5,1,1,5,2,1,0,0,6,2,0,0,0,1,4,2,1,0,3,1,7,0,0,2,0,0,1,2,2,0,3,2,0
気持ち,0.000470441782835575,13,7,0,0,0,0,2,0,9,0,9,0,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
