"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,もよく,がいい,が良いと,はありません,のよい,を考えると,がよく,も良いと,がよい,も良いです,は思います,の取れた,は良好です,が良いので,はいいと,の高い,はいいです,は良い,が悪いと,が高い,のとれた,が悪く,は良く,もいいです,も良い,がいいと,を考えれば,が悪いです,もいい,の悪い,がいいので,は最高です,が良くて,は抜群です,に優れた,も良いので,もありません,がよいです,も良好です,がいいですね,は感じです
weight,"",0.00253768755529283,0.00159457872755309,0.00108872588724173,0.0009578313221496,0.000927514903602594,0.000856246477348984,0.000819346416369325,0.000783654971647531,0.0006933055722957,0.000646650308222791,0.000602486559383797,0.000567997722481285,0.000540868430212968,0.000524558644577298,0.000508918201503119,0.000487847230716301,0.000467163768152652,0.00043234972203428,0.00041862042291259,0.000406331984189642,0.000405770372918907,0.000403893883773668,0.000357683079297866,0.000354466787467095,0.000342511250312614,0.000315448626224631,0.000310605281250458,0.00029337507833326,0.000285912778896453,0.000285542114276268,0.000283127600658877,0.000282012506015614,0.000280567190244013,0.000261855382782592,0.00024404327758095,0.00023834859169106,0.000233007749565959,0.000219127591065351,0.000213990319043037,0.0002130605406173,0.000199989199512624,0.000197740724493765,0.000190176566394703,0.000189472759598181,0.000186881449613706,0.000181323243368816,0.000181069827822845,0.000177929389100529,0.000170517556073853,0.000165647570206763
バランス,0.00339428351477594,20,14,10,6,6,5,7,8,3,5,4,9,0,6,8,5,11,3,4,0,27,3,2,4,2,0,2,4,2,19,2,3,0,1,4,5,2,2,0,0,0,1,1,0,3,0,0,0,1,0
画質,0.00249636700245399,2,24,6,12,14,13,6,19,6,11,9,13,18,1,2,1,6,1,5,28,0,2,5,11,0,11,7,4,0,0,0,7,9,10,1,2,4,4,2,1,7,2,1,1,0,6,0,2,1,2
使い勝手,0.00212259900362921,12,17,10,7,4,10,15,5,12,4,1,6,4,5,4,5,1,6,1,1,0,5,3,3,0,3,1,1,0,0,1,1,1,1,3,0,2,1,0,1,2,1,0,0,0,1,5,1,4,0
操作性,0.00159546747356199,4,4,8,6,12,6,4,10,3,5,1,2,11,0,3,3,6,2,9,11,0,6,2,9,0,4,2,0,3,0,0,2,3,8,0,1,2,5,1,2,1,0,6,2,1,1,1,3,1,3
携帯性,0.00139355785486695,11,6,2,3,12,3,5,12,1,6,1,1,11,0,3,0,2,3,2,12,0,3,1,0,0,10,3,2,1,0,2,4,1,1,1,3,1,0,0,5,1,1,17,5,1,1,0,0,0,2
持ち,0.00135608849443183,0,22,0,30,0,5,4,6,1,0,9,2,7,0,0,1,0,6,0,0,0,0,2,0,0,1,3,5,0,0,6,2,0,0,1,0,9,0,0,6,1,1,1,0,0,0,1,0,0,2
ホールド感,0.00112003739930231,3,3,5,5,6,14,2,4,1,5,1,1,9,0,0,1,0,0,4,4,0,9,3,0,0,2,7,0,1,0,3,1,3,1,1,1,0,3,0,1,0,1,4,0,4,5,1,2,0,3
写り,0.000824692318908029,7,4,4,2,4,4,1,5,1,1,5,2,6,1,0,0,2,0,0,4,0,1,1,2,0,7,3,1,0,0,0,2,0,2,1,2,0,3,0,2,4,2,0,0,0,8,0,0,0,1
質感,0.000739810423230655,1,4,5,1,5,4,2,4,1,2,4,1,2,0,0,1,3,1,2,2,0,1,0,2,5,5,0,0,9,0,0,0,5,6,0,0,0,0,0,0,4,1,0,0,0,0,0,2,2,4
コストパフォーマンス,0.000737093561031387,5,5,1,0,1,4,0,8,0,1,1,2,0,0,10,0,2,3,0,2,0,0,0,1,36,1,0,0,14,0,0,0,0,0,0,3,0,1,0,1,9,0,2,33,0,0,0,0,0,0
デザイン,0.000725636989441765,1,7,3,0,7,2,2,11,0,1,1,1,0,0,0,1,4,1,2,11,0,1,2,6,0,3,2,0,0,0,0,0,3,2,1,0,0,2,0,0,2,0,0,0,0,1,0,0,4,5
気持ち,0.000720548315193713,13,7,0,0,0,0,2,0,9,0,9,0,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0
評判,0.000553318318537036,14,1,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,1,0,1,0,0,0,2,3,2,0,0,0,0,0,0,1,0,0,0
レスポンス,0.000550881957640274,2,8,6,6,6,1,0,1,0,0,1,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
描写,0.000419428767712882,2,0,1,0,6,5,0,0,1,0,1,4,4,0,1,0,0,0,3,5,0,0,2,0,0,0,1,0,0,0,0,3,1,1,0,0,0,1,0,1,1,2,0,1,1,0,0,1,0,0
レンズ,0.000419370147155815,5,1,1,1,1,10,0,2,0,0,1,2,8,0,0,0,0,0,0,6,0,0,0,3,0,4,1,0,0,0,0,1,0,1,1,0,0,3,2,0,0,1,0,0,0,1,0,0,2,1
性能,0.000404595766549633,5,2,0,0,3,0,0,3,0,0,2,1,1,0,12,0,0,4,0,4,0,0,1,3,1,0,1,0,2,0,0,0,0,0,0,5,0,0,0,1,0,2,0,0,0,0,0,0,1,1
発色,0.00040196237145832,1,0,3,2,3,2,0,0,0,6,3,0,1,1,0,1,0,0,4,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1
色乗り,0.000375331838020408,2,1,2,0,5,1,1,0,2,3,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
相性,0.000297172250738226,1,2,1,0,3,0,2,1,0,0,0,2,1,0,0,0,0,1,3,0,0,0,1,2,0,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
