"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,はありません,もよく,がいい,が良いと,のよい,を考えると,がよく,も良いと,がよい,も良いです,は思います,は良好です,の取れた,の高い,が良いので,はいいと,はいいです,は良い,が高い,が悪いと,もいいです,は良く,が悪く,のとれた,も良い,がいいと,が悪いです,を考えれば,もいい,がいいので,の悪い,は最高です,もありません,に優れた,が良くて,は抜群です,も良いので,がよいです,も良好です,は感じです,はいいですね,がいいですね,があり,が感じます,は悪いです,になります,はありませんが,も満足しています,はありますが,が良くない,はあります
weight,"",0.0031690405877526,0.00203746207538406,0.00136898430361068,0.00125870737666737,0.00122955228109078,0.00114944963647207,0.0010623102265713,0.00101426337326345,0.000897183272045209,0.000882037855022115,0.000832508491024699,0.000778718660223491,0.000721331294474268,0.000672921231818528,0.000646200298784157,0.000633450014967982,0.000601445466792241,0.000569441920459933,0.00055885623738703,0.000540944794112957,0.000512197391903497,0.000503649788609049,0.000493944747070728,0.000469268164036413,0.000469008934214767,0.000410414724734629,0.000399988092368759,0.00038885548520254,0.000386588392162811,0.000367919084675109,0.000363673864667997,0.000361851546926895,0.000354420221613775,0.00034085419701561,0.000325979900757795,0.000304396239448442,0.000302678092143044,0.000294310392443231,0.000278411640059003,0.00027133765477741,0.000267218516870904,0.000264879824660197,0.000253984469179263,0.000252172581630415,0.000247309263014181,0.00024280753771044,0.000228048630595312,0.000226952348393645,0.00022647053402739,0.000223744452925591,0.000215152626856556,0.000210565742300044,0.000206476665720686,0.000205487316234382,0.000198640091129896,0.000197940866783061,0.00018749845432319,0.000187005060022358,0.000185469725449443,0.000183598847411866
バランス,0.00436632504296712,20,14,10,6,6,5,7,8,3,0,5,4,9,6,8,5,11,3,4,0,3,27,2,2,4,0,2,2,4,0,3,2,19,1,4,2,5,2,0,0,0,0,0,1,1,3,0,0,0,2,1,0,3,1,1,0,1,0,1,0
画質,0.0034457398490411,2,24,6,12,14,13,6,19,6,18,11,9,13,1,2,1,6,1,5,28,2,0,0,5,11,11,7,0,4,9,7,0,0,10,1,4,2,4,1,2,7,6,1,2,1,0,0,2,2,2,1,1,0,3,5,4,11,9,1,6
使い勝手,0.00275165550191237,12,17,10,7,4,10,15,5,12,4,4,1,6,5,4,5,1,6,1,1,5,0,0,3,3,3,1,0,1,1,1,1,0,1,3,2,0,1,1,0,2,1,0,1,0,0,5,1,0,0,4,0,1,0,0,0,0,0,1,0
操作性,0.00215415745613937,4,4,8,6,12,6,4,10,3,11,5,1,2,0,3,3,6,2,9,11,6,0,0,2,9,4,2,3,0,3,2,0,0,8,0,2,1,5,2,1,1,1,2,0,6,1,1,3,3,1,1,1,0,3,0,1,2,3,1,1
持ち,0.00193216762120596,0,22,0,30,0,5,4,6,1,7,0,9,2,0,0,1,0,6,0,0,0,0,0,2,0,1,3,0,5,0,2,6,0,0,1,9,0,0,6,0,1,0,0,1,1,0,1,0,2,2,0,0,1,5,0,1,0,1,5,0
携帯性,0.00189126113733022,11,6,2,3,12,3,5,12,1,11,6,1,1,0,3,0,2,3,2,12,3,0,0,1,0,10,3,1,2,1,4,2,0,1,1,1,3,0,5,0,1,1,5,1,17,1,0,0,2,0,0,0,0,5,0,7,0,0,0,1
ホールド感,0.00153787992938906,3,3,5,5,6,14,2,4,1,9,5,1,1,0,0,1,0,0,4,4,9,0,0,3,0,2,7,1,0,3,1,3,0,1,1,0,1,3,1,0,0,5,0,1,4,4,1,2,3,0,0,2,1,1,0,2,2,0,2,3
写り,0.0011124805690783,7,4,4,2,4,4,1,5,1,6,1,5,2,1,0,0,2,0,0,4,1,0,0,1,2,7,3,0,1,0,2,0,0,2,1,0,2,3,2,0,4,8,0,2,0,0,0,0,1,4,0,0,0,0,3,0,1,1,0,1
質感,0.00100628478318943,1,4,5,1,5,4,2,4,1,2,2,4,1,0,0,1,3,1,2,2,1,0,5,0,2,5,0,9,0,5,0,0,0,6,0,0,0,0,0,0,4,0,0,1,0,0,0,2,4,1,2,4,1,0,0,1,1,3,0,6
コストパフォーマンス,0.000996749829665349,5,5,1,0,1,4,0,8,0,0,1,1,2,0,10,0,2,3,0,2,0,0,36,0,1,1,0,14,0,0,0,0,0,0,0,0,3,1,1,0,9,0,33,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
デザイン,0.000967619294189994,1,7,3,0,7,2,2,11,0,0,1,1,1,0,0,1,4,1,2,11,1,0,0,2,6,3,2,0,0,3,0,0,0,2,1,0,0,2,0,0,2,1,0,0,0,0,0,0,5,0,4,0,0,0,1,2,1,4,0,2
気持ち,0.000938399351407865,13,7,0,0,0,0,2,0,9,1,0,9,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0,0,1,0
レスポンス,0.000710346017097855,2,8,6,6,6,1,0,1,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
評判,0.000705325695122015,14,1,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,3,6,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
発色,0.000593691012159423,1,0,3,2,3,2,0,0,0,1,6,3,0,1,0,1,0,0,4,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,1,1,1,3,0,4,0,1,0
レンズ,0.000589780487526544,5,1,1,1,1,10,0,2,0,8,0,1,2,0,0,0,0,0,0,6,0,0,0,0,3,4,1,0,0,0,1,0,0,1,1,0,0,3,0,2,0,1,0,1,0,0,0,0,1,1,2,5,1,0,3,2,0,2,0,4
描写,0.000559890280765864,2,0,1,0,6,5,0,0,1,4,0,1,4,0,1,0,0,0,3,5,0,0,0,2,0,0,1,0,0,1,3,0,0,1,0,0,0,1,1,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,7,0,0,1,0,5
性能,0.000538670840273306,5,2,0,0,3,0,0,3,0,1,0,2,1,0,12,0,0,4,0,4,0,0,1,1,3,0,1,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,3
