"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,は良いと,が良いです,はありません,の高い,がいいです,もよく,がいい,が良いと,を考えると,のよい,がよく,がよい,も良いと,は思います,も良いです,が高い,は良好です,の取れた,はいいと,が良いので,はいいです,は良い,が悪いと,もいいです,は良く,が悪く,も良い,のとれた,は高いと,がいいと,を考えれば,に優れた,もいい,が悪いです,は最高です,もありません,は高いです,がいいので,の悪い,は抜群です,があり,が良くて,は感じです,も良いので,も良好です,はいいですね,がよいです,はありませんが,は悪いです,がいいですね,はありますが,はあります,があります,になります,も満足しています,が感じます,はします,が高く,のある,が良くない,はよいです,もなく,も高く,といい
weight,"",0.00365326166269001,0.00243329757685572,0.00161461667848709,0.00149382294370443,0.0014726004528058,0.00138735043158145,0.00123646233440517,0.00123419163500099,0.00114573866472338,0.00111664933810506,0.0010451078300209,0.000998440735612175,0.000916851332284655,0.000841013476540068,0.000782560702156555,0.000772911979142253,0.000739110185553234,0.000719941162900563,0.000710528863332853,0.000686306355560789,0.000669836270392561,0.000640487756149977,0.000603153743159087,0.000572231980147092,0.000553819743740954,0.00054623582929947,0.000504017482409457,0.000477256864922737,0.00044962497756412,0.000447886555707127,0.000433721857392761,0.000426537475078069,0.000415032122532681,0.000402681763807213,0.000385397874397144,0.000376444938359352,0.000364131674974643,0.00036214408841107,0.000361296422257982,0.000360562836872084,0.000359834916386341,0.000339815796426156,0.000330715377276723,0.000330453176280292,0.000311671994840396,0.000301416422453202,0.000297394129653491,0.00029515689496421,0.000294740122596804,0.000289439636651552,0.000276894530016395,0.000270262246343562,0.00026359974918357,0.000261035998873024,0.000261014731147844,0.000259176242198935,0.000251977470315979,0.000250544627101432,0.000246534499224818,0.000241707322228148,0.000241038021965469,0.000240216375844715,0.000237433728490066,0.000224819209943473,0.000224655165418672,0.000222035899352346,0.000216287888787942,0.000213229980443603,0.000213049582230656,0.000209769927619962
バランス,0.00509436234278481,20,14,10,6,6,5,8,7,0,2,3,5,4,9,8,6,5,3,11,0,4,2,3,27,4,2,0,2,4,0,3,2,1,19,0,4,5,0,2,2,0,0,0,0,0,1,0,1,0,3,0,2,0,0,1,1,0,0,0,1,1,3,1,0,0,1,1,1,0,0
画質,0.00421815256472892,2,24,6,12,14,13,19,6,18,0,6,11,9,13,2,1,1,1,6,28,5,0,2,0,11,5,11,7,4,9,7,0,10,0,0,1,2,1,4,4,7,6,0,1,2,1,1,2,2,0,2,2,0,4,3,1,9,6,1,5,11,0,7,0,0,1,2,5,0,3
使い勝手,0.0032422388262032,12,17,10,7,4,10,5,15,4,0,12,4,1,6,4,5,5,6,1,1,1,0,5,0,3,3,3,1,1,1,1,1,1,0,0,3,0,0,1,2,2,1,0,1,0,0,0,1,0,0,1,0,5,0,0,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0
操作性,0.00265788523986999,4,4,8,6,12,6,10,4,11,0,3,5,1,2,3,0,3,2,6,11,9,3,6,0,9,2,4,2,0,3,2,0,8,0,0,0,1,2,5,2,1,1,1,2,1,6,1,0,3,1,3,1,1,1,3,1,3,1,0,0,2,0,0,1,0,1,4,2,0,1
持ち,0.00234100322509436,0,22,0,30,0,5,6,4,7,0,1,0,9,2,0,0,1,6,0,0,0,0,0,0,0,2,1,3,5,0,2,6,0,0,0,1,0,0,0,9,1,0,0,6,0,1,0,1,2,0,0,2,1,1,5,0,1,0,0,0,0,1,2,0,0,5,2,0,0,0
携帯性,0.00232997542151918,11,6,2,3,12,3,12,5,11,0,1,6,1,1,3,0,0,3,2,12,2,1,3,0,0,1,10,3,2,1,4,2,1,0,0,1,3,5,0,1,1,1,0,5,0,17,0,1,2,1,0,0,0,7,5,0,0,1,0,0,0,0,0,0,0,0,3,1,1,1
ホールド感,0.00190506128954071,3,3,5,5,6,14,4,2,9,0,1,5,1,1,0,0,1,0,0,4,4,1,9,0,0,3,2,7,0,3,1,3,1,0,0,1,1,0,3,0,0,5,1,1,0,4,2,1,3,4,2,0,1,2,1,0,0,3,1,0,2,1,3,1,0,2,2,0,0,2
コストパフォーマンス,0.0016959312711421,5,5,1,0,1,4,8,0,0,36,0,1,1,2,10,0,0,3,2,2,0,14,0,0,1,0,1,0,0,0,0,0,0,0,24,0,3,33,1,0,9,0,4,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,1
質感,0.00140951190612238,1,4,5,1,5,4,4,2,2,5,1,2,4,1,0,0,1,1,3,2,2,9,1,0,2,0,5,0,0,5,0,0,6,0,2,0,0,0,0,0,4,0,2,0,0,0,4,1,4,0,2,1,0,1,0,2,3,6,3,0,1,1,1,6,2,0,1,1,4,4
写り,0.00134334182512756,7,4,4,2,4,4,5,1,6,0,1,1,5,2,0,1,0,0,2,4,0,0,1,0,2,1,7,3,1,0,2,0,2,0,0,1,2,0,3,0,4,8,0,2,0,0,0,2,1,0,0,4,0,0,0,0,1,1,0,3,1,0,2,0,0,0,0,0,1,0
