"",weight,の良い,が良い,が悪い,が良く,も良く,は良いです,の高い,は良いと,が良いです,はありません,がいいです,もよく,がいい,が良いと,を考えると,は思います,がよく,のよい,が高い,がよい,も良いと,も良いです,の取れた,は良好です,はいいと,が良いので,はいいです,は良い,も良い,もいいです,が悪いと,は良く,が悪く,は高いと,のとれた,に優れた,が悪いです,がいいと,は最高です,を考えれば,が弱いです,もいい,は高いです,もありません,がいいので,も良いので,は感じです,があり,は抜群です,はいいですね,の悪い,が良くて,も良好です,はありませんが,は悪いです,はあります,はありますが,が高く,がよいです,がいいですね,も満足しています,があります,になります,はします,も高く,が感じます,が高いです,のある,が良くない,はよいです,にありません,もなく,は良いのですが,といい,が悪いので,をする,も悪くなく,は思いますが,には満足しています,はしました
weight,"",0.00440511519864728,0.00304706270208206,0.00238206803514371,0.00201621893712843,0.0018437025420724,0.00177247504259287,0.00157802018683399,0.00155229019130617,0.00151468389573941,0.00146659972961688,0.00130375380125343,0.00124770460084255,0.00118070556200308,0.00103696851537125,0.000979870847716995,0.00095654407709793,0.000943894948076856,0.00092565517335691,0.000923979619348245,0.000895905001499442,0.000869264653951491,0.000856361294975252,0.000796705251391769,0.000748885678260633,0.000706358428672872,0.000667957989513443,0.000645661745782108,0.000598586492452415,0.000584181144878065,0.000576305553042712,0.00055735596933538,0.000551485916327636,0.000532594088526801,0.000492846915636582,0.000480246894354551,0.000460778877022678,0.000460773050578338,0.000460259385040479,0.000459970597190787,0.000451811592356023,0.000451075060793131,0.000449971810746996,0.00044731618780239,0.000438719640400116,0.000414287331024606,0.000391678482634133,0.000385048832597716,0.000379439860042881,0.000376607119652049,0.000373841960819169,0.000370995565950058,0.000365021031718578,0.000348922435093669,0.00033633764300528,0.000328044342259392,0.000327609858690097,0.000327457012685247,0.000325013073234768,0.000320250727025714,0.000318743019158366,0.000314748399158262,0.000309782998822807,0.000306496741147962,0.000305565345895226,0.000298470495883511,0.00029760716345865,0.000294068567539263,0.000286060877355715,0.000279088739512294,0.000273616348459705,0.000271731941935391,0.000268989992909075,0.000265379643871881,0.000264521880648376,0.000255395115298016,0.00025416909752443,0.000241632992207402,0.000235095717191865,0.000230473266080236,0.000230470757510189
バランス,0.00653114173994393,20,14,6,10,6,5,2,8,7,0,3,5,4,9,8,0,5,6,2,3,11,4,27,3,4,2,0,2,1,0,4,3,2,0,19,0,2,4,0,5,0,2,0,0,0,3,0,0,1,2,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,3,1,0,1,1,0,1,0,0,1,0,1,0,0,0
画質,0.00571424797565333,2,24,12,6,14,13,0,19,6,18,6,11,9,13,2,28,1,1,0,1,6,5,0,2,11,5,11,7,10,9,4,7,0,0,0,1,4,1,7,2,0,4,0,6,1,0,2,1,1,2,2,2,2,4,3,6,9,0,0,1,11,1,5,7,0,0,0,0,1,2,3,5,4,3,2,2,3,7,12,3
使い勝手,0.00409706908189212,12,17,7,10,4,10,0,5,15,4,12,4,1,6,4,1,5,5,0,6,1,1,0,5,3,3,3,1,1,1,1,1,1,0,0,0,2,3,2,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,5,4,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0
操作性,0.00353770967105453,4,4,6,8,12,6,0,10,4,11,3,5,1,2,3,11,3,0,3,2,6,9,0,6,9,2,4,2,8,3,0,2,0,0,0,2,2,0,1,1,0,5,1,1,2,1,3,1,6,1,1,0,3,1,3,1,3,1,1,1,2,0,0,0,0,0,0,0,1,4,3,2,4,1,0,0,1,3,1,5
持ち,0.00322764583424185,0,22,30,0,0,5,0,6,4,7,1,0,9,2,0,0,1,0,0,6,0,0,0,0,0,2,1,3,0,0,5,2,6,0,0,0,9,1,1,0,0,0,0,0,6,0,2,0,1,2,0,1,0,1,5,0,1,0,1,0,0,0,0,2,0,1,0,0,5,2,0,0,1,0,4,0,0,1,0,0
携帯性,0.0031080875958773,11,6,3,2,12,3,0,12,5,11,1,6,1,1,3,12,0,0,1,3,2,2,0,3,0,1,10,3,1,1,2,4,2,0,0,5,1,1,1,3,0,0,0,1,5,1,2,0,17,0,0,1,0,7,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,5,1,2,0,1,2,1,4
ホールド感,0.00253827172213107,3,3,5,5,6,14,0,4,2,9,1,5,1,1,0,4,1,0,1,0,0,4,0,9,0,3,2,7,1,3,0,1,3,0,0,0,0,1,0,1,0,3,1,5,1,4,3,2,4,0,0,1,2,2,1,3,0,1,1,0,2,1,0,3,0,1,0,0,2,2,2,0,3,2,0,0,1,2,1,2
コストパフォーマンス,0.00224361619029901,5,5,0,1,1,4,36,8,0,0,0,1,1,2,10,2,0,0,14,3,2,0,0,0,1,0,1,0,0,0,0,0,0,24,0,33,0,0,9,3,0,1,4,0,1,0,0,0,2,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0
質感,0.00188913623382969,1,4,1,5,5,4,5,4,2,2,1,2,4,1,0,2,1,0,9,1,3,2,0,1,2,0,5,0,6,5,0,0,0,2,0,0,0,0,4,0,0,0,2,0,0,0,4,4,0,1,0,1,2,1,0,6,3,6,0,2,1,3,0,1,4,1,2,2,0,1,0,1,1,4,0,0,1,1,2,0
