"",weight,の良い,が良い,が悪い,が良く,の高い,も良く,は良いです,が良いです,は良いと,はありません,もよく,がいいです,がいい,が高い,が良いと,を考えると,がよく,は思います,も良いです,のよい,がよい,も良いと,の取れた,は良好です,が良いので,はいいと,はいいです,は高いです,も良い,は良い,もいいです,は高いと,が悪いと,は良く,が悪く,に優れた,は最高です,のとれた,を考えれば,がいいと,もいい,が悪いです,もありません,がいいので,が弱いです,は感じです,も良いので,が高いです,があり,はいいですね,は抜群です,が高く,があります,はあります,が良くて,の悪い,も良好です,はありますが,になります,も高く,はありませんが,も満足しています,は悪いです,はします,がいいですね,がよいです,が感じます,のある,をする,といい,は高い,が良くない,にありません,はよいです,もなく,は良いのですが,はしました,も悪くなく,が悪いので,は良いですね,はあり,は思いますが,には満足しています,が良くなりました,も含めて,はよいと,もいいですね,は気に入っています,を考えて,をします
weight,"",0.00516592522191354,0.00361723929536975,0.00277136305365971,0.00242232607203883,0.00236399278144771,0.00221383228314236,0.00214004384662959,0.00189808873408545,0.00189170193402757,0.00182658323428198,0.00155696532040119,0.00154476365377236,0.00141318302613543,0.00128249218226486,0.00125461024010344,0.0012338413913422,0.00120401818368756,0.00118464222487747,0.00113469002327047,0.00109391609616401,0.00106230683632669,0.00105317865680037,0.000956753625432925,0.000897302079773335,0.000849352733043489,0.000849250568856536,0.000817351067938094,0.000801146284928971,0.00078634195831888,0.000774329779347314,0.000719214037125049,0.000710202785225368,0.000659581195332227,0.000656719505820834,0.000634264935003412,0.000627597750506562,0.000614154827143039,0.000576443136945939,0.000575612844841192,0.000550008255812494,0.000542127784904966,0.00054173333202411,0.000532823769569068,0.000498409855814903,0.000474645685884117,0.000470900987566759,0.000467109347927416,0.000466735388917043,0.000466311916955286,0.000461748190704759,0.000453551728176299,0.000446019151629075,0.000439245599902532,0.000438562437788336,0.000431727455420852,0.000428146637328546,0.000420960536196443,0.000408976360505892,0.00040368065427542,0.000403466074315617,0.000400853043006586,0.000396154370757157,0.00038658321331353,0.000380927075746058,0.000380225320443063,0.000376523428508415,0.000354509032625465,0.000347475093397473,0.000336314125255728,0.000333437105151889,0.000329632788863563,0.00032589173274529,0.000325820088548277,0.000324852321608089,0.00032290972298968,0.000318824742088485,0.000317569377372127,0.000311770069152438,0.00029783091011728,0.000287825953613036,0.000287645047052461,0.000285667851330508,0.000283817907843359,0.000281239737230017,0.000279007693009192,0.000278551475604962,0.000276173759048298,0.000273830393993351,0.000273553360669569,0.000273528275405717
バランス,0.00798493463020859,20,14,6,10,2,6,5,7,8,0,5,3,4,2,9,8,5,0,4,6,3,11,27,3,2,4,0,0,1,2,0,0,4,3,2,0,0,19,5,4,2,2,0,0,0,0,3,1,0,2,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,3,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,2,0
画質,0.00729287037869808,2,24,12,6,0,14,13,6,19,18,11,6,9,0,13,2,1,28,5,1,1,6,0,2,5,11,11,0,10,7,9,0,4,7,0,1,7,0,2,1,4,4,6,1,0,2,0,0,1,2,1,0,1,6,2,2,2,9,5,0,4,11,3,7,1,0,0,0,2,3,0,1,3,2,5,4,3,3,2,5,8,7,12,2,1,1,1,5,0,0
使い勝手,0.005135078268571,12,17,7,10,0,4,10,15,5,4,4,12,1,0,6,4,5,1,1,5,6,1,0,5,3,3,3,0,1,1,1,0,1,1,1,0,2,0,0,3,1,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,4,5,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,2,1,1,1,1,1,0
操作性,0.00438727734029175,4,4,6,8,0,12,6,4,10,11,5,3,1,3,2,3,3,11,9,0,2,6,0,6,2,9,4,1,8,2,3,0,0,2,0,2,1,0,1,0,5,2,1,2,0,3,1,0,1,1,6,1,0,1,0,1,3,3,0,0,1,2,3,0,1,1,0,0,0,1,0,1,3,4,2,4,5,1,0,1,1,3,1,0,1,0,0,1,2,0
携帯性,0.00389246598641693,11,6,3,2,0,12,3,5,12,11,6,1,1,1,1,3,0,12,2,0,3,2,0,3,1,0,10,0,1,3,1,0,2,4,2,5,1,0,3,1,0,1,1,5,0,2,1,0,0,0,17,0,0,1,1,0,0,0,0,1,7,0,5,0,0,0,0,0,0,1,0,0,1,3,1,5,4,1,2,1,0,2,1,0,0,2,1,0,2,0
持ち,0.00388584133302848,0,22,30,0,0,0,5,4,6,7,0,1,9,0,2,0,1,0,0,0,6,0,0,0,2,0,1,0,0,3,0,0,5,2,6,0,1,0,0,1,0,9,0,6,0,2,0,0,0,2,1,0,0,0,1,0,0,1,0,0,1,0,5,2,0,1,1,0,0,0,0,5,0,2,0,1,0,0,4,2,0,1,0,0,0,1,0,0,0,0
コストパフォーマンス,0.00320955907881305,5,5,0,1,36,1,4,0,8,0,1,0,1,14,2,10,0,2,0,0,3,2,0,0,0,1,1,4,0,0,0,24,0,0,0,33,9,0,3,0,1,0,0,1,0,0,0,4,0,3,2,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,3,0,1,0
ホールド感,0.0031642921646044,3,3,5,5,0,6,14,2,4,9,5,1,1,1,1,0,1,4,4,0,0,0,0,9,3,0,2,1,1,7,3,0,0,1,3,0,0,0,1,1,3,0,5,1,0,3,4,0,2,0,4,1,1,3,1,0,2,0,0,0,2,2,1,3,0,1,1,0,0,2,0,2,2,2,0,3,2,1,0,1,2,2,1,0,0,1,0,2,0,0
質感,0.00251328270141306,1,4,1,5,5,5,4,2,4,2,2,1,4,9,1,0,1,2,2,0,1,3,0,1,0,2,5,2,6,0,5,2,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,2,4,1,0,6,3,6,1,0,2,3,0,4,1,1,0,1,2,0,1,2,0,4,2,0,0,1,1,1,0,1,0,1,1,1,2,1,3,0,0,1,0,0
