"",weight,の高い,は高いです,が高い,の良い,は高いと,が良い,が高いです,に優れた,が悪い,は良いです,は良いと,を考えると,が良く,も良く,は高い,が高く,が高いと,はありません,は思います,は最高です,が良いです,もよく,も高く,があります,はしました,は5です,がいいです,がいい,が高いので,が良いと,も良いと,を考えれば,がよい,は高く,は満点です,のある,のよい,も良いです,がよく,も高い,があり,はいいです,はあります,はいいと,は最高だと,が弱いです,は良好です,はしましたが,も良い,が良いので,がある,はあると,の取れた,は良い,もいいです,もありません,は良く,があると,をしました,はいいですね,が悪いと,は感じです,は最高ですね,は抜群です,もいい,はします,は高いですね,が悪く,はありますが,がいいので,に優れていると,が低い,に優れている,といい,は5と,の強い,は素晴らしいです,のとれた,はありませんが,が悪いです,は大満足です,は抜群だと,から考えると,もいいですね,は抜群,の悪い,も含めて,はものです,を持った,がいいと,で言えば,はよいと,が多い,を含め,も良いので,をしたのは,はあり,になります,が高かった,は思いますが
weight,"",0.0155597081017927,0.00695957751475675,0.00667475127865092,0.00526837574315957,0.00484072736215083,0.0038573815832329,0.00344954914367748,0.00311954089571899,0.00290673533685809,0.00255745367518441,0.00253385312201397,0.00246003145591202,0.00225171717869736,0.00223458513742694,0.00202678647689762,0.0019851785587629,0.00193794977673978,0.00193429110490356,0.00166293428988859,0.00165866365728916,0.00157716540067917,0.00152300185237,0.00152015773915887,0.00150580972793754,0.00141503783029985,0.00134958934552604,0.00134628250445647,0.00132529740110336,0.00132189009739438,0.00124966397158692,0.00116833252776333,0.00116163300306411,0.00113553865953427,0.00107833519198108,0.00103420925888019,0.000979390446621625,0.000958287175500755,0.000955700264795523,0.00093920661724244,0.00093762468778332,0.00093355681252342,0.000917446294168216,0.000903198746628098,0.000856557958192882,0.000840618599737947,0.000834435733179778,0.000809178925517752,0.000761005573076949,0.000751745772078977,0.000750626219521821,0.000739011786411319,0.000726733035514108,0.000705590081140335,0.000685125640886945,0.000683543389486843,0.000675801031029474,0.000659331646428033,0.000657565944477541,0.000652857331434407,0.000648959948162627,0.000645406921821606,0.000629860720179794,0.000627985985031397,0.000626390244751731,0.000602303710966538,0.000600982459477681,0.000600981141964794,0.000598225993196453,0.000595310953780827,0.000582646640775999,0.000557293302414133,0.000550568669609765,0.000545279261555701,0.000524364421099968,0.000518168517211235,0.000501307517788331,0.000498661182874461,0.00049652635339505,0.000495623039537508,0.000494183879614963,0.000491423417949208,0.000485964361175079,0.000485658508570396,0.000481246611300908,0.000468065334554413,0.000461241866627085,0.000456959634442496,0.000456225680922517,0.000454622638813734,0.000454487508008033,0.000444293411763338,0.000439959515779629,0.000437684279573917,0.000429305841940111,0.000423238110629877,0.000421757014499035,0.000416109223616754,0.000413553337838321,0.000413136614925673,0.000404309203432709
満足度,0.0193112239176794,45,68,7,0,10,0,16,0,0,0,0,0,0,0,13,2,3,1,1,3,0,0,0,0,11,14,0,0,2,0,0,0,0,6,10,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,2,5,0,1,0,0,1,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,2,1
コストパフォーマンス,0.0170081690751957,36,4,14,5,24,5,4,33,0,4,8,10,1,1,2,4,6,0,2,9,0,1,4,0,0,0,0,1,2,2,2,3,3,0,0,0,0,0,0,3,0,1,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,2,1,0,2,0,0,1,7,0,3,1,0,0,3,0,0,0,0,5,3,3,4,0,2,0,3,0,1,2,0,3,0,0,0,0,0,0
画質,0.00774427854969323,0,0,0,2,0,24,0,1,12,13,19,2,6,14,0,0,0,18,28,7,6,11,0,1,3,1,6,9,0,13,6,2,1,2,0,0,1,5,1,0,1,11,6,11,1,0,2,1,10,5,0,0,0,7,9,6,7,1,0,2,4,2,1,1,4,7,0,0,9,1,0,1,0,3,1,0,4,0,4,4,4,0,0,1,0,2,1,11,0,1,1,1,0,0,0,1,8,5,0,7
バランス,0.00763445169391991,2,0,2,20,0,14,1,0,6,5,8,8,10,6,0,0,0,0,0,0,7,5,0,0,0,0,3,4,0,9,11,5,3,0,0,0,6,4,5,0,0,0,0,4,1,0,3,0,1,2,0,0,27,2,0,0,3,0,0,2,4,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,19,0,2,0,0,0,0,0,0,1,0,0,4,0,1,0,0,3,0,0,1,0,0
完成度,0.00622080601752118,37,3,11,0,7,0,1,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
携帯性,0.00550781631413541,0,0,1,11,0,6,0,5,3,3,12,3,2,12,0,0,1,11,12,1,5,6,1,0,4,0,1,1,1,1,2,3,3,0,1,0,0,2,0,0,0,10,1,0,0,0,3,1,1,1,0,0,0,3,1,1,4,1,2,0,2,2,0,17,0,0,0,2,0,5,1,0,4,1,0,0,1,0,7,1,1,0,1,1,6,0,0,2,0,1,1,2,0,0,1,4,0,0,0,2
操作性,0.00502518729969664,0,1,3,4,0,4,0,2,6,6,10,3,8,12,0,1,0,11,11,1,4,5,0,0,5,0,3,1,0,2,6,1,2,0,2,0,0,9,3,0,1,4,1,9,0,0,6,0,8,2,0,0,0,2,3,1,2,0,3,1,0,3,0,6,5,0,0,0,3,2,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,5,1,0,0,3
質感,0.00478819099064197,5,2,9,1,2,4,2,0,1,4,4,0,5,5,2,6,2,2,2,4,2,2,4,3,0,0,1,4,0,1,3,0,1,0,0,2,0,2,1,0,4,5,6,2,0,0,1,0,6,0,1,0,0,0,5,0,0,2,0,1,0,4,0,0,0,1,0,0,3,0,0,1,0,4,0,0,1,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,1
使い勝手,0.00458054531641112,0,0,0,12,0,17,0,0,7,10,5,4,10,4,0,0,0,4,1,2,15,4,0,1,0,0,12,1,0,6,1,0,6,0,0,0,5,1,5,0,0,3,0,3,0,0,5,0,1,3,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0
