"",weight,バランス,画質,使い勝手,操作性,携帯性,持ち,ホールド感,写り,質感,コストパフォーマンス,デザイン,気持ち,評判,レスポンス,描写,レンズ,性能,発色,色乗り,相性,天気,感触,精度,色のり,ホールド性,価格,もち,出来,質,感じ,視認性,不満,ヌケ,感度,色,カメラ,値段,重量バランス,大きさ,切れ,操作感,重さ,反応,機能,液晶,ボケ味,解像度,画像,位置,描写力
weight,"",0.00339428351477594,0.00249636700245399,0.00212259900362921,0.00159546747356199,0.00139355785486695,0.00135608849443183,0.00112003739930231,0.000824692318908029,0.000739810423230655,0.000737093561031387,0.000725636989441765,0.000720548315193713,0.000553318318537036,0.000550881957640274,0.000419428767712882,0.000419370147155815,0.000404595766549633,0.00040196237145832,0.000375331838020408,0.000297172250738226,0.000296101255976966,0.000273196246901014,0.000271727676604405,0.00027171803898568,0.000262513834752426,0.000247820962487383,0.000236876227721855,0.0002257699760231,0.000217082620672644,0.000211873045645772,0.000209402977234995,0.000192751970038873,0.000191058846584821,0.000189386050750659,0.000173826902832102,0.000173697368628319,0.000173493355230622,0.000171169503980482,0.000169997077318274,0.000168886378286198,0.000166062789772677,0.000164952568790976,0.000162504010269609,0.000156648825340272,0.000155770582372249,0.000154284456144105,0.000149383308023299,0.000148143175726564,0.000145817158945424,0.000140203537361872
の良い,0.00126502493334919,20,2,12,4,11,0,3,7,1,5,1,13,14,2,2,5,5,1,2,1,15,0,2,1,0,0,0,5,4,0,2,0,5,1,0,3,0,0,0,4,0,0,2,0,1,0,0,0,0,0
が良い,0.000787645504937065,14,24,17,4,6,24,3,4,4,5,7,7,1,8,0,1,2,0,1,2,2,2,2,0,1,0,1,1,0,4,2,0,0,0,1,0,0,0,0,1,1,3,0,3,1,0,1,1,0,0
が良く,0.000537454617212625,10,6,10,8,2,0,5,4,5,1,3,0,0,6,1,1,0,3,2,1,0,1,2,1,4,0,0,0,1,0,0,0,2,2,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0
が悪い,0.000469987028128935,6,12,7,6,3,36,5,2,1,0,0,0,0,6,0,1,0,2,0,0,0,0,2,0,2,0,7,0,2,0,1,0,0,2,2,0,0,1,0,0,0,0,2,1,0,0,1,1,5,0
も良く,0.000457076626587452,6,14,4,12,12,7,6,6,5,1,7,0,0,6,6,1,3,3,5,3,0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,1,1,0,2,0,0,0,1,1,0,0,1
は良いです,0.000421627711846915,5,13,10,6,3,10,14,4,4,4,2,0,0,1,5,10,0,2,1,0,0,6,1,1,2,0,1,1,0,3,0,0,0,0,0,2,0,0,2,0,1,2,0,0,7,0,1,2,0,1
が良いです,0.000404064530969931,7,6,15,4,5,7,2,1,2,0,2,2,0,0,0,0,0,0,1,2,0,2,0,1,2,0,1,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0
は良いと,0.000387171714863825,8,19,5,10,12,8,4,5,4,8,11,0,0,1,0,2,3,0,0,1,0,1,2,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,2,1,2,0,0,0,0,1
がいいです,0.000342261138984105,3,6,12,3,1,6,1,1,1,0,0,9,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
もよく,0.000318878081047163,5,11,4,5,6,6,5,1,2,1,1,0,0,0,0,0,0,6,3,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,1,0
がいい,0.000297816430613167,4,9,1,1,1,10,1,5,4,1,1,9,3,1,1,1,2,3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0
が良いと,0.000280662989921913,9,13,6,2,1,2,1,2,1,2,1,0,0,0,4,2,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
はありません,0.000263735666787134,0,18,4,11,11,9,9,6,2,0,0,1,0,1,4,8,1,1,0,1,0,2,1,0,1,0,0,0,0,6,0,158,0,0,0,6,0,0,2,0,0,1,0,4,1,1,2,3,0,2
のよい,0.000260483490929704,6,1,5,0,0,0,0,1,0,0,0,3,3,0,0,0,0,1,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
を考えると,0.000253253529404545,8,2,4,3,3,0,0,0,0,10,0,0,0,0,1,0,12,0,0,0,0,1,0,0,0,45,1,0,0,0,0,0,0,0,0,0,27,1,8,0,0,1,0,8,0,0,0,0,0,1
がよく,0.00024067681772144,5,1,5,3,0,1,1,0,1,0,1,1,1,4,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
も良いと,0.000231368800279453,11,6,1,6,2,1,0,2,3,2,4,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
がよい,0.00021399169831937,3,1,6,2,3,6,0,0,1,3,1,2,0,0,0,0,4,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
も良いです,0.000205939004097108,4,5,1,9,2,5,4,0,2,0,2,0,0,0,3,0,0,4,2,3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
の取れた,0.000201419021755935,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は思います,0.000200016447492093,0,28,1,11,12,0,4,4,2,2,11,0,0,0,5,6,4,2,1,0,0,0,0,0,1,3,0,1,0,0,1,0,0,1,1,3,2,0,0,0,0,1,0,1,5,2,1,1,0,0
は良好です,0.000198763764278111,3,2,5,6,3,0,9,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
が良いので,0.000176976076289909,2,5,3,2,1,2,3,1,0,0,2,0,6,1,2,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
はいいと,0.000174903259677971,4,11,3,9,0,0,0,2,2,1,6,0,0,0,0,3,3,0,0,2,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
の高い,0.000173907407804463,2,0,0,0,0,0,0,0,5,36,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0
はいいです,0.000155306660436893,0,11,3,4,10,1,2,7,5,1,3,0,0,0,0,4,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,1,3,0,0,0,1
は良い,0.000152960744307473,2,7,1,2,3,4,7,3,0,0,2,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
が悪いと,0.000145004432017826,4,4,1,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
が高い,0.000143182646667239,2,0,0,3,1,0,1,0,9,14,0,0,0,0,0,0,2,0,0,0,0,0,4,0,1,9,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,6,0,0,1
のとれた,0.000141739311606028,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪く,0.000139749126434925,2,0,1,0,2,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0
は良く,0.000139093662227504,3,7,1,2,4,2,1,2,0,0,0,0,1,1,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
もいいです,0.000137284290932281,0,9,1,3,1,6,3,0,5,0,3,0,0,1,1,0,0,1,0,2,0,3,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,1,0,1,2,0,0,1,3,0,1,1,0
も良い,0.000128680329301897,1,10,1,8,1,4,1,2,6,0,2,0,1,1,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,1,0,0,1,1,0,0
がいいと,0.000120622954695488,4,1,3,0,1,2,1,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えれば,0.00011864378257833,5,2,0,1,3,0,1,2,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,12,0,0,0,1,0,0
が悪いです,0.000114345804106583,2,4,2,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
もいい,0.000108355259927844,2,4,1,5,0,0,3,3,0,1,2,0,2,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
の悪い,0.00010705051104645,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
がいいので,0.000105080156146992,0,1,1,2,5,6,1,2,0,1,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
は最高です,9.96206792786895e-05,0,7,2,1,1,1,0,4,4,9,2,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0
が良くて,9.75066120107261e-05,1,2,1,0,1,2,1,2,1,0,0,0,0,1,2,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
に優れた,9.70625341136329e-05,0,1,0,2,5,0,0,0,0,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
は抜群です,9.38510982755952e-05,1,1,0,6,17,1,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いので,9.19941993023592e-05,3,0,0,1,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0
がよいです,8.94553530612301e-05,0,0,5,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありません,8.88000340676179e-05,0,6,1,1,1,0,5,8,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,15,0,0,0,1,0,0,1,0,0,0,0,2,1,3,0,1,0,1
も良好です,8.72880784375325e-05,0,2,1,3,0,1,2,0,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1
がいいですね,8.41233207611952e-05,1,1,4,1,0,0,0,0,2,0,4,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
は感じです,8.12470159019769e-05,0,2,0,3,2,2,3,1,4,0,5,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,2,0,0,1,1,0
はいいですね,7.97234014391529e-05,2,2,0,1,0,2,0,4,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3
が感じます,7.70230143946181e-05,3,0,1,0,0,2,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
になります,7.46047005329697e-05,1,5,0,0,0,0,0,3,0,0,1,2,0,0,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,5,3,1,0,1,0,0,0,0,0,0,0,0,5,0,0
があり,6.99486543588026e-05,0,1,0,1,0,0,2,0,4,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,14,0,1,0,1,0,0,1,4,0,4,0,10,0,0,1,0,0,0
は高いと,6.7625361398281e-05,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くない,6.73681063941983e-05,1,1,1,1,0,5,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は悪いです,6.55362152770694e-05,1,3,0,3,5,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
