"",weight,の良い,が良い,の高い,が悪い,が良く,も良く,は良いです,は良いと,が良いです,はありません,が高い,もよく,がいいです,がいい,を考えると,は高いです,が良いと,は思います,がよく,は高いと,も良いです,のよい,がよい,も良いと,の取れた,は良好です,に優れた,はいいと,が良いので,はいいです,も良い,は良い,もいいです,が高いです,は最高です,は良く,が悪いと,が悪く,を考えれば,が高く,のとれた,のある,があります,があり,もありません,もいい,がいいと,が悪いです,も高く,がいいので,は感じです,はあります,が高いと,はいいですね,は抜群です,は高い,も良いので,はありますが,の悪い,が弱いです,が良くて,も良好です,はありませんが,になります,はします,はしました,も満足しています,が高いので,は悪いです,がいいですね,がよいです,が感じます,といい,をする,がある,もなく,は良いのですが,はよいです,にありません,が良くない,はあり,も悪くなく,も含めて,は思いますが,は良いですね,が悪いので,はよいと,もいいですね,には満足しています,をします,を考えて,が良くなりました,は最高だと,は気に入っています,は高く,は満足しています,もありますが,は感じます,で満足しています,は悪くないと
weight,"",0.00342195776986549,0.00241569894994482,0.00230115811898921,0.00175042942378474,0.00156863847314622,0.00143983638921521,0.00140898748382395,0.00126140541233715,0.00122162860468805,0.00121713659526284,0.00111247367852257,0.00100926883345397,0.000998084086852781,0.000921059007582664,0.000893188878943112,0.000874929818944265,0.000814912588367231,0.000810886715113371,0.000788497306714616,0.000756555058497366,0.000732936750096684,0.000706875113351808,0.000696362139101152,0.000693057265162019,0.000614984671950642,0.000577032297071249,0.000576566380839512,0.000556029398650247,0.000554432028012631,0.000540124427535536,0.000530192719185606,0.000499768596112269,0.000466046252577403,0.000461828229328054,0.000450957871002584,0.00042767025903581,0.000426391801074472,0.000420822590440328,0.000417979732741417,0.000393344736209695,0.00037010136449436,0.000367458285625834,0.00036036788788632,0.000360332549147121,0.000358178640063492,0.000355540127838534,0.000353552579839118,0.000347399157514585,0.000339344611892193,0.000326861898708612,0.000317463622450411,0.000316397364047146,0.000312563630611607,0.00030988552765971,0.000308002787120325,0.000306981976856854,0.00030364719025265,0.000282777172634622,0.000279966301219993,0.000277818508285779,0.000277535679077039,0.000272422477632701,0.000269150655659479,0.000266362070643457,0.000263357200054079,0.000261095036368668,0.000257672699422362,0.000251208737287897,0.000248305150375632,0.000246843853556767,0.00024356368046073,0.00023271346290318,0.000224015801404568,0.000219619614780366,0.000215633697331856,0.000214008310855875,0.000211182547241489,0.000211135457528173,0.000210372338621771,0.000209094966806145,0.000205518174824648,0.000201187062311495,0.000194620464414721,0.000191771056470206,0.000191627935507323,0.000191567832589617,0.00018924095691482,0.000188577540666984,0.000186938969503543,0.00018216985859835,0.000180882566514575,0.000180795262886416,0.000180102412103476,0.000179260282695485,0.000176317469726294,0.000175225516819595,0.00017287301814478,0.000168036473351192,0.000165443095266723,0.000163204736256576
バランス,0.00524586438107643,20,14,2,6,10,6,5,8,7,0,2,5,3,4,8,0,9,0,5,0,4,6,3,11,27,3,0,4,2,0,1,2,0,1,0,3,4,2,5,0,19,0,0,0,0,2,4,2,0,0,0,0,0,2,1,0,3,0,0,0,1,0,0,1,1,0,1,0,1,1,0,3,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,2,1,1,1,0,0,0,0,0,1
画質,0.00493968907143708,2,24,0,12,6,14,13,19,6,18,0,11,6,9,2,0,13,28,1,0,5,1,1,6,0,2,1,11,5,11,10,7,9,0,7,7,4,0,2,0,0,0,1,1,6,4,1,4,0,1,2,6,0,2,1,0,0,9,2,0,2,2,4,5,7,3,11,0,3,1,0,0,3,2,0,5,4,2,3,1,8,3,1,7,5,2,1,1,12,0,0,2,1,5,2,8,1,8,8,1
使い勝手,0.00338499650261734,12,17,0,7,10,4,10,5,15,4,0,4,12,1,4,0,6,1,5,0,1,5,6,1,0,5,0,3,3,3,1,1,1,0,2,1,1,1,0,0,0,0,1,0,1,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,5,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,2,0,1,0,1,1,0,0,2
コストパフォーマンス,0.00301828060857063,5,5,36,0,1,1,4,8,0,0,14,1,0,1,10,4,2,2,0,24,0,0,3,2,0,0,33,1,0,1,0,0,0,4,9,0,0,0,3,4,0,0,0,0,0,1,0,0,4,1,0,0,6,3,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,3,0,0,1,0,9,0,0,0,0,0,1,0
操作性,0.00293276076699448,4,4,0,6,8,12,6,10,4,11,3,5,3,1,3,1,2,11,3,0,9,0,2,6,0,6,2,9,2,4,8,2,3,0,1,2,0,0,1,1,0,0,0,1,1,5,0,2,0,2,3,1,0,1,6,0,1,3,1,0,0,3,1,0,0,5,2,0,3,1,1,0,1,0,0,2,4,4,3,1,1,1,1,3,1,0,0,0,1,0,2,0,0,1,0,1,2,2,1,1
携帯性,0.00265976384113077,11,6,0,3,2,12,3,12,5,11,1,6,1,1,3,0,1,12,0,0,2,0,3,2,0,3,5,0,1,10,1,3,1,0,1,4,2,2,3,0,0,0,0,0,1,0,1,1,1,5,2,1,1,0,17,0,1,0,0,0,1,0,7,0,0,4,0,1,5,0,0,0,1,0,0,1,5,3,1,0,0,1,0,2,1,2,2,1,1,0,2,0,0,0,0,2,0,1,0,2
持ち,0.00253534197451562,0,22,0,30,0,0,5,6,4,7,0,0,1,9,0,0,2,0,1,0,0,0,6,0,0,0,0,0,2,1,0,3,0,0,1,2,5,6,0,0,0,0,0,0,0,0,1,9,0,6,2,0,0,2,1,0,0,1,0,0,1,0,1,0,2,0,0,0,5,0,1,1,0,0,1,0,1,2,0,5,0,0,0,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1
満足度,0.00215774693728813,0,0,45,0,0,0,0,0,0,1,7,0,0,0,0,68,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,1,0,0,0,0,0,0,2,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0
ホールド感,0.00208316101439488,3,3,0,5,5,6,14,4,2,9,1,5,1,1,0,1,1,4,1,0,4,0,0,0,0,9,0,0,3,2,1,7,3,0,0,1,0,3,1,1,0,0,1,2,5,3,1,0,0,1,3,3,0,0,4,0,4,0,0,0,1,2,2,0,3,2,2,0,1,0,1,1,2,0,0,0,3,2,2,2,2,1,0,2,1,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0
