"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,もよく,がいい,が良いと,のよい,を考えると,がよく,も良いと,はありません,の取れた,がよい,も良いです,は良好です,は思います,が良いので,はいいと,のとれた,が悪いと,は良い,はいいです,の高い,が悪く,は良く,がいいと,が高い,もいいです,も良い,を考えれば,が悪いです,の悪い,もいい,がいいので
weight,"",0.000852223654599366,0.000522614049046773,0.000357191485276622,0.000308596342110939,0.000298755980927014,0.000267826634137492,0.000267219642611651,0.000250492466544255,0.000225450515828222,0.000205531034942821,0.000193611757001865,0.00018878906726321,0.000175176241104215,0.000162094408689335,0.00016148264765099,0.000157774416419633,0.000155538624163083,0.000143826586579291,0.000138879505493189,0.000134207500211445,0.00012593426685533,0.000121795253726708,0.000115710429108609,0.000115633408038369,0.000101211301666909,9.6159990957888e-05,9.61483733322368e-05,9.31384128532663e-05,9.29643160634341e-05,9.1310911753209e-05,8.97316634771472e-05,8.18882313271782e-05,8.1873498608945e-05,8.15485960689811e-05,7.89837723600678e-05,7.62030456269e-05,7.55957897615088e-05,7.08342259151161e-05,6.82824327503979e-05,6.44470797975774e-05
バランス,0.00112907499421479,20,14,10,6,6,5,7,8,3,5,4,9,6,8,5,11,0,27,3,4,3,0,2,4,19,4,2,0,2,2,3,4,2,0,1,5,2,0,2,0
画質,0.000766920027365476,2,24,6,12,14,13,6,19,6,11,9,13,1,2,1,6,18,0,1,5,2,28,5,11,0,4,7,11,0,0,7,1,0,9,10,2,4,2,4,1
使い勝手,0.000636676943011549,12,17,10,7,4,10,15,5,12,4,1,6,5,4,5,1,4,0,6,1,5,1,3,3,0,1,1,3,0,1,1,3,0,1,1,0,2,0,1,1
操作性,0.000468039300550873,4,4,8,6,12,6,4,10,3,5,1,2,0,3,3,6,11,0,2,9,6,11,2,9,0,0,2,4,0,0,2,0,3,3,8,1,2,1,5,2
持ち,0.000424827974120149,0,22,0,30,0,5,4,6,1,0,9,2,0,0,1,0,7,0,6,0,0,0,2,0,0,5,3,1,0,6,2,1,0,0,0,0,9,0,0,6
携帯性,0.000390540342176226,11,6,2,3,12,3,5,12,1,6,1,1,0,3,0,2,11,0,3,2,3,12,1,0,0,2,3,10,0,2,4,1,1,1,1,3,1,0,0,5
ホールド感,0.000307738312839055,3,3,5,5,6,14,2,4,1,5,1,1,0,0,1,0,9,0,0,4,9,4,3,0,0,0,7,2,0,3,1,1,1,3,1,1,0,0,3,1
写り,0.000246407984783186,7,4,4,2,4,4,1,5,1,1,5,2,1,0,0,2,6,0,0,0,1,4,1,2,0,1,3,7,0,0,2,1,0,0,2,2,0,0,3,2
気持ち,0.000221843826361689,13,7,0,0,0,0,2,0,9,0,9,0,3,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
デザイン,0.000212450219292048,1,7,3,0,7,2,2,11,0,1,1,1,0,0,1,4,0,0,1,2,1,11,2,6,0,0,2,3,0,0,0,1,0,3,2,0,0,0,2,0
質感,0.000207987084357466,1,4,5,1,5,4,2,4,1,2,4,1,0,0,1,3,2,0,1,2,1,2,0,2,0,0,0,5,5,0,0,0,9,5,6,0,0,0,0,0
評判,0.000176207418405507,14,1,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,1,0,0,0,1,0,0,3,2,2
レスポンス,0.000166927567661949,2,8,6,6,6,1,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1
コストパフォーマンス,0.000165365020736253,5,5,1,0,1,4,0,8,0,1,1,2,0,10,0,2,0,0,3,0,0,2,0,1,0,0,0,1,36,0,0,0,14,0,0,3,0,0,1,1
発色,0.00012440936572349,1,0,3,2,3,2,0,0,0,6,3,0,1,0,1,0,1,0,0,4,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
レンズ,0.000122905030551838,5,1,1,1,1,10,0,2,0,0,1,2,0,0,0,0,8,0,0,0,0,6,0,3,0,0,1,4,0,0,1,1,0,0,1,0,0,2,3,0
性能,0.000118361609197601,5,2,0,0,3,0,0,3,0,0,2,1,0,12,0,0,1,0,4,0,0,4,1,3,0,0,1,0,1,0,0,0,2,0,0,5,0,0,0,1
描写,0.000115508727261979,2,0,1,0,6,5,0,0,1,0,1,4,0,1,0,0,4,0,0,3,0,5,2,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,1,1
色乗り,0.000113920822016451,2,1,2,0,5,1,1,0,2,3,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
天気,9.89240980505594e-05,15,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
相性,9.22726664267978e-05,1,2,1,0,3,0,2,1,0,0,0,2,0,0,0,0,1,0,1,3,0,0,1,2,0,0,0,1,0,0,2,2,0,2,0,0,0,0,0,0
色のり,8.21495107475537e-05,1,0,1,0,0,1,1,1,1,6,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ホールド性,8.12014435868853e-05,0,1,4,2,0,2,2,0,0,0,1,0,0,0,1,0,1,0,0,0,3,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
精度,7.94291068503381e-05,2,2,2,2,1,1,0,2,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0
感触,7.5844877844608e-05,0,2,1,0,0,6,2,1,0,1,1,1,0,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0
出来,7.48371557651321e-05,5,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0
価格,7.37716065841442e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,1,27,0,0,0,0
質,7.12850772791686e-05,4,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,1,0,0
もち,7.05472705755789e-05,0,1,0,7,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1
視認性,6.64975217095965e-05,2,2,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0
ヌケ,5.83173283981702e-05,5,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
切れ,5.60439101308338e-05,4,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感じ,5.44122345755646e-05,0,4,0,0,0,3,1,1,2,0,1,0,0,0,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
値段,5.43723831978084e-05,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,9,1,0,17,0,0,0,0
色,5.43235746519404e-05,0,1,0,2,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,1
反応,5.30624663320451e-05,2,0,1,2,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
