"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,もよく,がいい,が良いと,はありません,のよい,を考えると,がよく,も良いと,がよい,も良いです,の取れた,は思います,は良好です,が良いので,はいいと,の高い,はいいです,は良い,が悪いと,が高い,のとれた,が悪く,は良く,もいいです,も良い,がいいと,を考えれば,が悪いです,もいい,の悪い,がいいので,は最高です,が良くて,に優れた,は抜群です,も良いので,がよいです,もありません,も良好です,がいいですね,は感じです
weight,"",0.00126502493334919,0.000787645504937065,0.000537454617212625,0.000469987028128935,0.000457076626587452,0.000421627711846915,0.000404064530969931,0.000387171714863825,0.000342261138984105,0.000318878081047163,0.000297816430613167,0.000280662989921913,0.000263735666787134,0.000260483490929704,0.000253253529404545,0.00024067681772144,0.000231368800279453,0.00021399169831937,0.000205939004097108,0.000201419021755935,0.000200016447492093,0.000198763764278111,0.000176976076289909,0.000174903259677971,0.000173907407804463,0.000155306660436893,0.000152960744307473,0.000145004432017826,0.000143182646667239,0.000141739311606028,0.000139749126434925,0.000139093662227504,0.000137284290932281,0.000128680329301897,0.000120622954695488,0.00011864378257833,0.000114345804106583,0.000108355259927844,0.00010705051104645,0.000105080156146992,9.96206792786895e-05,9.75066120107261e-05,9.70625341136329e-05,9.38510982755952e-05,9.19941993023592e-05,8.94553530612301e-05,8.88000340676179e-05,8.72880784375325e-05,8.41233207611952e-05,8.12470159019769e-05
バランス,0.00168130540546139,20,14,10,6,6,5,7,8,3,5,4,9,0,6,8,5,11,3,4,27,0,3,2,4,2,0,2,4,2,19,2,3,0,1,4,5,2,2,0,0,0,1,0,1,3,0,0,0,1,0
画質,0.0012315140201706,2,24,6,12,14,13,6,19,6,11,9,13,18,1,2,1,6,1,5,0,28,2,5,11,0,11,7,4,0,0,0,7,9,10,1,2,4,4,2,1,7,2,1,1,0,0,6,2,1,2
使い勝手,0.00104885767992541,12,17,10,7,4,10,15,5,12,4,1,6,4,5,4,5,1,6,1,0,1,5,3,3,0,3,1,1,0,0,1,1,1,1,3,0,2,1,0,1,2,1,0,0,0,5,1,1,4,0
操作性,0.000787292803128814,4,4,8,6,12,6,4,10,3,5,1,2,11,0,3,3,6,2,9,0,11,6,2,9,0,4,2,0,3,0,0,2,3,8,0,1,2,5,1,2,1,0,2,6,1,1,1,3,1,3
携帯性,0.000688873428044984,11,6,2,3,12,3,5,12,1,6,1,1,11,0,3,0,2,3,2,0,12,3,1,0,0,10,3,2,1,0,2,4,1,1,1,3,1,0,0,5,1,1,5,17,1,0,1,0,0,2
持ち,0.000668205012720174,0,22,0,30,0,5,4,6,1,0,9,2,7,0,0,1,0,6,0,0,0,0,2,0,0,1,3,5,0,0,6,2,0,0,1,0,9,0,0,6,1,1,0,1,0,1,0,0,0,2
ホールド感,0.000552174618269205,3,3,5,5,6,14,2,4,1,5,1,1,9,0,0,1,0,0,4,0,4,9,3,0,0,2,7,0,1,0,3,1,3,1,1,1,0,3,0,1,0,1,0,4,4,1,5,2,0,3
写り,0.000407649883498393,7,4,4,2,4,4,1,5,1,1,5,2,6,1,0,0,2,0,0,0,4,1,1,2,0,7,3,1,0,0,0,2,0,2,1,2,0,3,0,2,4,2,0,0,0,0,8,0,0,1
コストパフォーマンス,0.00036904545173918,5,5,1,0,1,4,0,8,0,1,1,2,0,0,10,0,2,3,0,0,2,0,0,1,36,1,0,0,14,0,0,0,0,0,0,3,0,1,0,1,9,0,33,2,0,0,0,0,0,0
