"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,はありません,もよく,がいい,が良いと,のよい,を考えると,がよく,も良いと,がよい,も良いです,は思います,は良好です,の取れた,の高い,が良いので,はいいと,はいいです,は良い,が高い,が悪いと,もいいです,は良く,が悪く,のとれた,も良い,がいいと,を考えれば,が悪いです,もいい,がいいので,の悪い,は最高です,もありません,に優れた,が良くて,は抜群です,も良いので,がよいです,も良好です,は感じです,はいいですね,がいいですね,があり,が感じます,は悪いです,になります,はありませんが,も満足しています,はありますが,が良くない,はあります
weight,"",0.00163377348941322,0.00104249960960371,0.000700302586724719,0.000640906756112101,0.000627835073090959,0.000586274164852266,0.000542999874339306,0.000518423172136775,0.000459057426537052,0.00044594242991076,0.000425309129100229,0.000398688999324312,0.000369257881276674,0.000345936285980407,0.000331914648550289,0.000323977314063989,0.00030840487380146,0.000291625624488013,0.000285041383484447,0.000275618212397193,0.000261322039335209,0.000259100606945301,0.000255584077138176,0.000240440397344706,0.000239745750251943,0.000209235959266162,0.000204147471610373,0.000199947941615729,0.00019799028199512,0.000186824539982229,0.000185882511448223,0.00018508699330015,0.000182330056739286,0.000173646445317473,0.00016695765887539,0.000155600361395703,0.000155011961943928,0.000150599687567904,0.000142162303442482,0.000140278498736751,0.000136856532900003,0.000134333849889698,0.000131591264534667,0.000128872396945836,0.000126161419420639,0.000123942521986653,0.000116735638762532,0.000115488226821964,0.000115186280827815,0.000114388494374955,0.000110010523053158,0.00010754280525025,0.000105640486848049,0.000104575042375747,0.000101498478142908,0.000100207197065149,9.56180265323049e-05,9.47202232195898e-05,9.45695628085221e-05,9.33327297068208e-05
バランス,0.00224005039458939,20,14,10,6,6,5,7,8,3,0,5,4,9,6,8,5,11,3,4,0,3,27,2,2,4,0,2,2,4,0,3,2,19,1,4,5,2,2,0,0,0,0,0,1,1,3,0,0,0,2,1,0,3,1,1,0,1,0,1,0
画質,0.00176049538509323,2,24,6,12,14,13,6,19,6,18,11,9,13,1,2,1,6,1,5,28,2,0,0,5,11,11,7,0,4,9,7,0,0,10,1,2,4,4,1,2,7,6,1,2,1,0,0,2,2,2,1,1,0,3,5,4,11,9,1,6
使い勝手,0.00140839807843289,12,17,10,7,4,10,15,5,12,4,4,1,6,5,4,5,1,6,1,1,5,0,0,3,3,3,1,0,1,1,1,1,0,1,3,0,2,1,1,0,2,1,0,1,0,0,5,1,0,0,4,0,1,0,0,0,0,0,1,0
操作性,0.00110077251123346,4,4,8,6,12,6,4,10,3,11,5,1,2,0,3,3,6,2,9,11,6,0,0,2,9,4,2,3,0,3,2,0,0,8,0,1,2,5,2,1,1,1,2,0,6,1,1,3,3,1,1,1,0,3,0,1,2,3,1,1
持ち,0.000986553322315653,0,22,0,30,0,5,4,6,1,7,0,9,2,0,0,1,0,6,0,0,0,0,0,2,0,1,3,0,5,0,2,6,0,0,1,0,9,0,6,0,1,0,0,1,1,0,1,0,2,2,0,0,1,5,0,1,0,1,5,0
携帯性,0.00096726997024891,11,6,2,3,12,3,5,12,1,11,6,1,1,0,3,0,2,3,2,12,3,0,0,1,0,10,3,1,2,1,4,2,0,1,1,3,1,0,5,0,1,1,5,1,17,1,0,0,2,0,0,0,0,5,0,7,0,0,0,1
ホールド感,0.000785408824686617,3,3,5,5,6,14,2,4,1,9,5,1,1,0,0,1,0,0,4,4,9,0,0,3,0,2,7,1,0,3,1,3,0,1,1,1,0,3,1,0,0,5,0,1,4,4,1,2,3,0,0,2,1,1,0,2,2,0,2,3
写り,0.000569296640931083,7,4,4,2,4,4,1,5,1,6,1,5,2,1,0,0,2,0,0,4,1,0,0,1,2,7,3,0,1,0,2,0,0,2,1,2,0,3,2,0,4,8,0,2,0,0,0,0,1,4,0,0,0,0,3,0,1,1,0,1
質感,0.000514312932811013,1,4,5,1,5,4,2,4,1,2,2,4,1,0,0,1,3,1,2,2,1,0,5,0,2,5,0,9,0,5,0,0,0,6,0,0,0,0,0,0,4,0,0,1,0,0,0,2,4,1,2,4,1,0,0,1,1,3,0,6
コストパフォーマンス,0.000512601681436372,5,5,1,0,1,4,0,8,0,0,1,1,2,0,10,0,2,3,0,2,0,0,36,0,1,1,0,14,0,0,0,0,0,0,0,3,0,1,1,0,9,0,33,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
デザイン,0.000494567282704064,1,7,3,0,7,2,2,11,0,0,1,1,1,0,0,1,4,1,2,11,1,0,0,2,6,3,2,0,0,3,0,0,0,2,1,0,0,2,0,0,2,1,0,0,0,0,0,0,5,0,4,0,0,0,1,2,1,4,0,2
気持ち,0.000481502226826233,13,7,0,0,0,0,2,0,9,1,0,9,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0,0,1,0
レスポンス,0.000363091550374268,2,8,6,6,6,1,0,1,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
評判,0.000362637095562001,14,1,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,3,6,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
発色,0.000303408404277847,1,0,3,2,3,2,0,0,0,1,6,3,0,1,0,1,0,0,4,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,1,1,1,3,0,4,0,1,0
レンズ,0.000301796140076962,5,1,1,1,1,10,0,2,0,8,0,1,2,0,0,0,0,0,0,6,0,0,0,0,3,4,1,0,0,0,1,0,0,1,1,0,0,3,0,2,0,1,0,1,0,0,0,0,1,1,2,5,1,0,3,2,0,2,0,4
描写,0.00028622558837656,2,0,1,0,6,5,0,0,1,4,0,1,4,0,1,0,0,0,3,5,0,0,0,2,0,0,1,0,0,1,3,0,0,1,0,0,0,1,1,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,7,0,0,1,0,5
性能,0.000276101479734634,5,2,0,0,3,0,0,3,0,1,0,2,1,0,12,0,0,4,0,4,0,0,1,1,3,0,1,2,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,3
色乗り,0.000247846458031885,2,1,2,0,5,1,1,0,2,0,3,0,0,2,0,0,0,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
不満,0.000232821440462238,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,14,0,0,1,26,0,17,0,4
相性,0.000198052854525577,1,2,1,0,3,0,2,1,0,1,0,0,2,0,0,0,0,1,3,0,0,0,0,1,2,1,0,0,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天気,0.000191674370440073,15,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,0.000188100121156325,0,2,1,0,0,6,2,1,0,2,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
精度,0.000180477021593023,2,2,2,2,1,1,0,2,0,1,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もち,0.000180347337533835,0,1,0,7,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,1,0,0,1,0
色のり,0.000180218384483287,1,0,1,0,0,1,1,1,1,0,6,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0
ホールド性,0.000172886198742148,0,1,4,2,0,2,2,0,0,1,0,1,0,0,0,1,0,0,0,1,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
価格,0.000165235048089849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,1,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
感じ,0.000149055711527167,0,4,0,0,0,3,1,1,2,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,1,1,0,0,22,0,0,6,0,2
出来,0.000149037893380339,5,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
