"",weight,の良い,が良い,が良く,の高い,が悪い,も良く,は良いです,は良いと,が良いです,はありません,がいいです,もよく,がいい,が良いと,が高い,を考えると,のよい,がよく,も良いと,は思います,がよい,も良いです,は良好です,の取れた,はいいと,が良いので,はいいです,は良い,は高いと,が悪いと,は高いです,もいいです,は良く,が悪く,も良い,に優れた,のとれた,は最高です,を考えれば,がいいと,もいい,が悪いです,もありません,がいいので,の悪い,があり,は抜群です,は感じです,が良くて,も良いので,が高く,はいいですね,が高いです,も良好です,がよいです,がいいですね,はありませんが,も高く,はあります,はありますが,があります,になります,が感じます,は悪いです,はします,も満足しています,のある,が良くない,もなく,といい
weight,"",0.00193550714944882,0.00125324883162842,0.000838563757932391,0.000782247627045818,0.000778716991682204,0.000772229123063515,0.000727475457497557,0.000654018393933269,0.000646164242471762,0.000582508445120766,0.000548702297554395,0.000522069265742969,0.000478278714787269,0.000442147410229805,0.000429950475772548,0.000426575105651832,0.000407759823944578,0.000386658655782337,0.00037593959804085,0.000359948481420966,0.000354314503648236,0.000350087092172515,0.000314085652834834,0.000302302820341077,0.00029107571432832,0.000287044520010824,0.000263120623900961,0.000248976407606819,0.000242735230489473,0.000237732298324027,0.00023239363838124,0.00023004167532723,0.000227409479337236,0.000223702927115992,0.000217906418109586,0.00021347814864941,0.000212731614314091,0.000200068171279763,0.000199623807685765,0.000197424857426836,0.000188231960816528,0.000186480670268698,0.000178306034296,0.000173181010600147,0.000165294326077608,0.000160576253910332,0.000157655238663105,0.000156440721493993,0.00015451620152653,0.000150028859987843,0.000149900055421806,0.000144462322738895,0.000142891989560714,0.000142362703137803,0.000138235558818388,0.000136126433098491,0.000136045893656314,0.000135368550574427,0.000132973008023939,0.000132444979504522,0.00013064577744684,0.000127950850533832,0.000126897675730483,0.000126770282961182,0.000126142040939262,0.000124173254696443,0.000120960652928818,0.000115570916132208,0.000111706544828047,0.0001101295181173
バランス,0.00267962579031693,20,14,10,2,6,6,5,8,7,0,3,5,4,9,2,8,6,5,11,0,3,4,3,27,4,2,0,2,0,4,0,0,3,2,1,0,19,0,5,4,2,2,0,0,0,0,1,0,1,3,0,2,1,0,0,1,0,0,0,0,0,1,3,1,1,1,0,1,1,0
画質,0.00219228599437131,2,24,6,0,12,14,13,19,6,18,6,11,9,13,0,2,1,1,6,28,1,5,2,0,11,5,11,7,0,4,0,9,7,0,10,1,0,7,2,1,4,4,6,1,2,1,1,2,2,0,0,2,0,2,0,1,4,0,6,9,1,5,0,3,7,11,0,1,5,3
使い勝手,0.0016943880294387,12,17,10,0,7,4,10,5,15,4,12,4,1,6,0,4,5,5,1,1,6,1,5,0,3,3,3,1,0,1,0,1,1,1,1,0,0,2,0,3,1,2,1,1,0,0,0,0,1,0,0,0,0,1,5,4,0,0,0,0,1,0,1,0,0,0,0,1,1,0
操作性,0.00136635097772997,4,4,8,0,6,12,6,10,4,11,3,5,1,2,3,3,0,3,6,11,2,9,6,0,9,2,4,2,0,0,1,3,2,0,8,2,0,1,1,0,5,2,1,2,1,1,6,3,0,1,1,1,0,3,1,1,1,0,1,3,0,0,0,3,0,2,0,1,2,1
携帯性,0.00120134964285366,11,6,2,0,3,12,3,12,5,11,1,6,1,1,1,3,0,0,2,12,3,2,3,0,0,1,10,3,0,2,0,1,4,2,1,5,0,1,3,1,0,1,1,5,0,0,17,2,1,1,0,0,0,0,0,0,7,1,1,0,0,0,0,5,0,0,0,0,1,1
持ち,0.00120108531845087,0,22,0,0,30,0,5,6,4,7,1,0,9,2,0,0,0,1,0,0,6,0,0,0,0,2,1,3,0,5,0,0,2,6,0,0,0,1,0,1,0,9,0,6,0,0,1,2,1,0,0,2,0,0,1,0,1,0,0,1,0,0,1,5,2,0,0,5,0,0
コストパフォーマンス,0.00102050470020215,5,5,1,36,0,1,4,8,0,0,0,1,1,2,14,10,0,0,2,2,3,0,0,0,1,0,1,0,24,0,4,0,0,0,0,33,0,9,3,0,1,0,0,1,0,0,2,0,0,0,4,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
ホールド感,0.000983669027754992,3,3,5,0,5,6,14,4,2,9,1,5,1,1,1,0,0,1,0,4,0,4,9,0,0,3,2,7,0,0,1,3,1,3,1,0,0,0,1,1,3,0,5,1,0,2,4,3,1,4,1,0,0,2,1,0,2,0,3,0,1,0,1,1,3,2,0,2,0,2
質感,0.00076926213433288,1,4,5,5,1,5,4,4,2,2,1,2,4,1,9,0,0,1,3,2,1,2,1,0,2,0,5,0,2,0,2,5,0,0,6,0,0,4,0,0,0,0,0,0,0,4,0,4,1,0,6,1,2,2,0,2,1,4,6,3,3,0,1,0,1,1,2,0,1,4
写り,0.000706646309942833,7,4,4,0,2,4,4,5,1,6,1,1,5,2,0,0,1,0,2,4,0,0,1,0,2,1,7,3,0,1,0,0,2,0,2,0,0,4,2,1,3,0,8,2,0,0,0,1,2,0,0,4,0,0,0,0,0,1,1,1,0,3,0,0,2,1,0,0,0,0
