"",weight,の良い,が良い,が悪い,の高い,が良く,も良く,は良いです,は良いと,が良いです,はありません,がいいです,もよく,がいい,が高い,が良いと,を考えると,は思います,がよく,のよい,がよい,も良いと,も良いです,の取れた,は良好です,は高いです,はいいと,が良いので,はいいです,は高いと,は良い,も良い,もいいです,が悪いと,は良く,が悪く,に優れた,のとれた,は最高です,を考えれば,がいいと,が弱いです,が悪いです,もいい,もありません,がいいので,が高いです,も良いので,があり,は感じです,が高く,は抜群です,の悪い,はいいですね,が良くて,があります,はあります,も良好です,も高く,はありませんが,はありますが,は悪いです,がよいです,がいいですね,も満足しています,はします,になります,が感じます,は高い,のある,が良くない,はよいです,はしました,にありません,もなく,といい,は良いのですが,が悪いので,をする,も悪くなく,が高いので
weight,"",0.0024524867573196,0.00166622535922293,0.00130215136137471,0.00113600311281552,0.00111340065521356,0.0010125648028017,0.000973619317895658,0.000862542984829818,0.000831159411520632,0.000797063418556792,0.000714367186053432,0.000685634022078907,0.000635221691322347,0.000610031618174358,0.000575419108390028,0.000563674200034348,0.000527664311296392,0.000521696477014698,0.000513229941519558,0.000489141938405468,0.00048826286847224,0.000469288027646573,0.000452773679192023,0.00041017327795044,0.000391386871245985,0.000382878371834414,0.000367093172969703,0.00035262004120311,0.000334078714850053,0.000327296275357215,0.00031266596565689,0.000312080596962188,0.000309520847191827,0.000304537166079287,0.000293720423564553,0.000286684066239504,0.000272728995733922,0.000271812395912449,0.00026126658585535,0.000254439231661313,0.000252541273155656,0.000252268753113904,0.000248189051738215,0.000240354872058801,0.000227052830267027,0.000220979043844703,0.00021774827908404,0.00021288806006809,0.000212203504745287,0.00021138884768507,0.000208702874190771,0.000205212655562862,0.000203035239283331,0.000199714837629952,0.00019902082049517,0.000190544715919919,0.000189870589759778,0.000185711014411893,0.000182846527161098,0.000179449159561143,0.000178811583545852,0.000174727136432769,0.000173933661186976,0.000172121885569073,0.000170716255075372,0.000167609596810538,0.000165644152622457,0.000160480832698621,0.000159570358423204,0.00015226739607912,0.000149987809940215,0.000149515568802007,0.000148246596390659,0.000147402335805077,0.000146295919634315,0.000144189908116409,0.000140709016212407,0.000137281974133423,0.000132240784710842,0.000130558877937632
バランス,0.00365041366564344,20,14,6,2,10,6,5,8,7,0,3,5,4,2,9,8,0,5,6,3,11,4,27,3,0,4,2,0,0,2,1,0,4,3,2,0,19,0,5,4,0,2,2,0,0,1,3,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,1,1,1,1,3,0,0,1,1,0,0,1,0,0,1,0,1,0
画質,0.00308426245259449,2,24,12,0,6,14,13,19,6,18,6,11,9,0,13,2,28,1,1,1,6,5,0,2,0,11,5,11,0,7,10,9,4,7,0,1,0,7,2,1,0,4,4,6,1,0,0,1,2,0,1,2,2,2,1,6,2,0,4,9,3,0,1,11,7,5,0,0,0,1,2,3,3,5,3,4,2,2,3,0
使い勝手,0.00225363778203589,12,17,7,0,10,4,10,5,15,4,12,4,1,0,6,4,1,5,5,6,1,1,0,5,0,3,3,3,0,1,1,1,1,1,1,0,0,2,0,3,0,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,5,4,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
操作性,0.00194040960934173,4,4,6,0,8,12,6,10,4,11,3,5,1,3,2,3,11,3,0,2,6,9,0,6,1,9,2,4,0,2,8,3,0,2,0,2,0,1,1,0,0,2,5,1,2,0,1,1,3,1,6,1,1,0,0,1,3,0,1,3,3,1,1,2,0,0,0,0,0,1,4,5,3,2,1,4,0,0,1,0
持ち,0.00176538989539658,0,22,30,0,0,0,5,6,4,7,1,0,9,0,2,0,0,1,0,6,0,0,0,0,0,0,2,1,0,3,0,0,5,2,6,0,0,1,0,1,0,9,0,0,6,0,0,0,2,0,1,0,2,1,0,0,0,0,1,1,5,1,0,0,2,0,1,0,0,5,2,0,0,0,0,1,4,0,0,0
携帯性,0.00171625101532353,11,6,3,0,2,12,3,12,5,11,1,6,1,1,1,3,12,0,0,3,2,2,0,3,0,0,1,10,0,3,1,1,2,4,2,5,0,1,3,1,0,1,0,1,5,0,1,0,2,0,17,0,0,1,0,1,0,1,7,0,5,0,0,0,0,0,0,0,0,0,3,4,1,1,1,5,2,0,1,1
コストパフォーマンス,0.001425341258597,5,5,0,36,1,1,4,8,0,0,0,1,1,14,2,10,2,0,0,3,2,0,0,0,4,1,0,1,24,0,0,0,0,0,0,33,0,9,3,0,0,0,1,0,1,4,0,0,0,4,2,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2
ホールド感,0.00138950131809367,3,3,5,0,5,6,14,4,2,9,1,5,1,1,1,0,4,1,0,0,0,4,0,9,1,0,3,2,0,7,1,3,0,1,3,0,0,0,1,1,0,0,3,5,1,0,4,2,3,1,4,0,0,1,1,3,2,0,2,0,1,1,0,2,3,0,1,0,0,2,2,2,2,0,2,3,0,0,1,0
質感,0.00108274856492453,1,4,1,5,5,5,4,4,2,2,1,2,4,9,1,0,2,1,0,1,3,2,0,1,2,2,0,5,2,0,6,5,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,4,4,6,0,0,1,1,3,6,2,4,1,3,0,0,2,1,1,0,1,2,2,0,1,0,0,1,4,1,0,0,1,0
満足度,0.000989876101908477,0,0,0,45,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,68,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,13,0,0,0,11,0,0,0,0,0,0,0,2
写り,0.000971738777642056,7,4,2,0,4,4,4,5,1,6,1,1,5,0,2,0,4,0,1,0,2,0,0,1,0,2,1,7,0,3,2,0,1,2,0,0,0,4,2,1,0,0,3,8,2,0,0,0,1,0,0,0,4,2,0,1,0,1,0,1,0,0,0,1,2,3,0,0,0,0,0,0,2,0,0,1,0,18,1,0
デザイン,0.000857821746099576,1,7,0,0,3,7,2,11,2,0,0,1,1,0,1,0,11,1,0,1,4,2,0,1,0,6,2,3,0,2,2,3,0,0,0,0,0,2,0,1,0,0,2,1,0,0,0,0,5,0,0,0,0,0,0,2,0,0,2,4,0,0,4,1,3,1,0,0,1,0,1,1,0,0,1,2,0,0,1,0
気持ち,0.000742909056693972,13,7,0,0,0,0,0,0,2,1,9,0,9,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
レスポンス,0.000605912031619572,2,8,6,0,6,6,1,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
評判,0.000572374654613311,14,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
レンズ,0.000561968832214338,5,1,1,0,1,1,10,2,0,8,0,0,1,0,2,0,6,0,0,0,0,0,0,0,1,3,0,4,1,1,1,0,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,5,1,0,0,2,1,1,0,4,0,0,2,2,0,0,2,0,6,3,1,1,0,0,2,2,1,1,1,0,0,1,0,0
発色,0.000537194109372699,1,0,2,0,3,3,2,0,0,1,0,6,3,0,0,0,2,1,1,0,0,4,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,3,1,0,0,1,0,0,0,2,2,0,0,2,1,0
