"",weight,の良い,が良い,の高い,が悪い,が良く,も良く,は良いです,は良いと,が良いです,はありません,もよく,がいいです,が高い,がいい,を考えると,が良いと,がよく,は思います,は高いです,も良いです,のよい,がよい,も良いと,の取れた,は良好です,は高いと,が良いので,はいいと,はいいです,に優れた,は良い,も良い,もいいです,が悪いと,は最高です,は良く,が悪く,を考えれば,が高いです,のとれた,がいいと,もいい,が悪いです,もありません,が高く,がいいので,があり,は感じです,が弱いです,があります,も良いので,はいいですね,は抜群です,も高く,はあります,の悪い,が良くて,は高い,も良好です,はありますが,はありませんが,はします,も満足しています,は悪いです,がいいですね,がよいです,が高いと,になります,はしました,が感じます,のある,が高いので,をする,といい,にありません,はよいです,が良くない,もなく,は良いのですが,も悪くなく,が悪いので,は良いですね,は思いますが,はあり,も含めて,はよいと,もいいですね,には満足しています,が良くなりました,を考えて
weight,"",0.00300152707455911,0.00210485414349542,0.00174534341152577,0.00157180290852038,0.00139209736182097,0.00127067363719413,0.0012307927468202,0.00109786170607664,0.00106272202250251,0.00104409896464154,0.000893151735948035,0.000883980211913154,0.000873443432750576,0.00080359796293889,0.000762921792920339,0.000722666854923012,0.00069006493933144,0.000681127925113655,0.000650467619621204,0.000631033244285193,0.000630418479907915,0.000613714960478552,0.000611268448337807,0.000553411476239026,0.000513216008937936,0.000507836054423617,0.000489055542248453,0.000488771201209498,0.000469349309377283,0.00044670381980977,0.000442720526242735,0.000440207612450329,0.000405988341762518,0.000379456899283971,0.000377821123909891,0.000376530216391336,0.000363291139731739,0.000356656104180474,0.000336532163563271,0.000333436830712007,0.000315386013882088,0.000313034838042396,0.000308919830473169,0.000306774576381645,0.000301865358222109,0.000287068926129214,0.000274891202808955,0.0002736846256031,0.000269262354663284,0.000269198554832463,0.000268775236572345,0.00026459881690999,0.00026229383452431,0.00025916609728907,0.000256563047831373,0.000248405306828877,0.000247020487054292,0.000241765255042775,0.000240698468140447,0.000236885639694832,0.000229259033209887,0.000223932024228381,0.000222302063750562,0.000220184046092585,0.000217887866843569,0.000215585459214322,0.000215491621379117,0.000215230303492848,0.000213229099957517,0.000204408991742667,0.000203028506459864,0.00019565792467509,0.000191244916406006,0.000189670664885161,0.000186143683135677,0.000186114656263723,0.00018569369925941,0.00018540788520879,0.000182124680116578,0.000178369117955219,0.000170543589657622,0.000167308032956537,0.000166068396790103,0.000166022988101193,0.000164606446749248,0.000163375036028676,0.000162798380109494,0.000162492062539707,0.000160971892270574,0.000159115806510934
バランス,0.0046113629562753,20,14,2,6,10,6,5,8,7,0,5,3,2,4,8,9,5,0,0,4,6,3,11,27,3,0,2,4,0,0,2,1,0,4,0,3,2,5,1,19,4,2,2,0,0,0,0,0,0,0,3,2,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,3,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,2
画質,0.00415729654115969,2,24,0,12,6,14,13,19,6,18,11,6,0,9,2,13,1,28,0,5,1,1,6,0,2,0,5,11,11,1,7,10,9,4,7,7,0,2,0,0,1,4,4,6,0,1,1,2,0,1,0,2,1,0,6,2,2,0,2,9,4,7,11,3,1,0,0,5,3,0,0,0,2,3,3,2,1,5,4,3,2,5,7,8,1,1,1,12,2,0
使い勝手,0.00294344793146043,12,17,0,7,10,4,10,5,15,4,4,12,0,1,4,6,5,1,0,1,5,6,1,0,5,0,3,3,3,0,1,1,1,1,2,1,1,0,0,0,3,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,5,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,2,1
操作性,0.00252596022622093,4,4,0,6,8,12,6,10,4,11,5,3,3,1,3,2,3,11,1,9,0,2,6,0,6,0,2,9,4,2,2,8,3,0,1,2,0,1,0,0,0,5,2,1,1,2,1,3,0,0,1,1,6,0,1,1,0,0,3,3,1,0,2,3,1,1,0,0,5,0,0,0,0,1,3,4,1,2,4,1,0,1,3,1,1,0,0,1,0,2
携帯性,0.00227398896577193,11,6,0,3,2,12,3,12,5,11,6,1,1,1,3,1,0,12,0,2,0,3,2,0,3,0,1,0,10,5,3,1,1,2,1,4,2,3,0,0,1,0,1,1,0,5,0,2,0,0,1,0,17,1,1,0,1,0,0,0,7,0,0,5,0,0,1,0,4,0,0,1,0,1,1,3,0,1,5,1,2,1,2,0,0,2,1,1,0,2
持ち,0.00222575464664084,0,22,0,30,0,0,5,6,4,7,0,1,0,9,0,2,1,0,0,0,0,6,0,0,0,0,2,0,1,0,3,0,0,5,1,2,6,0,0,0,1,0,9,0,0,6,0,2,0,0,0,2,1,0,0,0,1,0,0,1,1,2,0,5,0,1,0,0,0,1,0,0,0,0,0,2,5,0,1,0,4,2,1,0,0,1,0,0,0,0
コストパフォーマンス,0.00220219666938776,5,5,36,0,1,1,4,8,0,0,1,0,14,1,10,2,0,2,4,0,0,3,2,0,0,24,0,1,1,33,0,0,0,0,9,0,0,3,4,0,0,1,0,0,4,1,0,0,0,0,0,3,2,4,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,2,3,0,0,1
ホールド感,0.00180692692302526,3,3,0,5,5,6,14,4,2,9,5,1,1,1,0,1,1,4,1,4,0,0,0,0,9,0,3,0,2,0,7,1,3,0,0,1,3,1,0,0,1,3,0,5,1,1,2,3,0,1,4,0,4,0,3,0,1,0,2,0,2,3,2,1,0,1,0,0,2,1,0,0,0,2,2,2,2,0,3,1,0,1,2,2,0,1,0,1,0,0
満足度,0.00156907701172437,0,0,45,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,68,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,2,0,0,0,0,3,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
