"",weight,の高い,は高いです,が高い,は高いと,の良い,が高いです,が良い,に優れた,を考えると,が悪い,は良いと,は良いです,は高い,が高く,が高いと,も良く,が良く,はありません,は最高です,は思います,も高く,があります,はしました,は5です,が高いので,が良いです,もよく,がいいです,がいい,を考えれば,は高く,が良いと,は満点です,も良いと,がよい,のある,も高い,があり,はあります,は最高だと,も良いです,のよい,はいいです,がよく,はしましたが,はいいと,がある,はあると,は良好です,をしました,も良い,が良いので,があると,は高いですね,は最高ですね,が弱いです,もありません,の取れた,はいいですね,は良い,は感じです,もいいです,は抜群です,は良く,はします,に優れていると,はありますが,が低い,は5と,に優れている,が悪いと,の強い,もいい,がいいので,が悪く,は大満足です,から考えると,は抜群だと,といい,は素晴らしいです,は抜群,を持った,で言えば,もいいですね,が多い,はありませんが,はものです,が高かった,を含め,も含めて,のとれた,をしたのは,はよいと,が悪いです,も高いです,も高いので,の悪い,がいいと,が素晴らしい,は思いますが
weight,"",0.0120366517194684,0.00542852652173013,0.00512096478851276,0.00370824226019759,0.0034426969704913,0.00266180395287298,0.00254607975401279,0.00234983070910657,0.00177040294844989,0.00175363038221148,0.00173500339524293,0.00170538316695095,0.00156978476945424,0.00151461499543554,0.00148431401065024,0.00145038284708328,0.00144019218746791,0.00129673885469771,0.00122571582050776,0.00115491944001336,0.00114674365050018,0.00114351990751813,0.00108830163049044,0.00106399186705431,0.00101478277591645,0.00100400168806394,0.000976649903405248,0.000858797780786484,0.00085248616847409,0.000837926331292852,0.000830579655309384,0.000816306612210564,0.000806995606993619,0.000782586343118792,0.000758141796726625,0.00072603269948601,0.000719668140047855,0.000673288271630125,0.000641412500493757,0.000627950990990998,0.000616621997086328,0.000612390692903617,0.000607178391192403,0.000592896043686653,0.000588660853007596,0.000566470170489137,0.000552145871475906,0.000538445454654457,0.000512554696016509,0.000506422447123717,0.000500377409701545,0.000486823103918218,0.000479160449454209,0.000466899613081381,0.0004660393542797,0.000455337459722044,0.000454863133710276,0.000453033397221621,0.000450736909604712,0.000435190062490936,0.000432562016899965,0.000431993789391328,0.000430842566696888,0.000426304382524005,0.000422831472779318,0.000419505141475045,0.000418341517313584,0.000417966903690617,0.000407402749599895,0.000406889745608069,0.000404706711455786,0.000402326213210723,0.000396746773097884,0.000387186160280546,0.000384654454446191,0.000372231132092814,0.000367969288854154,0.000365591259203321,0.000362774584359854,0.000359287936349876,0.000346684648652754,0.000345600549097572,0.000344928504354799,0.000338055067304896,0.000337834956146219,0.000334401068563358,0.000331556177341295,0.000326790036248214,0.000323634064996751,0.000321413700090653,0.000318801279526326,0.000318625955027818,0.00031092076450357,0.00031080008621315,0.000302455552238681,0.00029546288912832,0.000292378587857147,0.000290176494497726,0.000285356427232059,0.00028210293108562
満足度,0.0149843081986858,45,68,7,10,0,16,0,0,0,0,0,0,13,2,3,0,0,1,3,1,0,0,11,14,2,0,0,0,0,0,6,0,10,0,0,0,3,0,0,0,0,0,0,0,6,0,0,2,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,1,5,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,2,0,0,1,0,0,0,0,1
コストパフォーマンス,0.0129703656863866,36,4,14,24,5,4,5,33,10,0,8,4,2,4,6,1,1,0,9,2,4,0,0,0,2,0,1,0,1,3,0,2,0,2,3,0,3,0,0,9,0,0,1,0,0,1,0,1,0,0,0,0,0,2,3,0,0,0,3,0,0,0,2,0,0,7,0,0,0,3,0,0,1,1,0,0,3,5,1,3,4,3,1,3,0,0,0,0,3,2,0,0,2,0,1,1,0,0,2,0
画質,0.00517483290384356,0,0,0,0,2,0,24,1,2,12,19,13,0,0,0,14,6,18,7,28,0,1,3,1,0,6,11,6,9,2,2,13,0,6,1,0,0,1,6,1,5,1,11,1,1,11,0,0,2,0,10,5,1,0,1,0,6,0,2,7,2,9,1,7,7,0,9,1,1,0,4,0,4,1,0,4,0,0,3,4,0,0,1,1,0,4,11,0,0,1,0,1,1,4,0,0,2,1,1,7
バランス,0.00497185850599028,2,0,2,0,20,1,14,0,8,6,8,5,0,0,0,6,10,0,0,0,0,0,0,0,0,7,5,3,4,5,0,9,0,11,3,0,0,0,0,1,4,6,0,5,0,4,0,0,3,0,1,2,0,0,0,0,0,27,2,2,0,0,1,3,1,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,1,2,0,0,0,4,0,0
完成度,0.00495063271536409,37,3,11,7,0,1,0,0,0,0,0,0,1,4,3,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0
携帯性,0.00379907258709841,0,0,1,0,11,0,6,5,3,3,12,3,0,0,1,12,2,11,1,12,1,0,4,0,1,5,6,1,1,3,0,1,1,2,3,0,0,0,1,0,2,0,10,0,1,0,0,0,3,2,1,1,1,0,0,0,1,0,0,3,2,1,17,4,0,1,0,0,0,4,2,0,0,5,2,1,1,0,1,1,6,0,1,1,0,7,2,0,0,0,0,4,2,1,0,0,0,1,0,2
質感,0.00356001293948819,5,2,9,2,1,2,4,0,0,1,4,4,2,6,2,5,5,2,4,2,4,3,0,0,0,2,2,1,4,0,0,1,0,3,1,2,0,4,6,0,2,0,5,1,0,2,1,0,1,0,6,0,2,0,0,0,0,0,1,0,4,5,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,1,1,0,0,3,0,0,0,0,2,0,0,0,1,1
操作性,0.00343082433005863,0,1,3,0,4,0,4,2,3,6,10,6,0,1,0,12,8,11,1,11,0,0,5,0,0,4,5,3,1,1,0,2,2,6,2,0,0,1,1,0,9,0,4,3,0,9,0,0,6,3,8,2,0,0,0,0,1,0,1,2,3,3,6,2,0,1,3,0,0,0,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,5,0,2,0,0,1,0,1,3
評価,0.00321625565895455,12,2,4,0,1,2,0,0,0,0,1,0,0,4,3,0,0,0,1,0,0,1,4,6,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,4,0,0,0,0,0,0,0,1
使い勝手,0.00298181862467675,0,0,0,0,12,0,17,0,4,7,5,10,0,0,0,4,10,4,2,1,0,1,0,0,0,15,4,12,1,0,0,6,0,1,6,0,0,0,0,0,1,5,3,5,0,3,0,0,5,0,1,3,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,3,0,0
解像度,0.00251633169958811,5,2,6,0,0,2,1,0,0,1,0,1,0,8,0,1,0,2,0,1,7,0,1,0,2,0,1,0,0,0,4,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
使用頻度,0.00238684103266942,10,2,11,0,0,4,0,0,1,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
持ち,0.00224551336628498,0,0,0,0,0,0,22,0,0,30,6,5,0,0,0,0,0,7,1,0,0,0,0,0,0,4,0,1,9,0,0,2,0,0,6,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,3,2,0,1,2,2,0,1,0,0,0,5,0,0,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,1,0,1
価格,0.00212167611077977,0,1,9,3,0,1,0,0,45,0,0,0,0,1,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,27,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
ホールド感,0.00209297665392645,0,1,1,0,3,0,3,0,0,5,4,14,0,1,0,6,5,9,0,4,0,1,2,0,0,2,5,1,1,1,0,1,1,0,0,0,0,2,3,0,4,0,2,1,2,0,0,0,9,0,1,3,1,0,0,0,5,0,0,7,3,3,4,1,3,0,0,0,0,0,0,0,3,1,3,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,2
コントラスト,0.00207701713448914,11,0,5,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,5,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
