"",weight,の良い,の高い,が良い,が悪い,が良く,も良く,は良いです,が高い,は良いと,はありません,が良いです,は高いです,もよく,がいいです,は高いと,を考えると,がいい,は思います,が良いと,がよく,も良いです,に優れた,がよい,のよい,も良いと,の取れた,が高いです,は良好です,はいいと,が良いので,はいいです,も良い,は最高です,は良い,が高く,もいいです,を考えれば,は良く,が悪いと,が悪く,も高く,が高いと,があります,のある,は高い,があり,のとれた,もありません,もいい,がいいと,が悪いです,はあります,がいいので,はいいですね,は感じです,は抜群です,はしました,が高いので,も良いので,はありますが,の悪い,が良くて,はありませんが,はします,も良好です,が弱いです,も満足しています,になります,は悪いです,がいいですね,がよいです,が感じます,といい,がある,をする,は高く,は最高だと,もなく,は良いのですが,はよいです,にありません,はあり,が良くない,も含めて,もいいですね,も悪くなく,はよいと,は良いですね,は思いますが,が悪いので,も高い,には満足しています,は5です,をします,を考えて,は気に入っています,が良くなりました,は満点です,もありますが,は満足しています
weight,"",0.00203429496364025,0.00175843550993176,0.00144396659376102,0.00102183384593564,0.000927180310547265,0.000854620962781556,0.000842118745224712,0.000795946635339628,0.000769289115427196,0.000720949238868874,0.000705630043204788,0.000680236017403574,0.000597416294301847,0.00058590272179817,0.000577306988674152,0.000566658162641619,0.00054084964771557,0.000493144903290969,0.000485293120285498,0.00046302155460019,0.000425948844669528,0.000424333981505581,0.000418913898720615,0.000416907306986714,0.000416405437788687,0.000363501291914252,0.000341502219241348,0.000338956394656951,0.000331524231642834,0.000327715915823407,0.000322030845309715,0.000315920146655471,0.000301247343858962,0.000294803320306556,0.000279821717596419,0.000275085268245644,0.000263637902389892,0.000253299953002168,0.00025320085835997,0.00024864173766129,0.000238471650950978,0.000234362615856585,0.000233523954365618,0.000229324996509407,0.000227844372972863,0.000223741639107028,0.000219058073055939,0.000216272178937398,0.000212793812826283,0.000207959091571282,0.000204717353554196,0.000197296302924443,0.000196136521191647,0.000192140958169965,0.00019207849419876,0.000186977689069654,0.000180837515175788,0.00018061833285825,0.000179256545864733,0.000170693966830793,0.000165821413631744,0.000163514056728782,0.000162116674700899,0.000161436271420011,0.000160376919176034,0.000159633686254157,0.00015241735755092,0.000150721197043616,0.000145727326045766,0.000145471434285898,0.000142839527714515,0.00013834181422965,0.000136907451043541,0.00013670399843142,0.00013012082381789,0.000130101961821541,0.000128447033733514,0.000127113816821003,0.000125335724351294,0.000124834794903,0.000123975941946018,0.000123298006237047,0.000122558765145096,0.000121220754017704,0.000119267554607591,0.000118429223670428,0.000118182769049054,0.000116802710518528,0.000116057535364229,0.000113672340117404,0.000113475336197652,0.000111146145536535,0.000111009967779701,0.000110052945657009,0.000109700244331278,0.000106209413370614,0.000106116869107488,0.000105610935824687,0.000104564165972458,0.00010348355541183
バランス,0.00311618590799426,20,2,14,6,10,6,5,2,8,0,7,0,5,3,0,8,4,0,9,5,4,0,3,6,11,27,1,3,4,2,0,1,0,2,0,0,5,3,4,2,0,0,0,0,0,0,19,0,2,4,2,0,0,2,0,1,0,0,3,0,0,1,0,1,0,0,1,1,1,1,0,3,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,2,1,1,0,0,0
画質,0.00291309469151007,2,0,24,12,6,14,13,0,19,18,6,0,11,6,0,2,9,28,13,1,5,1,1,1,6,0,0,2,11,5,11,10,7,7,0,9,2,7,4,0,0,0,1,0,0,1,0,6,4,1,4,6,1,2,2,1,3,0,0,9,2,2,4,7,2,0,11,5,3,1,0,0,3,0,2,2,1,5,4,2,3,8,1,1,1,3,1,5,7,2,0,12,1,0,0,5,2,0,1,8
コストパフォーマンス,0.00215170575621781,5,36,5,0,1,1,4,14,8,0,0,4,1,0,24,10,1,2,2,0,0,33,3,0,2,0,4,0,1,0,1,0,9,0,4,0,3,0,0,0,4,6,0,0,2,0,0,0,1,0,0,0,1,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,2,3,0,2,1,0,0,3,0,0,0,1,0,0,0,0,0
使い勝手,0.00198562040695417,12,0,17,7,10,4,10,0,5,4,15,0,4,12,0,4,1,1,6,5,1,0,6,5,1,0,0,5,3,3,3,1,2,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,5,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,2,0,1,1
満足度,0.00186414226620144,0,45,0,0,0,0,0,7,0,1,0,68,0,0,10,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3,0,2,0,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,11,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,14,1,0,0,0,10,0,0
操作性,0.00176060598259898,4,0,4,6,8,12,6,3,10,11,4,1,5,3,0,3,1,11,2,3,9,2,2,0,6,0,0,6,9,2,4,8,1,2,1,3,1,2,0,0,0,0,0,0,0,1,0,1,5,0,2,1,2,1,3,6,5,0,1,3,1,0,1,0,3,0,2,0,3,1,1,0,1,0,0,0,0,2,4,4,3,1,1,1,0,1,0,1,3,0,0,1,0,0,2,1,0,2,2,1
携帯性,0.00159539378868089,11,0,6,3,2,12,3,1,12,11,5,0,6,1,0,3,1,12,1,0,2,5,3,0,2,0,0,3,0,1,10,1,1,3,0,1,3,4,2,2,1,1,0,0,0,0,0,1,0,1,1,1,5,0,2,17,4,1,1,0,0,1,7,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,5,3,1,0,0,0,1,1,2,1,2,2,0,1,0,0,2,0,0,1,0,2
持ち,0.00149295556316313,0,0,22,30,0,0,5,0,6,7,4,0,0,1,0,0,9,0,2,1,0,0,6,0,0,0,0,0,0,2,1,0,1,3,0,0,0,2,5,6,0,0,0,0,0,0,0,0,0,1,9,0,6,2,2,1,0,0,0,1,0,1,1,2,0,0,0,0,5,0,1,1,0,1,0,0,0,0,1,2,0,0,5,0,0,0,1,2,1,4,0,0,0,0,0,0,0,0,0,0
ホールド感,0.00124809824316486,3,0,3,5,5,6,14,1,4,9,2,1,5,1,0,0,1,4,1,1,4,0,0,0,0,0,0,9,0,3,2,1,0,7,1,3,1,1,0,3,0,0,1,0,0,2,0,5,3,1,0,3,1,0,3,4,2,0,4,0,0,1,2,3,2,0,2,0,1,0,1,1,2,0,0,0,0,0,3,2,2,2,2,0,0,1,1,1,2,0,0,1,0,0,0,2,0,1,0,0
